Middle layer Super Output Areas Code,Middle layer Super Output Areas,shared_ownership
E02000358,Hackney 014,80
E02000359,Hackney 015,22
E02000360,Hackney 016,103
E02000361,Hackney 017,74
E02000362,Hackney 018,132
E02000363,Hackney 019,170
E02000364,Hackney 020,98
E02000366,Hackney 022,53
E02000367,Hackney 023,189
E02000368,Hackney 024,55
E02000369,Hackney 025,360
E02000370,Hackney 026,186
E02000372,Hammersmith and Fulham 001,109
E02000373,Hammersmith and Fulham 002,65
E02000374,Hammersmith and Fulham 003,30
E02000375,Hammersmith and Fulham 004,40
E02000376,Hammersmith and Fulham 005,45
E02000377,Hammersmith and Fulham 006,65
E02000378,Hammersmith and Fulham 007,20
E02000379,Hammersmith and Fulham 008,118
E02000380,Hammersmith and Fulham 009,19
E02000381,Hammersmith and Fulham 010,9
E02000382,Hammersmith and Fulham 011,73
E02000383,Hammersmith and Fulham 012,25
E02000384,Hammersmith and Fulham 013,42
E02000385,Hammersmith and Fulham 014,21
E02000386,Hammersmith and Fulham 015,35
E02000387,Hammersmith and Fulham 016,16
E02000388,Hammersmith and Fulham 017,58
E02000389,Hammersmith and Fulham 018,42
E02000390,Hammersmith and Fulham 019,12
E02000391,Hammersmith and Fulham 020,22
E02000392,Hammersmith and Fulham 021,46
E02000393,Hammersmith and Fulham 022,18
E02000394,Hammersmith and Fulham 023,201
E02000395,Hammersmith and Fulham 024,31
E02000396,Hammersmith and Fulham 025,45
E02000397,Haringey 001,38
E02000398,Haringey 002,31
E02000400,Haringey 004,70
E02000401,Haringey 005,20
E02000402,Haringey 006,30
E02000403,Haringey 007,30
E02000404,Haringey 008,27
E02000405,Haringey 009,9
E02000406,Haringey 010,20
E02000407,Haringey 011,60
E02000408,Haringey 012,71
E02000409,Haringey 013,19
E02000410,Haringey 014,9
E02000411,Haringey 015,129
E02000412,Haringey 016,97
E02000413,Haringey 017,46
E02000414,Haringey 018,19
E02000415,Haringey 019,49
E02000416,Haringey 020,144
E02000417,Haringey 021,17
E02000418,Haringey 022,28
E02000419,Haringey 023,35
E02000420,Haringey 024,58
E02000421,Haringey 025,105
E02000422,Haringey 026,47
E02000423,Haringey 027,27
E02000424,Haringey 028,25
E02000425,Haringey 029,48
E02000426,Haringey 030,22
E02000427,Haringey 031,46
E02000428,Haringey 032,45
E02000429,Haringey 033,91
E02000430,Haringey 034,35
E02000431,Haringey 035,8
E02000432,Haringey 036,11
E02000433,Harrow 001,31
E02000434,Harrow 002,100
E02000435,Harrow 003,36
E02000436,Harrow 004,6
E02000437,Harrow 005,23
E02000438,Harrow 006,12
E02000439,Harrow 007,31
E02000440,Harrow 008,6
E02000441,Harrow 009,23
E02000442,Harrow 010,9
E02000443,Harrow 011,34
E02000444,Harrow 012,9
E02000445,Harrow 013,116
E02000447,Harrow 015,19
E02000448,Harrow 016,29
E02000449,Harrow 017,15
E02000451,Harrow 019,21
E02000452,Harrow 020,41
E02000453,Harrow 021,56
E02000454,Harrow 022,3
E02000455,Harrow 023,80
E02000456,Harrow 024,32
E02000457,Harrow 025,65
E02000459,Harrow 027,59
E02000460,Harrow 028,19
E02000461,Harrow 029,30
E02000462,Harrow 030,20
E02000463,Harrow 031,14
E02000464,Havering 001,15
E02000465,Havering 002,29
E02000466,Havering 003,37
E02000467,Havering 004,51
E02000468,Havering 005,25
E02000469,Havering 006,17
E02000470,Havering 007,43
E02000471,Havering 008,9
E02000472,Havering 009,20
E02000473,Havering 010,97
E02000474,Havering 011,56
E02000475,Havering 012,35
E02000476,Havering 013,150
E02000477,Havering 014,6
E02000478,Havering 015,3
E02000479,Havering 016,47
E02000480,Havering 017,84
E02000481,Havering 018,19
E02000482,Havering 019,4
E02000483,Havering 020,6
E02000484,Havering 021,13
E02000485,Havering 022,10
E02000486,Havering 023,4
E02000487,Havering 024,5
E02000488,Havering 025,17
E02000489,Havering 026,27
E02000490,Havering 027,16
E02000491,Havering 028,102
E02000492,Havering 029,10
E02000493,Havering 030,23
E02000494,Hillingdon 001,8
E02000495,Hillingdon 002,18
E02000496,Hillingdon 003,20
E02000497,Hillingdon 004,39
E02000498,Hillingdon 005,22
E02000499,Hillingdon 006,10
E02000500,Hillingdon 007,35
E02000501,Hillingdon 008,12
E02000502,Hillingdon 009,52
E02000503,Hillingdon 010,22
E02000504,Hillingdon 011,9
E02000506,Hillingdon 013,5
E02000507,Hillingdon 014,17
E02000508,Hillingdon 015,98
E02000509,Hillingdon 016,66
E02000510,Hillingdon 017,14
E02000511,Hillingdon 018,68
E02000512,Hillingdon 019,35
E02000513,Hillingdon 020,42
E02000514,Hillingdon 021,26
E02000515,Hillingdon 022,148
E02000516,Hillingdon 023,54
E02000517,Hillingdon 024,38
E02000518,Hillingdon 025,39
E02000519,Hillingdon 026,49
E02000520,Hillingdon 027,96
E02000521,Hillingdon 028,129
E02000522,Hillingdon 029,47
E02000523,Hillingdon 030,87
E02000524,Hillingdon 031,14
E02000525,Hillingdon 032,22
E02000526,Hounslow 001,48
E02000529,Hounslow 004,52
E02000530,Hounslow 005,35
E02000531,Hounslow 006,204
E02000532,Hounslow 007,15
E02000533,Hounslow 008,16
E02000534,Hounslow 009,53
E02000535,Hounslow 010,27
E02000536,Hounslow 011,78
E02000537,Hounslow 012,8
E02000538,Hounslow 013,38
E02000539,Hounslow 014,131
E02000540,Hounslow 015,204
E02000541,Hounslow 016,28
E02000542,Hounslow 017,116
E02000543,Hounslow 018,113
E02000544,Hounslow 019,22
E02000545,Hounslow 020,40
E02000546,Hounslow 021,54
E02000547,Hounslow 022,31
E02000548,Hounslow 023,269
E02000549,Hounslow 024,50
E02000550,Hounslow 025,128
E02000551,Hounslow 026,68
E02000552,Hounslow 027,106
E02000553,Hounslow 028,52
E02000554,Islington 001,36
E02000555,Islington 002,74
E02000556,Islington 003,58
E02000557,Islington 004,38
E02000558,Islington 005,28
E02000559,Islington 006,53
E02000560,Islington 007,30
E02000561,Islington 008,19
E02000562,Islington 009,34
E02000563,Islington 010,48
E02000564,Islington 011,276
E02000565,Islington 012,34
E02000566,Islington 013,62
E02000567,Islington 014,51
E02000568,Islington 015,140
E02000569,Islington 016,73
E02000570,Islington 017,14
E02000571,Islington 018,45
E02000572,Islington 019,46
E02000573,Islington 020,178
E02000574,Islington 021,54
E02000575,Islington 022,64
E02000576,Islington 023,129
E02000577,Kensington and Chelsea 001,67
E02000578,Kensington and Chelsea 002,87
E02000579,Kensington and Chelsea 003,88
E02000580,Kensington and Chelsea 004,33
E02000581,Kensington and Chelsea 005,88
E02000582,Kensington and Chelsea 006,46
E02000583,Kensington and Chelsea 007,21
E02000584,Kensington and Chelsea 008,22
E02000585,Kensington and Chelsea 009,34
E02000586,Kensington and Chelsea 010,14
E02000587,Kensington and Chelsea 011,6
E02000588,Kensington and Chelsea 012,17
E02000589,Kensington and Chelsea 013,17
E02000590,Kensington and Chelsea 014,8
E02000591,Kensington and Chelsea 015,36
E02000592,Kensington and Chelsea 016,8
E02000593,Kensington and Chelsea 017,16
E02000594,Kensington and Chelsea 018,8
E02000595,Kensington and Chelsea 019,10
E02000596,Kensington and Chelsea 020,11
E02000597,Kensington and Chelsea 021,38
E02000598,Kingston upon Thames 001,21
E02000599,Kingston upon Thames 002,5
E02000600,Kingston upon Thames 003,8
E02000601,Kingston upon Thames 004,95
E02000602,Kingston upon Thames 005,35
E02000603,Kingston upon Thames 006,53
E02000604,Kingston upon Thames 007,36
E02000605,Kingston upon Thames 008,7
E02000606,Kingston upon Thames 009,25
E02000607,Kingston upon Thames 010,5
E02000608,Kingston upon Thames 011,13
E02000609,Kingston upon Thames 012,10
E02000610,Kingston upon Thames 013,21
E02000611,Kingston upon Thames 014,12
E02000612,Kingston upon Thames 015,8
E02000613,Kingston upon Thames 016,13
E02000614,Kingston upon Thames 017,35
E02000615,Kingston upon Thames 018,18
E02000616,Kingston upon Thames 019,21
E02000617,Kingston upon Thames 020,18
E02000619,Lambeth 002,47
E02000620,Lambeth 003,219
E02000621,Lambeth 004,183
E02000622,Lambeth 005,22
E02000623,Lambeth 006,18
E02000624,Lambeth 007,158
E02000625,Lambeth 008,58
E02000626,Lambeth 009,31
E02000627,Lambeth 010,82
E02000628,Lambeth 011,146
E02000629,Lambeth 012,79
E02000630,Lambeth 013,39
E02000631,Lambeth 014,50
E02000632,Lambeth 015,55
E02000633,Lambeth 016,92
E02000634,Lambeth 017,28
E02000635,Lambeth 018,211
E02000636,Lambeth 019,16
E02000637,Lambeth 020,22
E02000638,Lambeth 021,79
E02000639,Lambeth 022,170
E02000640,Lambeth 023,17
E02000641,Lambeth 024,46
E02000642,Lambeth 025,31
E02000643,Lambeth 026,54
E02000644,Lambeth 027,25
E02000645,Lambeth 028,61
E02000646,Lambeth 029,27
E02000647,Lambeth 030,74
E02000648,Lambeth 031,41
E02000649,Lambeth 032,103
E02000650,Lambeth 033,25
E02000651,Lambeth 034,46
E02000652,Lambeth 035,31
E02000653,Lewisham 001,250
E02000654,Lewisham 002,68
E02000655,Lewisham 003,157
E02000657,Lewisham 005,98
E02000658,Lewisham 006,68
E02000659,Lewisham 007,105
E02000660,Lewisham 008,43
E02000661,Lewisham 009,4
E02000662,Lewisham 010,76
E02000663,Lewisham 011,23
E02000665,Lewisham 013,27
E02000666,Lewisham 014,15
E02000667,Lewisham 015,29
E02000668,Lewisham 016,16
E02000669,Lewisham 017,55
E02000670,Lewisham 018,20
E02000671,Lewisham 019,36
E02000672,Lewisham 020,86
E02000673,Lewisham 021,14
E02000674,Lewisham 022,10
E02000675,Lewisham 023,45
E02000676,Lewisham 024,23
E02000677,Lewisham 025,23
E02000678,Lewisham 026,24
E02000679,Lewisham 027,36
E02000680,Lewisham 028,51
E02000681,Lewisham 029,25
E02000682,Lewisham 030,42
E02000683,Lewisham 031,37
E02000685,Lewisham 033,30
E02000686,Lewisham 034,69
E02000687,Lewisham 035,21
E02000689,Merton 001,62
E02000690,Merton 002,4
E02000691,Merton 003,24
E02000692,Merton 004,11
E02000693,Merton 005,194
E02000694,Merton 006,9
E02000695,Merton 007,22
E02000696,Merton 008,23
E02000697,Merton 009,19
E02000698,Merton 010,21
E02000699,Merton 011,10
E02000700,Merton 012,21
E02000701,Merton 013,49
E02000702,Merton 014,96
E02000703,Merton 015,18
