Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_outright
E02004728,Fareham 002,1339
E02004729,Fareham 003,1131
E02004730,Fareham 004,1813
E02004731,Fareham 005,1510
E02004732,Fareham 006,1677
E02004733,Fareham 007,1362
E02004734,Fareham 008,1812
E02004735,Fareham 009,1723
E02004736,Fareham 010,1817
E02004737,Fareham 011,935
E02004738,Fareham 012,1452
E02004739,Fareham 013,1597
E02004740,Fareham 014,1697
E02004741,Gosport 001,1180
E02004742,Gosport 002,1062
E02004743,Gosport 003,1182
E02004744,Gosport 004,622
E02004745,Gosport 005,949
E02004746,Gosport 006,2167
E02004747,Gosport 007,975
E02004748,Gosport 008,1105
E02004749,Gosport 009,1642
E02004750,Gosport 010,1428
E02004751,Hart 001,1466
E02004752,Hart 002,1430
E02004753,Hart 003,1699
E02004754,Hart 004,1148
E02004755,Hart 005,1455
E02004756,Hart 006,1300
E02004757,Hart 007,1652
E02004758,Hart 008,1337
E02004759,Hart 009,1402
E02004760,Hart 010,1176
E02004761,Hart 011,892
E02004764,Havant 003,1832
E02004765,Havant 004,1197
E02004766,Havant 005,840
E02004767,Havant 006,505
E02004768,Havant 007,669
E02004769,Havant 008,441
E02004770,Havant 009,602
E02004771,Havant 010,805
E02004772,Havant 011,1664
E02004774,Havant 013,2330
E02004775,Havant 014,1907
E02004776,Havant 015,1476
E02004777,Havant 016,1284
E02004778,Havant 017,1592
E02004779,New Forest 001,2243
E02004780,New Forest 002,943
E02004781,New Forest 003,1230
E02004782,New Forest 004,1289
E02004783,New Forest 005,1154
E02004784,New Forest 006,1269
E02004785,New Forest 007,1228
E02004786,New Forest 008,1268
E02004787,New Forest 009,1824
E02004788,New Forest 010,1432
E02004789,New Forest 011,1776
E02004790,New Forest 012,1351
E02004791,New Forest 013,712
E02004792,New Forest 014,1866
E02004793,New Forest 015,1713
E02004794,New Forest 016,1451
E02004795,New Forest 017,1955
E02004796,New Forest 018,2562
E02004797,New Forest 019,1367
E02004798,New Forest 020,945
E02004799,New Forest 021,1790
E02004800,New Forest 022,2411
E02004801,New Forest 023,2369
E02004802,Rushmoor 001,684
E02004803,Rushmoor 002,444
E02004804,Rushmoor 003,1066
E02004805,Rushmoor 004,1280
E02004806,Rushmoor 005,1059
E02004807,Rushmoor 006,1215
E02004808,Rushmoor 007,960
E02004809,Rushmoor 008,228
E02004810,Rushmoor 009,679
E02004811,Rushmoor 010,938
E02004812,Rushmoor 011,857
E02004813,Rushmoor 012,569
E02004814,Test Valley 001,1139
E02004815,Test Valley 002,502
E02004817,Test Valley 004,988
E02004818,Test Valley 005,1631
E02004819,Test Valley 006,1297
E02004820,Test Valley 007,1078
E02004821,Test Valley 008,1005
E02004822,Test Valley 009,1394
E02004823,Test Valley 010,1841
E02004824,Test Valley 011,1389
E02004825,Test Valley 012,2113
E02004826,Test Valley 013,1513
E02004827,Test Valley 014,1121
E02004828,Test Valley 015,1275
E02004829,Winchester 001,838
E02004830,Winchester 002,1081
E02004831,Winchester 003,1670
E02004832,Winchester 004,1671
E02004833,Winchester 005,1238
E02004834,Winchester 006,664
E02004835,Winchester 007,1340
E02004836,Winchester 008,373
E02004837,Winchester 009,1395
E02004838,Winchester 010,1689
E02004839,Winchester 011,1623
E02004840,Winchester 012,1884
E02004841,Winchester 013,1532
E02004842,Winchester 014,1651
E02004843,Broxbourne 001,1204
E02004844,Broxbourne 002,886
E02004845,Broxbourne 003,1067
E02004846,Broxbourne 004,1135
E02004847,Broxbourne 005,1133
E02004848,Broxbourne 006,1059
E02004849,Broxbourne 007,1069
E02004850,Broxbourne 008,1034
E02004851,Broxbourne 009,840
E02004852,Broxbourne 010,1128
E02004853,Broxbourne 011,810
E02004854,Broxbourne 012,1116
E02004855,Broxbourne 013,697
E02004856,Dacorum 001,809
E02004857,Dacorum 002,994
E02004858,Dacorum 003,693
E02004859,Dacorum 004,1014
E02004860,Dacorum 005,584
E02004861,Dacorum 006,1115
E02004862,Dacorum 007,730
E02004863,Dacorum 008,526
E02004864,Dacorum 009,1226
E02004865,Dacorum 010,655
E02004866,Dacorum 011,687
E02004867,Dacorum 012,851
E02004868,Dacorum 013,641
E02004869,Dacorum 014,816
E02004870,Dacorum 015,1052
E02004871,Dacorum 016,623
E02004872,Dacorum 017,1168
E02004873,Dacorum 018,1434
E02004874,Dacorum 019,696
E02004875,Dacorum 020,926
E02004876,Dacorum 021,1512
E02004877,Dacorum 022,848
E02004878,East Hertfordshire 001,1366
E02004880,East Hertfordshire 003,1448
E02004881,East Hertfordshire 004,988
E02004882,East Hertfordshire 005,1040
E02004883,East Hertfordshire 006,961
E02004884,East Hertfordshire 007,1138
E02004885,East Hertfordshire 008,1310
E02004886,East Hertfordshire 009,894
E02004887,East Hertfordshire 010,1209
E02004888,East Hertfordshire 011,1503
E02004889,East Hertfordshire 012,1530
E02004890,East Hertfordshire 013,1283
E02004891,East Hertfordshire 014,1243
E02004892,East Hertfordshire 015,651
E02004893,East Hertfordshire 016,624
E02004894,East Hertfordshire 017,1302
E02004895,East Hertfordshire 018,1330
E02004896,Hertsmere 001,1549
E02004897,Hertsmere 002,1051
E02004898,Hertsmere 003,1019
E02004899,Hertsmere 004,638
E02004900,Hertsmere 005,1279
E02004901,Hertsmere 006,647
E02004902,Hertsmere 007,686
E02004903,Hertsmere 008,786
E02004904,Hertsmere 009,633
E02004905,Hertsmere 010,811
E02004906,Hertsmere 011,962
E02004907,Hertsmere 012,1469
E02004908,Hertsmere 013,1698
E02004909,North Hertfordshire 001,725
E02004910,North Hertfordshire 002,2017
E02004911,North Hertfordshire 003,793
E02004912,North Hertfordshire 004,1620
E02004914,North Hertfordshire 006,912
E02004915,North Hertfordshire 007,620
E02004916,North Hertfordshire 008,1290
E02004917,North Hertfordshire 009,942
E02004918,North Hertfordshire 010,925
E02004919,North Hertfordshire 011,959
E02004920,North Hertfordshire 012,1775
E02004921,North Hertfordshire 013,1273
E02004922,North Hertfordshire 014,1428
E02004923,North Hertfordshire 015,1714
E02004924,St Albans 001,1072
E02004925,St Albans 002,950
E02004926,St Albans 003,1342
E02004927,St Albans 004,1109
E02004928,St Albans 005,1229
E02004929,St Albans 006,1048
E02004930,St Albans 007,1030
E02004931,St Albans 008,998
E02004932,St Albans 009,794
E02004933,St Albans 010,1016
E02004934,St Albans 011,806
E02004935,St Albans 012,851
E02004936,St Albans 013,782
E02004937,St Albans 014,1378
E02004939,St Albans 016,892
E02004940,St Albans 017,748
E02004941,St Albans 018,1154
E02004942,St Albans 019,1065
E02004943,St Albans 020,1546
E02004944,Stevenage 001,619
E02004945,Stevenage 002,1382
E02004946,Stevenage 003,672
E02004948,Stevenage 005,673
E02004949,Stevenage 006,945
E02004950,Stevenage 007,727
E02004951,Stevenage 008,686
E02004952,Stevenage 009,763
E02004953,Stevenage 010,552
E02004954,Stevenage 011,690
E02004955,Stevenage 012,812
E02004956,Three Rivers 001,1429
E02004957,Three Rivers 002,1216
E02004958,Three Rivers 003,1273
E02004959,Three Rivers 004,1034
E02004960,Three Rivers 005,921
E02004961,Three Rivers 006,1535
E02004962,Three Rivers 007,1157
E02004963,Three Rivers 008,769
E02004964,Three Rivers 009,645
E02004965,Three Rivers 010,1161
E02004966,Three Rivers 011,1145
E02004967,Three Rivers 012,521
E02004968,Watford 001,752
E02004969,Watford 002,925
E02004970,Watford 003,814
E02004971,Watford 004,690
E02004972,Watford 005,878
E02004973,Watford 006,606
E02004974,Watford 007,1038
E02004975,Watford 008,1093
E02004976,Watford 009,707
E02004977,Watford 010,647
E02004978,Watford 011,544
E02004979,Watford 012,885
E02004980,Welwyn Hatfield 001,1128
E02004981,Welwyn Hatfield 002,1073
E02004982,Welwyn Hatfield 003,870
E02004983,Welwyn Hatfield 004,700
E02004984,Welwyn Hatfield 005,842
E02004985,Welwyn Hatfield 006,1165
E02004986,Welwyn Hatfield 007,409
E02004987,Welwyn Hatfield 008,714
E02004988,Welwyn Hatfield 009,594
E02004989,Welwyn Hatfield 010,746
E02004990,Welwyn Hatfield 011,710
E02004991,Welwyn Hatfield 012,426
E02004992,Welwyn Hatfield 013,503
E02004994,Welwyn Hatfield 015,1050
E02004995,Welwyn Hatfield 016,1036
E02004996,Ashford 001,1251
E02004997,Ashford 002,1497
E02004998,Ashford 003,1181
E02005000,Ashford 005,947
E02005001,Ashford 006,1406
E02005002,Ashford 007,957
E02005003,Ashford 008,636
E02005004,Ashford 009,1095
E02005005,Ashford 010,1506
E02005006,Ashford 011,1216
E02005007,Ashford 012,1525
E02005008,Ashford 013,1988
E02005009,Ashford 014,1131
E02005010,Canterbury 001,1045
E02005011,Canterbury 002,1877
E02005012,Canterbury 003,1585
E02005013,Canterbury 004,1738
E02005014,Canterbury 005,2206
E02005015,Canterbury 006,1560
E02005016,Canterbury 007,1470
E02005017,Canterbury 008,1264
E02005018,Canterbury 009,1864
E02005019,Canterbury 010,975
E02005020,Canterbury 011,1226
E02005021,Canterbury 012,1303
E02005022,Canterbury 013,694
E02005023,Canterbury 014,443
E02005025,Canterbury 016,1253
E02005026,Canterbury 017,1237
E02005027,Canterbury 018,1104
E02005028,Dartford 001,543
E02005029,Dartford 002,864
E02005030,Dartford 003,1118
E02005031,Dartford 004,619
E02005032,Dartford 005,957
E02005033,Dartford 006,635
E02005034,Dartford 007,1256
E02005035,Dartford 008,1201
E02005036,Dartford 009,536
E02005037,Dartford 010,1347
E02005038,Dartford 011,1015
E02005039,Dartford 012,864
E02005040,Dartford 013,1347
E02005041,Dover 001,1321
E02005042,Dover 002,1871
E02005043,Dover 003,1586
E02005044,Dover 004,1574
E02005045,Dover 005,1380
E02005046,Dover 006,943
E02005047,Dover 007,1348
E02005048,Dover 008,1448
E02005049,Dover 009,1874
E02005050,Dover 010,1917
E02005051,Dover 011,1185
E02005052,Dover 012,911
E02005053,Dover 013,860
E02005054,Dover 014,1533
E02005055,Gravesham 001,551
E02005056,Gravesham 002,806
E02005057,Gravesham 003,1127
E02005058,Gravesham 004,686
E02005059,Gravesham 005,1444
E02005060,Gravesham 006,970
E02005061,Gravesham 007,680
E02005062,Gravesham 008,1096
E02005063,Gravesham 009,939
E02005064,Gravesham 010,1272
E02005065,Gravesham 011,695
E02005066,Gravesham 012,1647
E02005067,Gravesham 013,1106
E02005068,Maidstone 001,1060
E02005069,Maidstone 002,1366
E02005070,Maidstone 003,1973
E02005071,Maidstone 004,906
E02005072,Maidstone 005,1437
E02005073,Maidstone 006,987
E02005074,Maidstone 007,1555
E02005075,Maidstone 008,1073
E02005076,Maidstone 009,832
E02005077,Maidstone 010,1013
E02005078,Maidstone 011,1754
E02005079,Maidstone 012,1573
E02005080,Maidstone 013,955
E02005081,Maidstone 014,1396
E02005082,Maidstone 015,1523
E02005083,Maidstone 016,1345
E02005084,Maidstone 017,1230
E02005085,Maidstone 018,1152
E02005086,Maidstone 019,1063
E02005087,Sevenoaks 001,1298
E02005088,Sevenoaks 002,913
E02005089,Sevenoaks 003,1117
E02005090,Sevenoaks 004,1260
E02005091,Sevenoaks 005,1200
E02005093,Sevenoaks 007,1355
E02005094,Sevenoaks 008,1374
E02005095,Sevenoaks 009,1373
E02005096,Sevenoaks 010,1173
E02005097,Sevenoaks 011,1474
E02005098,Sevenoaks 012,1473
E02005099,Sevenoaks 013,1259
E02005100,Sevenoaks 014,1378
E02005101,Sevenoaks 015,1124
E02005102,Folkestone and Hythe 001,1475
E02005103,Folkestone and Hythe 002,1306
E02005104,Folkestone and Hythe 003,1064
E02005105,Folkestone and Hythe 004,751
E02005106,Folkestone and Hythe 005,1154
E02005107,Folkestone and Hythe 006,2269
E02005109,Folkestone and Hythe 008,1740
E02005110,Folkestone and Hythe 009,1577
E02005111,Folkestone and Hythe 010,1609
E02005112,Folkestone and Hythe 011,1593
E02005113,Folkestone and Hythe 012,1624
E02005114,Folkestone and Hythe 013,1288
E02005115,Swale 001,578
E02005116,Swale 002,516
E02005117,Swale 003,1350
E02005118,Swale 004,1352
E02005119,Swale 005,991
E02005120,Swale 006,1456
E02005121,Swale 007,1333
E02005122,Swale 008,1296
E02005123,Swale 009,1469
E02005124,Swale 010,894
E02005125,Swale 011,999
E02005126,Swale 012,1431
E02005127,Swale 013,1512
E02005128,Swale 014,1427
E02005129,Swale 015,1798
E02005130,Swale 016,1333
E02005131,Swale 017,1053
E02005132,Thanet 001,808
E02005133,Thanet 002,2026
E02005134,Thanet 003,653
E02005135,Thanet 004,893
E02005136,Thanet 005,1310
E02005137,Thanet 006,852
E02005138,Thanet 007,1501
E02005139,Thanet 008,2551
E02005140,Thanet 009,1801
E02005141,Thanet 010,1465
E02005142,Thanet 011,1507
E02005143,Thanet 012,1319
E02005144,Thanet 013,826
E02005145,Thanet 014,1476
E02005146,Thanet 015,906
E02005147,Thanet 016,1072
E02005148,Thanet 017,1767
E02005149,Tonbridge and Malling 001,1624
E02005150,Tonbridge and Malling 002,1391
E02005151,Tonbridge and Malling 003,1867
E02005153,Tonbridge and Malling 005,1267
E02005154,Tonbridge and Malling 006,1868
E02005155,Tonbridge and Malling 007,1427
E02005156,Tonbridge and Malling 008,1213
E02005157,Tonbridge and Malling 009,1033
E02005158,Tonbridge and Malling 010,1179
E02005159,Tonbridge and Malling 011,1328
E02005160,Tonbridge and Malling 012,1403
E02005161,Tonbridge and Malling 013,992
E02005162,Tunbridge Wells 001,1651
E02005163,Tunbridge Wells 002,1059
E02005164,Tunbridge Wells 003,1005
E02005165,Tunbridge Wells 004,1299
E02005166,Tunbridge Wells 005,603
E02005167,Tunbridge Wells 006,1318
E02005168,Tunbridge Wells 007,1104
E02005169,Tunbridge Wells 008,880
E02005170,Tunbridge Wells 009,1351
E02005171,Tunbridge Wells 010,690
E02005172,Tunbridge Wells 011,1307
E02005173,Tunbridge Wells 012,1456
E02005174,Tunbridge Wells 013,1201
E02005175,Tunbridge Wells 014,1400
E02005503,Breckland 001,1430
E02005504,Breckland 002,1905
E02005505,Breckland 003,1261
E02005506,Breckland 004,1388
E02005507,Breckland 005,1904
E02005508,Breckland 006,1461
E02005509,Breckland 007,1720
E02005510,Breckland 008,1602
E02005511,Breckland 009,1749
E02005512,Breckland 010,1492
E02005513,Breckland 011,1677
E02005514,Breckland 012,1359
E02005515,Breckland 013,1155
E02005516,Breckland 014,1344
E02005517,Breckland 015,402
E02005518,Breckland 016,1442
E02005519,Breckland 017,835
E02005520,Broadland 001,1874
E02005521,Broadland 002,1710
E02005522,Broadland 003,1052
E02005523,Broadland 004,1469
E02005524,Broadland 005,1196
E02005525,Broadland 006,1869
E02005526,Broadland 007,969
E02005527,Broadland 008,1717
E02005528,Broadland 009,1772
E02005529,Broadland 010,1402
E02005530,Broadland 011,1187
E02005531,Broadland 012,1026
E02005532,Broadland 013,1936
E02005533,Broadland 014,1782
E02005534,Broadland 015,1669
E02005535,Broadland 016,1234
E02005536,Broadland 017,1325
E02005537,Broadland 018,1259
E02005538,Great Yarmouth 001,2391
E02005539,Great Yarmouth 002,1735
E02005540,Great Yarmouth 003,2215
E02005541,Great Yarmouth 004,891
E02005542,Great Yarmouth 005,667
E02005543,Great Yarmouth 006,694
E02005544,Great Yarmouth 007,726
E02005545,Great Yarmouth 008,1471
E02005546,Great Yarmouth 009,1065
E02005547,Great Yarmouth 010,1540
E02005548,Great Yarmouth 011,844
E02005549,Great Yarmouth 012,1303
E02005550,Great Yarmouth 013,1437
E02005551,King's Lynn and West Norfolk 001,1466
E02005552,King's Lynn and West Norfolk 002,1477
E02005553,King's Lynn and West Norfolk 003,2446
E02005554,King's Lynn and West Norfolk 004,1618
E02005555,King's Lynn and West Norfolk 005,1552
E02005556,King's Lynn and West Norfolk 006,1378
E02005557,King's Lynn and West Norfolk 007,443
E02005558,King's Lynn and West Norfolk 008,1473
E02005559,King's Lynn and West Norfolk 009,961
E02005560,King's Lynn and West Norfolk 010,821
E02005561,King's Lynn and West Norfolk 011,1098
E02005562,King's Lynn and West Norfolk 012,1504
E02005563,King's Lynn and West Norfolk 013,1542
E02005564,King's Lynn and West Norfolk 014,1726
E02005565,King's Lynn and West Norfolk 015,1324
E02005566,King's Lynn and West Norfolk 016,1984
E02005567,King's Lynn and West Norfolk 017,2275
E02005568,King's Lynn and West Norfolk 018,1535
E02005569,King's Lynn and West Norfolk 019,1430
E02005570,North Norfolk 001,1885
E02005571,North Norfolk 002,1368
E02005572,North Norfolk 003,1762
E02005573,North Norfolk 004,1599
E02005574,North Norfolk 005,1827
E02005575,North Norfolk 006,1657
E02005576,North Norfolk 007,1699
E02005577,North Norfolk 008,1254
E02005578,North Norfolk 009,1034
E02005580,North Norfolk 011,1628
E02005581,North Norfolk 012,1441
E02005582,North Norfolk 013,1477
E02005583,North Norfolk 014,2236
E02005584,Norwich 001,1059
E02005585,Norwich 002,734
E02005586,Norwich 003,1023
E02005587,Norwich 004,1214
E02005588,Norwich 005,838
E02005589,Norwich 006,928
E02005592,Norwich 009,1217
E02005593,Norwich 010,624
E02005594,Norwich 011,1421
E02005595,Norwich 012,1954
E02005596,Norwich 013,1015
E02005598,South Norfolk 002,1643
E02005599,South Norfolk 003,1215
E02005600,South Norfolk 004,1195
E02005601,South Norfolk 005,1214
E02005602,South Norfolk 006,2427
E02005603,South Norfolk 007,1739
E02005604,South Norfolk 008,1770
E02005605,South Norfolk 009,2004
E02005606,South Norfolk 010,1184
E02005607,South Norfolk 011,2096
E02005608,South Norfolk 012,1620
E02005609,South Norfolk 013,1508
E02005610,South Norfolk 014,1695
E02005611,South Norfolk 015,2043
E02005921,Cherwell 001,1141
E02005922,Cherwell 002,935
E02005923,Cherwell 003,562
E02005924,Cherwell 004,969
E02005925,Cherwell 005,763
E02005926,Cherwell 006,1599
E02005927,Cherwell 007,882
E02005928,Cherwell 008,1576
E02005929,Cherwell 009,1396
E02005930,Cherwell 010,1397
E02005931,Cherwell 011,1231
E02005932,Cherwell 012,681
E02005933,Cherwell 013,984
E02005934,Cherwell 014,1380
E02005935,Cherwell 015,900
E02005936,Cherwell 016,1587
E02005937,Cherwell 017,1306
E02005938,Cherwell 018,944
E02005939,Cherwell 019,1198
E02005940,Oxford 001,1028
E02005941,Oxford 002,976
E02005942,Oxford 003,926
E02005943,Oxford 004,971
E02005944,Oxford 005,533
E02005945,Oxford 006,1177
E02005946,Oxford 007,1049
E02005947,Oxford 008,434
E02005948,Oxford 009,631
E02005949,Oxford 010,367
E02005950,Oxford 011,768
E02005951,Oxford 012,667
E02005953,Oxford 014,558
E02005954,Oxford 015,1193
E02005955,Oxford 016,858
E02005956,Oxford 017,415
E02005957,Oxford 018,264
E02005958,South Oxfordshire 001,921
E02005959,South Oxfordshire 002,1131
E02005960,South Oxfordshire 003,1201
E02005961,South Oxfordshire 004,1291
E02005962,South Oxfordshire 005,1622
E02005963,South Oxfordshire 006,1420
E02005964,South Oxfordshire 007,1409
E02005965,South Oxfordshire 008,939
E02005966,South Oxfordshire 009,794
E02005967,South Oxfordshire 010,941
E02005968,South Oxfordshire 011,987
E02005969,South Oxfordshire 012,1517
E02005970,South Oxfordshire 013,642
E02005971,South Oxfordshire 014,916
E02005972,South Oxfordshire 015,1487
E02005973,South Oxfordshire 016,1116
E02005974,South Oxfordshire 017,1060
E02005975,South Oxfordshire 018,1534
E02005976,South Oxfordshire 019,1117
E02005977,South Oxfordshire 020,1135
E02005978,Vale of White Horse 001,1376
E02005979,Vale of White Horse 002,1604
E02005980,Vale of White Horse 003,1768
E02005981,Vale of White Horse 004,1602
E02005982,Vale of White Horse 005,997
E02005983,Vale of White Horse 006,1365
E02005984,Vale of White Horse 007,1426
E02005985,Vale of White Horse 008,1173
E02005986,Vale of White Horse 009,1375
E02005987,Vale of White Horse 010,1404
E02005988,Vale of White Horse 011,1348
E02005991,Vale of White Horse 014,1691
E02005992,Vale of White Horse 015,1771
E02005993,West Oxfordshire 001,1249
E02005994,West Oxfordshire 002,1041
E02005995,West Oxfordshire 003,1166
E02005996,West Oxfordshire 004,1514
E02005997,West Oxfordshire 005,1192
E02005998,West Oxfordshire 006,1277
E02005999,West Oxfordshire 007,1261
E02006000,West Oxfordshire 008,1767
E02006001,West Oxfordshire 009,792
E02006002,West Oxfordshire 010,1715
E02006003,West Oxfordshire 011,1003
E02006004,West Oxfordshire 012,1021
E02006005,West Oxfordshire 013,779
E02006006,West Oxfordshire 014,868
E02006007,West Oxfordshire 015,1318
E02006227,Babergh 001,1399
E02006228,Babergh 002,1211
E02006229,Babergh 003,1325
E02006230,Babergh 004,1988
E02006231,Babergh 005,1423
E02006232,Babergh 006,1251
E02006233,Babergh 007,1952
E02006234,Babergh 008,1437
E02006235,Babergh 009,1727
E02006236,Babergh 010,2236
E02006237,Babergh 011,1511
E02006238,West Suffolk 002,1660
E02006239,West Suffolk 001,899
E02006240,West Suffolk 003,1243
E02006241,West Suffolk 004,1204
E02006242,West Suffolk 007,1071
E02006243,West Suffolk 008,1027
E02006245,Ipswich 001,1119
E02006246,Ipswich 002,1414
E02006247,Ipswich 003,947
E02006248,Ipswich 004,1174
E02006249,Ipswich 005,1356
E02006250,Ipswich 006,723
E02006251,Ipswich 007,879
E02006252,Ipswich 008,1164
E02006253,Ipswich 009,1578
E02006254,Ipswich 010,753
E02006255,Ipswich 011,1056
E02006256,Ipswich 012,835
E02006257,Ipswich 013,986
E02006258,Ipswich 014,874
E02006259,Ipswich 015,992
E02006260,Ipswich 016,960
E02006261,Mid Suffolk 001,1711
E02006262,Mid Suffolk 002,1852
E02006263,Mid Suffolk 003,1667
E02006264,Mid Suffolk 004,1667
E02006265,Mid Suffolk 005,1527
E02006266,Mid Suffolk 006,1892
E02006267,Mid Suffolk 007,1656
E02006268,Mid Suffolk 008,983
E02006269,Mid Suffolk 009,1378
E02006270,Mid Suffolk 010,1721
E02006271,Mid Suffolk 011,1586
E02006272,Mid Suffolk 012,1509
E02006273,West Suffolk 005,1480
E02006274,West Suffolk 006,1011
E02006275,West Suffolk 009,701
E02006276,West Suffolk 016,1456
E02006277,West Suffolk 012,1063
E02006278,West Suffolk 011,1239
E02006279,West Suffolk 014,1747
E02006280,West Suffolk 010,1862
E02006281,West Suffolk 013,1791
E02006282,West Suffolk 017,1366
E02006283,West Suffolk 018,1173
E02006284,West Suffolk 019,976
E02006285,West Suffolk 021,792
E02006286,West Suffolk 020,1281
E02006287,East Suffolk 016,1642
E02006288,East Suffolk 017,1958
E02006289,East Suffolk 018,1997
E02006290,East Suffolk 019,1800
E02006291,East Suffolk 020,1707
E02006292,East Suffolk 021,1425
E02006293,East Suffolk 023,1761
E02006294,East Suffolk 022,1838
E02006295,East Suffolk 024,1920
E02006296,East Suffolk 025,2436
E02006297,East Suffolk 026,1848
E02006298,East Suffolk 027,1756
E02006299,East Suffolk 028,2376
E02006300,East Suffolk 029,1033
E02006301,East Suffolk 030,1110
E02006302,East Suffolk 001,1659
E02006303,East Suffolk 002,845
E02006304,East Suffolk 003,1793
E02006305,East Suffolk 004,1066
E02006306,East Suffolk 005,1419
E02006307,East Suffolk 007,1891
E02006308,East Suffolk 006,850
E02006309,East Suffolk 009,1170
E02006310,East Suffolk 008,1362
E02006311,East Suffolk 010,1613
E02006312,East Suffolk 011,1822
E02006313,East Suffolk 012,2281
E02006314,East Suffolk 013,1482
E02006315,East Suffolk 014,1462
E02006316,East Suffolk 015,1691
E02006317,Elmbridge 001,1005
E02006318,Elmbridge 002,1080
E02006319,Elmbridge 003,826
E02006320,Elmbridge 004,730
E02006321,Elmbridge 005,829
E02006322,Elmbridge 006,849
E02006323,Elmbridge 007,1098
E02006324,Elmbridge 008,900
E02006325,Elmbridge 009,1272
E02006326,Elmbridge 010,879
E02006327,Elmbridge 011,1091
E02006328,Elmbridge 012,1194
E02006329,Elmbridge 013,1024
E02006330,Elmbridge 014,1247
E02006331,Elmbridge 015,1162
E02006332,Elmbridge 016,879
E02006333,Elmbridge 017,1346
E02006334,Elmbridge 018,1396
E02006335,Epsom and Ewell 001,1352
E02006336,Epsom and Ewell 002,840
E02006337,Epsom and Ewell 003,1493
E02006338,Epsom and Ewell 004,1096
E02006339,Epsom and Ewell 005,1013
E02006341,Epsom and Ewell 007,1339
E02006342,Epsom and Ewell 008,1081
E02006343,Epsom and Ewell 009,1334
E02006344,Guildford 001,1478
E02006345,Guildford 002,977
E02006346,Guildford 003,1872
E02006347,Guildford 004,1167
E02006348,Guildford 005,1460
E02006349,Guildford 006,894
E02006350,Guildford 007,519
E02006351,Guildford 008,1109
E02006352,Guildford 009,692
E02006353,Guildford 010,825
E02006354,Guildford 011,1614
E02006355,Guildford 012,438
E02006356,Guildford 013,1116
E02006357,Guildford 014,1086
E02006358,Guildford 015,681
E02006359,Guildford 016,1020
E02006360,Guildford 017,1264
E02006361,Guildford 018,1056
E02006362,Mole Valley 001,1231
E02006363,Mole Valley 002,1046
E02006364,Mole Valley 003,728
E02006365,Mole Valley 004,1172
E02006366,Mole Valley 005,1536
E02006367,Mole Valley 006,1211
E02006368,Mole Valley 007,1163
E02006369,Mole Valley 008,1468
E02006370,Mole Valley 009,1086
E02006371,Mole Valley 010,1183
E02006372,Mole Valley 011,817
E02006373,Mole Valley 012,1227
E02006374,Mole Valley 013,1268
E02006375,Reigate and Banstead 001,1085
E02006376,Reigate and Banstead 002,1543
E02006377,Reigate and Banstead 003,1111
E02006378,Reigate and Banstead 004,1282
E02006379,Reigate and Banstead 005,593
E02006380,Reigate and Banstead 006,1431
E02006381,Reigate and Banstead 007,1264
E02006382,Reigate and Banstead 008,652
E02006383,Reigate and Banstead 009,1491
E02006384,Reigate and Banstead 010,1273
E02006385,Reigate and Banstead 011,1029
E02006386,Reigate and Banstead 012,1068
E02006387,Reigate and Banstead 013,831
E02006388,Reigate and Banstead 014,1092
E02006389,Reigate and Banstead 015,1027
E02006390,Reigate and Banstead 016,1236
E02006391,Reigate and Banstead 017,998
E02006392,Reigate and Banstead 018,1193
E02006393,Runnymede 001,739
E02006394,Runnymede 002,901
E02006395,Runnymede 003,1094
E02006396,Runnymede 004,1123
E02006397,Runnymede 005,975
E02006398,Runnymede 006,938
E02006399,Runnymede 007,1711
E02006400,Runnymede 008,926
E02006401,Runnymede 009,1408
E02006402,Runnymede 010,1616
E02006403,Spelthorne 001,585
E02006404,Spelthorne 002,579
E02006405,Spelthorne 003,1540
E02006406,Spelthorne 004,949
E02006407,Spelthorne 005,1382
E02006408,Spelthorne 006,1195
E02006409,Spelthorne 007,820
E02006410,Spelthorne 008,785
E02006411,Spelthorne 009,1316
E02006412,Spelthorne 010,1241
E02006413,Spelthorne 011,1065
E02006414,Spelthorne 012,1015
E02006415,Spelthorne 013,1504
E02006416,Surrey Heath 001,1514
E02006417,Surrey Heath 002,881
E02006418,Surrey Heath 003,1291
E02006419,Surrey Heath 004,774
E02006420,Surrey Heath 005,1289
E02006421,Surrey Heath 006,1319
E02006422,Surrey Heath 007,985
E02006423,Surrey Heath 008,1190
E02006424,Surrey Heath 009,1066
E02006425,Surrey Heath 010,874
E02006426,Surrey Heath 011,946
E02006427,Surrey Heath 012,1026
E02006429,Tandridge 002,1174
E02006430,Tandridge 003,1148
E02006431,Tandridge 004,1578
E02006432,Tandridge 005,957
E02006433,Tandridge 006,1661
E02006434,Tandridge 007,831
E02006435,Tandridge 008,893
E02006436,Tandridge 009,871
E02006437,Tandridge 010,1399
E02006438,Tandridge 011,1424
E02006439,Waverley 001,1013
E02006440,Waverley 002,1162
E02006441,Waverley 003,1183
E02006442,Waverley 004,1068
E02006443,Waverley 005,946
E02006444,Waverley 006,975
E02006445,Waverley 007,1084
E02006446,Waverley 008,1195
E02006447,Waverley 009,1049
E02006448,Waverley 010,1064
E02006449,Waverley 011,1225
E02006450,Waverley 012,1076
E02006451,Waverley 013,2122
E02006453,Waverley 015,1551
