Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_outright
E02000462,Harrow 030,652
E02000463,Harrow 031,740
E02000464,Havering 001,756
E02000465,Havering 002,679
E02000466,Havering 003,1037
E02000467,Havering 004,573
E02000468,Havering 005,1121
E02000469,Havering 006,615
E02000470,Havering 007,1438
E02000471,Havering 008,1507
E02000472,Havering 009,1356
E02000473,Havering 010,1439
E02000474,Havering 011,1038
E02000475,Havering 012,1433
E02000476,Havering 013,758
E02000477,Havering 014,1615
E02000478,Havering 015,1111
E02000479,Havering 016,907
E02000480,Havering 017,1110
E02000481,Havering 018,1484
E02000482,Havering 019,1308
E02000483,Havering 020,1272
E02000484,Havering 021,1363
E02000485,Havering 022,1315
E02000486,Havering 023,1299
E02000487,Havering 024,1603
E02000488,Havering 025,1497
E02000489,Havering 026,1138
E02000490,Havering 027,1216
E02000491,Havering 028,1018
E02000492,Havering 029,1244
E02000493,Havering 030,668
E02000494,Hillingdon 001,1161
E02000495,Hillingdon 002,1238
E02000496,Hillingdon 003,1049
E02000497,Hillingdon 004,1172
E02000498,Hillingdon 005,943
E02000499,Hillingdon 006,1338
E02000500,Hillingdon 007,1322
E02000501,Hillingdon 008,1211
E02000502,Hillingdon 009,1114
E02000503,Hillingdon 010,1184
E02000504,Hillingdon 011,1287
E02000506,Hillingdon 013,1287
E02000507,Hillingdon 014,866
E02000508,Hillingdon 015,772
E02000509,Hillingdon 016,661
E02000510,Hillingdon 017,1011
E02000511,Hillingdon 018,990
E02000512,Hillingdon 019,607
E02000513,Hillingdon 020,535
E02000514,Hillingdon 021,856
E02000515,Hillingdon 022,887
E02000516,Hillingdon 023,657
E02000517,Hillingdon 024,588
E02000518,Hillingdon 025,649
E02000519,Hillingdon 026,508
E02000520,Hillingdon 027,720
E02000521,Hillingdon 028,658
E02000522,Hillingdon 029,745
E02000523,Hillingdon 030,746
E02000524,Hillingdon 031,601
E02000525,Hillingdon 032,609
E02000526,Hounslow 001,978
E02000529,Hounslow 004,643
E02000530,Hounslow 005,355
E02000531,Hounslow 006,950
E02000532,Hounslow 007,1079
E02000533,Hounslow 008,925
E02000534,Hounslow 009,833
E02000535,Hounslow 010,909
E02000536,Hounslow 011,839
E02000537,Hounslow 012,909
E02000538,Hounslow 013,669
E02000539,Hounslow 014,815
E02000540,Hounslow 015,767
E02000541,Hounslow 016,682
E02000542,Hounslow 017,635
E02000543,Hounslow 018,759
E02000544,Hounslow 019,1007
E02000545,Hounslow 020,648
E02000546,Hounslow 021,727
E02000547,Hounslow 022,844
E02000548,Hounslow 023,549
E02000549,Hounslow 024,1033
E02000550,Hounslow 025,494
E02000551,Hounslow 026,500
E02000552,Hounslow 027,738
E02000553,Hounslow 028,691
E02000554,Islington 001,385
E02000555,Islington 002,589
E02000556,Islington 003,555
E02000557,Islington 004,388
E02000558,Islington 005,257
E02000559,Islington 006,635
E02000560,Islington 007,400
E02000561,Islington 008,691
E02000562,Islington 009,503
E02000563,Islington 010,337
E02000564,Islington 011,493
E02000565,Islington 012,317
E02000566,Islington 013,666
E02000567,Islington 014,551
E02000568,Islington 015,325
E02000569,Islington 016,536
E02000570,Islington 017,738
E02000571,Islington 018,419
E02000572,Islington 019,209
E02000573,Islington 020,798
E02000574,Islington 021,445
E02000575,Islington 022,559
E02000576,Islington 023,354
E02000577,Kensington and Chelsea 001,156
E02000578,Kensington and Chelsea 002,140
E02000579,Kensington and Chelsea 003,583
E02000580,Kensington and Chelsea 004,349
E02000581,Kensington and Chelsea 005,199
E02000582,Kensington and Chelsea 006,763
E02000583,Kensington and Chelsea 007,786
E02000584,Kensington and Chelsea 008,1015
E02000585,Kensington and Chelsea 009,844
E02000586,Kensington and Chelsea 010,843
E02000587,Kensington and Chelsea 011,871
E02000588,Kensington and Chelsea 012,728
E02000589,Kensington and Chelsea 013,665
E02000590,Kensington and Chelsea 014,576
E02000591,Kensington and Chelsea 015,456
E02000592,Kensington and Chelsea 016,723
E02000593,Kensington and Chelsea 017,640
E02000594,Kensington and Chelsea 018,805
E02000595,Kensington and Chelsea 019,914
E02000596,Kensington and Chelsea 020,790
E02000597,Kensington and Chelsea 021,456
E02000598,Kingston upon Thames 001,1137
E02000599,Kingston upon Thames 002,996
E02000600,Kingston upon Thames 003,798
E02000601,Kingston upon Thames 004,1129
E02000602,Kingston upon Thames 005,660
E02000603,Kingston upon Thames 006,648
E02000604,Kingston upon Thames 007,1011
E02000605,Kingston upon Thames 008,1103
E02000606,Kingston upon Thames 009,1018
E02000607,Kingston upon Thames 010,750
E02000608,Kingston upon Thames 011,599
E02000609,Kingston upon Thames 012,980
E02000610,Kingston upon Thames 013,661
E02000611,Kingston upon Thames 014,1200
E02000612,Kingston upon Thames 015,1277
E02000613,Kingston upon Thames 016,798
E02000614,Kingston upon Thames 017,863
E02000615,Kingston upon Thames 018,1053
E02000616,Kingston upon Thames 019,843
E02000617,Kingston upon Thames 020,994
E02000619,Lambeth 002,418
E02000620,Lambeth 003,506
E02000621,Lambeth 004,655
E02000622,Lambeth 005,388
E02000623,Lambeth 006,303
E02000624,Lambeth 007,339
E02000625,Lambeth 008,216
E02000626,Lambeth 009,170
E02000627,Lambeth 010,375
E02000628,Lambeth 011,249
E02000629,Lambeth 012,480
E02000630,Lambeth 013,545
E02000631,Lambeth 014,549
E02000632,Lambeth 015,453
E02000633,Lambeth 016,366
E02000634,Lambeth 017,276
E02000635,Lambeth 018,485
E02000636,Lambeth 019,583
E02000637,Lambeth 020,566
E02000638,Lambeth 021,378
E02000639,Lambeth 022,267
E02000640,Lambeth 023,598
E02000641,Lambeth 024,238
E02000642,Lambeth 025,634
E02000643,Lambeth 026,492
E02000644,Lambeth 027,582
E02000645,Lambeth 028,614
E02000646,Lambeth 029,703
E02000647,Lambeth 030,727
E02000648,Lambeth 031,331
E02000649,Lambeth 032,596
E02000650,Lambeth 033,372
E02000651,Lambeth 034,643
E02000652,Lambeth 035,677
E02000653,Lewisham 001,300
E02000654,Lewisham 002,195
E02000655,Lewisham 003,323
E02000657,Lewisham 005,405
E02000658,Lewisham 006,442
E02000659,Lewisham 007,541
E02000660,Lewisham 008,436
E02000661,Lewisham 009,612
E02000662,Lewisham 010,342
E02000663,Lewisham 011,586
E02000665,Lewisham 013,632
E02000666,Lewisham 014,542
E02000667,Lewisham 015,614
E02000668,Lewisham 016,692
E02000669,Lewisham 017,501
E02000670,Lewisham 018,437
E02000671,Lewisham 019,644
E02000672,Lewisham 020,536
E02000673,Lewisham 021,707
E02000674,Lewisham 022,758
E02000675,Lewisham 023,880
E02000676,Lewisham 024,582
E02000677,Lewisham 025,708
E02000678,Lewisham 026,463
E02000679,Lewisham 027,617
E02000680,Lewisham 028,459
E02000681,Lewisham 029,577
E02000682,Lewisham 030,618
E02000683,Lewisham 031,423
E02000685,Lewisham 033,541
E02000686,Lewisham 034,309
E02000687,Lewisham 035,638
E02000689,Merton 001,884
E02000690,Merton 002,1021
E02000691,Merton 003,700
E02000692,Merton 004,1006
E02000693,Merton 005,698
E02000694,Merton 006,720
E02000695,Merton 007,916
E02000696,Merton 008,512
E02000697,Merton 009,807
E02000698,Merton 010,1150
E02000699,Merton 011,896
E02000700,Merton 012,520
E02000701,Merton 013,719
E02000702,Merton 014,630
E02000703,Merton 015,1181
E02000704,Merton 016,779
E02000705,Merton 017,932
E02000706,Merton 018,488
E02000707,Merton 019,584
E02000708,Merton 020,1047
E02000709,Merton 021,1196
E02000710,Merton 022,840
E02000711,Merton 023,647
E02000712,Merton 024,757
E02000713,Merton 025,1069
E02000714,Newham 001,411
E02000715,Newham 002,312
E02000716,Newham 003,378
E02000717,Newham 004,397
E02000718,Newham 005,306
E02000719,Newham 006,347
E02000720,Newham 007,527
E02000721,Newham 008,531
E02000722,Newham 009,347
E02000723,Newham 010,785
E02000724,Newham 011,595
E02000725,Newham 012,318
E02000727,Newham 014,495
E02000728,Newham 015,470
E02000729,Newham 016,439
E02000730,Newham 017,633
E02000731,Newham 018,546
E02000732,Newham 019,293
E02000733,Newham 020,398
E02000734,Newham 021,251
E02000735,Newham 022,384
E02000736,Newham 023,331
E02000737,Newham 024,532
E02000738,Newham 025,504
E02000739,Newham 026,308
E02000740,Newham 027,212
E02000741,Newham 028,453
E02000742,Newham 029,374
E02000743,Newham 030,280
E02000744,Newham 031,334
E02000745,Newham 032,323
E02000746,Newham 033,171
E02000747,Newham 034,310
E02000748,Newham 035,282
E02000749,Newham 036,219
E02000751,Redbridge 001,1834
E02000752,Redbridge 002,617
E02000753,Redbridge 003,596
E02000754,Redbridge 004,777
E02000755,Redbridge 005,650
E02000756,Redbridge 006,1485
E02000757,Redbridge 007,1366
E02000758,Redbridge 008,773
E02000759,Redbridge 009,1265
E02000760,Redbridge 010,710
E02000762,Redbridge 012,813
E02000763,Redbridge 013,684
E02000764,Redbridge 014,1616
E02000765,Redbridge 015,682
E02000767,Redbridge 017,719
E02000768,Redbridge 018,846
E02000770,Redbridge 020,647
E02000772,Redbridge 022,558
E02000773,Redbridge 023,726
E02000774,Redbridge 024,622
E02000776,Redbridge 026,597
E02000777,Redbridge 027,818
E02000779,Redbridge 029,470
E02000781,Redbridge 031,1250
E02000782,Redbridge 032,504
E02000783,Redbridge 033,333
E02000784,Richmond upon Thames 001,1325
E02000785,Richmond upon Thames 002,1418
E02000786,Richmond upon Thames 003,1214
E02000787,Richmond upon Thames 004,1118
E02000788,Richmond upon Thames 005,1121
E02000789,Richmond upon Thames 006,763
E02000790,Richmond upon Thames 007,743
E02000791,Richmond upon Thames 008,867
E02000792,Richmond upon Thames 009,894
E02000793,Richmond upon Thames 010,1102
E02000794,Richmond upon Thames 011,874
E02000795,Richmond upon Thames 012,1033
E02000796,Richmond upon Thames 013,1278
E02000797,Richmond upon Thames 014,865
E02000798,Richmond upon Thames 015,1260
E02000799,Richmond upon Thames 016,888
E02000800,Richmond upon Thames 017,642
E02000801,Richmond upon Thames 018,971
E02000802,Richmond upon Thames 019,981
E02000803,Richmond upon Thames 020,1258
E02000804,Richmond upon Thames 021,1007
E02000805,Richmond upon Thames 022,1413
E02000806,Richmond upon Thames 023,1500
E02000807,Southwark 001,552
E02000808,Southwark 002,437
E02000810,Southwark 004,381
E02000812,Southwark 006,314
E02000813,Southwark 007,333
E02000814,Southwark 008,565
E02000815,Southwark 009,208
E02000816,Southwark 010,315
E02000817,Southwark 011,155
E02000818,Southwark 012,280
E02000819,Southwark 013,207
E02000820,Southwark 014,352
E02000821,Southwark 015,156
E02000822,Southwark 016,129
E02000823,Southwark 017,322
E02000824,Southwark 018,203
E02000825,Southwark 019,138
E02000826,Southwark 020,267
E02000827,Southwark 021,293
E02000828,Southwark 022,230
