Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom
E02000318,Greenwich 006,596
E02000319,Greenwich 007,710
E02000320,Greenwich 008,285
E02000321,Greenwich 009,786
E02000323,Greenwich 011,1315
E02000324,Greenwich 012,543
E02000326,Greenwich 014,430
E02000327,Greenwich 015,743
E02000328,Greenwich 016,752
E02000329,Greenwich 017,283
E02000331,Greenwich 019,580
E02000332,Greenwich 020,355
E02000333,Greenwich 021,732
E02000334,Greenwich 022,291
E02000335,Greenwich 023,159
E02000337,Greenwich 025,238
E02000339,Greenwich 027,413
E02000340,Greenwich 028,553
E02000341,Greenwich 029,269
E02000342,Greenwich 030,368
E02000343,Greenwich 031,371
E02000344,Greenwich 032,229
E02000345,Hackney 001,705
E02000346,Hackney 002,1272
E02000347,Hackney 003,620
E02000348,Hackney 004,686
E02000350,Hackney 006,1130
E02000351,Hackney 007,1435
E02000352,Hackney 008,697
E02000353,Hackney 009,809
E02000354,Hackney 010,1383
E02000355,Hackney 011,757
E02000356,Hackney 012,916
E02000357,Hackney 013,727
E02000358,Hackney 014,1444
E02000359,Hackney 015,437
E02000360,Hackney 016,1496
E02000361,Hackney 017,1323
E02000362,Hackney 018,771
E02000363,Hackney 019,1111
E02000364,Hackney 020,1282
E02000366,Hackney 022,1039
E02000367,Hackney 023,1300
E02000368,Hackney 024,1228
E02000369,Hackney 025,1769
E02000370,Hackney 026,1371
E02000372,Hammersmith and Fulham 001,1197
E02000373,Hammersmith and Fulham 002,503
E02000374,Hammersmith and Fulham 003,507
E02000375,Hammersmith and Fulham 004,1441
E02000376,Hammersmith and Fulham 005,1343
E02000377,Hammersmith and Fulham 006,1336
E02000378,Hammersmith and Fulham 007,1489
E02000379,Hammersmith and Fulham 008,872
E02000380,Hammersmith and Fulham 009,755
E02000381,Hammersmith and Fulham 010,1257
E02000382,Hammersmith and Fulham 011,932
E02000383,Hammersmith and Fulham 012,1542
E02000384,Hammersmith and Fulham 013,1439
E02000385,Hammersmith and Fulham 014,1181
E02000386,Hammersmith and Fulham 015,1152
E02000387,Hammersmith and Fulham 016,763
E02000388,Hammersmith and Fulham 017,1500
E02000389,Hammersmith and Fulham 018,730
