Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_bedroom
E02004753,Hart 003,229
E02004754,Hart 004,232
E02004755,Hart 005,659
E02004756,Hart 006,277
E02004757,Hart 007,125
E02004758,Hart 008,297
E02004759,Hart 009,212
E02004760,Hart 010,284
E02004761,Hart 011,149
E02004764,Havant 003,316
E02004765,Havant 004,306
E02004766,Havant 005,517
E02004767,Havant 006,295
E02004768,Havant 007,278
E02004769,Havant 008,212
E02004770,Havant 009,399
E02004771,Havant 010,386
E02004772,Havant 011,402
E02004774,Havant 013,348
E02004775,Havant 014,568
E02004776,Havant 015,156
E02004777,Havant 016,364
E02004778,Havant 017,334
E02004779,New Forest 001,387
E02004780,New Forest 002,225
E02004781,New Forest 003,342
E02004782,New Forest 004,421
E02004783,New Forest 005,195
E02004784,New Forest 006,86
E02004785,New Forest 007,212
E02004786,New Forest 008,385
E02004787,New Forest 009,297
E02004788,New Forest 010,108
E02004789,New Forest 011,294
E02004790,New Forest 012,563
E02004791,New Forest 013,102
E02004792,New Forest 014,255
E02004793,New Forest 015,155
E02004794,New Forest 016,107
E02004795,New Forest 017,466
E02004796,New Forest 018,188
E02004797,New Forest 019,425
E02004798,New Forest 020,411
E02004799,New Forest 021,481
E02004800,New Forest 022,171
E02004801,New Forest 023,227
E02004802,Rushmoor 001,212
E02004803,Rushmoor 002,280
E02004804,Rushmoor 003,170
E02004805,Rushmoor 004,337
E02004806,Rushmoor 005,156
E02004807,Rushmoor 006,465
E02004808,Rushmoor 007,990
E02004809,Rushmoor 008,994
E02004810,Rushmoor 009,361
E02004811,Rushmoor 010,810
E02004812,Rushmoor 011,214
E02004813,Rushmoor 012,363
E02004814,Test Valley 001,144
E02004815,Test Valley 002,296
E02004817,Test Valley 004,383
E02004818,Test Valley 005,282
E02004819,Test Valley 006,346
E02004820,Test Valley 007,161
E02004821,Test Valley 008,103
E02004822,Test Valley 009,254
E02004823,Test Valley 010,296
E02004824,Test Valley 011,520
E02004825,Test Valley 012,319
E02004826,Test Valley 013,222
E02004827,Test Valley 014,61
E02004828,Test Valley 015,195
E02004829,Winchester 001,130
E02004830,Winchester 002,187
E02004831,Winchester 003,177
E02004832,Winchester 004,294
E02004833,Winchester 005,315
E02004834,Winchester 006,779
E02004835,Winchester 007,1127
E02004836,Winchester 008,346
E02004837,Winchester 009,196
E02004838,Winchester 010,303
E02004839,Winchester 011,193
E02004840,Winchester 012,404
E02004841,Winchester 013,430
E02004842,Winchester 014,347
E02004843,Broxbourne 001,58
E02004844,Broxbourne 002,224
E02004845,Broxbourne 003,839
E02004846,Broxbourne 004,152
E02004847,Broxbourne 005,615
E02004848,Broxbourne 006,140
E02004849,Broxbourne 007,91
E02004850,Broxbourne 008,382
E02004851,Broxbourne 009,325
E02004852,Broxbourne 010,362
E02004853,Broxbourne 011,341
E02004854,Broxbourne 012,387
E02004855,Broxbourne 013,949
E02004856,Dacorum 001,217
E02004857,Dacorum 002,226
E02004858,Dacorum 003,270
E02004859,Dacorum 004,193
E02004860,Dacorum 005,317
E02004861,Dacorum 006,273
E02004862,Dacorum 007,552
E02004863,Dacorum 008,576
E02004864,Dacorum 009,263
E02004865,Dacorum 010,408
E02004866,Dacorum 011,359
E02004867,Dacorum 012,298
E02004868,Dacorum 013,488
E02004869,Dacorum 014,205
E02004870,Dacorum 015,1238
E02004871,Dacorum 016,191
E02004872,Dacorum 017,161
E02004873,Dacorum 018,683
E02004874,Dacorum 019,226
E02004875,Dacorum 020,414
E02004876,Dacorum 021,265
E02004877,Dacorum 022,198
E02004878,East Hertfordshire 001,247
E02004880,East Hertfordshire 003,254
E02004881,East Hertfordshire 004,488
E02004882,East Hertfordshire 005,304
E02004883,East Hertfordshire 006,206
E02004884,East Hertfordshire 007,740
E02004885,East Hertfordshire 008,163
E02004886,East Hertfordshire 009,207
E02004887,East Hertfordshire 010,269
E02004888,East Hertfordshire 011,390
E02004889,East Hertfordshire 012,636
E02004890,East Hertfordshire 013,536
E02004891,East Hertfordshire 014,326
E02004892,East Hertfordshire 015,416
E02004893,East Hertfordshire 016,254
E02004894,East Hertfordshire 017,794
E02004895,East Hertfordshire 018,466
E02004896,Hertsmere 001,347
E02004897,Hertsmere 002,169
E02004898,Hertsmere 003,398
E02004899,Hertsmere 004,181
E02004900,Hertsmere 005,256
E02004901,Hertsmere 006,821
E02004902,Hertsmere 007,339
E02004903,Hertsmere 008,297
E02004904,Hertsmere 009,606
E02004905,Hertsmere 010,189
E02004906,Hertsmere 011,663
E02004907,Hertsmere 012,630
E02004908,Hertsmere 013,398
E02004909,North Hertfordshire 001,415
E02004910,North Hertfordshire 002,389
E02004911,North Hertfordshire 003,562
E02004912,North Hertfordshire 004,666
E02004914,North Hertfordshire 006,488
E02004915,North Hertfordshire 007,424
E02004916,North Hertfordshire 008,272
E02004917,North Hertfordshire 009,311
E02004918,North Hertfordshire 010,728
E02004919,North Hertfordshire 011,386
E02004920,North Hertfordshire 012,751
E02004921,North Hertfordshire 013,317
E02004922,North Hertfordshire 014,291
E02004923,North Hertfordshire 015,386
E02004924,St Albans 001,177
E02004925,St Albans 002,267
E02004926,St Albans 003,290
E02004927,St Albans 004,135
E02004928,St Albans 005,99
E02004929,St Albans 006,209
E02004930,St Albans 007,401
E02004931,St Albans 008,314
E02004932,St Albans 009,279
E02004933,St Albans 010,96
E02004934,St Albans 011,645
E02004935,St Albans 012,1226
E02004936,St Albans 013,218
E02004937,St Albans 014,178
E02004939,St Albans 016,325
E02004940,St Albans 017,453
E02004941,St Albans 018,459
E02004942,St Albans 019,266
E02004943,St Albans 020,248
E02004944,Stevenage 001,513
E02004945,Stevenage 002,442
E02004946,Stevenage 003,586
E02004948,Stevenage 005,631
E02004949,Stevenage 006,980
E02004950,Stevenage 007,143
E02004951,Stevenage 008,803
E02004952,Stevenage 009,428
E02004953,Stevenage 010,203
E02004954,Stevenage 011,476
E02004955,Stevenage 012,229
E02004956,Three Rivers 001,578
E02004957,Three Rivers 002,474
E02004958,Three Rivers 003,209
E02004959,Three Rivers 004,284
E02004960,Three Rivers 005,131
E02004961,Three Rivers 006,250
E02004962,Three Rivers 007,420
E02004963,Three Rivers 008,288
E02004964,Three Rivers 009,213
E02004965,Three Rivers 010,178
E02004966,Three Rivers 011,132
E02004967,Three Rivers 012,874
E02004968,Watford 001,412
E02004969,Watford 002,285
E02004970,Watford 003,503
E02004971,Watford 004,456
E02004972,Watford 005,264
E02004973,Watford 006,638
E02004974,Watford 007,546
E02004975,Watford 008,252
E02004976,Watford 009,1973
E02004977,Watford 010,553
E02004978,Watford 011,876
E02004979,Watford 012,424
E02004980,Welwyn Hatfield 001,87
E02004981,Welwyn Hatfield 002,261
E02004982,Welwyn Hatfield 003,93
E02004983,Welwyn Hatfield 004,377
E02004984,Welwyn Hatfield 005,760
E02004985,Welwyn Hatfield 006,566
E02004986,Welwyn Hatfield 007,779
E02004987,Welwyn Hatfield 008,297
E02004988,Welwyn Hatfield 009,399
E02004989,Welwyn Hatfield 010,585
E02004990,Welwyn Hatfield 011,423
E02004991,Welwyn Hatfield 012,634
E02004992,Welwyn Hatfield 013,317
E02004994,Welwyn Hatfield 015,39
E02004995,Welwyn Hatfield 016,73
E02004996,Ashford 001,235
E02004997,Ashford 002,226
E02004998,Ashford 003,97
E02005000,Ashford 005,869
E02005001,Ashford 006,221
E02005002,Ashford 007,496
E02005003,Ashford 008,307
E02005004,Ashford 009,251
E02005005,Ashford 010,161
E02005006,Ashford 011,127
E02005007,Ashford 012,211
E02005008,Ashford 013,395
E02005009,Ashford 014,156
E02005010,Canterbury 001,1165
E02005011,Canterbury 002,212
E02005012,Canterbury 003,412
E02005013,Canterbury 004,308
E02005014,Canterbury 005,140
E02005015,Canterbury 006,184
E02005016,Canterbury 007,297
E02005017,Canterbury 008,389
E02005018,Canterbury 009,175
E02005019,Canterbury 010,140
E02005020,Canterbury 011,229
E02005021,Canterbury 012,205
E02005022,Canterbury 013,293
E02005023,Canterbury 014,773
E02005025,Canterbury 016,469
E02005026,Canterbury 017,148
E02005027,Canterbury 018,137
E02005028,Dartford 001,933
E02005029,Dartford 002,622
E02005030,Dartford 003,824
E02005031,Dartford 004,592
E02005032,Dartford 005,638
E02005033,Dartford 006,639
E02005034,Dartford 007,25
E02005035,Dartford 008,242
E02005036,Dartford 009,449
E02005037,Dartford 010,59
E02005038,Dartford 011,163
E02005039,Dartford 012,216
E02005040,Dartford 013,102
E02005041,Dover 001,135
E02005042,Dover 002,265
E02005043,Dover 003,378
E02005044,Dover 004,488
E02005045,Dover 005,206
E02005046,Dover 006,171
E02005047,Dover 007,319
E02005048,Dover 008,97
E02005049,Dover 009,171
E02005050,Dover 010,152
E02005051,Dover 011,636
E02005052,Dover 012,965
E02005053,Dover 013,737
E02005054,Dover 014,153
E02005055,Gravesham 001,460
E02005056,Gravesham 002,1842
E02005057,Gravesham 003,554
E02005058,Gravesham 004,279
E02005059,Gravesham 005,352
E02005060,Gravesham 006,324
E02005061,Gravesham 007,371
E02005062,Gravesham 008,28
E02005063,Gravesham 009,108
E02005064,Gravesham 010,104
E02005065,Gravesham 011,385
E02005066,Gravesham 012,103
E02005067,Gravesham 013,89
E02005068,Maidstone 001,111
E02005069,Maidstone 002,200
E02005070,Maidstone 003,101
E02005071,Maidstone 004,1611
E02005072,Maidstone 005,125
E02005073,Maidstone 006,1239
E02005074,Maidstone 007,203
E02005075,Maidstone 008,308
E02005076,Maidstone 009,450
E02005077,Maidstone 010,228
E02005078,Maidstone 011,228
E02005079,Maidstone 012,164
E02005080,Maidstone 013,671
E02005081,Maidstone 014,252
E02005082,Maidstone 015,297
E02005083,Maidstone 016,186
E02005084,Maidstone 017,161
E02005085,Maidstone 018,225
E02005086,Maidstone 019,115
E02005087,Sevenoaks 001,124
E02005088,Sevenoaks 002,751
E02005089,Sevenoaks 003,183
E02005090,Sevenoaks 004,254
E02005091,Sevenoaks 005,296
E02005093,Sevenoaks 007,213
E02005094,Sevenoaks 008,398
E02005095,Sevenoaks 009,97
E02005096,Sevenoaks 010,522
E02005097,Sevenoaks 011,92
E02005098,Sevenoaks 012,577
E02005099,Sevenoaks 013,231
E02005100,Sevenoaks 014,435
E02005101,Sevenoaks 015,189
E02005102,Folkestone and Hythe 001,144
E02005103,Folkestone and Hythe 002,150
E02005104,Folkestone and Hythe 003,367
E02005105,Folkestone and Hythe 004,445
E02005106,Folkestone and Hythe 005,318
E02005107,Folkestone and Hythe 006,401
E02005109,Folkestone and Hythe 008,148
E02005110,Folkestone and Hythe 009,83
E02005111,Folkestone and Hythe 010,580
E02005112,Folkestone and Hythe 011,148
E02005113,Folkestone and Hythe 012,220
E02005114,Folkestone and Hythe 013,142
E02005115,Swale 001,399
E02005116,Swale 002,377
E02005117,Swale 003,189
E02005118,Swale 004,263
E02005119,Swale 005,185
E02005120,Swale 006,206
E02005121,Swale 007,324
E02005122,Swale 008,180
E02005123,Swale 009,288
E02005124,Swale 010,893
E02005125,Swale 011,292
E02005126,Swale 012,165
E02005127,Swale 013,167
E02005128,Swale 014,264
E02005129,Swale 015,625
E02005130,Swale 016,255
E02005131,Swale 017,126
E02005132,Thanet 001,1627
E02005133,Thanet 002,189
E02005134,Thanet 003,759
E02005135,Thanet 004,336
E02005136,Thanet 005,256
E02005137,Thanet 006,326
E02005138,Thanet 007,802
E02005139,Thanet 008,313
E02005140,Thanet 009,222
E02005141,Thanet 010,436
E02005142,Thanet 011,226
E02005143,Thanet 012,226
E02005144,Thanet 013,418
E02005145,Thanet 014,247
E02005146,Thanet 015,318
E02005147,Thanet 016,1578
E02005148,Thanet 017,200
E02005149,Tonbridge and Malling 001,287
E02005150,Tonbridge and Malling 002,599
E02005151,Tonbridge and Malling 003,301
E02005153,Tonbridge and Malling 005,335
E02005154,Tonbridge and Malling 006,229
E02005155,Tonbridge and Malling 007,184
E02005156,Tonbridge and Malling 008,178
E02005157,Tonbridge and Malling 009,325
E02005158,Tonbridge and Malling 010,144
E02005159,Tonbridge and Malling 011,158
E02005160,Tonbridge and Malling 012,874
E02005161,Tonbridge and Malling 013,383
E02005162,Tunbridge Wells 001,374
E02005163,Tunbridge Wells 002,231
E02005164,Tunbridge Wells 003,582
E02005165,Tunbridge Wells 004,332
E02005166,Tunbridge Wells 005,505
E02005167,Tunbridge Wells 006,168
E02005168,Tunbridge Wells 007,522
E02005169,Tunbridge Wells 008,1665
E02005170,Tunbridge Wells 009,599
E02005171,Tunbridge Wells 010,424
E02005172,Tunbridge Wells 011,201
E02005173,Tunbridge Wells 012,516
E02005174,Tunbridge Wells 013,224
E02005175,Tunbridge Wells 014,347
E02005503,Breckland 001,86
E02005504,Breckland 002,124
E02005505,Breckland 003,311
E02005506,Breckland 004,112
E02005507,Breckland 005,620
E02005508,Breckland 006,165
E02005509,Breckland 007,358
E02005510,Breckland 008,134
E02005511,Breckland 009,280
E02005512,Breckland 010,105
E02005513,Breckland 011,391
E02005514,Breckland 012,90
E02005515,Breckland 013,114
E02005516,Breckland 014,122
E02005517,Breckland 015,345
E02005518,Breckland 016,477
E02005519,Breckland 017,291
E02005520,Broadland 001,289
E02005521,Broadland 002,221
E02005522,Broadland 003,101
E02005523,Broadland 004,148
E02005524,Broadland 005,132
E02005525,Broadland 006,244
E02005526,Broadland 007,137
E02005527,Broadland 008,176
E02005528,Broadland 009,185
E02005529,Broadland 010,119
E02005530,Broadland 011,146
E02005531,Broadland 012,161
E02005532,Broadland 013,258
E02005533,Broadland 014,196
E02005534,Broadland 015,279
E02005535,Broadland 016,180
E02005536,Broadland 017,132
E02005537,Broadland 018,138
E02005538,Great Yarmouth 001,170
E02005539,Great Yarmouth 002,131
E02005540,Great Yarmouth 003,249
E02005541,Great Yarmouth 004,345
E02005542,Great Yarmouth 005,825
E02005543,Great Yarmouth 006,1127
E02005544,Great Yarmouth 007,406
E02005545,Great Yarmouth 008,188
E02005546,Great Yarmouth 009,530
E02005547,Great Yarmouth 010,347
E02005548,Great Yarmouth 011,282
E02005549,Great Yarmouth 012,135
E02005550,Great Yarmouth 013,271
E02005551,King's Lynn and West Norfolk 001,377
E02005552,King's Lynn and West Norfolk 002,122
E02005553,King's Lynn and West Norfolk 003,329
E02005554,King's Lynn and West Norfolk 004,207
E02005555,King's Lynn and West Norfolk 005,25
E02005556,King's Lynn and West Norfolk 006,160
E02005557,King's Lynn and West Norfolk 007,246
E02005558,King's Lynn and West Norfolk 008,143
E02005559,King's Lynn and West Norfolk 009,331
E02005560,King's Lynn and West Norfolk 010,451
E02005561,King's Lynn and West Norfolk 011,1369
E02005562,King's Lynn and West Norfolk 012,159
E02005563,King's Lynn and West Norfolk 013,149
E02005564,King's Lynn and West Norfolk 014,92
E02005565,King's Lynn and West Norfolk 015,117
E02005566,King's Lynn and West Norfolk 016,191
E02005567,King's Lynn and West Norfolk 017,478
E02005568,King's Lynn and West Norfolk 018,114
E02005569,King's Lynn and West Norfolk 019,105
E02005570,North Norfolk 001,368
E02005571,North Norfolk 002,189
E02005572,North Norfolk 003,658
E02005573,North Norfolk 004,210
E02005574,North Norfolk 005,141
E02005575,North Norfolk 006,104
E02005576,North Norfolk 007,204
E02005577,North Norfolk 008,125
E02005578,North Norfolk 009,127
E02005580,North Norfolk 011,395
E02005581,North Norfolk 012,84
E02005582,North Norfolk 013,293
E02005583,North Norfolk 014,183
E02005584,Norwich 001,714
E02005585,Norwich 002,649
E02005586,Norwich 003,749
E02005587,Norwich 004,336
E02005588,Norwich 005,541
E02005589,Norwich 006,525
E02005592,Norwich 009,607
E02005593,Norwich 010,311
E02005594,Norwich 011,1256
E02005595,Norwich 012,281
E02005596,Norwich 013,637
E02005598,South Norfolk 002,192
E02005599,South Norfolk 003,195
E02005600,South Norfolk 004,123
E02005601,South Norfolk 005,387
E02005602,South Norfolk 006,361
E02005603,South Norfolk 007,211
E02005604,South Norfolk 008,236
E02005605,South Norfolk 009,194
E02005606,South Norfolk 010,107
E02005607,South Norfolk 011,172
E02005608,South Norfolk 012,167
E02005609,South Norfolk 013,261
E02005610,South Norfolk 014,151
E02005611,South Norfolk 015,485
E02005921,Cherwell 001,211
E02005922,Cherwell 002,297
E02005923,Cherwell 003,260
E02005924,Cherwell 004,1518
E02005925,Cherwell 005,296
E02005926,Cherwell 006,393
E02005927,Cherwell 007,272
E02005928,Cherwell 008,179
E02005929,Cherwell 009,118
E02005930,Cherwell 010,164
E02005931,Cherwell 011,181
E02005932,Cherwell 012,283
E02005933,Cherwell 013,220
E02005934,Cherwell 014,163
E02005935,Cherwell 015,681
E02005936,Cherwell 016,259
E02005937,Cherwell 017,348
E02005938,Cherwell 018,129
E02005939,Cherwell 019,321
E02005940,Oxford 001,275
E02005941,Oxford 002,432
E02005942,Oxford 003,283
E02005943,Oxford 004,178
E02005944,Oxford 005,450
E02005945,Oxford 006,571
E02005946,Oxford 007,487
E02005947,Oxford 008,741
E02005948,Oxford 009,510
E02005949,Oxford 010,423
E02005950,Oxford 011,805
E02005951,Oxford 012,448
E02005953,Oxford 014,305
E02005954,Oxford 015,455
E02005955,Oxford 016,473
E02005956,Oxford 017,398
E02005957,Oxford 018,391
E02005958,South Oxfordshire 001,199
E02005959,South Oxfordshire 002,182
E02005960,South Oxfordshire 003,284
E02005961,South Oxfordshire 004,265
E02005962,South Oxfordshire 005,181
E02005963,South Oxfordshire 006,307
E02005964,South Oxfordshire 007,78
E02005965,South Oxfordshire 008,140
E02005966,South Oxfordshire 009,197
E02005967,South Oxfordshire 010,286
E02005968,South Oxfordshire 011,168
E02005969,South Oxfordshire 012,491
E02005970,South Oxfordshire 013,464
E02005971,South Oxfordshire 014,167
E02005972,South Oxfordshire 015,231
E02005973,South Oxfordshire 016,317
E02005974,South Oxfordshire 017,320
E02005975,South Oxfordshire 018,139
E02005976,South Oxfordshire 019,77
E02005977,South Oxfordshire 020,69
E02005978,Vale of White Horse 001,139
E02005979,Vale of White Horse 002,357
E02005980,Vale of White Horse 003,271
E02005981,Vale of White Horse 004,233
E02005982,Vale of White Horse 005,208
E02005983,Vale of White Horse 006,990
E02005984,Vale of White Horse 007,111
E02005985,Vale of White Horse 008,355
E02005986,Vale of White Horse 009,397
E02005987,Vale of White Horse 010,284
E02005988,Vale of White Horse 011,189
E02005991,Vale of White Horse 014,449
E02005992,Vale of White Horse 015,415
E02005993,West Oxfordshire 001,276
E02005994,West Oxfordshire 002,128
E02005995,West Oxfordshire 003,140
E02005996,West Oxfordshire 004,276
E02005997,West Oxfordshire 005,158
E02005998,West Oxfordshire 006,180
E02005999,West Oxfordshire 007,111
E02006000,West Oxfordshire 008,428
E02006001,West Oxfordshire 009,218
E02006002,West Oxfordshire 010,657
E02006003,West Oxfordshire 011,163
E02006004,West Oxfordshire 012,176
E02006005,West Oxfordshire 013,224
E02006006,West Oxfordshire 014,213
E02006007,West Oxfordshire 015,156
E02006227,Babergh 001,231
E02006228,Babergh 002,150
E02006229,Babergh 003,191
E02006230,Babergh 004,339
E02006231,Babergh 005,211
E02006232,Babergh 006,71
E02006233,Babergh 007,817
E02006234,Babergh 008,270
E02006235,Babergh 009,149
E02006236,Babergh 010,97
E02006237,Babergh 011,152
E02006238,West Suffolk 002,466
E02006239,West Suffolk 001,132
E02006240,West Suffolk 003,252
E02006241,West Suffolk 004,447
E02006242,West Suffolk 007,168
E02006243,West Suffolk 008,616
E02006245,Ipswich 001,260
E02006246,Ipswich 002,83
E02006247,Ipswich 003,271
E02006248,Ipswich 004,178
E02006249,Ipswich 005,470
E02006250,Ipswich 006,997
E02006251,Ipswich 007,1501
E02006252,Ipswich 008,519
E02006253,Ipswich 009,168
E02006254,Ipswich 010,851
E02006255,Ipswich 011,408
E02006256,Ipswich 012,741
E02006257,Ipswich 013,443
E02006258,Ipswich 014,263
E02006259,Ipswich 015,449
E02006260,Ipswich 016,224
E02006261,Mid Suffolk 001,182
E02006262,Mid Suffolk 002,160
E02006263,Mid Suffolk 003,177
E02006264,Mid Suffolk 004,159
E02006265,Mid Suffolk 005,203
E02006266,Mid Suffolk 006,289
E02006267,Mid Suffolk 007,157
E02006268,Mid Suffolk 008,314
E02006269,Mid Suffolk 009,184
E02006270,Mid Suffolk 010,380
E02006271,Mid Suffolk 011,338
E02006272,Mid Suffolk 012,215
E02006273,West Suffolk 005,116
E02006274,West Suffolk 006,119
E02006275,West Suffolk 009,341
E02006276,West Suffolk 016,156
E02006277,West Suffolk 012,227
E02006278,West Suffolk 011,946
E02006279,West Suffolk 014,339
E02006280,West Suffolk 010,142
E02006281,West Suffolk 013,630
E02006282,West Suffolk 017,134
E02006283,West Suffolk 018,82
E02006284,West Suffolk 019,355
E02006285,West Suffolk 021,240
E02006286,West Suffolk 020,462
E02006287,East Suffolk 016,98
E02006288,East Suffolk 017,219
E02006289,East Suffolk 018,304
E02006290,East Suffolk 019,408
E02006291,East Suffolk 020,283
E02006292,East Suffolk 021,58
E02006293,East Suffolk 023,180
E02006294,East Suffolk 022,397
E02006295,East Suffolk 024,183
E02006296,East Suffolk 025,284
E02006297,East Suffolk 026,89
E02006298,East Suffolk 027,248
E02006299,East Suffolk 028,213
E02006300,East Suffolk 029,761
E02006301,East Suffolk 030,591
E02006302,East Suffolk 001,164
E02006303,East Suffolk 002,511
E02006304,East Suffolk 003,221
E02006305,East Suffolk 004,608
E02006306,East Suffolk 005,294
E02006307,East Suffolk 007,121
E02006308,East Suffolk 006,1200
E02006309,East Suffolk 009,410
E02006310,East Suffolk 008,128
E02006311,East Suffolk 010,344
E02006312,East Suffolk 011,155
E02006313,East Suffolk 012,232
E02006314,East Suffolk 013,254
E02006315,East Suffolk 014,191
E02006316,East Suffolk 015,279
E02006317,Elmbridge 001,165
E02006318,Elmbridge 002,289
E02006319,Elmbridge 003,447
E02006320,Elmbridge 004,498
E02006321,Elmbridge 005,165
E02006322,Elmbridge 006,228
E02006323,Elmbridge 007,598
E02006324,Elmbridge 008,181
E02006325,Elmbridge 009,168
E02006326,Elmbridge 010,451
E02006327,Elmbridge 011,244
E02006328,Elmbridge 012,749
E02006329,Elmbridge 013,241
E02006330,Elmbridge 014,540
E02006331,Elmbridge 015,141
E02006332,Elmbridge 016,178
E02006333,Elmbridge 017,380
E02006334,Elmbridge 018,157
E02006335,Epsom and Ewell 001,269
E02006336,Epsom and Ewell 002,243
E02006337,Epsom and Ewell 003,89
E02006338,Epsom and Ewell 004,60
E02006339,Epsom and Ewell 005,338
E02006341,Epsom and Ewell 007,647
E02006342,Epsom and Ewell 008,916
E02006343,Epsom and Ewell 009,73
E02006344,Guildford 001,212
E02006345,Guildford 002,126
E02006346,Guildford 003,149
E02006347,Guildford 004,285
E02006348,Guildford 005,174
E02006349,Guildford 006,432
E02006350,Guildford 007,367
E02006351,Guildford 008,528
E02006352,Guildford 009,150
E02006353,Guildford 010,344
E02006354,Guildford 011,319
E02006355,Guildford 012,309
E02006356,Guildford 013,1668
E02006357,Guildford 014,263
E02006358,Guildford 015,505
E02006359,Guildford 016,380
E02006360,Guildford 017,262
E02006361,Guildford 018,97
E02006362,Mole Valley 001,185
E02006363,Mole Valley 002,223
E02006364,Mole Valley 003,938
E02006365,Mole Valley 004,345
E02006366,Mole Valley 005,156
E02006367,Mole Valley 006,327
E02006368,Mole Valley 007,242
E02006369,Mole Valley 008,294
E02006370,Mole Valley 009,465
E02006371,Mole Valley 010,574
E02006372,Mole Valley 011,381
E02006373,Mole Valley 012,304
E02006374,Mole Valley 013,373
E02006375,Reigate and Banstead 001,105
E02006376,Reigate and Banstead 002,271
E02006377,Reigate and Banstead 003,74
E02006378,Reigate and Banstead 004,143
E02006379,Reigate and Banstead 005,393
E02006380,Reigate and Banstead 006,144
E02006381,Reigate and Banstead 007,142
E02006382,Reigate and Banstead 008,339
E02006383,Reigate and Banstead 009,444
E02006384,Reigate and Banstead 010,829
E02006385,Reigate and Banstead 011,1083
E02006386,Reigate and Banstead 012,434
E02006387,Reigate and Banstead 013,204
E02006388,Reigate and Banstead 014,450
E02006389,Reigate and Banstead 015,230
E02006390,Reigate and Banstead 016,245
E02006391,Reigate and Banstead 017,160
E02006392,Reigate and Banstead 018,741
E02006393,Runnymede 001,547
E02006394,Runnymede 002,603
E02006395,Runnymede 003,594
E02006396,Runnymede 004,272
E02006397,Runnymede 005,138
E02006398,Runnymede 006,772
E02006399,Runnymede 007,709
E02006400,Runnymede 008,312
E02006401,Runnymede 009,716
E02006402,Runnymede 010,205
E02006403,Spelthorne 001,715
E02006404,Spelthorne 002,322
E02006405,Spelthorne 003,492
E02006406,Spelthorne 004,999
E02006407,Spelthorne 005,374
E02006408,Spelthorne 006,543
E02006409,Spelthorne 007,354
E02006410,Spelthorne 008,422
E02006411,Spelthorne 009,250
E02006412,Spelthorne 010,261
E02006413,Spelthorne 011,355
E02006414,Spelthorne 012,175
E02006415,Spelthorne 013,347
E02006416,Surrey Heath 001,241
E02006417,Surrey Heath 002,321
E02006418,Surrey Heath 003,231
E02006419,Surrey Heath 004,396
E02006420,Surrey Heath 005,247
E02006421,Surrey Heath 006,190
E02006422,Surrey Heath 007,138
E02006423,Surrey Heath 008,674
E02006424,Surrey Heath 009,99
E02006425,Surrey Heath 010,227
E02006426,Surrey Heath 011,108
E02006427,Surrey Heath 012,262
E02006429,Tandridge 002,534
E02006430,Tandridge 003,341
E02006431,Tandridge 004,507
E02006432,Tandridge 005,253
E02006433,Tandridge 006,292
E02006434,Tandridge 007,221
E02006435,Tandridge 008,227
E02006436,Tandridge 009,256
E02006437,Tandridge 010,295
E02006438,Tandridge 011,236
E02006439,Waverley 001,333
E02006440,Waverley 002,126
E02006441,Waverley 003,644
E02006442,Waverley 004,152
E02006443,Waverley 005,494
E02006444,Waverley 006,204
E02006445,Waverley 007,605
E02006446,Waverley 008,251
E02006447,Waverley 009,167
E02006448,Waverley 010,190
E02006449,Waverley 011,324
E02006450,Waverley 012,191
E02006451,Waverley 013,530
E02006453,Waverley 015,296
E02006454,Waverley 016,294
E02006455,Waverley 017,440
E02006456,Woking 001,297
E02006457,Woking 002,249
E02006458,Woking 003,235
E02006459,Woking 004,679
E02006460,Woking 005,797
E02006461,Woking 006,326
E02006462,Woking 007,371
E02006463,Woking 008,1485
E02006464,Woking 009,432
E02006465,Woking 010,277
E02006466,Woking 011,341
E02006467,Woking 012,97
E02006534,Adur 001,180
E02006535,Adur 002,119
E02006536,Adur 003,141
E02006537,Adur 004,592
E02006538,Adur 005,644
E02006539,Adur 006,364
E02006540,Adur 007,397
E02006541,Adur 008,706
E02006542,Arun 001,239
E02006543,Arun 002,147
E02006544,Arun 003,279
E02006545,Arun 004,422
E02006546,Arun 005,338
E02006547,Arun 006,184
E02006548,Arun 007,346
E02006549,Arun 008,127
E02006550,Arun 009,336
E02006551,Arun 010,382
E02006552,Arun 011,1346
E02006553,Arun 012,315
E02006554,Arun 013,316
E02006555,Arun 014,615
E02006556,Arun 015,221
E02006557,Arun 016,485
E02006558,Arun 017,2051
E02006559,Arun 018,133
E02006560,Arun 019,266
E02006561,Chichester 001,181
E02006562,Chichester 002,127
E02006563,Chichester 003,143
E02006564,Chichester 004,474
E02006565,Chichester 005,235
E02006566,Chichester 006,202
E02006567,Chichester 007,170
E02006568,Chichester 008,832
E02006569,Chichester 009,262
E02006570,Chichester 010,987
E02006571,Chichester 011,254
E02006572,Chichester 012,514
E02006573,Chichester 013,313
E02006574,Chichester 014,497
E02006575,Crawley 001,287
E02006576,Crawley 002,251
E02006577,Crawley 003,555
E02006578,Crawley 004,1144
E02006579,Crawley 005,423
E02006580,Crawley 006,338
E02006581,Crawley 007,911
E02006582,Crawley 008,114
E02006583,Crawley 009,493
E02006584,Crawley 010,497
E02006585,Crawley 011,219
E02006586,Crawley 012,212
E02006587,Crawley 013,759
