Middle layer Super Output Areas Code,Middle layer Super Output Areas,4_or_more_bedrooms
E02000304,Enfield 028,1404
E02000305,Enfield 029,927
E02000306,Enfield 030,226
E02000307,Enfield 031,550
E02000308,Enfield 032,676
E02000309,Enfield 033,470
E02000311,Enfield 035,608
E02000312,Enfield 036,894
E02000313,Greenwich 001,269
E02000314,Greenwich 002,488
E02000315,Greenwich 003,329
E02000317,Greenwich 005,354
E02000318,Greenwich 006,570
E02000319,Greenwich 007,434
E02000320,Greenwich 008,290
E02000321,Greenwich 009,243
E02000323,Greenwich 011,509
E02000324,Greenwich 012,455
E02000326,Greenwich 014,520
E02000327,Greenwich 015,348
E02000328,Greenwich 016,630
E02000329,Greenwich 017,258
E02000331,Greenwich 019,391
E02000332,Greenwich 020,519
E02000333,Greenwich 021,541
E02000334,Greenwich 022,467
E02000335,Greenwich 023,532
E02000337,Greenwich 025,392
E02000339,Greenwich 027,870
E02000340,Greenwich 028,577
E02000341,Greenwich 029,304
E02000342,Greenwich 030,314
E02000343,Greenwich 031,611
E02000344,Greenwich 032,635
E02000345,Hackney 001,733
E02000346,Hackney 002,221
E02000347,Hackney 003,548
E02000348,Hackney 004,408
E02000350,Hackney 006,833
E02000351,Hackney 007,402
E02000352,Hackney 008,424
E02000353,Hackney 009,686
E02000354,Hackney 010,465
E02000355,Hackney 011,801
E02000356,Hackney 012,542
E02000357,Hackney 013,218
E02000358,Hackney 014,581
E02000359,Hackney 015,483
E02000360,Hackney 016,302
E02000361,Hackney 017,322
E02000362,Hackney 018,319
E02000363,Hackney 019,333
E02000364,Hackney 020,516
E02000366,Hackney 022,485
E02000367,Hackney 023,361
E02000368,Hackney 024,369
E02000369,Hackney 025,393
E02000370,Hackney 026,243
E02000372,Hammersmith and Fulham 001,389
E02000373,Hammersmith and Fulham 002,277
E02000374,Hammersmith and Fulham 003,524
E02000375,Hammersmith and Fulham 004,368
E02000376,Hammersmith and Fulham 005,366
E02000377,Hammersmith and Fulham 006,528
E02000378,Hammersmith and Fulham 007,293
E02000379,Hammersmith and Fulham 008,686
E02000380,Hammersmith and Fulham 009,451
E02000381,Hammersmith and Fulham 010,622
E02000382,Hammersmith and Fulham 011,454
E02000383,Hammersmith and Fulham 012,373
E02000384,Hammersmith and Fulham 013,388
E02000385,Hammersmith and Fulham 014,293
E02000386,Hammersmith and Fulham 015,301
E02000387,Hammersmith and Fulham 016,522
E02000388,Hammersmith and Fulham 017,568
E02000389,Hammersmith and Fulham 018,964
E02000390,Hammersmith and Fulham 019,567
E02000391,Hammersmith and Fulham 020,926
E02000392,Hammersmith and Fulham 021,884
E02000393,Hammersmith and Fulham 022,632
E02000394,Hammersmith and Fulham 023,382
E02000395,Hammersmith and Fulham 024,657
E02000396,Hammersmith and Fulham 025,753
E02000397,Haringey 001,365
E02000398,Haringey 002,326
E02000400,Haringey 004,586
E02000401,Haringey 005,233
E02000402,Haringey 006,181
E02000403,Haringey 007,443
E02000404,Haringey 008,359
E02000405,Haringey 009,1032
E02000406,Haringey 010,283
E02000407,Haringey 011,382
E02000408,Haringey 012,327
E02000409,Haringey 013,315
E02000410,Haringey 014,843
E02000411,Haringey 015,374
E02000412,Haringey 016,368
E02000413,Haringey 017,986
E02000414,Haringey 018,508
E02000415,Haringey 019,500
E02000416,Haringey 020,363
E02000417,Haringey 021,799
E02000418,Haringey 022,878
E02000419,Haringey 023,643
E02000420,Haringey 024,361
E02000421,Haringey 025,377
E02000422,Haringey 026,386
E02000423,Haringey 027,608
E02000424,Haringey 028,606
E02000425,Haringey 029,723
E02000426,Haringey 030,796
E02000427,Haringey 031,625
E02000428,Haringey 032,444
E02000429,Haringey 033,634
E02000430,Haringey 034,567
E02000431,Haringey 035,557
E02000432,Haringey 036,469
E02000433,Harrow 001,1017
E02000434,Harrow 002,1093
E02000435,Harrow 003,850
E02000436,Harrow 004,1112
E02000437,Harrow 005,797
E02000438,Harrow 006,741
E02000439,Harrow 007,633
E02000440,Harrow 008,1233
E02000441,Harrow 009,748
E02000442,Harrow 010,687
E02000443,Harrow 011,562
E02000444,Harrow 012,741
E02000445,Harrow 013,664
E02000447,Harrow 015,986
E02000448,Harrow 016,1164
E02000449,Harrow 017,598
E02000451,Harrow 019,818
E02000452,Harrow 020,572
E02000453,Harrow 021,728
E02000454,Harrow 022,1159
E02000455,Harrow 023,561
E02000456,Harrow 024,689
E02000457,Harrow 025,639
E02000459,Harrow 027,440
E02000460,Harrow 028,401
E02000461,Harrow 029,506
E02000462,Harrow 030,462
E02000463,Harrow 031,507
E02000464,Havering 001,367
E02000465,Havering 002,328
E02000466,Havering 003,544
E02000467,Havering 004,327
E02000468,Havering 005,498
E02000469,Havering 006,251
E02000470,Havering 007,729
E02000471,Havering 008,822
E02000472,Havering 009,649
E02000473,Havering 010,1010
E02000474,Havering 011,472
E02000475,Havering 012,1319
E02000476,Havering 013,468
E02000477,Havering 014,1057
E02000478,Havering 015,1282
E02000479,Havering 016,460
E02000480,Havering 017,666
E02000481,Havering 018,707
E02000482,Havering 019,1044
E02000483,Havering 020,580
E02000484,Havering 021,843
E02000485,Havering 022,639
E02000486,Havering 023,520
E02000487,Havering 024,1208
E02000488,Havering 025,705
E02000489,Havering 026,612
E02000490,Havering 027,447
E02000491,Havering 028,589
E02000492,Havering 029,598
E02000493,Havering 030,302
E02000494,Hillingdon 001,1362
E02000495,Hillingdon 002,753
E02000496,Hillingdon 003,520
E02000497,Hillingdon 004,813
E02000498,Hillingdon 005,569
E02000499,Hillingdon 006,883
E02000500,Hillingdon 007,1193
E02000501,Hillingdon 008,683
E02000502,Hillingdon 009,650
E02000503,Hillingdon 010,652
E02000504,Hillingdon 011,1029
E02000506,Hillingdon 013,1473
E02000507,Hillingdon 014,552
E02000508,Hillingdon 015,650
E02000509,Hillingdon 016,434
E02000510,Hillingdon 017,700
E02000511,Hillingdon 018,567
E02000512,Hillingdon 019,398
E02000513,Hillingdon 020,303
E02000514,Hillingdon 021,582
E02000515,Hillingdon 022,551
E02000516,Hillingdon 023,458
E02000517,Hillingdon 024,493
E02000518,Hillingdon 025,444
E02000519,Hillingdon 026,505
E02000520,Hillingdon 027,708
E02000521,Hillingdon 028,489
E02000522,Hillingdon 029,494
E02000523,Hillingdon 030,634
E02000524,Hillingdon 031,403
E02000525,Hillingdon 032,350
E02000526,Hounslow 001,1220
E02000529,Hounslow 004,675
E02000530,Hounslow 005,286
E02000531,Hounslow 006,648
E02000532,Hounslow 007,1133
E02000533,Hounslow 008,901
E02000534,Hounslow 009,1016
E02000535,Hounslow 010,855
E02000536,Hounslow 011,837
E02000537,Hounslow 012,1037
E02000538,Hounslow 013,706
E02000539,Hounslow 014,545
E02000540,Hounslow 015,628
E02000541,Hounslow 016,637
E02000542,Hounslow 017,613
E02000543,Hounslow 018,659
E02000544,Hounslow 019,826
E02000545,Hounslow 020,481
E02000546,Hounslow 021,597
E02000547,Hounslow 022,471
E02000548,Hounslow 023,408
E02000549,Hounslow 024,616
E02000550,Hounslow 025,292
E02000551,Hounslow 026,289
E02000552,Hounslow 027,266
E02000553,Hounslow 028,388
E02000554,Islington 001,398
E02000555,Islington 002,773
E02000556,Islington 003,555
E02000557,Islington 004,374
E02000558,Islington 005,266
E02000559,Islington 006,806
E02000560,Islington 007,430
E02000561,Islington 008,719
E02000562,Islington 009,512
E02000563,Islington 010,340
E02000564,Islington 011,374
E02000565,Islington 012,287
E02000566,Islington 013,735
E02000567,Islington 014,411
E02000568,Islington 015,371
E02000569,Islington 016,424
E02000570,Islington 017,566
E02000571,Islington 018,310
E02000572,Islington 019,374
E02000573,Islington 020,528
E02000574,Islington 021,240
E02000575,Islington 022,268
E02000576,Islington 023,187
E02000577,Kensington and Chelsea 001,215
E02000578,Kensington and Chelsea 002,240
E02000579,Kensington and Chelsea 003,552
E02000580,Kensington and Chelsea 004,276
E02000581,Kensington and Chelsea 005,268
E02000582,Kensington and Chelsea 006,368
E02000583,Kensington and Chelsea 007,592
E02000584,Kensington and Chelsea 008,625
E02000585,Kensington and Chelsea 009,644
E02000586,Kensington and Chelsea 010,536
E02000587,Kensington and Chelsea 011,706
E02000588,Kensington and Chelsea 012,437
E02000589,Kensington and Chelsea 013,328
E02000590,Kensington and Chelsea 014,340
E02000591,Kensington and Chelsea 015,163
E02000592,Kensington and Chelsea 016,358
E02000593,Kensington and Chelsea 017,312
E02000594,Kensington and Chelsea 018,549
E02000595,Kensington and Chelsea 019,616
E02000596,Kensington and Chelsea 020,515
E02000597,Kensington and Chelsea 021,254
E02000598,Kingston upon Thames 001,1163
E02000599,Kingston upon Thames 002,1469
E02000600,Kingston upon Thames 003,832
E02000601,Kingston upon Thames 004,1041
E02000602,Kingston upon Thames 005,696
E02000603,Kingston upon Thames 006,675
E02000604,Kingston upon Thames 007,1038
E02000605,Kingston upon Thames 008,1011
E02000606,Kingston upon Thames 009,793
E02000607,Kingston upon Thames 010,870
E02000608,Kingston upon Thames 011,309
E02000609,Kingston upon Thames 012,917
E02000610,Kingston upon Thames 013,570
E02000611,Kingston upon Thames 014,1212
E02000612,Kingston upon Thames 015,1020
E02000613,Kingston upon Thames 016,800
E02000614,Kingston upon Thames 017,574
E02000615,Kingston upon Thames 018,582
E02000616,Kingston upon Thames 019,402
E02000617,Kingston upon Thames 020,594
E02000619,Lambeth 002,351
E02000620,Lambeth 003,308
E02000621,Lambeth 004,514
E02000622,Lambeth 005,480
E02000623,Lambeth 006,274
E02000624,Lambeth 007,296
E02000625,Lambeth 008,363
E02000626,Lambeth 009,359
E02000627,Lambeth 010,553
E02000628,Lambeth 011,534
E02000629,Lambeth 012,588
E02000630,Lambeth 013,528
E02000631,Lambeth 014,879
E02000632,Lambeth 015,688
E02000633,Lambeth 016,539
E02000634,Lambeth 017,331
E02000635,Lambeth 018,672
E02000636,Lambeth 019,1080
E02000637,Lambeth 020,708
E02000638,Lambeth 021,461
E02000639,Lambeth 022,311
E02000640,Lambeth 023,883
E02000641,Lambeth 024,454
E02000642,Lambeth 025,843
E02000643,Lambeth 026,753
E02000644,Lambeth 027,754
E02000645,Lambeth 028,794
E02000646,Lambeth 029,929
E02000647,Lambeth 030,782
E02000648,Lambeth 031,327
E02000649,Lambeth 032,649
E02000650,Lambeth 033,439
E02000651,Lambeth 034,883
E02000652,Lambeth 035,652
E02000653,Lewisham 001,431
E02000654,Lewisham 002,234
E02000655,Lewisham 003,308
E02000657,Lewisham 005,456
E02000658,Lewisham 006,615
E02000659,Lewisham 007,564
E02000660,Lewisham 008,373
E02000661,Lewisham 009,398
E02000662,Lewisham 010,430
E02000663,Lewisham 011,593
E02000665,Lewisham 013,625
E02000666,Lewisham 014,542
E02000667,Lewisham 015,663
E02000668,Lewisham 016,678
E02000669,Lewisham 017,425
E02000670,Lewisham 018,345
E02000671,Lewisham 019,701
E02000672,Lewisham 020,558
E02000673,Lewisham 021,720
E02000674,Lewisham 022,744
E02000675,Lewisham 023,589
E02000676,Lewisham 024,590
E02000677,Lewisham 025,815
E02000678,Lewisham 026,247
E02000679,Lewisham 027,570
E02000680,Lewisham 028,385
E02000681,Lewisham 029,373
E02000682,Lewisham 030,349
E02000683,Lewisham 031,254
E02000685,Lewisham 033,459
E02000686,Lewisham 034,162
E02000687,Lewisham 035,528
E02000689,Merton 001,1338
E02000690,Merton 002,1166
E02000691,Merton 003,916
E02000692,Merton 004,843
E02000693,Merton 005,496
E02000694,Merton 006,669
E02000695,Merton 007,808
E02000696,Merton 008,515
E02000697,Merton 009,860
E02000698,Merton 010,1400
E02000699,Merton 011,881
E02000700,Merton 012,255
E02000701,Merton 013,513
E02000702,Merton 014,390
E02000703,Merton 015,1307
E02000704,Merton 016,572
