Middle layer Super Output Areas Code,Middle layer Super Output Areas,4_or_more_bedrooms
E02004744,Gosport 004,310
E02004745,Gosport 005,402
E02004746,Gosport 006,1283
E02004747,Gosport 007,189
E02004748,Gosport 008,266
E02004749,Gosport 009,920
E02004750,Gosport 010,665
E02004751,Hart 001,1102
E02004752,Hart 002,1365
E02004753,Hart 003,1324
E02004754,Hart 004,1171
E02004755,Hart 005,1709
E02004756,Hart 006,1709
E02004757,Hart 007,1775
E02004758,Hart 008,1674
E02004759,Hart 009,1181
E02004760,Hart 010,1710
E02004761,Hart 011,825
E02004764,Havant 003,784
E02004765,Havant 004,844
E02004766,Havant 005,467
E02004767,Havant 006,200
E02004768,Havant 007,390
E02004769,Havant 008,133
E02004770,Havant 009,265
E02004771,Havant 010,232
E02004772,Havant 011,842
E02004774,Havant 013,1279
E02004775,Havant 014,1267
E02004776,Havant 015,945
E02004777,Havant 016,555
E02004778,Havant 017,590
E02004779,New Forest 001,1425
E02004780,New Forest 002,286
E02004781,New Forest 003,909
E02004782,New Forest 004,388
E02004783,New Forest 005,545
E02004784,New Forest 006,813
E02004785,New Forest 007,799
E02004786,New Forest 008,903
E02004787,New Forest 009,879
E02004788,New Forest 010,1011
E02004789,New Forest 011,963
E02004790,New Forest 012,595
E02004791,New Forest 013,294
E02004792,New Forest 014,928
E02004793,New Forest 015,1335
E02004794,New Forest 016,1211
E02004795,New Forest 017,1102
E02004796,New Forest 018,1133
E02004797,New Forest 019,654
E02004798,New Forest 020,432
E02004799,New Forest 021,469
E02004800,New Forest 022,876
E02004801,New Forest 023,1217
E02004802,Rushmoor 001,381
E02004803,Rushmoor 002,285
E02004804,Rushmoor 003,494
E02004805,Rushmoor 004,1125
E02004806,Rushmoor 005,1047
E02004807,Rushmoor 006,573
E02004808,Rushmoor 007,777
E02004809,Rushmoor 008,407
E02004810,Rushmoor 009,318
E02004811,Rushmoor 010,528
E02004812,Rushmoor 011,619
E02004813,Rushmoor 012,230
E02004814,Test Valley 001,1024
E02004815,Test Valley 002,377
E02004817,Test Valley 004,459
E02004818,Test Valley 005,1248
E02004819,Test Valley 006,850
E02004820,Test Valley 007,1007
E02004821,Test Valley 008,977
E02004822,Test Valley 009,1369
E02004823,Test Valley 010,966
E02004824,Test Valley 011,380
E02004825,Test Valley 012,1361
E02004826,Test Valley 013,1649
E02004827,Test Valley 014,1464
E02004828,Test Valley 015,1323
E02004829,Winchester 001,955
E02004830,Winchester 002,1029
E02004831,Winchester 003,1610
E02004832,Winchester 004,1245
E02004833,Winchester 005,1309
E02004834,Winchester 006,491
E02004835,Winchester 007,1059
E02004836,Winchester 008,673
E02004837,Winchester 009,1430
E02004838,Winchester 010,1610
E02004839,Winchester 011,1729
E02004840,Winchester 012,1457
E02004841,Winchester 013,1522
E02004842,Winchester 014,1442
E02004843,Broxbourne 001,789
E02004844,Broxbourne 002,385
E02004845,Broxbourne 003,678
E02004846,Broxbourne 004,1299
E02004847,Broxbourne 005,684
E02004848,Broxbourne 006,870
E02004849,Broxbourne 007,1303
E02004850,Broxbourne 008,437
E02004851,Broxbourne 009,358
E02004852,Broxbourne 010,445
E02004853,Broxbourne 011,460
E02004854,Broxbourne 012,418
E02004855,Broxbourne 013,289
E02004856,Dacorum 001,663
E02004857,Dacorum 002,707
E02004858,Dacorum 003,517
E02004859,Dacorum 004,953
E02004860,Dacorum 005,463
E02004861,Dacorum 006,925
E02004862,Dacorum 007,462
E02004863,Dacorum 008,251
E02004864,Dacorum 009,962
E02004865,Dacorum 010,358
E02004866,Dacorum 011,529
E02004867,Dacorum 012,1078
E02004868,Dacorum 013,607
E02004869,Dacorum 014,831
E02004870,Dacorum 015,668
E02004871,Dacorum 016,427
E02004872,Dacorum 017,1052
E02004873,Dacorum 018,1314
E02004874,Dacorum 019,425
E02004875,Dacorum 020,813
E02004876,Dacorum 021,1509
E02004877,Dacorum 022,742
E02004878,East Hertfordshire 001,1191
E02004880,East Hertfordshire 003,1905
E02004881,East Hertfordshire 004,801
E02004882,East Hertfordshire 005,1157
E02004883,East Hertfordshire 006,783
E02004884,East Hertfordshire 007,770
E02004885,East Hertfordshire 008,1528
E02004886,East Hertfordshire 009,991
E02004887,East Hertfordshire 010,1167
E02004888,East Hertfordshire 011,1158
E02004889,East Hertfordshire 012,835
E02004890,East Hertfordshire 013,826
E02004891,East Hertfordshire 014,866
E02004892,East Hertfordshire 015,422
E02004893,East Hertfordshire 016,611
E02004894,East Hertfordshire 017,815
E02004895,East Hertfordshire 018,1184
E02004896,Hertsmere 001,980
E02004897,Hertsmere 002,651
E02004898,Hertsmere 003,532
E02004899,Hertsmere 004,645
E02004900,Hertsmere 005,1633
E02004901,Hertsmere 006,460
E02004902,Hertsmere 007,514
E02004903,Hertsmere 008,672
E02004904,Hertsmere 009,234
E02004905,Hertsmere 010,998
E02004906,Hertsmere 011,770
E02004907,Hertsmere 012,983
E02004908,Hertsmere 013,1442
E02004909,North Hertfordshire 001,463
E02004910,North Hertfordshire 002,1462
E02004911,North Hertfordshire 003,318
E02004912,North Hertfordshire 004,908
E02004914,North Hertfordshire 006,586
E02004915,North Hertfordshire 007,207
E02004916,North Hertfordshire 008,1105
E02004917,North Hertfordshire 009,677
E02004918,North Hertfordshire 010,616
E02004919,North Hertfordshire 011,575
E02004920,North Hertfordshire 012,1146
E02004921,North Hertfordshire 013,952
E02004922,North Hertfordshire 014,1380
E02004923,North Hertfordshire 015,1532
E02004924,St Albans 001,1454
E02004925,St Albans 002,1171
E02004926,St Albans 003,1492
E02004927,St Albans 004,1049
E02004928,St Albans 005,1397
E02004929,St Albans 006,979
E02004930,St Albans 007,894
E02004931,St Albans 008,923
E02004932,St Albans 009,757
E02004933,St Albans 010,1355
E02004934,St Albans 011,861
E02004935,St Albans 012,650
E02004936,St Albans 013,789
E02004937,St Albans 014,1328
E02004939,St Albans 016,719
E02004940,St Albans 017,523
E02004941,St Albans 018,793
E02004942,St Albans 019,773
E02004943,St Albans 020,1320
E02004944,Stevenage 001,604
E02004945,Stevenage 002,1307
E02004946,Stevenage 003,368
E02004948,Stevenage 005,338
E02004949,Stevenage 006,349
E02004950,Stevenage 007,255
E02004951,Stevenage 008,251
E02004952,Stevenage 009,482
E02004953,Stevenage 010,244
E02004954,Stevenage 011,367
E02004955,Stevenage 012,439
E02004956,Three Rivers 001,1062
E02004957,Three Rivers 002,971
E02004958,Three Rivers 003,1112
E02004959,Three Rivers 004,1210
E02004960,Three Rivers 005,1091
E02004961,Three Rivers 006,1086
E02004962,Three Rivers 007,1057
E02004963,Three Rivers 008,451
E02004964,Three Rivers 009,344
E02004965,Three Rivers 010,530
E02004966,Three Rivers 011,1655
E02004967,Three Rivers 012,227
E02004968,Watford 001,420
E02004969,Watford 002,565
E02004970,Watford 003,403
E02004971,Watford 004,502
E02004972,Watford 005,507
E02004973,Watford 006,323
E02004974,Watford 007,1091
E02004975,Watford 008,1407
E02004976,Watford 009,566
E02004977,Watford 010,563
E02004978,Watford 011,380
E02004979,Watford 012,783
E02004980,Welwyn Hatfield 001,1326
E02004981,Welwyn Hatfield 002,1041
E02004982,Welwyn Hatfield 003,681
E02004983,Welwyn Hatfield 004,266
E02004984,Welwyn Hatfield 005,601
E02004985,Welwyn Hatfield 006,758
E02004986,Welwyn Hatfield 007,292
E02004987,Welwyn Hatfield 008,488
E02004988,Welwyn Hatfield 009,381
E02004989,Welwyn Hatfield 010,898
E02004990,Welwyn Hatfield 011,704
E02004991,Welwyn Hatfield 012,503
E02004992,Welwyn Hatfield 013,616
E02004994,Welwyn Hatfield 015,1228
E02004995,Welwyn Hatfield 016,1093
E02004996,Ashford 001,1030
E02004997,Ashford 002,1210
E02004998,Ashford 003,867
E02005000,Ashford 005,574
E02005001,Ashford 006,859
E02005002,Ashford 007,429
E02005003,Ashford 008,601
E02005004,Ashford 009,1261
E02005005,Ashford 010,1518
E02005006,Ashford 011,872
E02005007,Ashford 012,1243
E02005008,Ashford 013,1137
E02005009,Ashford 014,794
E02005010,Canterbury 001,645
E02005011,Canterbury 002,864
E02005012,Canterbury 003,792
E02005013,Canterbury 004,537
E02005014,Canterbury 005,1080
E02005015,Canterbury 006,1115
E02005016,Canterbury 007,682
E02005017,Canterbury 008,477
E02005018,Canterbury 009,1006
E02005019,Canterbury 010,792
E02005020,Canterbury 011,575
E02005021,Canterbury 012,993
E02005022,Canterbury 013,1127
E02005023,Canterbury 014,528
E02005025,Canterbury 016,1103
E02005026,Canterbury 017,972
E02005027,Canterbury 018,820
E02005028,Dartford 001,697
E02005029,Dartford 002,1025
E02005030,Dartford 003,636
E02005031,Dartford 004,291
E02005032,Dartford 005,353
E02005033,Dartford 006,334
E02005034,Dartford 007,849
E02005035,Dartford 008,698
E02005036,Dartford 009,283
E02005037,Dartford 010,951
E02005038,Dartford 011,668
E02005039,Dartford 012,461
E02005040,Dartford 013,1114
E02005041,Dover 001,882
E02005042,Dover 002,876
E02005043,Dover 003,544
E02005044,Dover 004,536
E02005045,Dover 005,565
E02005046,Dover 006,579
E02005047,Dover 007,483
E02005048,Dover 008,728
E02005049,Dover 009,1050
E02005050,Dover 010,942
E02005051,Dover 011,435
E02005052,Dover 012,483
E02005053,Dover 013,348
E02005054,Dover 014,580
E02005055,Gravesham 001,254
E02005056,Gravesham 002,527
E02005057,Gravesham 003,646
E02005058,Gravesham 004,363
E02005059,Gravesham 005,1071
E02005060,Gravesham 006,550
E02005061,Gravesham 007,474
E02005062,Gravesham 008,386
E02005063,Gravesham 009,659
E02005064,Gravesham 010,902
E02005065,Gravesham 011,339
E02005066,Gravesham 012,997
E02005067,Gravesham 013,781
E02005068,Maidstone 001,1151
E02005069,Maidstone 002,852
E02005070,Maidstone 003,1249
E02005071,Maidstone 004,432
E02005072,Maidstone 005,1287
E02005073,Maidstone 006,777
E02005074,Maidstone 007,958
E02005075,Maidstone 008,803
E02005076,Maidstone 009,467
E02005077,Maidstone 010,527
E02005078,Maidstone 011,1214
E02005079,Maidstone 012,1049
E02005080,Maidstone 013,410
E02005081,Maidstone 014,856
E02005082,Maidstone 015,1384
E02005083,Maidstone 016,870
E02005084,Maidstone 017,1045
E02005085,Maidstone 018,1114
E02005086,Maidstone 019,879
E02005087,Sevenoaks 001,786
E02005088,Sevenoaks 002,441
E02005089,Sevenoaks 003,629
E02005090,Sevenoaks 004,954
E02005091,Sevenoaks 005,699
E02005093,Sevenoaks 007,775
E02005094,Sevenoaks 008,1214
E02005095,Sevenoaks 009,1156
E02005096,Sevenoaks 010,934
E02005097,Sevenoaks 011,2033
E02005098,Sevenoaks 012,1811
E02005099,Sevenoaks 013,1082
E02005100,Sevenoaks 014,911
E02005101,Sevenoaks 015,1125
E02005102,Folkestone and Hythe 001,885
E02005103,Folkestone and Hythe 002,1106
E02005104,Folkestone and Hythe 003,519
E02005105,Folkestone and Hythe 004,489
E02005106,Folkestone and Hythe 005,523
E02005107,Folkestone and Hythe 006,1609
E02005109,Folkestone and Hythe 008,1096
E02005110,Folkestone and Hythe 009,937
E02005111,Folkestone and Hythe 010,435
E02005112,Folkestone and Hythe 011,693
E02005113,Folkestone and Hythe 012,844
E02005114,Folkestone and Hythe 013,432
E02005115,Swale 001,224
E02005116,Swale 002,151
E02005117,Swale 003,759
E02005118,Swale 004,743
E02005119,Swale 005,369
E02005120,Swale 006,688
E02005121,Swale 007,1213
E02005122,Swale 008,947
E02005123,Swale 009,1139
E02005124,Swale 010,249
E02005125,Swale 011,360
E02005126,Swale 012,568
E02005127,Swale 013,1234
E02005128,Swale 014,649
E02005129,Swale 015,688
E02005130,Swale 016,884
E02005131,Swale 017,689
E02005132,Thanet 001,612
E02005133,Thanet 002,1138
E02005134,Thanet 003,437
E02005135,Thanet 004,457
E02005136,Thanet 005,851
E02005137,Thanet 006,299
E02005138,Thanet 007,540
E02005139,Thanet 008,753
E02005140,Thanet 009,811
E02005141,Thanet 010,977
E02005142,Thanet 011,492
E02005143,Thanet 012,594
E02005144,Thanet 013,289
E02005145,Thanet 014,714
E02005146,Thanet 015,539
E02005147,Thanet 016,619
E02005148,Thanet 017,702
E02005149,Tonbridge and Malling 001,1329
E02005150,Tonbridge and Malling 002,719
E02005151,Tonbridge and Malling 003,1196
E02005153,Tonbridge and Malling 005,960
E02005154,Tonbridge and Malling 006,1795
E02005155,Tonbridge and Malling 007,2281
E02005156,Tonbridge and Malling 008,803
E02005157,Tonbridge and Malling 009,464
E02005158,Tonbridge and Malling 010,992
E02005159,Tonbridge and Malling 011,971
E02005160,Tonbridge and Malling 012,994
E02005161,Tonbridge and Malling 013,826
E02005162,Tunbridge Wells 001,1130
E02005163,Tunbridge Wells 002,1001
E02005164,Tunbridge Wells 003,722
E02005165,Tunbridge Wells 004,1011
E02005166,Tunbridge Wells 005,417
E02005167,Tunbridge Wells 006,1451
E02005168,Tunbridge Wells 007,1011
E02005169,Tunbridge Wells 008,503
E02005170,Tunbridge Wells 009,1024
E02005171,Tunbridge Wells 010,428
E02005172,Tunbridge Wells 011,1399
E02005173,Tunbridge Wells 012,1431
E02005174,Tunbridge Wells 013,1016
E02005175,Tunbridge Wells 014,1087
E02005503,Breckland 001,881
E02005504,Breckland 002,1207
E02005505,Breckland 003,873
E02005506,Breckland 004,857
E02005507,Breckland 005,742
E02005508,Breckland 006,973
E02005509,Breckland 007,733
E02005510,Breckland 008,840
E02005511,Breckland 009,606
E02005512,Breckland 010,1197
E02005513,Breckland 011,920
E02005514,Breckland 012,741
E02005515,Breckland 013,913
E02005516,Breckland 014,970
E02005517,Breckland 015,299
E02005518,Breckland 016,916
E02005519,Breckland 017,644
E02005520,Broadland 001,977
E02005521,Broadland 002,1115
E02005522,Broadland 003,638
E02005523,Broadland 004,1108
E02005524,Broadland 005,545
E02005525,Broadland 006,1542
E02005526,Broadland 007,664
E02005527,Broadland 008,1470
E02005528,Broadland 009,861
E02005529,Broadland 010,437
E02005530,Broadland 011,433
E02005531,Broadland 012,425
E02005532,Broadland 013,705
E02005533,Broadland 014,1161
E02005534,Broadland 015,598
E02005535,Broadland 016,1123
E02005536,Broadland 017,873
E02005537,Broadland 018,626
E02005538,Great Yarmouth 001,1040
E02005539,Great Yarmouth 002,860
E02005540,Great Yarmouth 003,619
E02005541,Great Yarmouth 004,446
E02005542,Great Yarmouth 005,275
E02005543,Great Yarmouth 006,386
E02005544,Great Yarmouth 007,280
E02005545,Great Yarmouth 008,594
E02005546,Great Yarmouth 009,260
E02005547,Great Yarmouth 010,773
E02005548,Great Yarmouth 011,256
E02005549,Great Yarmouth 012,514
E02005550,Great Yarmouth 013,642
E02005551,King's Lynn and West Norfolk 001,515
E02005552,King's Lynn and West Norfolk 002,866
E02005553,King's Lynn and West Norfolk 003,738
E02005554,King's Lynn and West Norfolk 004,626
E02005555,King's Lynn and West Norfolk 005,1324
E02005556,King's Lynn and West Norfolk 006,606
E02005557,King's Lynn and West Norfolk 007,153
E02005558,King's Lynn and West Norfolk 008,732
E02005559,King's Lynn and West Norfolk 009,451
E02005560,King's Lynn and West Norfolk 010,464
E02005561,King's Lynn and West Norfolk 011,399
E02005562,King's Lynn and West Norfolk 012,824
E02005563,King's Lynn and West Norfolk 013,972
E02005564,King's Lynn and West Norfolk 014,1160
E02005565,King's Lynn and West Norfolk 015,777
E02005566,King's Lynn and West Norfolk 016,1109
E02005567,King's Lynn and West Norfolk 017,979
E02005568,King's Lynn and West Norfolk 018,884
E02005569,King's Lynn and West Norfolk 019,866
E02005570,North Norfolk 001,792
E02005571,North Norfolk 002,627
E02005572,North Norfolk 003,484
E02005573,North Norfolk 004,510
E02005574,North Norfolk 005,693
E02005575,North Norfolk 006,765
E02005576,North Norfolk 007,686
E02005577,North Norfolk 008,691
E02005578,North Norfolk 009,507
E02005580,North Norfolk 011,582
E02005581,North Norfolk 012,721
E02005582,North Norfolk 013,620
E02005583,North Norfolk 014,995
E02005584,Norwich 001,564
E02005585,Norwich 002,396
E02005586,Norwich 003,316
E02005587,Norwich 004,292
E02005588,Norwich 005,950
E02005589,Norwich 006,722
E02005592,Norwich 009,942
E02005593,Norwich 010,669
E02005594,Norwich 011,819
E02005595,Norwich 012,1506
E02005596,Norwich 013,301
E02005598,South Norfolk 002,1643
E02005599,South Norfolk 003,902
E02005600,South Norfolk 004,824
E02005601,South Norfolk 005,529
E02005602,South Norfolk 006,1901
E02005603,South Norfolk 007,1635
E02005604,South Norfolk 008,1179
E02005605,South Norfolk 009,1563
E02005606,South Norfolk 010,728
E02005607,South Norfolk 011,1536
E02005608,South Norfolk 012,936
E02005609,South Norfolk 013,702
E02005610,South Norfolk 014,1043
E02005611,South Norfolk 015,913
E02005921,Cherwell 001,1089
E02005922,Cherwell 002,663
E02005923,Cherwell 003,228
E02005924,Cherwell 004,711
E02005925,Cherwell 005,391
E02005926,Cherwell 006,1016
E02005927,Cherwell 007,617
E02005928,Cherwell 008,1672
E02005929,Cherwell 009,1192
E02005930,Cherwell 010,1538
E02005931,Cherwell 011,1443
E02005932,Cherwell 012,856
E02005933,Cherwell 013,548
E02005934,Cherwell 014,683
E02005935,Cherwell 015,855
E02005936,Cherwell 016,1919
E02005937,Cherwell 017,762
E02005938,Cherwell 018,474
E02005939,Cherwell 019,657
E02005940,Oxford 001,920
E02005941,Oxford 002,893
E02005942,Oxford 003,930
E02005943,Oxford 004,677
E02005944,Oxford 005,401
E02005945,Oxford 006,1235
E02005946,Oxford 007,801
E02005947,Oxford 008,462
E02005948,Oxford 009,548
E02005949,Oxford 010,505
E02005950,Oxford 011,1319
E02005951,Oxford 012,518
E02005953,Oxford 014,603
E02005954,Oxford 015,869
E02005955,Oxford 016,559
E02005956,Oxford 017,269
E02005957,Oxford 018,204
E02005958,South Oxfordshire 001,591
E02005959,South Oxfordshire 002,843
E02005960,South Oxfordshire 003,960
E02005961,South Oxfordshire 004,961
E02005962,South Oxfordshire 005,1335
E02005963,South Oxfordshire 006,852
E02005964,South Oxfordshire 007,1033
E02005965,South Oxfordshire 008,823
E02005966,South Oxfordshire 009,749
E02005967,South Oxfordshire 010,718
E02005968,South Oxfordshire 011,978
E02005969,South Oxfordshire 012,1091
E02005970,South Oxfordshire 013,337
E02005971,South Oxfordshire 014,484
E02005972,South Oxfordshire 015,1673
E02005973,South Oxfordshire 016,681
E02005974,South Oxfordshire 017,921
E02005975,South Oxfordshire 018,1538
E02005976,South Oxfordshire 019,1396
E02005977,South Oxfordshire 020,939
E02005978,Vale of White Horse 001,1442
E02005979,Vale of White Horse 002,1235
E02005980,Vale of White Horse 003,1513
E02005981,Vale of White Horse 004,1486
E02005982,Vale of White Horse 005,734
E02005983,Vale of White Horse 006,1006
E02005984,Vale of White Horse 007,1644
E02005985,Vale of White Horse 008,667
E02005986,Vale of White Horse 009,1067
E02005987,Vale of White Horse 010,1429
E02005988,Vale of White Horse 011,965
E02005991,Vale of White Horse 014,1327
E02005992,Vale of White Horse 015,1969
E02005993,West Oxfordshire 001,670
E02005994,West Oxfordshire 002,949
E02005995,West Oxfordshire 003,969
E02005996,West Oxfordshire 004,1261
E02005997,West Oxfordshire 005,864
E02005998,West Oxfordshire 006,1028
E02005999,West Oxfordshire 007,881
E02006000,West Oxfordshire 008,1375
E02006001,West Oxfordshire 009,685
E02006002,West Oxfordshire 010,789
E02006003,West Oxfordshire 011,664
E02006004,West Oxfordshire 012,880
E02006005,West Oxfordshire 013,913
E02006006,West Oxfordshire 014,561
E02006007,West Oxfordshire 015,1099
E02006227,Babergh 001,932
E02006228,Babergh 002,733
E02006229,Babergh 003,756
E02006230,Babergh 004,1348
E02006231,Babergh 005,1043
E02006232,Babergh 006,883
E02006233,Babergh 007,621
E02006234,Babergh 008,834
E02006235,Babergh 009,1347
E02006236,Babergh 010,1763
E02006237,Babergh 011,915
E02006238,West Suffolk 002,573
E02006239,West Suffolk 001,596
E02006240,West Suffolk 003,1218
E02006241,West Suffolk 004,770
E02006242,West Suffolk 007,1363
E02006243,West Suffolk 008,768
E02006245,Ipswich 001,379
E02006246,Ipswich 002,478
E02006247,Ipswich 003,292
E02006248,Ipswich 004,484
E02006249,Ipswich 005,1229
E02006250,Ipswich 006,386
E02006251,Ipswich 007,468
E02006252,Ipswich 008,487
E02006253,Ipswich 009,795
E02006254,Ipswich 010,432
E02006255,Ipswich 011,280
E02006256,Ipswich 012,447
E02006257,Ipswich 013,303
E02006258,Ipswich 014,614
E02006259,Ipswich 015,380
E02006260,Ipswich 016,239
E02006261,Mid Suffolk 001,1205
E02006262,Mid Suffolk 002,1407
E02006263,Mid Suffolk 003,1109
E02006264,Mid Suffolk 004,1353
E02006265,Mid Suffolk 005,877
E02006266,Mid Suffolk 006,1444
E02006267,Mid Suffolk 007,1386
E02006268,Mid Suffolk 008,330
E02006269,Mid Suffolk 009,957
E02006270,Mid Suffolk 010,1286
E02006271,Mid Suffolk 011,894
E02006272,Mid Suffolk 012,867
E02006273,West Suffolk 005,826
E02006274,West Suffolk 006,759
E02006275,West Suffolk 009,210
E02006276,West Suffolk 016,1199
E02006277,West Suffolk 012,1135
E02006278,West Suffolk 011,603
E02006279,West Suffolk 014,638
E02006280,West Suffolk 010,1402
E02006281,West Suffolk 013,844
E02006282,West Suffolk 017,967
E02006283,West Suffolk 018,974
E02006284,West Suffolk 019,645
E02006285,West Suffolk 021,743
E02006286,West Suffolk 020,787
E02006287,East Suffolk 016,936
E02006288,East Suffolk 017,1437
E02006289,East Suffolk 018,1156
E02006290,East Suffolk 019,676
E02006291,East Suffolk 020,1097
E02006292,East Suffolk 021,1159
E02006293,East Suffolk 023,1340
E02006294,East Suffolk 022,843
E02006295,East Suffolk 024,1145
E02006296,East Suffolk 025,2040
E02006297,East Suffolk 026,1672
E02006298,East Suffolk 027,975
E02006299,East Suffolk 028,1139
E02006300,East Suffolk 029,319
E02006301,East Suffolk 030,611
E02006302,East Suffolk 001,865
E02006303,East Suffolk 002,536
E02006304,East Suffolk 003,549
E02006305,East Suffolk 004,355
E02006306,East Suffolk 005,373
E02006307,East Suffolk 007,939
E02006308,East Suffolk 006,474
E02006309,East Suffolk 009,375
E02006310,East Suffolk 008,757
E02006311,East Suffolk 010,522
E02006312,East Suffolk 011,990
E02006313,East Suffolk 012,856
E02006314,East Suffolk 013,756
E02006315,East Suffolk 014,647
E02006316,East Suffolk 015,565
E02006317,Elmbridge 001,657
E02006318,Elmbridge 002,1202
E02006319,Elmbridge 003,386
E02006320,Elmbridge 004,348
E02006321,Elmbridge 005,1072
E02006322,Elmbridge 006,1064
E02006323,Elmbridge 007,862
E02006324,Elmbridge 008,971
E02006325,Elmbridge 009,1989
E02006326,Elmbridge 010,1049
E02006327,Elmbridge 011,1160
E02006328,Elmbridge 012,1253
E02006329,Elmbridge 013,1369
E02006330,Elmbridge 014,1217
E02006331,Elmbridge 015,1345
E02006332,Elmbridge 016,1223
E02006333,Elmbridge 017,1507
E02006334,Elmbridge 018,2101
E02006335,Epsom and Ewell 001,1066
E02006336,Epsom and Ewell 002,391
E02006337,Epsom and Ewell 003,1267
E02006338,Epsom and Ewell 004,660
E02006339,Epsom and Ewell 005,958
E02006341,Epsom and Ewell 007,940
E02006342,Epsom and Ewell 008,723
E02006343,Epsom and Ewell 009,1401
E02006344,Guildford 001,1365
E02006345,Guildford 002,752
E02006346,Guildford 003,2075
E02006347,Guildford 004,711
E02006348,Guildford 005,891
E02006349,Guildford 006,631
E02006350,Guildford 007,366
E02006351,Guildford 008,1014
E02006352,Guildford 009,621
E02006353,Guildford 010,380
E02006354,Guildford 011,1840
E02006355,Guildford 012,551
E02006356,Guildford 013,884
E02006357,Guildford 014,787
E02006358,Guildford 015,837
E02006359,Guildford 016,1123
E02006360,Guildford 017,1231
E02006361,Guildford 018,929
E02006362,Mole Valley 001,1147
E02006363,Mole Valley 002,1072
E02006364,Mole Valley 003,369
E02006365,Mole Valley 004,1008
E02006366,Mole Valley 005,1511
E02006367,Mole Valley 006,1128
E02006368,Mole Valley 007,954
E02006369,Mole Valley 008,799
E02006370,Mole Valley 009,737
E02006371,Mole Valley 010,918
E02006372,Mole Valley 011,476
E02006373,Mole Valley 012,1026
E02006374,Mole Valley 013,962
E02006375,Reigate and Banstead 001,1192
E02006376,Reigate and Banstead 002,1114
E02006377,Reigate and Banstead 003,1041
E02006378,Reigate and Banstead 004,1326
E02006379,Reigate and Banstead 005,305
E02006380,Reigate and Banstead 006,1364
E02006381,Reigate and Banstead 007,1248
E02006382,Reigate and Banstead 008,417
E02006383,Reigate and Banstead 009,1510
E02006384,Reigate and Banstead 010,1038
E02006385,Reigate and Banstead 011,936
E02006386,Reigate and Banstead 012,1223
E02006387,Reigate and Banstead 013,671
E02006388,Reigate and Banstead 014,696
E02006389,Reigate and Banstead 015,705
E02006390,Reigate and Banstead 016,936
E02006391,Reigate and Banstead 017,1088
E02006392,Reigate and Banstead 018,672
E02006393,Runnymede 001,731
E02006394,Runnymede 002,1258
E02006395,Runnymede 003,716
E02006396,Runnymede 004,647
E02006397,Runnymede 005,1256
E02006398,Runnymede 006,546
E02006399,Runnymede 007,1051
E02006400,Runnymede 008,730
E02006401,Runnymede 009,795
E02006402,Runnymede 010,1282
E02006403,Spelthorne 001,293
E02006404,Spelthorne 002,392
E02006405,Spelthorne 003,886
E02006406,Spelthorne 004,620
E02006407,Spelthorne 005,807
E02006408,Spelthorne 006,553
E02006409,Spelthorne 007,436
E02006410,Spelthorne 008,447
E02006411,Spelthorne 009,800
E02006412,Spelthorne 010,1078
E02006413,Spelthorne 011,603
E02006414,Spelthorne 012,591
E02006415,Spelthorne 013,755
E02006416,Surrey Heath 001,1579
E02006417,Surrey Heath 002,711
E02006418,Surrey Heath 003,1220
E02006419,Surrey Heath 004,719
E02006420,Surrey Heath 005,1897
E02006421,Surrey Heath 006,1591
E02006422,Surrey Heath 007,1107
E02006423,Surrey Heath 008,1130
E02006424,Surrey Heath 009,1321
E02006425,Surrey Heath 010,757
E02006426,Surrey Heath 011,811
E02006427,Surrey Heath 012,843
E02006429,Tandridge 002,993
E02006430,Tandridge 003,862
E02006431,Tandridge 004,1420
E02006432,Tandridge 005,871
E02006433,Tandridge 006,1700
E02006434,Tandridge 007,744
E02006435,Tandridge 008,743
E02006436,Tandridge 009,606
E02006437,Tandridge 010,1161
E02006438,Tandridge 011,1326
E02006439,Waverley 001,619
E02006440,Waverley 002,984
E02006441,Waverley 003,795
E02006442,Waverley 004,1392
E02006443,Waverley 005,425
E02006444,Waverley 006,1015
E02006445,Waverley 007,889
E02006446,Waverley 008,1127
E02006447,Waverley 009,1031
E02006448,Waverley 010,1150
E02006449,Waverley 011,884
E02006450,Waverley 012,1193
E02006451,Waverley 013,1655
E02006453,Waverley 015,1236
E02006454,Waverley 016,1087
E02006455,Waverley 017,643
E02006456,Woking 001,642
E02006457,Woking 002,1970
E02006458,Woking 003,1852
E02006459,Woking 004,533
E02006460,Woking 005,572
E02006461,Woking 006,1216
E02006462,Woking 007,830
E02006463,Woking 008,653
E02006464,Woking 009,678
E02006465,Woking 010,1177
E02006466,Woking 011,777
E02006467,Woking 012,1286
E02006534,Adur 001,655
E02006535,Adur 002,779
E02006536,Adur 003,564
E02006537,Adur 004,545
E02006538,Adur 005,769
E02006539,Adur 006,388
E02006540,Adur 007,272
E02006541,Adur 008,354
E02006542,Arun 001,612
E02006543,Arun 002,490
E02006544,Arun 003,1318
E02006545,Arun 004,673
E02006546,Arun 005,1152
E02006547,Arun 006,609
E02006548,Arun 007,781
E02006549,Arun 008,716
E02006550,Arun 009,734
E02006551,Arun 010,861
E02006552,Arun 011,359
E02006553,Arun 012,540
E02006554,Arun 013,677
E02006555,Arun 014,339
E02006556,Arun 015,1212
E02006557,Arun 016,451
E02006558,Arun 017,530
E02006559,Arun 018,1166
E02006560,Arun 019,548
