Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_cars
E02004725,Eastleigh 014,365
E02004726,Eastleigh 015,284
E02004727,Fareham 001,176
E02004728,Fareham 002,404
E02004729,Fareham 003,508
E02004730,Fareham 004,319
E02004731,Fareham 005,321
E02004732,Fareham 006,318
E02004733,Fareham 007,302
E02004734,Fareham 008,733
E02004735,Fareham 009,349
E02004736,Fareham 010,400
E02004737,Fareham 011,834
E02004738,Fareham 012,516
E02004739,Fareham 013,410
E02004740,Fareham 014,300
E02004741,Gosport 001,604
E02004742,Gosport 002,667
E02004743,Gosport 003,467
E02004744,Gosport 004,811
E02004745,Gosport 005,823
E02004746,Gosport 006,656
E02004747,Gosport 007,653
E02004748,Gosport 008,1728
E02004749,Gosport 009,397
E02004750,Gosport 010,612
E02004751,Hart 001,364
E02004752,Hart 002,166
E02004753,Hart 003,382
E02004754,Hart 004,233
E02004755,Hart 005,570
E02004756,Hart 006,235
E02004757,Hart 007,211
E02004758,Hart 008,364
E02004759,Hart 009,223
E02004760,Hart 010,201
E02004761,Hart 011,190
E02004764,Havant 003,592
E02004765,Havant 004,240
E02004766,Havant 005,699
E02004767,Havant 006,583
E02004768,Havant 007,376
E02004769,Havant 008,672
E02004770,Havant 009,827
E02004771,Havant 010,1062
E02004772,Havant 011,554
E02004774,Havant 013,638
E02004775,Havant 014,838
E02004776,Havant 015,262
E02004777,Havant 016,495
E02004778,Havant 017,398
E02004779,New Forest 001,500
E02004780,New Forest 002,372
E02004781,New Forest 003,285
E02004782,New Forest 004,683
E02004783,New Forest 005,316
E02004784,New Forest 006,133
E02004785,New Forest 007,228
E02004786,New Forest 008,292
E02004787,New Forest 009,459
E02004788,New Forest 010,191
E02004789,New Forest 011,567
E02004790,New Forest 012,605
E02004791,New Forest 013,304
E02004792,New Forest 014,365
E02004793,New Forest 015,262
E02004794,New Forest 016,188
E02004795,New Forest 017,510
E02004796,New Forest 018,339
E02004797,New Forest 019,520
E02004798,New Forest 020,473
E02004799,New Forest 021,735
E02004800,New Forest 022,381
E02004801,New Forest 023,333
E02004802,Rushmoor 001,393
E02004803,Rushmoor 002,584
E02004804,Rushmoor 003,210
E02004805,Rushmoor 004,430
E02004806,Rushmoor 005,247
E02004807,Rushmoor 006,667
E02004808,Rushmoor 007,768
E02004809,Rushmoor 008,984
E02004810,Rushmoor 009,491
E02004811,Rushmoor 010,843
E02004812,Rushmoor 011,261
E02004813,Rushmoor 012,545
E02004814,Test Valley 001,238
E02004815,Test Valley 002,713
E02004817,Test Valley 004,699
E02004818,Test Valley 005,405
E02004819,Test Valley 006,540
E02004820,Test Valley 007,179
E02004821,Test Valley 008,124
E02004822,Test Valley 009,210
E02004823,Test Valley 010,410
E02004824,Test Valley 011,715
E02004825,Test Valley 012,441
E02004826,Test Valley 013,216
E02004827,Test Valley 014,123
E02004828,Test Valley 015,219
E02004829,Winchester 001,145
E02004830,Winchester 002,253
E02004831,Winchester 003,440
E02004832,Winchester 004,405
E02004833,Winchester 005,575
E02004834,Winchester 006,1076
E02004835,Winchester 007,1343
E02004836,Winchester 008,629
E02004837,Winchester 009,331
E02004838,Winchester 010,307
E02004839,Winchester 011,203
E02004840,Winchester 012,442
E02004841,Winchester 013,398
E02004842,Winchester 014,448
E02004843,Broxbourne 001,242
E02004844,Broxbourne 002,428
E02004845,Broxbourne 003,755
E02004846,Broxbourne 004,249
E02004847,Broxbourne 005,632
E02004848,Broxbourne 006,279
E02004849,Broxbourne 007,157
E02004850,Broxbourne 008,505
E02004851,Broxbourne 009,332
E02004852,Broxbourne 010,729
E02004853,Broxbourne 011,498
E02004854,Broxbourne 012,733
E02004855,Broxbourne 013,1058
E02004856,Dacorum 001,185
E02004857,Dacorum 002,267
E02004858,Dacorum 003,290
E02004859,Dacorum 004,152
E02004860,Dacorum 005,307
E02004861,Dacorum 006,290
E02004862,Dacorum 007,553
E02004863,Dacorum 008,790
E02004864,Dacorum 009,339
E02004865,Dacorum 010,469
E02004866,Dacorum 011,459
E02004867,Dacorum 012,316
E02004868,Dacorum 013,532
E02004869,Dacorum 014,303
E02004870,Dacorum 015,1153
E02004871,Dacorum 016,307
E02004872,Dacorum 017,322
E02004873,Dacorum 018,665
E02004874,Dacorum 019,404
E02004875,Dacorum 020,616
E02004876,Dacorum 021,240
E02004877,Dacorum 022,233
E02004878,East Hertfordshire 001,287
E02004880,East Hertfordshire 003,271
E02004881,East Hertfordshire 004,603
E02004882,East Hertfordshire 005,468
E02004883,East Hertfordshire 006,192
E02004884,East Hertfordshire 007,933
E02004885,East Hertfordshire 008,233
E02004886,East Hertfordshire 009,217
E02004887,East Hertfordshire 010,221
E02004888,East Hertfordshire 011,382
E02004889,East Hertfordshire 012,815
E02004890,East Hertfordshire 013,488
E02004891,East Hertfordshire 014,452
E02004892,East Hertfordshire 015,504
E02004893,East Hertfordshire 016,243
E02004894,East Hertfordshire 017,793
E02004895,East Hertfordshire 018,390
E02004896,Hertsmere 001,604
E02004897,Hertsmere 002,335
E02004898,Hertsmere 003,601
E02004899,Hertsmere 004,178
E02004900,Hertsmere 005,270
E02004901,Hertsmere 006,1006
E02004902,Hertsmere 007,642
E02004903,Hertsmere 008,369
E02004904,Hertsmere 009,526
E02004905,Hertsmere 010,220
E02004906,Hertsmere 011,768
E02004907,Hertsmere 012,628
E02004908,Hertsmere 013,472
E02004909,North Hertfordshire 001,491
E02004910,North Hertfordshire 002,605
E02004911,North Hertfordshire 003,715
E02004912,North Hertfordshire 004,703
E02004914,North Hertfordshire 006,674
E02004915,North Hertfordshire 007,528
E02004916,North Hertfordshire 008,515
E02004917,North Hertfordshire 009,510
E02004918,North Hertfordshire 010,752
E02004919,North Hertfordshire 011,479
E02004920,North Hertfordshire 012,1087
E02004921,North Hertfordshire 013,473
E02004922,North Hertfordshire 014,390
E02004923,North Hertfordshire 015,463
E02004924,St Albans 001,271
E02004925,St Albans 002,334
E02004926,St Albans 003,424
E02004927,St Albans 004,215
E02004928,St Albans 005,187
E02004929,St Albans 006,251
E02004930,St Albans 007,270
E02004931,St Albans 008,307
E02004932,St Albans 009,479
E02004933,St Albans 010,214
E02004934,St Albans 011,630
E02004935,St Albans 012,1154
E02004936,St Albans 013,233
E02004937,St Albans 014,331
E02004939,St Albans 016,486
E02004940,St Albans 017,565
E02004941,St Albans 018,467
E02004942,St Albans 019,286
E02004943,St Albans 020,233
E02004944,Stevenage 001,532
E02004945,Stevenage 002,796
E02004946,Stevenage 003,499
E02004948,Stevenage 005,574
E02004949,Stevenage 006,1095
E02004950,Stevenage 007,479
E02004951,Stevenage 008,1158
E02004952,Stevenage 009,473
E02004953,Stevenage 010,529
E02004954,Stevenage 011,602
E02004955,Stevenage 012,382
E02004956,Three Rivers 001,492
E02004957,Three Rivers 002,457
E02004958,Three Rivers 003,252
E02004959,Three Rivers 004,292
E02004960,Three Rivers 005,206
E02004961,Three Rivers 006,368
E02004962,Three Rivers 007,504
E02004963,Three Rivers 008,395
E02004964,Three Rivers 009,327
E02004965,Three Rivers 010,373
E02004966,Three Rivers 011,152
E02004967,Three Rivers 012,780
E02004968,Watford 001,502
E02004969,Watford 002,348
E02004970,Watford 003,634
E02004971,Watford 004,468
E02004972,Watford 005,329
E02004973,Watford 006,873
E02004974,Watford 007,678
E02004975,Watford 008,371
E02004976,Watford 009,2211
E02004977,Watford 010,961
E02004978,Watford 011,1017
E02004979,Watford 012,490
E02004980,Welwyn Hatfield 001,152
E02004981,Welwyn Hatfield 002,334
E02004982,Welwyn Hatfield 003,341
E02004983,Welwyn Hatfield 004,488
E02004984,Welwyn Hatfield 005,538
E02004985,Welwyn Hatfield 006,695
E02004986,Welwyn Hatfield 007,845
E02004987,Welwyn Hatfield 008,455
E02004988,Welwyn Hatfield 009,553
E02004989,Welwyn Hatfield 010,917
E02004990,Welwyn Hatfield 011,593
E02004991,Welwyn Hatfield 012,871
E02004992,Welwyn Hatfield 013,663
E02004994,Welwyn Hatfield 015,144
E02004995,Welwyn Hatfield 016,165
E02004996,Ashford 001,411
E02004997,Ashford 002,268
E02004998,Ashford 003,319
E02005000,Ashford 005,1409
E02005001,Ashford 006,543
E02005002,Ashford 007,872
E02005003,Ashford 008,662
E02005004,Ashford 009,572
E02005005,Ashford 010,259
E02005006,Ashford 011,164
E02005007,Ashford 012,314
E02005008,Ashford 013,587
E02005009,Ashford 014,215
E02005010,Canterbury 001,1205
E02005011,Canterbury 002,445
E02005012,Canterbury 003,722
E02005013,Canterbury 004,628
E02005014,Canterbury 005,429
E02005015,Canterbury 006,365
E02005016,Canterbury 007,668
E02005017,Canterbury 008,662
E02005018,Canterbury 009,406
E02005019,Canterbury 010,241
E02005020,Canterbury 011,529
E02005021,Canterbury 012,359
E02005022,Canterbury 013,936
E02005023,Canterbury 014,1465
E02005025,Canterbury 016,1000
E02005026,Canterbury 017,296
E02005027,Canterbury 018,189
E02005028,Dartford 001,1217
E02005029,Dartford 002,731
E02005030,Dartford 003,1120
E02005031,Dartford 004,666
E02005032,Dartford 005,896
E02005033,Dartford 006,602
E02005034,Dartford 007,269
E02005035,Dartford 008,443
E02005036,Dartford 009,651
E02005037,Dartford 010,281
E02005038,Dartford 011,269
E02005039,Dartford 012,300
E02005040,Dartford 013,255
E02005041,Dover 001,268
E02005042,Dover 002,587
E02005043,Dover 003,737
E02005044,Dover 004,798
E02005045,Dover 005,655
E02005046,Dover 006,480
E02005047,Dover 007,818
E02005048,Dover 008,218
E02005049,Dover 009,347
E02005050,Dover 010,486
E02005051,Dover 011,1689
E02005052,Dover 012,1320
E02005053,Dover 013,1426
E02005054,Dover 014,317
E02005055,Gravesham 001,872
E02005056,Gravesham 002,1954
E02005057,Gravesham 003,853
E02005058,Gravesham 004,696
E02005059,Gravesham 005,614
E02005060,Gravesham 006,592
E02005061,Gravesham 007,656
E02005062,Gravesham 008,318
E02005063,Gravesham 009,359
E02005064,Gravesham 010,247
E02005065,Gravesham 011,650
E02005066,Gravesham 012,267
E02005067,Gravesham 013,124
E02005068,Maidstone 001,127
E02005069,Maidstone 002,444
E02005070,Maidstone 003,456
E02005071,Maidstone 004,1807
E02005072,Maidstone 005,256
E02005073,Maidstone 006,1223
E02005074,Maidstone 007,301
E02005075,Maidstone 008,688
E02005076,Maidstone 009,723
E02005077,Maidstone 010,544
E02005078,Maidstone 011,345
E02005079,Maidstone 012,352
E02005080,Maidstone 013,1269
E02005081,Maidstone 014,285
E02005082,Maidstone 015,401
E02005083,Maidstone 016,327
E02005084,Maidstone 017,299
E02005085,Maidstone 018,298
E02005086,Maidstone 019,251
E02005087,Sevenoaks 001,290
E02005088,Sevenoaks 002,964
E02005089,Sevenoaks 003,328
E02005090,Sevenoaks 004,249
E02005091,Sevenoaks 005,319
E02005093,Sevenoaks 007,208
E02005094,Sevenoaks 008,359
E02005095,Sevenoaks 009,257
E02005096,Sevenoaks 010,608
E02005097,Sevenoaks 011,194
E02005098,Sevenoaks 012,613
E02005099,Sevenoaks 013,268
E02005100,Sevenoaks 014,569
E02005101,Sevenoaks 015,168
E02005102,Folkestone and Hythe 001,265
E02005103,Folkestone and Hythe 002,431
E02005104,Folkestone and Hythe 003,825
E02005105,Folkestone and Hythe 004,998
E02005106,Folkestone and Hythe 005,717
E02005107,Folkestone and Hythe 006,887
E02005109,Folkestone and Hythe 008,344
E02005110,Folkestone and Hythe 009,259
E02005111,Folkestone and Hythe 010,980
E02005112,Folkestone and Hythe 011,392
E02005113,Folkestone and Hythe 012,456
E02005114,Folkestone and Hythe 013,340
E02005115,Swale 001,882
E02005116,Swale 002,925
E02005117,Swale 003,328
E02005118,Swale 004,554
E02005119,Swale 005,450
E02005120,Swale 006,384
E02005121,Swale 007,530
E02005122,Swale 008,282
E02005123,Swale 009,586
E02005124,Swale 010,1272
E02005125,Swale 011,612
E02005126,Swale 012,541
E02005127,Swale 013,318
E02005128,Swale 014,584
E02005129,Swale 015,1194
E02005130,Swale 016,413
E02005131,Swale 017,210
E02005132,Thanet 001,2450
E02005133,Thanet 002,550
E02005134,Thanet 003,1354
E02005135,Thanet 004,817
E02005136,Thanet 005,586
E02005137,Thanet 006,891
E02005138,Thanet 007,943
E02005139,Thanet 008,837
E02005140,Thanet 009,642
E02005141,Thanet 010,797
E02005142,Thanet 011,640
E02005143,Thanet 012,744
E02005144,Thanet 013,1087
E02005145,Thanet 014,392
E02005146,Thanet 015,853
E02005147,Thanet 016,2077
E02005148,Thanet 017,556
E02005149,Tonbridge and Malling 001,358
E02005150,Tonbridge and Malling 002,669
E02005151,Tonbridge and Malling 003,644
E02005153,Tonbridge and Malling 005,545
E02005154,Tonbridge and Malling 006,343
E02005155,Tonbridge and Malling 007,253
E02005156,Tonbridge and Malling 008,313
E02005157,Tonbridge and Malling 009,535
E02005158,Tonbridge and Malling 010,252
E02005159,Tonbridge and Malling 011,422
E02005160,Tonbridge and Malling 012,1196
E02005161,Tonbridge and Malling 013,577
E02005162,Tunbridge Wells 001,519
E02005163,Tunbridge Wells 002,396
E02005164,Tunbridge Wells 003,647
E02005165,Tunbridge Wells 004,354
E02005166,Tunbridge Wells 005,646
E02005167,Tunbridge Wells 006,239
E02005168,Tunbridge Wells 007,529
E02005169,Tunbridge Wells 008,1411
E02005170,Tunbridge Wells 009,703
E02005171,Tunbridge Wells 010,608
E02005172,Tunbridge Wells 011,183
E02005173,Tunbridge Wells 012,519
E02005174,Tunbridge Wells 013,353
E02005175,Tunbridge Wells 014,373
E02005503,Breckland 001,252
E02005504,Breckland 002,314
E02005505,Breckland 003,527
E02005506,Breckland 004,258
E02005507,Breckland 005,944
E02005508,Breckland 006,220
E02005509,Breckland 007,707
E02005510,Breckland 008,310
E02005511,Breckland 009,646
E02005512,Breckland 010,267
E02005513,Breckland 011,694
E02005514,Breckland 012,240
E02005515,Breckland 013,191
E02005516,Breckland 014,211
E02005517,Breckland 015,679
E02005518,Breckland 016,744
E02005519,Breckland 017,818
E02005520,Broadland 001,584
E02005521,Broadland 002,283
E02005522,Broadland 003,175
E02005523,Broadland 004,231
E02005524,Broadland 005,193
E02005525,Broadland 006,384
E02005526,Broadland 007,241
E02005527,Broadland 008,291
E02005528,Broadland 009,467
E02005529,Broadland 010,413
E02005530,Broadland 011,321
E02005531,Broadland 012,357
E02005532,Broadland 013,607
E02005533,Broadland 014,322
E02005534,Broadland 015,543
E02005535,Broadland 016,352
E02005536,Broadland 017,247
E02005537,Broadland 018,336
E02005538,Great Yarmouth 001,488
E02005539,Great Yarmouth 002,288
E02005540,Great Yarmouth 003,752
E02005541,Great Yarmouth 004,798
E02005542,Great Yarmouth 005,1578
E02005543,Great Yarmouth 006,2227
E02005544,Great Yarmouth 007,1058
E02005545,Great Yarmouth 008,406
E02005546,Great Yarmouth 009,1242
E02005547,Great Yarmouth 010,835
E02005548,Great Yarmouth 011,910
E02005549,Great Yarmouth 012,253
E02005550,Great Yarmouth 013,478
E02005551,King's Lynn and West Norfolk 001,556
E02005552,King's Lynn and West Norfolk 002,272
E02005553,King's Lynn and West Norfolk 003,641
E02005554,King's Lynn and West Norfolk 004,382
E02005555,King's Lynn and West Norfolk 005,194
E02005556,King's Lynn and West Norfolk 006,433
E02005557,King's Lynn and West Norfolk 007,882
E02005558,King's Lynn and West Norfolk 008,346
E02005559,King's Lynn and West Norfolk 009,706
E02005560,King's Lynn and West Norfolk 010,853
E02005561,King's Lynn and West Norfolk 011,1921
E02005562,King's Lynn and West Norfolk 012,307
E02005563,King's Lynn and West Norfolk 013,244
E02005564,King's Lynn and West Norfolk 014,295
E02005565,King's Lynn and West Norfolk 015,269
E02005566,King's Lynn and West Norfolk 016,359
E02005567,King's Lynn and West Norfolk 017,979
E02005568,King's Lynn and West Norfolk 018,244
E02005569,King's Lynn and West Norfolk 019,267
E02005570,North Norfolk 001,671
E02005571,North Norfolk 002,390
E02005572,North Norfolk 003,1063
E02005573,North Norfolk 004,489
E02005574,North Norfolk 005,346
E02005575,North Norfolk 006,282
E02005576,North Norfolk 007,387
E02005577,North Norfolk 008,231
E02005578,North Norfolk 009,223
E02005580,North Norfolk 011,684
E02005581,North Norfolk 012,228
E02005582,North Norfolk 013,472
E02005583,North Norfolk 014,432
E02005584,Norwich 001,1270
E02005585,Norwich 002,1583
E02005586,Norwich 003,1535
E02005587,Norwich 004,1147
E02005588,Norwich 005,1335
E02005589,Norwich 006,1479
E02005592,Norwich 009,1123
E02005593,Norwich 010,928
E02005594,Norwich 011,2094
E02005595,Norwich 012,737
E02005596,Norwich 013,1453
E02005598,South Norfolk 002,318
E02005599,South Norfolk 003,318
E02005600,South Norfolk 004,183
E02005601,South Norfolk 005,520
E02005602,South Norfolk 006,495
E02005603,South Norfolk 007,540
E02005604,South Norfolk 008,424
E02005605,South Norfolk 009,333
E02005606,South Norfolk 010,153
E02005607,South Norfolk 011,396
E02005608,South Norfolk 012,278
E02005609,South Norfolk 013,456
E02005610,South Norfolk 014,262
E02005611,South Norfolk 015,933
E02005921,Cherwell 001,225
E02005922,Cherwell 002,473
E02005923,Cherwell 003,555
E02005924,Cherwell 004,1653
E02005925,Cherwell 005,817
E02005926,Cherwell 006,736
E02005927,Cherwell 007,422
E02005928,Cherwell 008,369
E02005929,Cherwell 009,199
E02005930,Cherwell 010,270
E02005931,Cherwell 011,251
E02005932,Cherwell 012,238
E02005933,Cherwell 013,465
E02005934,Cherwell 014,532
E02005935,Cherwell 015,769
E02005936,Cherwell 016,357
E02005937,Cherwell 017,579
E02005938,Cherwell 018,367
E02005939,Cherwell 019,418
E02005940,Oxford 001,573
E02005941,Oxford 002,846
E02005942,Oxford 003,617
E02005943,Oxford 004,613
E02005944,Oxford 005,952
E02005945,Oxford 006,1162
E02005946,Oxford 007,733
E02005947,Oxford 008,1353
E02005948,Oxford 009,1239
E02005949,Oxford 010,938
E02005950,Oxford 011,1733
E02005951,Oxford 012,902
E02005953,Oxford 014,763
E02005954,Oxford 015,1066
E02005955,Oxford 016,1104
E02005956,Oxford 017,803
E02005957,Oxford 018,780
E02005958,South Oxfordshire 001,250
E02005959,South Oxfordshire 002,213
E02005960,South Oxfordshire 003,432
E02005961,South Oxfordshire 004,266
E02005962,South Oxfordshire 005,257
E02005963,South Oxfordshire 006,391
E02005964,South Oxfordshire 007,224
E02005965,South Oxfordshire 008,186
E02005966,South Oxfordshire 009,322
E02005967,South Oxfordshire 010,522
E02005968,South Oxfordshire 011,185
E02005969,South Oxfordshire 012,624
E02005970,South Oxfordshire 013,496
E02005971,South Oxfordshire 014,440
E02005972,South Oxfordshire 015,404
E02005973,South Oxfordshire 016,445
E02005974,South Oxfordshire 017,405
E02005975,South Oxfordshire 018,237
E02005976,South Oxfordshire 019,126
E02005977,South Oxfordshire 020,222
E02005978,Vale of White Horse 001,342
E02005979,Vale of White Horse 002,710
E02005980,Vale of White Horse 003,369
E02005981,Vale of White Horse 004,319
E02005982,Vale of White Horse 005,342
E02005983,Vale of White Horse 006,1183
E02005984,Vale of White Horse 007,198
E02005985,Vale of White Horse 008,642
E02005986,Vale of White Horse 009,524
E02005987,Vale of White Horse 010,368
E02005988,Vale of White Horse 011,380
E02005991,Vale of White Horse 014,682
E02005992,Vale of White Horse 015,567
E02005993,West Oxfordshire 001,551
E02005994,West Oxfordshire 002,174
E02005995,West Oxfordshire 003,194
E02005996,West Oxfordshire 004,388
E02005997,West Oxfordshire 005,275
E02005998,West Oxfordshire 006,281
E02005999,West Oxfordshire 007,191
E02006000,West Oxfordshire 008,661
E02006001,West Oxfordshire 009,360
E02006002,West Oxfordshire 010,1016
E02006003,West Oxfordshire 011,329
E02006004,West Oxfordshire 012,216
E02006005,West Oxfordshire 013,298
E02006006,West Oxfordshire 014,356
E02006007,West Oxfordshire 015,225
E02006227,Babergh 001,306
E02006228,Babergh 002,173
E02006229,Babergh 003,371
E02006230,Babergh 004,547
E02006231,Babergh 005,349
E02006232,Babergh 006,190
E02006233,Babergh 007,1299
E02006234,Babergh 008,569
E02006235,Babergh 009,245
E02006236,Babergh 010,324
E02006237,Babergh 011,309
E02006238,West Suffolk 002,747
E02006239,West Suffolk 001,252
E02006240,West Suffolk 003,309
E02006241,West Suffolk 004,682
E02006242,West Suffolk 007,264
E02006243,West Suffolk 008,787
E02006245,Ipswich 001,658
E02006246,Ipswich 002,412
E02006247,Ipswich 003,864
E02006248,Ipswich 004,541
E02006249,Ipswich 005,782
E02006250,Ipswich 006,1558
E02006251,Ipswich 007,1950
E02006252,Ipswich 008,868
E02006253,Ipswich 009,522
E02006254,Ipswich 010,1307
E02006255,Ipswich 011,804
E02006256,Ipswich 012,1331
E02006257,Ipswich 013,721
E02006258,Ipswich 014,772
E02006259,Ipswich 015,900
E02006260,Ipswich 016,775
E02006261,Mid Suffolk 001,301
E02006262,Mid Suffolk 002,279
E02006263,Mid Suffolk 003,219
E02006264,Mid Suffolk 004,275
E02006265,Mid Suffolk 005,326
E02006266,Mid Suffolk 006,388
E02006267,Mid Suffolk 007,208
E02006268,Mid Suffolk 008,678
E02006269,Mid Suffolk 009,272
E02006270,Mid Suffolk 010,655
E02006271,Mid Suffolk 011,379
E02006272,Mid Suffolk 012,354
E02006273,West Suffolk 005,285
E02006274,West Suffolk 006,235
E02006275,West Suffolk 009,688
E02006276,West Suffolk 016,393
E02006277,West Suffolk 012,269
E02006278,West Suffolk 011,1153
E02006279,West Suffolk 014,830
E02006280,West Suffolk 010,286
E02006281,West Suffolk 013,890
E02006282,West Suffolk 017,346
E02006283,West Suffolk 018,186
E02006284,West Suffolk 019,632
E02006285,West Suffolk 021,451
E02006286,West Suffolk 020,945
E02006287,East Suffolk 016,213
E02006288,East Suffolk 017,357
E02006289,East Suffolk 018,572
E02006290,East Suffolk 019,657
E02006291,East Suffolk 020,440
E02006292,East Suffolk 021,184
E02006293,East Suffolk 023,307
E02006294,East Suffolk 022,686
E02006295,East Suffolk 024,466
E02006296,East Suffolk 025,467
E02006297,East Suffolk 026,234
E02006298,East Suffolk 027,404
E02006299,East Suffolk 028,504
E02006300,East Suffolk 029,936
E02006301,East Suffolk 030,726
E02006302,East Suffolk 001,339
E02006303,East Suffolk 002,941
E02006304,East Suffolk 003,566
E02006305,East Suffolk 004,1672
E02006306,East Suffolk 005,682
E02006307,East Suffolk 007,326
E02006308,East Suffolk 006,1605
E02006309,East Suffolk 009,705
E02006310,East Suffolk 008,411
E02006311,East Suffolk 010,821
E02006312,East Suffolk 011,344
E02006313,East Suffolk 012,658
E02006314,East Suffolk 013,426
E02006315,East Suffolk 014,379
E02006316,East Suffolk 015,533
E02006317,Elmbridge 001,273
E02006318,Elmbridge 002,375
E02006319,Elmbridge 003,481
E02006320,Elmbridge 004,403
E02006321,Elmbridge 005,233
E02006322,Elmbridge 006,308
E02006323,Elmbridge 007,561
E02006324,Elmbridge 008,294
E02006325,Elmbridge 009,254
E02006326,Elmbridge 010,400
E02006327,Elmbridge 011,266
E02006328,Elmbridge 012,560
E02006329,Elmbridge 013,252
E02006330,Elmbridge 014,509
E02006331,Elmbridge 015,261
E02006332,Elmbridge 016,158
E02006333,Elmbridge 017,444
E02006334,Elmbridge 018,162
E02006335,Epsom and Ewell 001,395
E02006336,Epsom and Ewell 002,389
E02006337,Epsom and Ewell 003,286
E02006338,Epsom and Ewell 004,251
E02006339,Epsom and Ewell 005,468
E02006341,Epsom and Ewell 007,778
E02006342,Epsom and Ewell 008,1112
E02006343,Epsom and Ewell 009,299
E02006344,Guildford 001,240
E02006345,Guildford 002,174
E02006346,Guildford 003,218
E02006347,Guildford 004,238
E02006348,Guildford 005,369
E02006349,Guildford 006,490
E02006350,Guildford 007,456
E02006351,Guildford 008,376
E02006352,Guildford 009,325
E02006353,Guildford 010,344
E02006354,Guildford 011,352
E02006355,Guildford 012,666
E02006356,Guildford 013,1622
E02006357,Guildford 014,241
E02006358,Guildford 015,784
E02006359,Guildford 016,443
E02006360,Guildford 017,250
E02006361,Guildford 018,128
E02006362,Mole Valley 001,273
E02006363,Mole Valley 002,216
E02006364,Mole Valley 003,688
E02006365,Mole Valley 004,392
E02006366,Mole Valley 005,202
E02006367,Mole Valley 006,259
E02006368,Mole Valley 007,271
E02006369,Mole Valley 008,232
E02006370,Mole Valley 009,441
E02006371,Mole Valley 010,508
E02006372,Mole Valley 011,343
E02006373,Mole Valley 012,204
E02006374,Mole Valley 013,258
E02006375,Reigate and Banstead 001,166
E02006376,Reigate and Banstead 002,431
E02006377,Reigate and Banstead 003,148
E02006378,Reigate and Banstead 004,215
E02006379,Reigate and Banstead 005,454
E02006380,Reigate and Banstead 006,214
E02006381,Reigate and Banstead 007,171
E02006382,Reigate and Banstead 008,493
E02006383,Reigate and Banstead 009,444
E02006384,Reigate and Banstead 010,1077
E02006385,Reigate and Banstead 011,969
E02006386,Reigate and Banstead 012,454
E02006387,Reigate and Banstead 013,319
E02006388,Reigate and Banstead 014,629
E02006389,Reigate and Banstead 015,362
E02006390,Reigate and Banstead 016,438
E02006391,Reigate and Banstead 017,252
E02006392,Reigate and Banstead 018,819
E02006393,Runnymede 001,750
E02006394,Runnymede 002,667
E02006395,Runnymede 003,565
E02006396,Runnymede 004,257
E02006397,Runnymede 005,141
E02006398,Runnymede 006,561
E02006399,Runnymede 007,650
E02006400,Runnymede 008,256
E02006401,Runnymede 009,653
E02006402,Runnymede 010,336
E02006403,Spelthorne 001,508
E02006404,Spelthorne 002,499
E02006405,Spelthorne 003,588
E02006406,Spelthorne 004,945
E02006407,Spelthorne 005,535
E02006408,Spelthorne 006,505
E02006409,Spelthorne 007,392
E02006410,Spelthorne 008,577
E02006411,Spelthorne 009,387
E02006412,Spelthorne 010,350
E02006413,Spelthorne 011,284
E02006414,Spelthorne 012,237
E02006415,Spelthorne 013,350
E02006416,Surrey Heath 001,236
E02006417,Surrey Heath 002,269
E02006418,Surrey Heath 003,206
E02006419,Surrey Heath 004,562
E02006420,Surrey Heath 005,325
E02006421,Surrey Heath 006,172
E02006422,Surrey Heath 007,141
E02006423,Surrey Heath 008,745
E02006424,Surrey Heath 009,137
E02006425,Surrey Heath 010,370
E02006426,Surrey Heath 011,159
E02006427,Surrey Heath 012,239
E02006429,Tandridge 002,463
E02006430,Tandridge 003,473
E02006431,Tandridge 004,721
E02006432,Tandridge 005,321
E02006433,Tandridge 006,395
E02006434,Tandridge 007,258
E02006435,Tandridge 008,218
E02006436,Tandridge 009,225
E02006437,Tandridge 010,322
E02006438,Tandridge 011,251
E02006439,Waverley 001,300
E02006440,Waverley 002,238
E02006441,Waverley 003,802
E02006442,Waverley 004,184
E02006443,Waverley 005,592
E02006444,Waverley 006,306
E02006445,Waverley 007,451
E02006446,Waverley 008,253
E02006447,Waverley 009,207
E02006448,Waverley 010,313
E02006449,Waverley 011,316
E02006450,Waverley 012,171
E02006451,Waverley 013,511
E02006453,Waverley 015,290
E02006454,Waverley 016,362
E02006455,Waverley 017,319
E02006456,Woking 001,388
E02006457,Woking 002,347
E02006458,Woking 003,384
E02006459,Woking 004,822
E02006460,Woking 005,648
E02006461,Woking 006,304
E02006462,Woking 007,395
E02006463,Woking 008,1446
E02006464,Woking 009,405
E02006465,Woking 010,260
E02006466,Woking 011,506
E02006467,Woking 012,192
E02006534,Adur 001,535
E02006535,Adur 002,370
E02006536,Adur 003,307
E02006537,Adur 004,1075
E02006538,Adur 005,872
E02006539,Adur 006,555
E02006540,Adur 007,518
E02006541,Adur 008,878
E02006542,Arun 001,331
E02006543,Arun 002,232
E02006544,Arun 003,430
E02006545,Arun 004,813
E02006546,Arun 005,664
E02006547,Arun 006,280
E02006548,Arun 007,589
E02006549,Arun 008,347
E02006550,Arun 009,722
E02006551,Arun 010,730
E02006552,Arun 011,1127
E02006553,Arun 012,538
E02006554,Arun 013,421
E02006555,Arun 014,794
