Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_cars
E02000333,Greenwich 021,1037
E02000334,Greenwich 022,680
E02000335,Greenwich 023,593
E02000337,Greenwich 025,934
E02000339,Greenwich 027,815
E02000340,Greenwich 028,1023
E02000341,Greenwich 029,969
E02000342,Greenwich 030,738
E02000343,Greenwich 031,738
E02000344,Greenwich 032,443
E02000345,Hackney 001,1432
E02000346,Hackney 002,2775
E02000347,Hackney 003,1486
E02000348,Hackney 004,1676
E02000350,Hackney 006,2260
E02000351,Hackney 007,2796
E02000352,Hackney 008,1523
E02000353,Hackney 009,1807
E02000354,Hackney 010,2490
E02000355,Hackney 011,1723
E02000356,Hackney 012,1791
E02000357,Hackney 013,1700
E02000358,Hackney 014,3248
E02000359,Hackney 015,1270
E02000360,Hackney 016,3264
E02000361,Hackney 017,2596
E02000362,Hackney 018,1680
E02000363,Hackney 019,3011
E02000364,Hackney 020,2638
E02000366,Hackney 022,2079
E02000367,Hackney 023,3108
E02000368,Hackney 024,2730
E02000369,Hackney 025,4166
E02000370,Hackney 026,2848
E02000372,Hammersmith and Fulham 001,2418
E02000373,Hammersmith and Fulham 002,1545
E02000374,Hammersmith and Fulham 003,1328
E02000375,Hammersmith and Fulham 004,2315
E02000376,Hammersmith and Fulham 005,2128
E02000377,Hammersmith and Fulham 006,2019
E02000378,Hammersmith and Fulham 007,2176
E02000379,Hammersmith and Fulham 008,1418
E02000380,Hammersmith and Fulham 009,1255
E02000381,Hammersmith and Fulham 010,2038
E02000382,Hammersmith and Fulham 011,1506
E02000383,Hammersmith and Fulham 012,2769
E02000384,Hammersmith and Fulham 013,2581
E02000385,Hammersmith and Fulham 014,1886
E02000386,Hammersmith and Fulham 015,2221
E02000387,Hammersmith and Fulham 016,1613
E02000388,Hammersmith and Fulham 017,2534
E02000389,Hammersmith and Fulham 018,1738
E02000390,Hammersmith and Fulham 019,1417
E02000391,Hammersmith and Fulham 020,1608
E02000392,Hammersmith and Fulham 021,2163
E02000393,Hammersmith and Fulham 022,1185
E02000394,Hammersmith and Fulham 023,2363
E02000395,Hammersmith and Fulham 024,1210
E02000396,Hammersmith and Fulham 025,1248
E02000397,Haringey 001,1884
E02000398,Haringey 002,1653
E02000400,Haringey 004,1257
E02000401,Haringey 005,1099
E02000402,Haringey 006,1164
E02000403,Haringey 007,1743
E02000404,Haringey 008,1414
E02000405,Haringey 009,666
E02000406,Haringey 010,1460
E02000407,Haringey 011,1854
E02000408,Haringey 012,1773
E02000409,Haringey 013,1293
E02000410,Haringey 014,963
E02000411,Haringey 015,2299
E02000412,Haringey 016,1873
E02000413,Haringey 017,1016
E02000414,Haringey 018,1560
E02000415,Haringey 019,1661
E02000416,Haringey 020,2114
E02000417,Haringey 021,1100
E02000418,Haringey 022,693
E02000419,Haringey 023,2280
E02000420,Haringey 024,2149
E02000421,Haringey 025,2067
E02000422,Haringey 026,1706
E02000423,Haringey 027,1684
E02000424,Haringey 028,1448
E02000425,Haringey 029,1091
E02000426,Haringey 030,1039
E02000427,Haringey 031,1703
E02000428,Haringey 032,1770
E02000429,Haringey 033,1392
E02000430,Haringey 034,1657
E02000431,Haringey 035,1373
E02000432,Haringey 036,1640
E02000433,Harrow 001,851
E02000434,Harrow 002,807
E02000435,Harrow 003,528
E02000436,Harrow 004,177
E02000437,Harrow 005,658
E02000438,Harrow 006,662
E02000439,Harrow 007,805
E02000440,Harrow 008,373
E02000441,Harrow 009,577
E02000442,Harrow 010,531
E02000443,Harrow 011,1204
E02000444,Harrow 012,488
E02000445,Harrow 013,1264
E02000447,Harrow 015,461
E02000448,Harrow 016,555
E02000449,Harrow 017,644
E02000451,Harrow 019,370
E02000452,Harrow 020,1439
E02000453,Harrow 021,900
E02000454,Harrow 022,283
E02000455,Harrow 023,2290
E02000456,Harrow 024,800
E02000457,Harrow 025,608
E02000459,Harrow 027,1157
E02000460,Harrow 028,633
E02000461,Harrow 029,667
E02000462,Harrow 030,641
E02000463,Harrow 031,649
E02000464,Havering 001,649
E02000465,Havering 002,910
E02000466,Havering 003,667
E02000467,Havering 004,1452
E02000468,Havering 005,538
E02000469,Havering 006,726
E02000470,Havering 007,762
E02000471,Havering 008,339
E02000472,Havering 009,576
E02000473,Havering 010,610
E02000474,Havering 011,860
E02000475,Havering 012,793
E02000476,Havering 013,1874
E02000477,Havering 014,510
E02000478,Havering 015,222
E02000479,Havering 016,1104
E02000480,Havering 017,1526
E02000481,Havering 018,556
E02000482,Havering 019,354
E02000483,Havering 020,934
E02000484,Havering 021,506
E02000485,Havering 022,648
E02000486,Havering 023,613
E02000487,Havering 024,248
E02000488,Havering 025,442
E02000489,Havering 026,690
E02000490,Havering 027,693
E02000491,Havering 028,942
E02000492,Havering 029,386
E02000493,Havering 030,675
E02000494,Hillingdon 001,507
E02000495,Hillingdon 002,992
E02000496,Hillingdon 003,504
E02000497,Hillingdon 004,637
E02000498,Hillingdon 005,424
E02000499,Hillingdon 006,481
E02000500,Hillingdon 007,610
E02000501,Hillingdon 008,460
E02000502,Hillingdon 009,681
E02000503,Hillingdon 010,409
E02000504,Hillingdon 011,296
E02000506,Hillingdon 013,358
E02000507,Hillingdon 014,393
E02000508,Hillingdon 015,1272
E02000509,Hillingdon 016,1215
E02000510,Hillingdon 017,627
E02000511,Hillingdon 018,595
E02000512,Hillingdon 019,737
E02000513,Hillingdon 020,899
E02000514,Hillingdon 021,676
E02000515,Hillingdon 022,1661
E02000516,Hillingdon 023,582
E02000517,Hillingdon 024,794
E02000518,Hillingdon 025,789
E02000519,Hillingdon 026,937
E02000520,Hillingdon 027,1414
E02000521,Hillingdon 028,1013
E02000522,Hillingdon 029,902
E02000523,Hillingdon 030,1126
E02000524,Hillingdon 031,633
E02000525,Hillingdon 032,1039
E02000526,Hounslow 001,1334
E02000529,Hounslow 004,733
E02000530,Hounslow 005,767
E02000531,Hounslow 006,1801
E02000532,Hounslow 007,1260
E02000533,Hounslow 008,1230
E02000534,Hounslow 009,655
E02000535,Hounslow 010,724
E02000536,Hounslow 011,862
E02000537,Hounslow 012,993
E02000538,Hounslow 013,895
E02000539,Hounslow 014,1374
E02000540,Hounslow 015,1937
E02000541,Hounslow 016,1273
E02000542,Hounslow 017,1693
E02000543,Hounslow 018,2411
E02000544,Hounslow 019,617
E02000545,Hounslow 020,1129
E02000546,Hounslow 021,876
E02000547,Hounslow 022,1117
E02000548,Hounslow 023,991
E02000549,Hounslow 024,990
E02000550,Hounslow 025,1174
E02000551,Hounslow 026,1095
E02000552,Hounslow 027,697
E02000553,Hounslow 028,569
E02000554,Islington 001,2699
E02000555,Islington 002,2353
E02000556,Islington 003,3215
E02000557,Islington 004,2796
E02000558,Islington 005,2772
E02000559,Islington 006,2328
E02000560,Islington 007,2250
E02000561,Islington 008,1668
E02000562,Islington 009,2115
E02000563,Islington 010,2622
E02000564,Islington 011,4112
E02000565,Islington 012,2300
E02000566,Islington 013,2316
E02000567,Islington 014,3316
E02000568,Islington 015,3263
E02000569,Islington 016,3020
E02000570,Islington 017,2399
E02000571,Islington 018,2836
E02000572,Islington 019,2450
E02000573,Islington 020,3360
E02000574,Islington 021,2617
E02000575,Islington 022,3884
E02000576,Islington 023,3842
E02000577,Kensington and Chelsea 001,2095
E02000578,Kensington and Chelsea 002,1284
E02000579,Kensington and Chelsea 003,2028
E02000580,Kensington and Chelsea 004,2668
E02000581,Kensington and Chelsea 005,1866
E02000582,Kensington and Chelsea 006,2056
E02000583,Kensington and Chelsea 007,1598
E02000584,Kensington and Chelsea 008,1745
E02000585,Kensington and Chelsea 009,1729
E02000586,Kensington and Chelsea 010,1534
E02000587,Kensington and Chelsea 011,1593
E02000588,Kensington and Chelsea 012,1709
E02000589,Kensington and Chelsea 013,2436
E02000590,Kensington and Chelsea 014,1954
E02000591,Kensington and Chelsea 015,2245
E02000592,Kensington and Chelsea 016,1684
E02000593,Kensington and Chelsea 017,2378
E02000594,Kensington and Chelsea 018,1424
E02000595,Kensington and Chelsea 019,1558
E02000596,Kensington and Chelsea 020,1628
E02000597,Kensington and Chelsea 021,1790
E02000598,Kingston upon Thames 001,495
E02000599,Kingston upon Thames 002,263
E02000600,Kingston upon Thames 003,1100
E02000601,Kingston upon Thames 004,1604
E02000602,Kingston upon Thames 005,1718
E02000603,Kingston upon Thames 006,807
E02000604,Kingston upon Thames 007,1004
E02000605,Kingston upon Thames 008,668
E02000606,Kingston upon Thames 009,1846
E02000607,Kingston upon Thames 010,597
E02000608,Kingston upon Thames 011,1366
E02000609,Kingston upon Thames 012,489
E02000610,Kingston upon Thames 013,1440
E02000611,Kingston upon Thames 014,306
E02000612,Kingston upon Thames 015,414
E02000613,Kingston upon Thames 016,672
E02000614,Kingston upon Thames 017,702
E02000615,Kingston upon Thames 018,473
E02000616,Kingston upon Thames 019,319
E02000617,Kingston upon Thames 020,587
E02000619,Lambeth 002,2772
E02000620,Lambeth 003,3122
E02000621,Lambeth 004,4373
E02000622,Lambeth 005,2319
E02000623,Lambeth 006,2196
E02000624,Lambeth 007,2757
E02000625,Lambeth 008,2522
E02000626,Lambeth 009,2183
E02000627,Lambeth 010,2522
E02000628,Lambeth 011,3117
E02000629,Lambeth 012,2395
E02000630,Lambeth 013,1977
E02000631,Lambeth 014,1985
E02000632,Lambeth 015,2625
E02000633,Lambeth 016,2665
E02000634,Lambeth 017,1991
E02000635,Lambeth 018,2604
E02000636,Lambeth 019,1312
E02000637,Lambeth 020,2160
E02000638,Lambeth 021,2380
E02000639,Lambeth 022,2333
E02000640,Lambeth 023,1694
E02000641,Lambeth 024,1967
E02000642,Lambeth 025,2052
E02000643,Lambeth 026,2036
E02000644,Lambeth 027,1547
E02000645,Lambeth 028,1930
E02000646,Lambeth 029,1984
E02000647,Lambeth 030,1331
E02000648,Lambeth 031,1567
E02000649,Lambeth 032,2883
E02000650,Lambeth 033,1570
E02000651,Lambeth 034,1610
E02000652,Lambeth 035,938
E02000653,Lewisham 001,3342
E02000654,Lewisham 002,2156
E02000655,Lewisham 003,2356
E02000657,Lewisham 005,2427
E02000658,Lewisham 006,1892
E02000659,Lewisham 007,1765
E02000660,Lewisham 008,1929
E02000661,Lewisham 009,1475
E02000662,Lewisham 010,1629
E02000663,Lewisham 011,1328
E02000665,Lewisham 013,1558
E02000666,Lewisham 014,1167
E02000667,Lewisham 015,913
E02000668,Lewisham 016,887
E02000669,Lewisham 017,1612
E02000670,Lewisham 018,1464
E02000671,Lewisham 019,1617
E02000672,Lewisham 020,2332
E02000673,Lewisham 021,1492
E02000674,Lewisham 022,987
E02000675,Lewisham 023,1051
E02000676,Lewisham 024,1274
E02000677,Lewisham 025,853
E02000678,Lewisham 026,913
E02000679,Lewisham 027,1487
E02000680,Lewisham 028,1370
E02000681,Lewisham 029,1375
E02000682,Lewisham 030,1171
E02000683,Lewisham 031,1104
E02000685,Lewisham 033,1559
E02000686,Lewisham 034,1409
E02000687,Lewisham 035,1512
E02000689,Merton 001,1127
E02000690,Merton 002,413
E02000691,Merton 003,1124
E02000692,Merton 004,1353
E02000693,Merton 005,2062
E02000694,Merton 006,1504
E02000695,Merton 007,989
E02000696,Merton 008,1406
E02000697,Merton 009,1548
E02000698,Merton 010,637
