Middle layer Super Output Areas Code,Middle layer Super Output Areas,Flats
E02004731,Fareham 005,367
E02004732,Fareham 006,338
E02004733,Fareham 007,335
E02004734,Fareham 008,766
E02004735,Fareham 009,194
E02004736,Fareham 010,169
E02004737,Fareham 011,1029
E02004738,Fareham 012,345
E02004739,Fareham 013,178
E02004740,Fareham 014,188
E02004741,Gosport 001,269
E02004742,Gosport 002,497
E02004743,Gosport 003,144
E02004744,Gosport 004,1217
E02004745,Gosport 005,932
E02004746,Gosport 006,939
E02004747,Gosport 007,336
E02004748,Gosport 008,2300
E02004749,Gosport 009,353
E02004750,Gosport 010,330
E02004751,Hart 001,335
E02004752,Hart 002,124
E02004753,Hart 003,363
E02004754,Hart 004,283
E02004755,Hart 005,1499
E02004756,Hart 006,407
E02004757,Hart 007,131
E02004758,Hart 008,571
E02004759,Hart 009,252
E02004760,Hart 010,367
E02004761,Hart 011,165
E02004764,Havant 003,476
E02004765,Havant 004,200
E02004766,Havant 005,743
E02004767,Havant 006,559
E02004768,Havant 007,310
E02004769,Havant 008,491
E02004770,Havant 009,716
E02004771,Havant 010,728
E02004772,Havant 011,608
E02004774,Havant 013,454
E02004775,Havant 014,777
E02004776,Havant 015,216
E02004777,Havant 016,767
E02004778,Havant 017,487
E02004779,New Forest 001,378
E02004780,New Forest 002,192
E02004781,New Forest 003,257
E02004782,New Forest 004,573
E02004783,New Forest 005,183
E02004784,New Forest 006,28
E02004785,New Forest 007,155
E02004786,New Forest 008,434
E02004787,New Forest 009,627
E02004788,New Forest 010,89
E02004789,New Forest 011,514
E02004790,New Forest 012,716
E02004791,New Forest 013,134
E02004792,New Forest 014,141
E02004793,New Forest 015,137
E02004794,New Forest 016,64
E02004795,New Forest 017,683
E02004796,New Forest 018,98
E02004797,New Forest 019,470
E02004798,New Forest 020,526
E02004799,New Forest 021,1105
E02004800,New Forest 022,448
E02004801,New Forest 023,570
E02004802,Rushmoor 001,595
E02004803,Rushmoor 002,559
E02004804,Rushmoor 003,162
E02004805,Rushmoor 004,816
E02004806,Rushmoor 005,179
E02004807,Rushmoor 006,995
E02004808,Rushmoor 007,1572
E02004809,Rushmoor 008,1743
E02004810,Rushmoor 009,922
E02004811,Rushmoor 010,873
E02004812,Rushmoor 011,264
E02004813,Rushmoor 012,441
E02004814,Test Valley 001,157
E02004815,Test Valley 002,282
E02004817,Test Valley 004,623
E02004818,Test Valley 005,263
E02004819,Test Valley 006,594
E02004820,Test Valley 007,88
E02004821,Test Valley 008,79
E02004822,Test Valley 009,143
E02004823,Test Valley 010,307
E02004824,Test Valley 011,816
E02004825,Test Valley 012,338
E02004826,Test Valley 013,320
E02004827,Test Valley 014,45
E02004828,Test Valley 015,263
E02004829,Winchester 001,98
E02004830,Winchester 002,278
E02004831,Winchester 003,276
E02004832,Winchester 004,281
E02004833,Winchester 005,597
E02004834,Winchester 006,1058
E02004835,Winchester 007,1616
E02004836,Winchester 008,507
E02004837,Winchester 009,160
E02004838,Winchester 010,241
E02004839,Winchester 011,80
E02004840,Winchester 012,459
E02004841,Winchester 013,572
E02004842,Winchester 014,519
E02004843,Broxbourne 001,258
E02004844,Broxbourne 002,348
E02004845,Broxbourne 003,1605
E02004846,Broxbourne 004,304
E02004847,Broxbourne 005,1450
E02004848,Broxbourne 006,514
E02004849,Broxbourne 007,98
E02004850,Broxbourne 008,691
E02004851,Broxbourne 009,369
E02004852,Broxbourne 010,879
E02004853,Broxbourne 011,421
E02004854,Broxbourne 012,793
E02004855,Broxbourne 013,1459
E02004856,Dacorum 001,170
E02004857,Dacorum 002,283
E02004858,Dacorum 003,156
E02004859,Dacorum 004,165
E02004860,Dacorum 005,965
E02004861,Dacorum 006,188
E02004862,Dacorum 007,763
E02004863,Dacorum 008,868
E02004864,Dacorum 009,658
E02004865,Dacorum 010,631
E02004866,Dacorum 011,373
E02004867,Dacorum 012,462
E02004868,Dacorum 013,980
E02004869,Dacorum 014,487
E02004870,Dacorum 015,2086
E02004871,Dacorum 016,227
E02004872,Dacorum 017,380
E02004873,Dacorum 018,1427
E02004874,Dacorum 019,299
E02004875,Dacorum 020,864
E02004876,Dacorum 021,377
E02004877,Dacorum 022,275
E02004878,East Hertfordshire 001,272
E02004880,East Hertfordshire 003,385
E02004881,East Hertfordshire 004,709
E02004882,East Hertfordshire 005,511
E02004883,East Hertfordshire 006,209
E02004884,East Hertfordshire 007,1066
E02004885,East Hertfordshire 008,249
E02004886,East Hertfordshire 009,148
E02004887,East Hertfordshire 010,269
E02004888,East Hertfordshire 011,451
E02004889,East Hertfordshire 012,1125
E02004890,East Hertfordshire 013,1265
E02004891,East Hertfordshire 014,464
E02004892,East Hertfordshire 015,655
E02004893,East Hertfordshire 016,425
E02004894,East Hertfordshire 017,1693
E02004895,East Hertfordshire 018,529
E02004896,Hertsmere 001,654
E02004897,Hertsmere 002,361
E02004898,Hertsmere 003,650
E02004899,Hertsmere 004,210
E02004900,Hertsmere 005,573
E02004901,Hertsmere 006,1587
E02004902,Hertsmere 007,739
E02004903,Hertsmere 008,705
E02004904,Hertsmere 009,902
E02004905,Hertsmere 010,539
E02004906,Hertsmere 011,1256
E02004907,Hertsmere 012,1219
E02004908,Hertsmere 013,1180
E02004909,North Hertfordshire 001,569
E02004910,North Hertfordshire 002,754
E02004911,North Hertfordshire 003,715
E02004912,North Hertfordshire 004,696
E02004914,North Hertfordshire 006,807
E02004915,North Hertfordshire 007,428
E02004916,North Hertfordshire 008,399
E02004917,North Hertfordshire 009,491
E02004918,North Hertfordshire 010,1167
E02004919,North Hertfordshire 011,493
E02004920,North Hertfordshire 012,1331
E02004921,North Hertfordshire 013,666
E02004922,North Hertfordshire 014,274
E02004923,North Hertfordshire 015,532
E02004924,St Albans 001,380
E02004925,St Albans 002,528
E02004926,St Albans 003,840
E02004927,St Albans 004,325
E02004928,St Albans 005,147
E02004929,St Albans 006,246
E02004930,St Albans 007,436
E02004931,St Albans 008,613
E02004932,St Albans 009,353
E02004933,St Albans 010,193
E02004934,St Albans 011,1325
E02004935,St Albans 012,1851
E02004936,St Albans 013,290
E02004937,St Albans 014,293
E02004939,St Albans 016,590
E02004940,St Albans 017,753
E02004941,St Albans 018,928
E02004942,St Albans 019,372
E02004943,St Albans 020,337
E02004944,Stevenage 001,762
E02004945,Stevenage 002,910
E02004946,Stevenage 003,665
E02004948,Stevenage 005,758
E02004949,Stevenage 006,1325
E02004950,Stevenage 007,260
E02004951,Stevenage 008,1131
E02004952,Stevenage 009,355
E02004953,Stevenage 010,203
E02004954,Stevenage 011,607
E02004955,Stevenage 012,272
E02004956,Three Rivers 001,682
E02004957,Three Rivers 002,617
E02004958,Three Rivers 003,329
E02004959,Three Rivers 004,634
E02004960,Three Rivers 005,317
E02004961,Three Rivers 006,442
E02004962,Three Rivers 007,771
E02004963,Three Rivers 008,320
E02004964,Three Rivers 009,463
E02004965,Three Rivers 010,309
E02004966,Three Rivers 011,370
E02004967,Three Rivers 012,1054
E02004968,Watford 001,821
E02004969,Watford 002,412
E02004970,Watford 003,1082
E02004971,Watford 004,671
E02004972,Watford 005,422
E02004973,Watford 006,554
E02004974,Watford 007,1338
E02004975,Watford 008,728
E02004976,Watford 009,2440
E02004977,Watford 010,492
E02004978,Watford 011,1835
E02004979,Watford 012,616
E02004980,Welwyn Hatfield 001,129
E02004981,Welwyn Hatfield 002,397
E02004982,Welwyn Hatfield 003,240
E02004983,Welwyn Hatfield 004,573
E02004984,Welwyn Hatfield 005,967
E02004985,Welwyn Hatfield 006,744
E02004986,Welwyn Hatfield 007,1120
E02004987,Welwyn Hatfield 008,491
E02004988,Welwyn Hatfield 009,846
E02004989,Welwyn Hatfield 010,1313
E02004990,Welwyn Hatfield 011,752
E02004991,Welwyn Hatfield 012,1037
E02004992,Welwyn Hatfield 013,401
E02004994,Welwyn Hatfield 015,199
E02004995,Welwyn Hatfield 016,222
E02004996,Ashford 001,253
E02004997,Ashford 002,116
E02004998,Ashford 003,156
E02005000,Ashford 005,1191
E02005001,Ashford 006,188
E02005002,Ashford 007,779
E02005003,Ashford 008,511
E02005004,Ashford 009,454
E02005005,Ashford 010,193
E02005006,Ashford 011,56
E02005007,Ashford 012,170
E02005008,Ashford 013,452
E02005009,Ashford 014,68
E02005010,Canterbury 001,1036
E02005011,Canterbury 002,139
E02005012,Canterbury 003,428
E02005013,Canterbury 004,296
E02005014,Canterbury 005,172
E02005015,Canterbury 006,192
E02005016,Canterbury 007,464
E02005017,Canterbury 008,384
E02005018,Canterbury 009,249
E02005019,Canterbury 010,148
E02005020,Canterbury 011,218
E02005021,Canterbury 012,147
E02005022,Canterbury 013,576
E02005023,Canterbury 014,1161
E02005025,Canterbury 016,787
E02005026,Canterbury 017,203
E02005027,Canterbury 018,80
E02005028,Dartford 001,1792
E02005029,Dartford 002,1973
E02005030,Dartford 003,1627
E02005031,Dartford 004,989
E02005032,Dartford 005,829
E02005033,Dartford 006,990
E02005034,Dartford 007,82
E02005035,Dartford 008,356
E02005036,Dartford 009,479
E02005037,Dartford 010,97
E02005038,Dartford 011,177
E02005039,Dartford 012,252
E02005040,Dartford 013,120
E02005041,Dover 001,74
E02005042,Dover 002,275
E02005043,Dover 003,401
E02005044,Dover 004,517
E02005045,Dover 005,272
E02005046,Dover 006,295
E02005047,Dover 007,565
E02005048,Dover 008,22
E02005049,Dover 009,138
E02005050,Dover 010,344
E02005051,Dover 011,1017
E02005052,Dover 012,1291
E02005053,Dover 013,816
E02005054,Dover 014,153
E02005055,Gravesham 001,1127
E02005056,Gravesham 002,2243
E02005057,Gravesham 003,933
E02005058,Gravesham 004,290
E02005059,Gravesham 005,377
E02005060,Gravesham 006,471
E02005061,Gravesham 007,474
E02005062,Gravesham 008,119
E02005063,Gravesham 009,188
E02005064,Gravesham 010,41
E02005065,Gravesham 011,367
E02005066,Gravesham 012,77
E02005067,Gravesham 013,42
E02005068,Maidstone 001,44
E02005069,Maidstone 002,430
E02005070,Maidstone 003,213
E02005071,Maidstone 004,2365
E02005072,Maidstone 005,286
E02005073,Maidstone 006,2294
E02005074,Maidstone 007,150
E02005075,Maidstone 008,790
E02005076,Maidstone 009,663
E02005077,Maidstone 010,331
E02005078,Maidstone 011,216
E02005079,Maidstone 012,274
E02005080,Maidstone 013,1081
E02005081,Maidstone 014,133
E02005082,Maidstone 015,362
E02005083,Maidstone 016,209
E02005084,Maidstone 017,191
E02005085,Maidstone 018,224
E02005086,Maidstone 019,75
E02005087,Sevenoaks 001,151
E02005088,Sevenoaks 002,837
E02005089,Sevenoaks 003,344
E02005090,Sevenoaks 004,240
E02005091,Sevenoaks 005,436
E02005093,Sevenoaks 007,93
E02005094,Sevenoaks 008,652
E02005095,Sevenoaks 009,108
E02005096,Sevenoaks 010,719
E02005097,Sevenoaks 011,147
E02005098,Sevenoaks 012,881
E02005099,Sevenoaks 013,246
E02005100,Sevenoaks 014,595
E02005101,Sevenoaks 015,118
E02005102,Folkestone and Hythe 001,103
E02005103,Folkestone and Hythe 002,218
E02005104,Folkestone and Hythe 003,586
E02005105,Folkestone and Hythe 004,536
E02005106,Folkestone and Hythe 005,510
E02005107,Folkestone and Hythe 006,609
E02005109,Folkestone and Hythe 008,237
E02005110,Folkestone and Hythe 009,43
E02005111,Folkestone and Hythe 010,896
E02005112,Folkestone and Hythe 011,90
E02005113,Folkestone and Hythe 012,267
E02005114,Folkestone and Hythe 013,107
E02005115,Swale 001,228
E02005116,Swale 002,451
E02005117,Swale 003,147
E02005118,Swale 004,321
E02005119,Swale 005,62
E02005120,Swale 006,181
E02005121,Swale 007,384
E02005122,Swale 008,81
E02005123,Swale 009,498
E02005124,Swale 010,1038
E02005125,Swale 011,347
E02005126,Swale 012,181
E02005127,Swale 013,196
E02005128,Swale 014,261
E02005129,Swale 015,706
E02005130,Swale 016,81
E02005131,Swale 017,65
E02005132,Thanet 001,2293
E02005133,Thanet 002,425
E02005134,Thanet 003,904
E02005135,Thanet 004,376
E02005136,Thanet 005,282
E02005137,Thanet 006,488
E02005138,Thanet 007,910
E02005139,Thanet 008,567
E02005140,Thanet 009,366
E02005141,Thanet 010,522
E02005142,Thanet 011,237
E02005143,Thanet 012,307
E02005144,Thanet 013,734
E02005145,Thanet 014,192
E02005146,Thanet 015,309
E02005147,Thanet 016,1734
E02005148,Thanet 017,333
E02005149,Tonbridge and Malling 001,373
E02005150,Tonbridge and Malling 002,699
E02005151,Tonbridge and Malling 003,410
E02005153,Tonbridge and Malling 005,627
E02005154,Tonbridge and Malling 006,253
E02005155,Tonbridge and Malling 007,422
E02005156,Tonbridge and Malling 008,199
E02005157,Tonbridge and Malling 009,313
E02005158,Tonbridge and Malling 010,184
E02005159,Tonbridge and Malling 011,125
E02005160,Tonbridge and Malling 012,1662
E02005161,Tonbridge and Malling 013,458
E02005162,Tunbridge Wells 001,369
E02005163,Tunbridge Wells 002,249
E02005164,Tunbridge Wells 003,768
E02005165,Tunbridge Wells 004,304
E02005166,Tunbridge Wells 005,683
E02005167,Tunbridge Wells 006,133
E02005168,Tunbridge Wells 007,686
E02005169,Tunbridge Wells 008,1872
E02005170,Tunbridge Wells 009,971
E02005171,Tunbridge Wells 010,703
E02005172,Tunbridge Wells 011,132
E02005173,Tunbridge Wells 012,573
E02005174,Tunbridge Wells 013,197
E02005175,Tunbridge Wells 014,279
E02005503,Breckland 001,17
E02005504,Breckland 002,5
E02005505,Breckland 003,150
E02005506,Breckland 004,40
E02005507,Breckland 005,652
E02005508,Breckland 006,51
E02005509,Breckland 007,333
E02005510,Breckland 008,37
E02005511,Breckland 009,268
E02005512,Breckland 010,90
E02005513,Breckland 011,322
E02005514,Breckland 012,57
E02005515,Breckland 013,14
E02005516,Breckland 014,21
E02005517,Breckland 015,384
E02005518,Breckland 016,437
E02005519,Breckland 017,367
E02005520,Broadland 001,248
E02005521,Broadland 002,43
E02005522,Broadland 003,50
E02005523,Broadland 004,50
E02005524,Broadland 005,49
E02005525,Broadland 006,120
E02005526,Broadland 007,49
E02005527,Broadland 008,101
E02005528,Broadland 009,180
E02005529,Broadland 010,175
E02005530,Broadland 011,83
E02005531,Broadland 012,149
E02005532,Broadland 013,402
E02005533,Broadland 014,48
E02005534,Broadland 015,273
E02005535,Broadland 016,196
E02005536,Broadland 017,40
E02005537,Broadland 018,66
E02005538,Great Yarmouth 001,37
E02005539,Great Yarmouth 002,69
E02005540,Great Yarmouth 003,90
E02005541,Great Yarmouth 004,233
E02005542,Great Yarmouth 005,960
E02005543,Great Yarmouth 006,1526
E02005544,Great Yarmouth 007,442
E02005545,Great Yarmouth 008,73
E02005546,Great Yarmouth 009,906
E02005547,Great Yarmouth 010,254
E02005548,Great Yarmouth 011,475
E02005549,Great Yarmouth 012,33
E02005550,Great Yarmouth 013,60
E02005551,King's Lynn and West Norfolk 001,458
E02005552,King's Lynn and West Norfolk 002,36
E02005553,King's Lynn and West Norfolk 003,161
E02005554,King's Lynn and West Norfolk 004,94
E02005555,King's Lynn and West Norfolk 005,22
E02005556,King's Lynn and West Norfolk 006,150
E02005557,King's Lynn and West Norfolk 007,505
E02005558,King's Lynn and West Norfolk 008,46
E02005559,King's Lynn and West Norfolk 009,317
E02005560,King's Lynn and West Norfolk 010,612
E02005561,King's Lynn and West Norfolk 011,1662
E02005562,King's Lynn and West Norfolk 012,47
E02005563,King's Lynn and West Norfolk 013,57
E02005564,King's Lynn and West Norfolk 014,22
E02005565,King's Lynn and West Norfolk 015,26
E02005566,King's Lynn and West Norfolk 016,65
E02005567,King's Lynn and West Norfolk 017,456
E02005568,King's Lynn and West Norfolk 018,16
E02005569,King's Lynn and West Norfolk 019,41
E02005570,North Norfolk 001,479
E02005571,North Norfolk 002,101
E02005572,North Norfolk 003,817
E02005573,North Norfolk 004,189
E02005574,North Norfolk 005,72
E02005575,North Norfolk 006,17
E02005576,North Norfolk 007,116
E02005577,North Norfolk 008,20
E02005578,North Norfolk 009,21
E02005580,North Norfolk 011,273
E02005581,North Norfolk 012,42
E02005582,North Norfolk 013,276
E02005583,North Norfolk 014,101
E02005584,Norwich 001,1516
E02005585,Norwich 002,1327
E02005586,Norwich 003,1047
E02005587,Norwich 004,914
E02005588,Norwich 005,861
E02005589,Norwich 006,917
E02005592,Norwich 009,379
E02005593,Norwich 010,607
E02005594,Norwich 011,2054
E02005595,Norwich 012,406
E02005596,Norwich 013,1384
E02005598,South Norfolk 002,195
E02005599,South Norfolk 003,98
E02005600,South Norfolk 004,69
E02005601,South Norfolk 005,286
E02005602,South Norfolk 006,291
E02005603,South Norfolk 007,302
E02005604,South Norfolk 008,137
E02005605,South Norfolk 009,174
E02005606,South Norfolk 010,23
E02005607,South Norfolk 011,41
E02005608,South Norfolk 012,58
E02005609,South Norfolk 013,167
E02005610,South Norfolk 014,17
E02005611,South Norfolk 015,482
E02005921,Cherwell 001,132
E02005922,Cherwell 002,241
E02005923,Cherwell 003,251
E02005924,Cherwell 004,1947
E02005925,Cherwell 005,234
E02005926,Cherwell 006,493
E02005927,Cherwell 007,493
E02005928,Cherwell 008,225
E02005929,Cherwell 009,43
E02005930,Cherwell 010,79
E02005931,Cherwell 011,117
E02005932,Cherwell 012,160
E02005933,Cherwell 013,148
E02005934,Cherwell 014,71
E02005935,Cherwell 015,812
E02005936,Cherwell 016,134
E02005937,Cherwell 017,340
E02005938,Cherwell 018,185
E02005939,Cherwell 019,308
E02005940,Oxford 001,543
E02005941,Oxford 002,752
E02005942,Oxford 003,655
E02005943,Oxford 004,225
E02005944,Oxford 005,889
E02005945,Oxford 006,918
E02005946,Oxford 007,618
E02005947,Oxford 008,1164
E02005948,Oxford 009,764
E02005949,Oxford 010,921
E02005950,Oxford 011,732
E02005951,Oxford 012,721
E02005953,Oxford 014,278
E02005954,Oxford 015,715
E02005955,Oxford 016,922
E02005956,Oxford 017,504
E02005957,Oxford 018,647
E02005958,South Oxfordshire 001,279
E02005959,South Oxfordshire 002,75
E02005960,South Oxfordshire 003,477
E02005961,South Oxfordshire 004,214
E02005962,South Oxfordshire 005,232
E02005963,South Oxfordshire 006,186
E02005964,South Oxfordshire 007,21
E02005965,South Oxfordshire 008,86
E02005966,South Oxfordshire 009,200
E02005967,South Oxfordshire 010,430
E02005968,South Oxfordshire 011,116
E02005969,South Oxfordshire 012,637
E02005970,South Oxfordshire 013,596
E02005971,South Oxfordshire 014,229
E02005972,South Oxfordshire 015,519
E02005973,South Oxfordshire 016,450
E02005974,South Oxfordshire 017,486
E02005975,South Oxfordshire 018,111
E02005976,South Oxfordshire 019,60
E02005977,South Oxfordshire 020,121
E02005978,Vale of White Horse 001,227
E02005979,Vale of White Horse 002,549
E02005980,Vale of White Horse 003,208
E02005981,Vale of White Horse 004,291
E02005982,Vale of White Horse 005,275
E02005983,Vale of White Horse 006,1674
E02005984,Vale of White Horse 007,91
E02005985,Vale of White Horse 008,501
E02005986,Vale of White Horse 009,502
E02005987,Vale of White Horse 010,291
E02005988,Vale of White Horse 011,268
E02005991,Vale of White Horse 014,674
E02005992,Vale of White Horse 015,512
E02005993,West Oxfordshire 001,443
E02005994,West Oxfordshire 002,69
E02005995,West Oxfordshire 003,111
E02005996,West Oxfordshire 004,305
E02005997,West Oxfordshire 005,108
E02005998,West Oxfordshire 006,196
E02005999,West Oxfordshire 007,93
E02006000,West Oxfordshire 008,544
E02006001,West Oxfordshire 009,238
E02006002,West Oxfordshire 010,1004
E02006003,West Oxfordshire 011,87
E02006004,West Oxfordshire 012,71
E02006005,West Oxfordshire 013,428
E02006006,West Oxfordshire 014,214
E02006007,West Oxfordshire 015,84
E02006227,Babergh 001,139
E02006228,Babergh 002,70
E02006229,Babergh 003,149
E02006230,Babergh 004,220
E02006231,Babergh 005,189
E02006232,Babergh 006,31
E02006233,Babergh 007,783
E02006234,Babergh 008,341
E02006235,Babergh 009,74
E02006236,Babergh 010,79
E02006237,Babergh 011,110
E02006238,West Suffolk 002,305
E02006239,West Suffolk 001,123
E02006240,West Suffolk 003,140
E02006241,West Suffolk 004,295
E02006242,West Suffolk 007,303
E02006243,West Suffolk 008,785
E02006245,Ipswich 001,316
E02006246,Ipswich 002,130
E02006247,Ipswich 003,758
E02006248,Ipswich 004,271
E02006249,Ipswich 005,687
E02006250,Ipswich 006,1196
E02006251,Ipswich 007,1942
E02006252,Ipswich 008,765
E02006253,Ipswich 009,281
E02006254,Ipswich 010,1231
E02006255,Ipswich 011,1013
E02006256,Ipswich 012,1430
E02006257,Ipswich 013,511
E02006258,Ipswich 014,510
E02006259,Ipswich 015,994
E02006260,Ipswich 016,277
E02006261,Mid Suffolk 001,76
E02006262,Mid Suffolk 002,47
E02006263,Mid Suffolk 003,44
E02006264,Mid Suffolk 004,66
E02006265,Mid Suffolk 005,146
E02006266,Mid Suffolk 006,144
E02006267,Mid Suffolk 007,48
E02006268,Mid Suffolk 008,346
E02006269,Mid Suffolk 009,179
E02006270,Mid Suffolk 010,542
E02006271,Mid Suffolk 011,311
E02006272,Mid Suffolk 012,151
E02006273,West Suffolk 005,46
E02006274,West Suffolk 006,59
E02006275,West Suffolk 009,528
E02006276,West Suffolk 016,117
E02006277,West Suffolk 012,245
E02006278,West Suffolk 011,1433
E02006279,West Suffolk 014,353
E02006280,West Suffolk 010,90
E02006281,West Suffolk 013,901
E02006282,West Suffolk 017,54
E02006283,West Suffolk 018,55
E02006284,West Suffolk 019,323
E02006285,West Suffolk 021,176
E02006286,West Suffolk 020,587
E02006287,East Suffolk 016,17
E02006288,East Suffolk 017,156
E02006289,East Suffolk 018,209
E02006290,East Suffolk 019,309
E02006291,East Suffolk 020,345
E02006292,East Suffolk 021,20
E02006293,East Suffolk 023,279
E02006294,East Suffolk 022,464
E02006295,East Suffolk 024,265
E02006296,East Suffolk 025,409
E02006297,East Suffolk 026,102
E02006298,East Suffolk 027,153
E02006299,East Suffolk 028,197
E02006300,East Suffolk 029,407
E02006301,East Suffolk 030,838
E02006302,East Suffolk 001,49
E02006303,East Suffolk 002,415
E02006304,East Suffolk 003,146
E02006305,East Suffolk 004,481
E02006306,East Suffolk 005,240
E02006307,East Suffolk 007,93
E02006308,East Suffolk 006,1026
E02006309,East Suffolk 009,268
E02006310,East Suffolk 008,56
E02006311,East Suffolk 010,190
E02006312,East Suffolk 011,63
E02006313,East Suffolk 012,113
E02006314,East Suffolk 013,130
E02006315,East Suffolk 014,111
E02006316,East Suffolk 015,156
E02006317,Elmbridge 001,365
E02006318,Elmbridge 002,535
E02006319,Elmbridge 003,633
E02006320,Elmbridge 004,807
E02006321,Elmbridge 005,499
E02006322,Elmbridge 006,298
E02006323,Elmbridge 007,1372
E02006324,Elmbridge 008,479
E02006325,Elmbridge 009,434
E02006326,Elmbridge 010,944
E02006327,Elmbridge 011,782
E02006328,Elmbridge 012,1390
E02006329,Elmbridge 013,482
E02006330,Elmbridge 014,581
E02006331,Elmbridge 015,282
E02006332,Elmbridge 016,682
E02006333,Elmbridge 017,699
E02006334,Elmbridge 018,237
E02006335,Epsom and Ewell 001,546
E02006336,Epsom and Ewell 002,770
E02006337,Epsom and Ewell 003,196
E02006338,Epsom and Ewell 004,158
E02006339,Epsom and Ewell 005,914
E02006341,Epsom and Ewell 007,1041
E02006342,Epsom and Ewell 008,1866
E02006343,Epsom and Ewell 009,281
E02006344,Guildford 001,201
E02006345,Guildford 002,54
E02006346,Guildford 003,249
E02006347,Guildford 004,296
E02006348,Guildford 005,298
E02006349,Guildford 006,565
E02006350,Guildford 007,409
E02006351,Guildford 008,480
E02006352,Guildford 009,138
E02006353,Guildford 010,450
E02006354,Guildford 011,693
E02006355,Guildford 012,381
E02006356,Guildford 013,2191
E02006357,Guildford 014,299
E02006358,Guildford 015,684
E02006359,Guildford 016,686
E02006360,Guildford 017,251
E02006361,Guildford 018,80
E02006362,Mole Valley 001,251
E02006363,Mole Valley 002,384
E02006364,Mole Valley 003,1449
E02006365,Mole Valley 004,642
E02006366,Mole Valley 005,146
E02006367,Mole Valley 006,427
E02006368,Mole Valley 007,228
E02006369,Mole Valley 008,128
E02006370,Mole Valley 009,563
E02006371,Mole Valley 010,791
E02006372,Mole Valley 011,519
E02006373,Mole Valley 012,218
E02006374,Mole Valley 013,234
E02006375,Reigate and Banstead 001,270
E02006376,Reigate and Banstead 002,820
E02006377,Reigate and Banstead 003,215
E02006378,Reigate and Banstead 004,342
E02006379,Reigate and Banstead 005,752
E02006380,Reigate and Banstead 006,392
E02006381,Reigate and Banstead 007,329
E02006382,Reigate and Banstead 008,526
E02006383,Reigate and Banstead 009,960
E02006384,Reigate and Banstead 010,1842
E02006385,Reigate and Banstead 011,1677
E02006386,Reigate and Banstead 012,794
E02006387,Reigate and Banstead 013,394
E02006388,Reigate and Banstead 014,819
E02006389,Reigate and Banstead 015,378
E02006390,Reigate and Banstead 016,571
E02006391,Reigate and Banstead 017,290
E02006392,Reigate and Banstead 018,1468
E02006393,Runnymede 001,821
E02006394,Runnymede 002,672
E02006395,Runnymede 003,490
E02006396,Runnymede 004,234
E02006397,Runnymede 005,370
E02006398,Runnymede 006,1091
E02006399,Runnymede 007,1214
E02006400,Runnymede 008,383
E02006401,Runnymede 009,1362
E02006402,Runnymede 010,285
E02006403,Spelthorne 001,982
E02006404,Spelthorne 002,520
E02006405,Spelthorne 003,1006
E02006406,Spelthorne 004,1574
E02006407,Spelthorne 005,763
E02006408,Spelthorne 006,1019
E02006409,Spelthorne 007,398
E02006410,Spelthorne 008,919
E02006411,Spelthorne 009,618
E02006412,Spelthorne 010,580
E02006413,Spelthorne 011,309
E02006414,Spelthorne 012,236
E02006415,Spelthorne 013,599
E02006416,Surrey Heath 001,183
E02006417,Surrey Heath 002,399
E02006418,Surrey Heath 003,280
E02006419,Surrey Heath 004,755
E02006420,Surrey Heath 005,665
E02006421,Surrey Heath 006,207
E02006422,Surrey Heath 007,159
E02006423,Surrey Heath 008,1527
E02006424,Surrey Heath 009,222
E02006425,Surrey Heath 010,415
E02006426,Surrey Heath 011,216
E02006427,Surrey Heath 012,274
E02006429,Tandridge 002,1334
E02006430,Tandridge 003,736
E02006431,Tandridge 004,1396
E02006432,Tandridge 005,399
E02006433,Tandridge 006,554
E02006434,Tandridge 007,300
E02006435,Tandridge 008,178
E02006436,Tandridge 009,372
E02006437,Tandridge 010,384
E02006438,Tandridge 011,169
E02006439,Waverley 001,341
E02006440,Waverley 002,168
E02006441,Waverley 003,889
E02006442,Waverley 004,297
E02006443,Waverley 005,408
E02006444,Waverley 006,382
E02006445,Waverley 007,890
E02006446,Waverley 008,232
E02006447,Waverley 009,160
E02006448,Waverley 010,232
E02006449,Waverley 011,322
E02006450,Waverley 012,206
E02006451,Waverley 013,708
E02006453,Waverley 015,302
E02006454,Waverley 016,477
E02006455,Waverley 017,504
E02006456,Woking 001,557
E02006457,Woking 002,589
E02006458,Woking 003,611
E02006459,Woking 004,1045
E02006460,Woking 005,916
E02006461,Woking 006,513
E02006462,Woking 007,607
E02006463,Woking 008,2788
E02006464,Woking 009,622
E02006465,Woking 010,336
E02006466,Woking 011,645
E02006467,Woking 012,184
E02006534,Adur 001,164
E02006535,Adur 002,232
E02006536,Adur 003,111
E02006537,Adur 004,1062
E02006538,Adur 005,1468
E02006539,Adur 006,435
E02006540,Adur 007,371
E02006541,Adur 008,1162
E02006542,Arun 001,284
E02006543,Arun 002,87
E02006544,Arun 003,346
E02006545,Arun 004,845
E02006546,Arun 005,527
E02006547,Arun 006,160
E02006548,Arun 007,348
E02006549,Arun 008,200
E02006550,Arun 009,512
E02006551,Arun 010,1109
E02006552,Arun 011,1288
E02006553,Arun 012,412
E02006554,Arun 013,431
E02006555,Arun 014,841
E02006556,Arun 015,383
E02006557,Arun 016,654
E02006558,Arun 017,2493
E02006559,Arun 018,347
E02006560,Arun 019,318
