Middle layer Super Output Areas Code,Middle layer Super Output Areas,Flats
E02000541,Hounslow 016,1032
E02000542,Hounslow 017,1853
E02000543,Hounslow 018,2214
E02000544,Hounslow 019,262
E02000545,Hounslow 020,1818
E02000546,Hounslow 021,671
E02000547,Hounslow 022,1224
E02000548,Hounslow 023,1318
E02000549,Hounslow 024,784
E02000550,Hounslow 025,1403
E02000551,Hounslow 026,1485
E02000552,Hounslow 027,1140
E02000553,Hounslow 028,636
E02000554,Islington 001,2679
E02000555,Islington 002,1931
E02000556,Islington 003,1768
E02000557,Islington 004,2410
E02000558,Islington 005,2742
E02000559,Islington 006,1550
E02000560,Islington 007,1544
E02000561,Islington 008,518
E02000562,Islington 009,1888
E02000563,Islington 010,2765
E02000564,Islington 011,3906
E02000565,Islington 012,1907
E02000566,Islington 013,1432
E02000567,Islington 014,1922
E02000568,Islington 015,3404
E02000569,Islington 016,3246
E02000570,Islington 017,1362
E02000571,Islington 018,2588
E02000572,Islington 019,2887
E02000573,Islington 020,2342
E02000574,Islington 021,2122
E02000575,Islington 022,3983
E02000576,Islington 023,4455
E02000577,Kensington and Chelsea 001,2705
E02000578,Kensington and Chelsea 002,1695
E02000579,Kensington and Chelsea 003,1588
E02000580,Kensington and Chelsea 004,1945
E02000581,Kensington and Chelsea 005,2318
E02000582,Kensington and Chelsea 006,1474
E02000583,Kensington and Chelsea 007,1007
E02000584,Kensington and Chelsea 008,1694
E02000585,Kensington and Chelsea 009,1602
E02000586,Kensington and Chelsea 010,1544
E02000587,Kensington and Chelsea 011,1608
E02000588,Kensington and Chelsea 012,1745
E02000589,Kensington and Chelsea 013,2264
E02000590,Kensington and Chelsea 014,2249
E02000591,Kensington and Chelsea 015,2239
E02000592,Kensington and Chelsea 016,1425
E02000593,Kensington and Chelsea 017,2050
E02000594,Kensington and Chelsea 018,1608
E02000595,Kensington and Chelsea 019,1625
E02000596,Kensington and Chelsea 020,1469
E02000597,Kensington and Chelsea 021,2052
E02000598,Kingston upon Thames 001,447
E02000599,Kingston upon Thames 002,171
E02000600,Kingston upon Thames 003,1628
E02000601,Kingston upon Thames 004,2337
E02000602,Kingston upon Thames 005,2038
E02000603,Kingston upon Thames 006,483
E02000604,Kingston upon Thames 007,985
E02000605,Kingston upon Thames 008,529
E02000606,Kingston upon Thames 009,2555
E02000607,Kingston upon Thames 010,535
E02000608,Kingston upon Thames 011,1809
E02000609,Kingston upon Thames 012,548
E02000610,Kingston upon Thames 013,2164
E02000611,Kingston upon Thames 014,104
E02000612,Kingston upon Thames 015,355
E02000613,Kingston upon Thames 016,832
E02000614,Kingston upon Thames 017,614
E02000615,Kingston upon Thames 018,377
E02000616,Kingston upon Thames 019,260
E02000617,Kingston upon Thames 020,763
E02000619,Lambeth 002,3165
E02000620,Lambeth 003,3586
E02000621,Lambeth 004,4152
E02000622,Lambeth 005,1786
E02000623,Lambeth 006,2523
E02000624,Lambeth 007,3030
E02000625,Lambeth 008,3151
E02000626,Lambeth 009,2413
E02000627,Lambeth 010,2259
E02000628,Lambeth 011,3405
E02000629,Lambeth 012,1807
E02000630,Lambeth 013,1639
E02000631,Lambeth 014,1207
E02000632,Lambeth 015,1102
E02000633,Lambeth 016,2275
E02000634,Lambeth 017,1996
E02000635,Lambeth 018,1926
E02000636,Lambeth 019,766
E02000637,Lambeth 020,847
E02000638,Lambeth 021,2326
E02000639,Lambeth 022,2955
E02000640,Lambeth 023,1704
E02000641,Lambeth 024,2523
E02000642,Lambeth 025,1410
E02000643,Lambeth 026,1898
E02000644,Lambeth 027,1065
E02000645,Lambeth 028,1301
E02000646,Lambeth 029,1384
E02000647,Lambeth 030,1071
E02000648,Lambeth 031,1647
E02000649,Lambeth 032,2007
E02000650,Lambeth 033,1091
E02000651,Lambeth 034,901
E02000652,Lambeth 035,239
E02000653,Lewisham 001,4127
E02000654,Lewisham 002,2714
E02000655,Lewisham 003,2273
E02000657,Lewisham 005,1698
E02000658,Lewisham 006,1286
E02000659,Lewisham 007,1853
E02000660,Lewisham 008,1552
E02000661,Lewisham 009,1439
E02000662,Lewisham 010,1322
E02000663,Lewisham 011,542
E02000665,Lewisham 013,906
E02000666,Lewisham 014,569
E02000667,Lewisham 015,233
E02000668,Lewisham 016,743
E02000669,Lewisham 017,1107
E02000670,Lewisham 018,634
E02000671,Lewisham 019,958
E02000672,Lewisham 020,1543
E02000673,Lewisham 021,1278
E02000674,Lewisham 022,143
E02000675,Lewisham 023,1046
E02000676,Lewisham 024,585
E02000677,Lewisham 025,319
E02000678,Lewisham 026,597
E02000679,Lewisham 027,1451
E02000680,Lewisham 028,1566
E02000681,Lewisham 029,651
E02000682,Lewisham 030,1177
E02000683,Lewisham 031,844
E02000685,Lewisham 033,1639
E02000686,Lewisham 034,1729
E02000687,Lewisham 035,1081
E02000689,Merton 001,1072
E02000690,Merton 002,426
E02000691,Merton 003,864
E02000692,Merton 004,1799
E02000693,Merton 005,1830
E02000694,Merton 006,840
E02000695,Merton 007,271
E02000696,Merton 008,1116
E02000697,Merton 009,1135
E02000698,Merton 010,779
E02000699,Merton 011,670
E02000700,Merton 012,1707
E02000701,Merton 013,775
E02000702,Merton 014,1345
E02000703,Merton 015,469
E02000704,Merton 016,1375
E02000705,Merton 017,342
E02000706,Merton 018,1646
