Middle layer Super Output Areas Code,Middle layer Super Output Areas,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_0,total,% Higher_professional,% Lower_professional,%  Intermediate_occupations,% Small_employers,% Lower_supervisory,% Semi_routine,% Routine
E02005572,North Norfolk 003,562,1230,757,880,430,1084,946,559,184,912,7544,7.449628844,16.30434783,10.03446448,11.66489926,5.699893955,14.36903499,12.5397667
E02005573,North Norfolk 004,617,1116,512,761,299,612,531,324,227,748,5747,10.73603619,19.41882721,8.908995998,13.24169132,5.20271446,10.64903428,9.239603271
E02005574,North Norfolk 005,681,1278,675,1132,341,798,626,400,182,838,6951,9.797151489,18.38584376,9.710832974,16.28542656,4.905768954,11.48036254,9.005898432
E02005575,North Norfolk 006,718,1308,666,1143,344,734,602,316,251,899,6981,10.28505945,18.73657069,9.54018049,16.37301246,4.927660794,10.51425297,8.623406389
E02005576,North Norfolk 007,569,1062,686,986,377,808,666,443,200,865,6662,8.540978685,15.94115881,10.29720805,14.80036025,5.658961273,12.12848994,9.996997899
E02005577,North Norfolk 008,557,1018,478,956,312,684,629,320,173,849,5976,9.320615797,17.03480589,7.998661312,15.99732262,5.220883534,11.44578313,10.52543507
E02005578,North Norfolk 009,421,953,441,908,367,695,725,288,191,928,5917,7.115092107,16.10613487,7.453101234,15.34561433,6.202467467,11.74581714,12.25283083
E02005580,North Norfolk 011,505,1161,748,875,511,1071,1236,468,207,1235,8017,6.299114382,14.48172633,9.330173382,10.9143071,6.373955345,13.35911189,15.41723837
E02005581,North Norfolk 012,681,1336,700,1168,428,892,891,472,190,1085,7843,8.682901951,17.0342981,8.92515619,14.89226061,5.457095499,11.37319903,11.36044881
E02005582,North Norfolk 013,476,1016,654,967,396,923,808,422,198,942,6802,6.997941782,14.9367833,9.614819171,14.21640694,5.821817113,13.56953837,11.87885916
E02005583,North Norfolk 014,903,1527,932,1230,425,1009,875,512,220,971,8604,10.49511855,17.74755927,10.83217108,14.29567643,4.939562994,11.72710367,10.16968852
E02005584,Norwich 001,660,1484,988,929,569,1347,1647,769,544,2241,11178,5.90445518,13.27607801,8.838790481,8.310967973,5.090356057,12.05045625,14.73429952
E02005585,Norwich 002,564,1255,907,828,552,1431,1793,878,645,2351,11204,5.033916458,11.20135666,8.095323099,7.390217779,4.926811853,12.77222421,16.00321314
E02005586,Norwich 003,1004,1906,1032,847,470,1119,1221,598,563,1592,10352,9.698608964,18.41190108,9.969088099,8.181993818,4.540185471,10.80950541,11.79482226
E02005587,Norwich 004,558,1091,907,825,593,1421,1619,816,452,2051,10333,5.400174199,10.55840511,8.777702507,7.98412852,5.738894803,13.75205652,15.66824736
