Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_or_more_cars
E02000582,Kensington and Chelsea 006,50
E02000583,Kensington and Chelsea 007,91
E02000584,Kensington and Chelsea 008,76
E02000585,Kensington and Chelsea 009,90
E02000586,Kensington and Chelsea 010,58
E02000587,Kensington and Chelsea 011,75
E02000588,Kensington and Chelsea 012,61
E02000589,Kensington and Chelsea 013,31
E02000590,Kensington and Chelsea 014,56
E02000591,Kensington and Chelsea 015,21
E02000592,Kensington and Chelsea 016,42
E02000593,Kensington and Chelsea 017,23
E02000594,Kensington and Chelsea 018,75
E02000595,Kensington and Chelsea 019,82
E02000596,Kensington and Chelsea 020,50
E02000597,Kensington and Chelsea 021,34
E02000598,Kingston upon Thames 001,169
E02000599,Kingston upon Thames 002,367
E02000600,Kingston upon Thames 003,100
E02000601,Kingston upon Thames 004,87
E02000602,Kingston upon Thames 005,77
E02000603,Kingston upon Thames 006,165
E02000604,Kingston upon Thames 007,118
E02000605,Kingston upon Thames 008,191
E02000606,Kingston upon Thames 009,104
E02000607,Kingston upon Thames 010,146
E02000608,Kingston upon Thames 011,53
E02000609,Kingston upon Thames 012,282
E02000610,Kingston upon Thames 013,108
E02000611,Kingston upon Thames 014,305
E02000612,Kingston upon Thames 015,310
E02000613,Kingston upon Thames 016,165
E02000614,Kingston upon Thames 017,277
E02000615,Kingston upon Thames 018,311
E02000616,Kingston upon Thames 019,244
E02000617,Kingston upon Thames 020,353
E02000619,Lambeth 002,32
E02000620,Lambeth 003,33
E02000621,Lambeth 004,39
E02000622,Lambeth 005,28
E02000623,Lambeth 006,22
E02000624,Lambeth 007,23
E02000625,Lambeth 008,21
E02000626,Lambeth 009,33
E02000627,Lambeth 010,32
E02000628,Lambeth 011,33
E02000629,Lambeth 012,40
E02000630,Lambeth 013,52
E02000631,Lambeth 014,56
E02000632,Lambeth 015,33
E02000633,Lambeth 016,39
E02000634,Lambeth 017,27
E02000635,Lambeth 018,32
E02000636,Lambeth 019,68
E02000637,Lambeth 020,37
E02000638,Lambeth 021,36
E02000639,Lambeth 022,43
E02000640,Lambeth 023,62
E02000641,Lambeth 024,41
E02000642,Lambeth 025,53
E02000643,Lambeth 026,55
E02000644,Lambeth 027,85
E02000645,Lambeth 028,89
E02000646,Lambeth 029,120
E02000647,Lambeth 030,101
E02000648,Lambeth 031,54
E02000649,Lambeth 032,70
E02000650,Lambeth 033,49
E02000651,Lambeth 034,103
E02000652,Lambeth 035,109
E02000653,Lewisham 001,56
E02000654,Lewisham 002,41
E02000655,Lewisham 003,57
E02000657,Lewisham 005,44
E02000658,Lewisham 006,54
E02000659,Lewisham 007,77
E02000660,Lewisham 008,51
E02000661,Lewisham 009,48
E02000662,Lewisham 010,44
E02000663,Lewisham 011,46
E02000665,Lewisham 013,48
E02000666,Lewisham 014,71
E02000667,Lewisham 015,62
E02000668,Lewisham 016,63
E02000669,Lewisham 017,44
E02000670,Lewisham 018,39
E02000671,Lewisham 019,68
E02000672,Lewisham 020,82
E02000673,Lewisham 021,83
E02000674,Lewisham 022,125
E02000675,Lewisham 023,151
E02000676,Lewisham 024,67
E02000677,Lewisham 025,153
E02000678,Lewisham 026,123
E02000679,Lewisham 027,91
E02000680,Lewisham 028,52
E02000681,Lewisham 029,130
E02000682,Lewisham 030,146
E02000683,Lewisham 031,83
E02000685,Lewisham 033,75
E02000686,Lewisham 034,63
E02000687,Lewisham 035,66
E02000689,Merton 001,99
E02000690,Merton 002,248
E02000691,Merton 003,68
E02000692,Merton 004,104
E02000693,Merton 005,38
E02000694,Merton 006,46
