Middle layer Super Output Areas Code,Middle layer Super Output Areas,3_or_more_cars
E02004775,Havant 014,495
E02004776,Havant 015,440
E02004777,Havant 016,282
E02004778,Havant 017,375
E02004779,New Forest 001,928
E02004780,New Forest 002,298
E02004781,New Forest 003,496
E02004782,New Forest 004,398
E02004783,New Forest 005,421
E02004784,New Forest 006,549
E02004785,New Forest 007,545
E02004786,New Forest 008,523
E02004787,New Forest 009,439
E02004788,New Forest 010,639
E02004789,New Forest 011,623
E02004790,New Forest 012,455
E02004791,New Forest 013,316
E02004792,New Forest 014,624
E02004793,New Forest 015,642
E02004794,New Forest 016,638
E02004795,New Forest 017,605
E02004796,New Forest 018,776
E02004797,New Forest 019,412
E02004798,New Forest 020,341
E02004799,New Forest 021,358
E02004800,New Forest 022,422
E02004801,New Forest 023,509
E02004802,Rushmoor 001,365
E02004803,Rushmoor 002,286
E02004804,Rushmoor 003,467
E02004805,Rushmoor 004,476
E02004806,Rushmoor 005,495
E02004807,Rushmoor 006,466
E02004808,Rushmoor 007,452
E02004809,Rushmoor 008,179
E02004810,Rushmoor 009,335
E02004811,Rushmoor 010,335
E02004812,Rushmoor 011,349
E02004813,Rushmoor 012,286
E02004814,Test Valley 001,515
E02004815,Test Valley 002,195
E02004817,Test Valley 004,328
E02004818,Test Valley 005,649
E02004819,Test Valley 006,402
E02004820,Test Valley 007,605
E02004821,Test Valley 008,421
E02004822,Test Valley 009,788
E02004823,Test Valley 010,425
E02004824,Test Valley 011,198
E02004825,Test Valley 012,742
E02004826,Test Valley 013,800
E02004827,Test Valley 014,463
E02004828,Test Valley 015,530
E02004829,Winchester 001,391
E02004830,Winchester 002,445
E02004831,Winchester 003,471
E02004832,Winchester 004,624
E02004833,Winchester 005,314
E02004834,Winchester 006,172
E02004835,Winchester 007,221
E02004836,Winchester 008,234
E02004837,Winchester 009,492
E02004838,Winchester 010,731
E02004839,Winchester 011,844
E02004840,Winchester 012,672
E02004841,Winchester 013,823
E02004842,Winchester 014,731
E02004843,Broxbourne 001,454
E02004844,Broxbourne 002,403
E02004845,Broxbourne 003,327
E02004846,Broxbourne 004,442
E02004847,Broxbourne 005,407
E02004848,Broxbourne 006,504
E02004849,Broxbourne 007,606
E02004850,Broxbourne 008,395
E02004851,Broxbourne 009,291
E02004852,Broxbourne 010,302
E02004853,Broxbourne 011,337
E02004854,Broxbourne 012,286
E02004855,Broxbourne 013,217
E02004856,Dacorum 001,428
E02004857,Dacorum 002,340
E02004858,Dacorum 003,243
E02004859,Dacorum 004,386
E02004860,Dacorum 005,251
E02004861,Dacorum 006,416
E02004862,Dacorum 007,308
E02004863,Dacorum 008,265
E02004864,Dacorum 009,290
E02004865,Dacorum 010,240
E02004866,Dacorum 011,320
E02004867,Dacorum 012,334
E02004868,Dacorum 013,320
E02004869,Dacorum 014,238
E02004870,Dacorum 015,406
E02004871,Dacorum 016,238
E02004872,Dacorum 017,432
E02004873,Dacorum 018,517
E02004874,Dacorum 019,308
E02004875,Dacorum 020,487
E02004876,Dacorum 021,754
E02004877,Dacorum 022,353
E02004878,East Hertfordshire 001,639
E02004880,East Hertfordshire 003,726
E02004881,East Hertfordshire 004,233
E02004882,East Hertfordshire 005,363
E02004883,East Hertfordshire 006,476
E02004884,East Hertfordshire 007,393
E02004885,East Hertfordshire 008,497
E02004886,East Hertfordshire 009,538
E02004887,East Hertfordshire 010,643
E02004888,East Hertfordshire 011,480
E02004889,East Hertfordshire 012,445
E02004890,East Hertfordshire 013,358
E02004891,East Hertfordshire 014,307
E02004892,East Hertfordshire 015,233
E02004893,East Hertfordshire 016,286
E02004894,East Hertfordshire 017,320
E02004895,East Hertfordshire 018,573
E02004896,Hertsmere 001,391
E02004897,Hertsmere 002,345
E02004898,Hertsmere 003,355
E02004899,Hertsmere 004,313
E02004900,Hertsmere 005,566
E02004901,Hertsmere 006,278
E02004902,Hertsmere 007,277
E02004903,Hertsmere 008,301
E02004904,Hertsmere 009,212
E02004905,Hertsmere 010,381
E02004906,Hertsmere 011,341
E02004907,Hertsmere 012,437
E02004908,Hertsmere 013,574
E02004909,North Hertfordshire 001,240
E02004910,North Hertfordshire 002,528
E02004911,North Hertfordshire 003,247
E02004912,North Hertfordshire 004,473
E02004914,North Hertfordshire 006,248
E02004915,North Hertfordshire 007,173
E02004916,North Hertfordshire 008,364
E02004917,North Hertfordshire 009,292
E02004918,North Hertfordshire 010,232
E02004919,North Hertfordshire 011,254
E02004920,North Hertfordshire 012,397
E02004921,North Hertfordshire 013,279
E02004922,North Hertfordshire 014,769
E02004923,North Hertfordshire 015,697
E02004924,St Albans 001,349
E02004925,St Albans 002,278
E02004926,St Albans 003,306
E02004927,St Albans 004,413
E02004928,St Albans 005,401
E02004929,St Albans 006,435
E02004930,St Albans 007,327
E02004931,St Albans 008,332
E02004932,St Albans 009,234
E02004933,St Albans 010,301
E02004934,St Albans 011,163
E02004935,St Albans 012,115
E02004936,St Albans 013,199
E02004937,St Albans 014,261
E02004939,St Albans 016,236
E02004940,St Albans 017,204
E02004941,St Albans 018,443
E02004942,St Albans 019,399
E02004943,St Albans 020,572
E02004944,Stevenage 001,278
E02004945,Stevenage 002,473
E02004946,Stevenage 003,235
E02004948,Stevenage 005,228
E02004949,Stevenage 006,248
E02004950,Stevenage 007,254
E02004951,Stevenage 008,202
E02004952,Stevenage 009,316
E02004953,Stevenage 010,235
E02004954,Stevenage 011,267
E02004955,Stevenage 012,306
E02004956,Three Rivers 001,578
E02004957,Three Rivers 002,543
E02004958,Three Rivers 003,615
E02004959,Three Rivers 004,471
E02004960,Three Rivers 005,337
E02004961,Three Rivers 006,430
E02004962,Three Rivers 007,433
E02004963,Three Rivers 008,358
E02004964,Three Rivers 009,287
E02004965,Three Rivers 010,333
E02004966,Three Rivers 011,503
E02004967,Three Rivers 012,269
E02004968,Watford 001,317
E02004969,Watford 002,373
E02004970,Watford 003,328
E02004971,Watford 004,318
E02004972,Watford 005,248
E02004973,Watford 006,181
E02004974,Watford 007,329
E02004975,Watford 008,324
E02004976,Watford 009,84
E02004977,Watford 010,124
E02004978,Watford 011,206
E02004979,Watford 012,267
E02004980,Welwyn Hatfield 001,514
E02004981,Welwyn Hatfield 002,462
E02004982,Welwyn Hatfield 003,231
E02004983,Welwyn Hatfield 004,204
E02004984,Welwyn Hatfield 005,252
E02004985,Welwyn Hatfield 006,254
E02004986,Welwyn Hatfield 007,230
E02004987,Welwyn Hatfield 008,304
E02004988,Welwyn Hatfield 009,247
E02004989,Welwyn Hatfield 010,459
E02004990,Welwyn Hatfield 011,315
E02004991,Welwyn Hatfield 012,238
E02004992,Welwyn Hatfield 013,258
E02004994,Welwyn Hatfield 015,519
E02004995,Welwyn Hatfield 016,471
E02004996,Ashford 001,487
E02004997,Ashford 002,756
E02004998,Ashford 003,373
E02005000,Ashford 005,326
E02005001,Ashford 006,452
E02005002,Ashford 007,335
E02005003,Ashford 008,338
E02005004,Ashford 009,631
E02005005,Ashford 010,753
E02005006,Ashford 011,593
E02005007,Ashford 012,693
E02005008,Ashford 013,593
E02005009,Ashford 014,460
E02005010,Canterbury 001,221
E02005011,Canterbury 002,437
E02005012,Canterbury 003,448
E02005013,Canterbury 004,420
E02005014,Canterbury 005,477
E02005015,Canterbury 006,543
E02005016,Canterbury 007,305
E02005017,Canterbury 008,216
E02005018,Canterbury 009,502
E02005019,Canterbury 010,401
E02005020,Canterbury 011,316
E02005021,Canterbury 012,342
E02005022,Canterbury 013,224
E02005023,Canterbury 014,138
E02005025,Canterbury 016,209
E02005026,Canterbury 017,512
E02005027,Canterbury 018,386
E02005028,Dartford 001,229
E02005029,Dartford 002,361
E02005030,Dartford 003,311
E02005031,Dartford 004,246
E02005032,Dartford 005,267
E02005033,Dartford 006,246
E02005034,Dartford 007,419
E02005035,Dartford 008,330
E02005036,Dartford 009,209
E02005037,Dartford 010,443
E02005038,Dartford 011,409
E02005039,Dartford 012,392
E02005040,Dartford 013,522
E02005041,Dover 001,539
E02005042,Dover 002,539
E02005043,Dover 003,296
E02005044,Dover 004,161
E02005045,Dover 005,455
E02005046,Dover 006,423
E02005047,Dover 007,273
E02005048,Dover 008,514
E02005049,Dover 009,411
E02005050,Dover 010,547
E02005051,Dover 011,310
E02005052,Dover 012,170
E02005053,Dover 013,187
E02005054,Dover 014,382
E02005055,Gravesham 001,220
E02005056,Gravesham 002,164
E02005057,Gravesham 003,398
E02005058,Gravesham 004,226
E02005059,Gravesham 005,435
E02005060,Gravesham 006,331
E02005061,Gravesham 007,299
E02005062,Gravesham 008,386
E02005063,Gravesham 009,391
E02005064,Gravesham 010,530
E02005065,Gravesham 011,287
E02005066,Gravesham 012,582
E02005067,Gravesham 013,561
E02005068,Maidstone 001,636
E02005069,Maidstone 002,446
E02005070,Maidstone 003,523
E02005071,Maidstone 004,251
E02005072,Maidstone 005,456
E02005073,Maidstone 006,369
E02005074,Maidstone 007,492
E02005075,Maidstone 008,417
E02005076,Maidstone 009,314
E02005077,Maidstone 010,416
E02005078,Maidstone 011,761
E02005079,Maidstone 012,577
E02005080,Maidstone 013,413
E02005081,Maidstone 014,519
E02005082,Maidstone 015,813
E02005083,Maidstone 016,517
E02005084,Maidstone 017,552
E02005085,Maidstone 018,639
E02005086,Maidstone 019,443
E02005087,Sevenoaks 001,464
E02005088,Sevenoaks 002,364
E02005089,Sevenoaks 003,365
E02005090,Sevenoaks 004,488
E02005091,Sevenoaks 005,448
E02005093,Sevenoaks 007,588
E02005094,Sevenoaks 008,581
E02005095,Sevenoaks 009,539
E02005096,Sevenoaks 010,354
E02005097,Sevenoaks 011,547
E02005098,Sevenoaks 012,553
E02005099,Sevenoaks 013,593
E02005100,Sevenoaks 014,497
E02005101,Sevenoaks 015,633
E02005102,Folkestone and Hythe 001,521
E02005103,Folkestone and Hythe 002,547
E02005104,Folkestone and Hythe 003,311
E02005105,Folkestone and Hythe 004,144
E02005106,Folkestone and Hythe 005,306
E02005107,Folkestone and Hythe 006,476
E02005109,Folkestone and Hythe 008,392
E02005110,Folkestone and Hythe 009,540
E02005111,Folkestone and Hythe 010,233
E02005112,Folkestone and Hythe 011,513
E02005113,Folkestone and Hythe 012,431
E02005114,Folkestone and Hythe 013,365
E02005115,Swale 001,146
E02005116,Swale 002,189
E02005117,Swale 003,463
E02005118,Swale 004,591
E02005119,Swale 005,330
E02005120,Swale 006,521
E02005121,Swale 007,754
E02005122,Swale 008,609
E02005123,Swale 009,677
E02005124,Swale 010,217
E02005125,Swale 011,341
E02005126,Swale 012,394
E02005127,Swale 013,618
E02005128,Swale 014,343
E02005129,Swale 015,347
E02005130,Swale 016,695
E02005131,Swale 017,454
E02005132,Thanet 001,146
E02005133,Thanet 002,459
E02005134,Thanet 003,153
E02005135,Thanet 004,217
E02005136,Thanet 005,403
E02005137,Thanet 006,241
E02005138,Thanet 007,318
E02005139,Thanet 008,386
E02005140,Thanet 009,320
E02005141,Thanet 010,251
E02005142,Thanet 011,297
E02005143,Thanet 012,271
E02005144,Thanet 013,236
E02005145,Thanet 014,510
E02005146,Thanet 015,222
E02005147,Thanet 016,133
E02005148,Thanet 017,396
E02005149,Tonbridge and Malling 001,810
E02005150,Tonbridge and Malling 002,475
E02005151,Tonbridge and Malling 003,769
E02005153,Tonbridge and Malling 005,496
E02005154,Tonbridge and Malling 006,863
E02005155,Tonbridge and Malling 007,783
E02005156,Tonbridge and Malling 008,509
E02005157,Tonbridge and Malling 009,308
E02005158,Tonbridge and Malling 010,411
E02005159,Tonbridge and Malling 011,443
E02005160,Tonbridge and Malling 012,346
E02005161,Tonbridge and Malling 013,262
E02005162,Tunbridge Wells 001,619
E02005163,Tunbridge Wells 002,364
E02005164,Tunbridge Wells 003,310
E02005165,Tunbridge Wells 004,525
E02005166,Tunbridge Wells 005,220
E02005167,Tunbridge Wells 006,498
E02005168,Tunbridge Wells 007,241
E02005169,Tunbridge Wells 008,130
E02005170,Tunbridge Wells 009,271
E02005171,Tunbridge Wells 010,202
E02005172,Tunbridge Wells 011,739
E02005173,Tunbridge Wells 012,351
E02005174,Tunbridge Wells 013,541
E02005175,Tunbridge Wells 014,638
E02005503,Breckland 001,550
E02005504,Breckland 002,758
E02005505,Breckland 003,414
E02005506,Breckland 004,474
E02005507,Breckland 005,492
E02005508,Breckland 006,635
E02005509,Breckland 007,348
E02005510,Breckland 008,561
E02005511,Breckland 009,432
E02005512,Breckland 010,754
E02005513,Breckland 011,528
E02005514,Breckland 012,543
E02005515,Breckland 013,520
E02005516,Breckland 014,591
E02005517,Breckland 015,141
E02005518,Breckland 016,410
E02005519,Breckland 017,270
E02005520,Broadland 001,455
E02005521,Broadland 002,742
E02005522,Broadland 003,432
E02005523,Broadland 004,631
E02005524,Broadland 005,363
E02005525,Broadland 006,548
E02005526,Broadland 007,278
E02005527,Broadland 008,600
E02005528,Broadland 009,384
E02005529,Broadland 010,288
E02005530,Broadland 011,278
E02005531,Broadland 012,270
E02005532,Broadland 013,378
E02005533,Broadland 014,586
E02005534,Broadland 015,345
E02005535,Broadland 016,307
E02005536,Broadland 017,384
E02005537,Broadland 018,384
E02005538,Great Yarmouth 001,622
E02005539,Great Yarmouth 002,538
E02005540,Great Yarmouth 003,388
E02005541,Great Yarmouth 004,181
E02005542,Great Yarmouth 005,90
E02005543,Great Yarmouth 006,99
E02005544,Great Yarmouth 007,144
E02005545,Great Yarmouth 008,331
E02005546,Great Yarmouth 009,217
E02005547,Great Yarmouth 010,280
E02005548,Great Yarmouth 011,195
E02005549,Great Yarmouth 012,362
E02005550,Great Yarmouth 013,362
E02005551,King's Lynn and West Norfolk 001,216
E02005552,King's Lynn and West Norfolk 002,477
E02005553,King's Lynn and West Norfolk 003,502
E02005554,King's Lynn and West Norfolk 004,483
E02005555,King's Lynn and West Norfolk 005,445
E02005556,King's Lynn and West Norfolk 006,354
E02005557,King's Lynn and West Norfolk 007,123
E02005558,King's Lynn and West Norfolk 008,581
E02005559,King's Lynn and West Norfolk 009,242
E02005560,King's Lynn and West Norfolk 010,228
E02005561,King's Lynn and West Norfolk 011,234
E02005562,King's Lynn and West Norfolk 012,583
E02005563,King's Lynn and West Norfolk 013,766
E02005564,King's Lynn and West Norfolk 014,629
E02005565,King's Lynn and West Norfolk 015,561
E02005566,King's Lynn and West Norfolk 016,915
E02005567,King's Lynn and West Norfolk 017,440
E02005568,King's Lynn and West Norfolk 018,620
E02005569,King's Lynn and West Norfolk 019,683
E02005570,North Norfolk 001,290
E02005571,North Norfolk 002,365
E02005572,North Norfolk 003,220
E02005573,North Norfolk 004,238
E02005574,North Norfolk 005,476
E02005575,North Norfolk 006,566
E02005576,North Norfolk 007,409
E02005577,North Norfolk 008,408
E02005578,North Norfolk 009,426
E02005580,North Norfolk 011,359
E02005581,North Norfolk 012,602
E02005582,North Norfolk 013,438
E02005583,North Norfolk 014,673
E02005584,Norwich 001,267
E02005585,Norwich 002,201
E02005586,Norwich 003,134
E02005587,Norwich 004,247
E02005588,Norwich 005,314
E02005589,Norwich 006,277
E02005592,Norwich 009,134
E02005593,Norwich 010,175
E02005594,Norwich 011,167
E02005595,Norwich 012,323
E02005596,Norwich 013,182
E02005598,South Norfolk 002,540
E02005599,South Norfolk 003,303
E02005600,South Norfolk 004,489
E02005601,South Norfolk 005,224
E02005602,South Norfolk 006,796
E02005603,South Norfolk 007,615
E02005604,South Norfolk 008,608
E02005605,South Norfolk 009,747
E02005606,South Norfolk 010,515
E02005607,South Norfolk 011,964
E02005608,South Norfolk 012,619
E02005609,South Norfolk 013,432
E02005610,South Norfolk 014,715
E02005611,South Norfolk 015,485
E02005921,Cherwell 001,537
E02005922,Cherwell 002,386
E02005923,Cherwell 003,158
E02005924,Cherwell 004,323
E02005925,Cherwell 005,278
E02005926,Cherwell 006,383
E02005927,Cherwell 007,251
E02005928,Cherwell 008,646
E02005929,Cherwell 009,555
E02005930,Cherwell 010,695
E02005931,Cherwell 011,748
E02005932,Cherwell 012,337
E02005933,Cherwell 013,332
E02005934,Cherwell 014,445
E02005935,Cherwell 015,310
E02005936,Cherwell 016,785
E02005937,Cherwell 017,290
E02005938,Cherwell 018,247
E02005939,Cherwell 019,360
E02005940,Oxford 001,149
E02005941,Oxford 002,96
E02005942,Oxford 003,100
E02005943,Oxford 004,159
E02005944,Oxford 005,139
E02005945,Oxford 006,209
E02005946,Oxford 007,200
E02005947,Oxford 008,44
E02005948,Oxford 009,58
E02005949,Oxford 010,161
E02005950,Oxford 011,173
E02005951,Oxford 012,61
E02005953,Oxford 014,124
E02005954,Oxford 015,232
E02005955,Oxford 016,257
E02005956,Oxford 017,142
E02005957,Oxford 018,161
E02005958,South Oxfordshire 001,279
E02005959,South Oxfordshire 002,428
E02005960,South Oxfordshire 003,360
E02005961,South Oxfordshire 004,472
E02005962,South Oxfordshire 005,781
E02005963,South Oxfordshire 006,509
E02005964,South Oxfordshire 007,586
E02005965,South Oxfordshire 008,507
E02005966,South Oxfordshire 009,392
E02005967,South Oxfordshire 010,375
E02005968,South Oxfordshire 011,474
E02005969,South Oxfordshire 012,457
E02005970,South Oxfordshire 013,204
E02005971,South Oxfordshire 014,332
E02005972,South Oxfordshire 015,630
E02005973,South Oxfordshire 016,248
E02005974,South Oxfordshire 017,261
E02005975,South Oxfordshire 018,648
E02005976,South Oxfordshire 019,628
E02005977,South Oxfordshire 020,416
E02005978,Vale of White Horse 001,433
E02005979,Vale of White Horse 002,422
E02005980,Vale of White Horse 003,683
E02005981,Vale of White Horse 004,452
E02005982,Vale of White Horse 005,237
E02005983,Vale of White Horse 006,335
E02005984,Vale of White Horse 007,722
E02005985,Vale of White Horse 008,277
E02005986,Vale of White Horse 009,502
E02005987,Vale of White Horse 010,597
E02005988,Vale of White Horse 011,464
E02005991,Vale of White Horse 014,497
E02005992,Vale of White Horse 015,764
E02005993,West Oxfordshire 001,304
E02005994,West Oxfordshire 002,491
E02005995,West Oxfordshire 003,500
E02005996,West Oxfordshire 004,501
E02005997,West Oxfordshire 005,411
E02005998,West Oxfordshire 006,447
E02005999,West Oxfordshire 007,558
E02006000,West Oxfordshire 008,543
E02006001,West Oxfordshire 009,316
E02006002,West Oxfordshire 010,445
E02006003,West Oxfordshire 011,345
E02006004,West Oxfordshire 012,495
E02006005,West Oxfordshire 013,473
E02006006,West Oxfordshire 014,289
E02006007,West Oxfordshire 015,591
E02006227,Babergh 001,489
E02006228,Babergh 002,542
E02006229,Babergh 003,361
E02006230,Babergh 004,708
E02006231,Babergh 005,580
E02006232,Babergh 006,525
E02006233,Babergh 007,440
E02006234,Babergh 008,521
E02006235,Babergh 009,745
E02006236,Babergh 010,799
E02006237,Babergh 011,561
E02006238,West Suffolk 002,448
E02006239,West Suffolk 001,425
E02006240,West Suffolk 003,661
E02006241,West Suffolk 004,373
E02006242,West Suffolk 007,590
E02006243,West Suffolk 008,346
E02006245,Ipswich 001,322
E02006246,Ipswich 002,367
E02006247,Ipswich 003,268
E02006248,Ipswich 004,332
E02006249,Ipswich 005,289
E02006250,Ipswich 006,188
E02006251,Ipswich 007,166
E02006252,Ipswich 008,275
E02006253,Ipswich 009,396
E02006254,Ipswich 010,217
E02006255,Ipswich 011,222
E02006256,Ipswich 012,205
E02006257,Ipswich 013,251
E02006258,Ipswich 014,336
E02006259,Ipswich 015,218
E02006260,Ipswich 016,292
E02006261,Mid Suffolk 001,669
E02006262,Mid Suffolk 002,831
E02006263,Mid Suffolk 003,709
E02006264,Mid Suffolk 004,697
E02006265,Mid Suffolk 005,590
E02006266,Mid Suffolk 006,775
E02006267,Mid Suffolk 007,869
E02006268,Mid Suffolk 008,258
E02006269,Mid Suffolk 009,555
E02006270,Mid Suffolk 010,668
E02006271,Mid Suffolk 011,606
E02006272,Mid Suffolk 012,568
E02006273,West Suffolk 005,527
E02006274,West Suffolk 006,442
E02006275,West Suffolk 009,227
E02006276,West Suffolk 016,549
E02006277,West Suffolk 012,377
E02006278,West Suffolk 011,205
E02006279,West Suffolk 014,317
E02006280,West Suffolk 010,828
E02006281,West Suffolk 013,300
E02006282,West Suffolk 017,505
E02006283,West Suffolk 018,614
E02006284,West Suffolk 019,328
E02006285,West Suffolk 021,392
E02006286,West Suffolk 020,453
E02006287,East Suffolk 016,525
E02006288,East Suffolk 017,778
E02006289,East Suffolk 018,562
E02006290,East Suffolk 019,368
E02006291,East Suffolk 020,430
E02006292,East Suffolk 021,636
E02006293,East Suffolk 023,712
E02006294,East Suffolk 022,334
E02006295,East Suffolk 024,539
E02006296,East Suffolk 025,799
E02006297,East Suffolk 026,595
E02006298,East Suffolk 027,568
E02006299,East Suffolk 028,455
E02006300,East Suffolk 029,246
E02006301,East Suffolk 030,219
E02006302,East Suffolk 001,450
E02006303,East Suffolk 002,253
E02006304,East Suffolk 003,370
E02006305,East Suffolk 004,160
E02006306,East Suffolk 005,275
E02006307,East Suffolk 007,483
E02006308,East Suffolk 006,142
E02006309,East Suffolk 009,243
E02006310,East Suffolk 008,371
E02006311,East Suffolk 010,286
E02006312,East Suffolk 011,585
E02006313,East Suffolk 012,511
E02006314,East Suffolk 013,457
E02006315,East Suffolk 014,354
E02006316,East Suffolk 015,376
E02006317,Elmbridge 001,273
E02006318,Elmbridge 002,273
E02006319,Elmbridge 003,286
E02006320,Elmbridge 004,264
E02006321,Elmbridge 005,226
E02006322,Elmbridge 006,266
E02006323,Elmbridge 007,269
E02006324,Elmbridge 008,343
E02006325,Elmbridge 009,466
E02006326,Elmbridge 010,298
E02006327,Elmbridge 011,305
E02006328,Elmbridge 012,345
E02006329,Elmbridge 013,502
E02006330,Elmbridge 014,501
E02006331,Elmbridge 015,385
E02006332,Elmbridge 016,448
E02006333,Elmbridge 017,601
E02006334,Elmbridge 018,683
E02006335,Epsom and Ewell 001,384
E02006336,Epsom and Ewell 002,301
E02006337,Epsom and Ewell 003,473
E02006338,Epsom and Ewell 004,288
E02006339,Epsom and Ewell 005,363
E02006341,Epsom and Ewell 007,296
E02006342,Epsom and Ewell 008,150
E02006343,Epsom and Ewell 009,462
E02006344,Guildford 001,711
E02006345,Guildford 002,450
E02006346,Guildford 003,872
E02006347,Guildford 004,433
E02006348,Guildford 005,541
E02006349,Guildford 006,291
E02006350,Guildford 007,280
E02006351,Guildford 008,358
E02006352,Guildford 009,320
E02006353,Guildford 010,354
E02006354,Guildford 011,501
E02006355,Guildford 012,244
E02006356,Guildford 013,205
E02006357,Guildford 014,475
E02006358,Guildford 015,183
E02006359,Guildford 016,286
E02006360,Guildford 017,601
E02006361,Guildford 018,547
E02006362,Mole Valley 001,421
E02006363,Mole Valley 002,353
E02006364,Mole Valley 003,273
E02006365,Mole Valley 004,389
E02006366,Mole Valley 005,674
E02006367,Mole Valley 006,407
E02006368,Mole Valley 007,434
E02006369,Mole Valley 008,542
E02006370,Mole Valley 009,284
E02006371,Mole Valley 010,343
E02006372,Mole Valley 011,369
E02006373,Mole Valley 012,715
E02006374,Mole Valley 013,730
E02006375,Reigate and Banstead 001,470
E02006376,Reigate and Banstead 002,421
E02006377,Reigate and Banstead 003,456
E02006378,Reigate and Banstead 004,652
E02006379,Reigate and Banstead 005,261
E02006380,Reigate and Banstead 006,547
E02006381,Reigate and Banstead 007,652
E02006382,Reigate and Banstead 008,246
E02006383,Reigate and Banstead 009,544
E02006384,Reigate and Banstead 010,312
E02006385,Reigate and Banstead 011,284
E02006386,Reigate and Banstead 012,317
E02006387,Reigate and Banstead 013,312
E02006388,Reigate and Banstead 014,405
E02006389,Reigate and Banstead 015,473
E02006390,Reigate and Banstead 016,492
E02006391,Reigate and Banstead 017,411
E02006392,Reigate and Banstead 018,353
E02006393,Runnymede 001,260
E02006394,Runnymede 002,398
E02006395,Runnymede 003,490
E02006396,Runnymede 004,419
E02006397,Runnymede 005,455
E02006398,Runnymede 006,331
E02006399,Runnymede 007,618
E02006400,Runnymede 008,399
E02006401,Runnymede 009,535
E02006402,Runnymede 010,682
E02006403,Spelthorne 001,262
E02006404,Spelthorne 002,299
E02006405,Spelthorne 003,538
E02006406,Spelthorne 004,303
E02006407,Spelthorne 005,535
E02006408,Spelthorne 006,472
E02006409,Spelthorne 007,340
E02006410,Spelthorne 008,350
E02006411,Spelthorne 009,389
E02006412,Spelthorne 010,406
E02006413,Spelthorne 011,326
E02006414,Spelthorne 012,386
E02006415,Spelthorne 013,403
E02006416,Surrey Heath 001,734
E02006417,Surrey Heath 002,353
E02006418,Surrey Heath 003,532
E02006419,Surrey Heath 004,434
E02006420,Surrey Heath 005,676
E02006421,Surrey Heath 006,745
E02006422,Surrey Heath 007,432
E02006423,Surrey Heath 008,593
E02006424,Surrey Heath 009,552
E02006425,Surrey Heath 010,355
E02006426,Surrey Heath 011,396
E02006427,Surrey Heath 012,513
E02006429,Tandridge 002,386
E02006430,Tandridge 003,501
E02006431,Tandridge 004,574
E02006432,Tandridge 005,392
E02006433,Tandridge 006,646
E02006434,Tandridge 007,373
E02006435,Tandridge 008,445
E02006436,Tandridge 009,482
E02006437,Tandridge 010,644
E02006438,Tandridge 011,811
E02006439,Waverley 001,401
E02006440,Waverley 002,439
E02006441,Waverley 003,298
E02006442,Waverley 004,488
E02006443,Waverley 005,283
E02006444,Waverley 006,410
E02006445,Waverley 007,273
E02006446,Waverley 008,561
E02006447,Waverley 009,402
E02006448,Waverley 010,362
E02006449,Waverley 011,477
E02006450,Waverley 012,612
E02006451,Waverley 013,693
E02006453,Waverley 015,717
E02006454,Waverley 016,412
E02006455,Waverley 017,285
E02006456,Woking 001,456
E02006457,Woking 002,572
E02006458,Woking 003,567
E02006459,Woking 004,394
E02006460,Woking 005,361
E02006461,Woking 006,353
E02006462,Woking 007,412
E02006463,Woking 008,207
E02006464,Woking 009,342
E02006465,Woking 010,342
E02006466,Woking 011,484
E02006467,Woking 012,493
E02006534,Adur 001,402
E02006535,Adur 002,289
E02006536,Adur 003,395
E02006537,Adur 004,310
E02006538,Adur 005,320
E02006539,Adur 006,338
E02006540,Adur 007,227
E02006541,Adur 008,292
E02006542,Arun 001,397
E02006543,Arun 002,406
E02006544,Arun 003,787
E02006545,Arun 004,464
E02006546,Arun 005,577
E02006547,Arun 006,357
E02006548,Arun 007,471
E02006549,Arun 008,343
E02006550,Arun 009,444
E02006551,Arun 010,389
E02006552,Arun 011,153
E02006553,Arun 012,453
E02006554,Arun 013,392
E02006555,Arun 014,281
E02006556,Arun 015,641
E02006557,Arun 016,316
E02006558,Arun 017,216
E02006559,Arun 018,472
E02006560,Arun 019,507
E02006561,Chichester 001,545
E02006562,Chichester 002,691
E02006563,Chichester 003,619
E02006564,Chichester 004,445
E02006565,Chichester 005,710
E02006566,Chichester 006,516
E02006567,Chichester 007,584
E02006568,Chichester 008,342
E02006569,Chichester 009,527
E02006570,Chichester 010,176
E02006571,Chichester 011,444
E02006572,Chichester 012,573
E02006573,Chichester 013,865
E02006574,Chichester 014,569
E02006575,Crawley 001,290
E02006576,Crawley 002,492
E02006577,Crawley 003,302
E02006578,Crawley 004,299
E02006579,Crawley 005,308
E02006580,Crawley 006,335
E02006581,Crawley 007,287
E02006582,Crawley 008,453
E02006583,Crawley 009,411
E02006584,Crawley 010,231
E02006585,Crawley 011,302
E02006586,Crawley 012,278
E02006587,Crawley 013,270
E02006588,Horsham 001,579
E02006589,Horsham 002,664
E02006590,Horsham 003,440
E02006591,Horsham 004,325
E02006592,Horsham 005,649
E02006593,Horsham 006,300
E02006594,Horsham 007,486
E02006595,Horsham 008,629
E02006596,Horsham 009,638
E02006597,Horsham 010,814
E02006598,Horsham 011,526
E02006599,Horsham 012,708
E02006600,Horsham 013,599
E02006601,Horsham 014,600
E02006602,Horsham 015,814
E02006603,Horsham 016,581
E02006604,Mid Sussex 001,504
E02006605,Mid Sussex 002,472
E02006606,Mid Sussex 003,500
