Middle layer Super Output Areas Code,Middle layer Super Output Areas,2_bedrooms
E02000949,Wandsworth 027,1129
E02000950,Wandsworth 028,1196
E02000951,Wandsworth 029,924
E02000952,Wandsworth 030,799
E02000953,Wandsworth 031,1024
E02000954,Wandsworth 032,584
E02000955,Wandsworth 033,1103
E02000956,Wandsworth 034,1170
E02000957,Wandsworth 035,1663
E02000958,Wandsworth 036,538
E02000959,Wandsworth 037,985
E02000960,Westminster 001,940
E02000961,Westminster 002,1648
E02000962,Westminster 003,1288
E02000963,Westminster 004,1729
E02000964,Westminster 005,2148
E02000965,Westminster 006,1535
E02000966,Westminster 007,1420
E02000967,Westminster 008,1158
E02000968,Westminster 009,1897
E02000969,Westminster 010,1463
E02000970,Westminster 011,1309
E02000971,Westminster 012,1303
E02000972,Westminster 013,1498
E02000973,Westminster 014,1465
E02000974,Westminster 015,1353
E02000975,Westminster 016,1390
E02000976,Westminster 017,1446
E02000977,Westminster 018,1208
E02000978,Westminster 019,869
E02000979,Westminster 020,1455
E02000980,Westminster 021,1753
E02000981,Westminster 022,1469
E02000982,Westminster 023,1267
E02000983,Westminster 024,1377
E02003237,Peterborough 001,491
E02003238,Peterborough 002,475
E02003239,Peterborough 003,767
E02003240,Peterborough 004,636
E02003241,Peterborough 005,797
E02003242,Peterborough 006,1040
E02003243,Peterborough 007,1371
E02003244,Peterborough 008,1101
E02003245,Peterborough 009,549
E02003246,Peterborough 010,835
E02003247,Peterborough 011,565
E02003248,Peterborough 012,614
E02003249,Peterborough 013,1702
E02003250,Peterborough 014,1715
E02003251,Peterborough 015,387
E02003252,Peterborough 016,1367
E02003253,Peterborough 017,1642
E02003254,Peterborough 018,730
E02003255,Peterborough 019,1346
E02003257,Peterborough 021,726
E02003258,Luton 001,549
E02003259,Luton 002,821
E02003260,Luton 003,916
E02003261,Luton 004,709
E02003262,Luton 005,941
E02003263,Luton 006,943
E02003264,Luton 007,380
E02003265,Luton 008,946
E02003266,Luton 009,971
E02003267,Luton 010,855
E02003268,Luton 011,796
E02003269,Luton 012,1080
E02003270,Luton 013,671
E02003271,Luton 014,1082
E02003272,Luton 015,583
E02003273,Luton 016,707
E02003274,Luton 017,998
E02003276,Luton 019,652
E02003277,Luton 020,844
E02003278,Luton 021,1648
E02003279,Southend-on-Sea 001,1223
E02003280,Southend-on-Sea 002,1348
E02003281,Southend-on-Sea 003,1396
E02003282,Southend-on-Sea 004,1096
E02003283,Southend-on-Sea 005,1110
E02003284,Southend-on-Sea 006,1254
E02003285,Southend-on-Sea 007,1157
E02003286,Southend-on-Sea 008,880
E02003287,Southend-on-Sea 009,1150
E02003288,Southend-on-Sea 010,2184
E02003289,Southend-on-Sea 011,1635
E02003290,Southend-on-Sea 012,1421
E02003291,Southend-on-Sea 013,1460
E02003292,Southend-on-Sea 014,1993
E02003293,Southend-on-Sea 015,2245
E02003294,Southend-on-Sea 016,977
E02003295,Southend-on-Sea 017,797
E02003296,Thurrock 001,436
E02003297,Thurrock 002,510
E02003298,Thurrock 003,569
E02003299,Thurrock 004,426
E02003300,Thurrock 005,817
E02003301,Thurrock 006,1231
E02003302,Thurrock 007,1073
E02003303,Thurrock 008,719
E02003304,Thurrock 009,378
E02003305,Thurrock 010,682
E02003307,Thurrock 012,718
E02003308,Thurrock 013,574
E02003309,Thurrock 014,493
E02003311,Thurrock 016,1176
E02003312,Thurrock 017,1905
E02003313,Thurrock 018,1244
E02003314,Medway 001,794
E02003315,Medway 002,325
E02003316,Medway 003,1112
E02003317,Medway 004,663
E02003318,Medway 005,318
E02003319,Medway 006,1026
E02003320,Medway 007,1295
E02003321,Medway 008,468
E02003322,Medway 009,992
E02003323,Medway 010,783
E02003324,Medway 011,1150
E02003325,Medway 012,1140
E02003326,Medway 013,526
E02003327,Medway 014,1370
E02003328,Medway 015,1453
E02003329,Medway 016,614
E02003330,Medway 017,714
E02003331,Medway 018,968
E02003332,Medway 019,396
E02003333,Medway 020,941
E02003334,Medway 021,475
E02003335,Medway 022,869
E02003336,Medway 023,484
E02003337,Medway 024,760
E02003338,Medway 025,838
E02003339,Medway 026,388
E02003340,Medway 027,697
E02003341,Medway 028,635
E02003342,Medway 029,421
E02003343,Medway 030,338
E02003344,Medway 031,467
E02003345,Medway 032,358
E02003346,Medway 033,819
E02003347,Medway 034,723
E02003348,Medway 035,439
E02003349,Medway 036,735
E02003350,Medway 037,597
E02003351,Medway 038,882
E02003352,Bracknell Forest 001,801
E02003353,Bracknell Forest 002,1203
E02003354,Bracknell Forest 003,874
E02003355,Bracknell Forest 004,785
E02003356,Bracknell Forest 005,667
E02003357,Bracknell Forest 006,1168
E02003358,Bracknell Forest 007,1469
E02003359,Bracknell Forest 008,867
E02003360,Bracknell Forest 009,882
E02003361,Bracknell Forest 010,646
E02003362,Bracknell Forest 011,503
E02003363,Bracknell Forest 012,683
E02003364,Bracknell Forest 013,556
E02003365,Bracknell Forest 014,492
E02003366,Bracknell Forest 015,446
E02003367,West Berkshire 001,481
E02003368,West Berkshire 002,612
E02003369,West Berkshire 003,428
E02003370,West Berkshire 004,476
E02003371,West Berkshire 005,323
E02003372,West Berkshire 006,527
E02003373,West Berkshire 007,478
E02003374,West Berkshire 008,500
E02003375,West Berkshire 009,673
E02003376,West Berkshire 010,759
E02003377,West Berkshire 011,952
E02003378,West Berkshire 012,925
E02003379,West Berkshire 013,685
E02003380,West Berkshire 014,679
E02003381,West Berkshire 015,408
E02003382,West Berkshire 016,920
E02003383,West Berkshire 017,561
E02003384,West Berkshire 018,493
E02003385,West Berkshire 019,2282
E02003386,West Berkshire 020,854
E02003387,West Berkshire 021,694
E02003388,West Berkshire 022,493
E02003389,Reading 001,389
E02003390,Reading 002,276
E02003391,Reading 003,554
E02003392,Reading 004,1459
E02003393,Reading 005,732
E02003394,Reading 006,737
E02003395,Reading 007,1419
E02003396,Reading 008,1173
E02003397,Reading 009,725
E02003398,Reading 010,1570
E02003400,Reading 012,693
E02003401,Reading 013,1542
E02003402,Reading 014,1291
E02003403,Reading 015,1087
E02003404,Reading 016,523
E02003405,Reading 017,1734
E02003406,Reading 018,704
E02003407,Slough 001,1205
E02003408,Slough 002,778
E02003409,Slough 003,1251
E02003410,Slough 004,574
E02003411,Slough 005,756
E02003412,Slough 006,766
E02003414,Slough 008,1430
E02003415,Slough 009,1512
E02003416,Slough 010,841
E02003417,Slough 011,1300
E02003418,Slough 012,758
E02003419,Slough 013,933
E02003420,Slough 014,606
E02003421,Windsor and Maidenhead 001,449
E02003422,Windsor and Maidenhead 002,932
E02003423,Windsor and Maidenhead 003,475
E02003424,Windsor and Maidenhead 004,1208
E02003425,Windsor and Maidenhead 005,1986
E02003426,Windsor and Maidenhead 006,762
E02003427,Windsor and Maidenhead 007,676
E02003428,Windsor and Maidenhead 008,469
E02003429,Windsor and Maidenhead 009,431
E02003430,Windsor and Maidenhead 010,775
E02003431,Windsor and Maidenhead 011,613
E02003432,Windsor and Maidenhead 012,1096
E02003433,Windsor and Maidenhead 013,598
E02003434,Windsor and Maidenhead 014,1037
E02003435,Windsor and Maidenhead 015,717
E02003436,Windsor and Maidenhead 016,517
E02003437,Windsor and Maidenhead 017,545
E02003438,Windsor and Maidenhead 018,942
E02003439,Wokingham 001,405
E02003440,Wokingham 002,816
E02003441,Wokingham 003,452
E02003442,Wokingham 004,748
E02003443,Wokingham 005,567
E02003444,Wokingham 006,474
E02003445,Wokingham 007,586
E02003446,Wokingham 008,323
E02003447,Wokingham 009,832
E02003448,Wokingham 010,474
E02003449,Wokingham 011,693
E02003450,Wokingham 012,1128
E02003451,Wokingham 013,1603
E02003452,Wokingham 014,846
E02003453,Wokingham 015,262
E02003454,Wokingham 016,688
E02003455,Wokingham 017,982
E02003456,Wokingham 018,873
E02003457,Wokingham 019,279
E02003458,Wokingham 020,401
E02003459,Milton Keynes 001,779
E02003460,Milton Keynes 002,960
E02003461,Milton Keynes 003,596
E02003462,Milton Keynes 004,934
E02003463,Milton Keynes 005,392
E02003464,Milton Keynes 006,513
E02003465,Milton Keynes 007,725
E02003466,Milton Keynes 008,905
E02003467,Milton Keynes 009,624
E02003468,Milton Keynes 010,966
E02003469,Milton Keynes 011,518
E02003470,Milton Keynes 012,442
E02003471,Milton Keynes 013,598
E02003472,Milton Keynes 014,1442
E02003473,Milton Keynes 015,483
E02003474,Milton Keynes 016,676
E02003476,Milton Keynes 018,882
E02003478,Milton Keynes 020,660
E02003479,Milton Keynes 021,771
E02003480,Milton Keynes 022,1230
E02003481,Milton Keynes 023,932
E02003482,Milton Keynes 024,815
E02003483,Milton Keynes 025,943
E02003484,Milton Keynes 026,779
E02003485,Milton Keynes 027,667
E02003486,Milton Keynes 028,899
E02003487,Milton Keynes 029,625
E02003488,Milton Keynes 030,923
E02003489,Milton Keynes 031,857
E02003490,Milton Keynes 032,1079
E02003491,Brighton and Hove 001,728
E02003492,Brighton and Hove 002,448
E02003493,Brighton and Hove 003,791
E02003494,Brighton and Hove 004,598
E02003495,Brighton and Hove 005,1086
E02003496,Brighton and Hove 006,1068
E02003497,Brighton and Hove 007,478
E02003498,Brighton and Hove 008,1085
E02003499,Brighton and Hove 009,712
E02003500,Brighton and Hove 010,480
E02003501,Brighton and Hove 011,1112
E02003502,Brighton and Hove 012,948
E02003503,Brighton and Hove 013,766
E02003504,Brighton and Hove 014,1191
E02003505,Brighton and Hove 015,1133
E02003506,Brighton and Hove 016,732
E02003507,Brighton and Hove 017,1184
E02003508,Brighton and Hove 018,1065
E02003509,Brighton and Hove 019,1645
E02003510,Brighton and Hove 020,1610
E02003511,Brighton and Hove 021,920
E02003512,Brighton and Hove 022,1173
E02003513,Brighton and Hove 023,939
E02003514,Brighton and Hove 024,1512
E02003515,Brighton and Hove 025,1279
E02003516,Brighton and Hove 026,1906
E02003517,Brighton and Hove 027,1906
E02003518,Brighton and Hove 028,1575
E02003519,Brighton and Hove 029,1577
E02003520,Brighton and Hove 030,1661
E02003521,Brighton and Hove 031,1495
E02003522,Brighton and Hove 032,1658
E02003523,Brighton and Hove 033,1383
E02003524,Portsmouth 001,425
E02003525,Portsmouth 002,824
E02003526,Portsmouth 003,416
E02003527,Portsmouth 004,748
E02003529,Portsmouth 006,513
E02003530,Portsmouth 007,961
E02003531,Portsmouth 008,736
E02003532,Portsmouth 009,632
E02003533,Portsmouth 010,1032
E02003534,Portsmouth 011,713
E02003535,Portsmouth 012,1167
E02003536,Portsmouth 013,1269
E02003537,Portsmouth 014,777
E02003538,Portsmouth 015,1812
E02003540,Portsmouth 017,1050
E02003541,Portsmouth 018,1143
E02003542,Portsmouth 019,948
E02003543,Portsmouth 020,1124
E02003544,Portsmouth 021,1235
E02003545,Portsmouth 022,1182
E02003546,Portsmouth 023,1188
E02003547,Portsmouth 024,1899
E02003548,Portsmouth 025,880
E02003549,Southampton 001,610
E02003550,Southampton 002,652
E02003551,Southampton 003,483
E02003552,Southampton 004,497
E02003553,Southampton 005,298
E02003554,Southampton 006,744
E02003555,Southampton 007,1074
E02003556,Southampton 008,643
E02003557,Southampton 009,790
E02003558,Southampton 010,1041
E02003559,Southampton 011,485
E02003560,Southampton 012,1184
E02003561,Southampton 013,1036
E02003562,Southampton 014,1031
E02003563,Southampton 015,984
E02003564,Southampton 016,1088
E02003565,Southampton 017,926
E02003566,Southampton 018,960
E02003567,Southampton 019,758
E02003568,Southampton 020,1160
E02003569,Southampton 021,1280
E02003570,Southampton 022,1126
E02003571,Southampton 023,1185
E02003572,Southampton 024,518
E02003573,Southampton 025,1176
E02003574,Southampton 026,970
E02003575,Southampton 027,1003
E02003576,Southampton 028,808
E02003578,Southampton 030,861
E02003579,Southampton 031,1472
E02003580,Southampton 032,1030
E02003581,Isle of Wight 001,1384
E02003582,Isle of Wight 002,951
E02003583,Isle of Wight 003,1208
E02003584,Isle of Wight 004,1249
E02003585,Isle of Wight 005,889
E02003586,Isle of Wight 006,1011
E02003587,Isle of Wight 007,1370
E02003588,Isle of Wight 008,1249
E02003589,Isle of Wight 009,1250
E02003590,Isle of Wight 010,1020
E02003591,Isle of Wight 011,1119
E02003592,Isle of Wight 012,1644
E02003593,Isle of Wight 013,628
E02003594,Isle of Wight 014,1651
E02003595,Isle of Wight 015,1244
E02003596,Isle of Wight 016,1514
E02003597,Isle of Wight 017,681
E02003598,Isle of Wight 018,1268
E02003599,Central Bedfordshire 001,472
E02003600,Central Bedfordshire 002,703
E02003601,Central Bedfordshire 003,711
E02003602,Central Bedfordshire 004,539
E02003603,Central Bedfordshire 005,1379
E02003604,Central Bedfordshire 006,1114
E02003605,Central Bedfordshire 007,723
E02003606,Central Bedfordshire 008,700
E02003607,Central Bedfordshire 009,840
E02003608,Central Bedfordshire 010,1379
E02003609,Central Bedfordshire 011,1095
E02003610,Central Bedfordshire 012,832
E02003611,Central Bedfordshire 013,905
E02003612,Central Bedfordshire 014,1106
E02003613,Central Bedfordshire 015,554
E02003614,Central Bedfordshire 016,816
E02003615,Central Bedfordshire 017,648
E02003616,Bedford 001,366
E02003617,Bedford 002,679
E02003618,Bedford 003,758
E02003619,Bedford 004,799
E02003620,Bedford 005,419
E02003621,Bedford 006,312
E02003622,Bedford 007,989
E02003623,Bedford 008,984
E02003624,Bedford 009,578
E02003625,Bedford 010,1067
E02003626,Bedford 011,456
E02003627,Bedford 012,1542
E02003628,Bedford 013,658
E02003629,Bedford 014,1327
E02003630,Bedford 015,1176
E02003631,Bedford 016,557
E02003632,Bedford 017,640
E02003633,Bedford 018,844
E02003635,Bedford 020,727
E02003636,Central Bedfordshire 018,762
E02003637,Central Bedfordshire 019,984
E02003638,Central Bedfordshire 020,496
E02003639,Central Bedfordshire 021,1609
E02003640,Central Bedfordshire 022,810
E02003641,Central Bedfordshire 023,424
E02003642,Central Bedfordshire 025,718
E02003643,Central Bedfordshire 024,1559
E02003644,Central Bedfordshire 026,1194
E02003645,Central Bedfordshire 027,533
E02003646,Central Bedfordshire 028,850
E02003647,Central Bedfordshire 029,1644
E02003648,Central Bedfordshire 030,710
E02003649,Central Bedfordshire 031,492
E02003650,Central Bedfordshire 032,575
E02003651,Central Bedfordshire 033,803
E02003652,Buckinghamshire 001,715
E02003653,Buckinghamshire 002,716
E02003654,Buckinghamshire 003,362
E02003655,Buckinghamshire 004,707
E02003656,Buckinghamshire 005,769
E02003657,Buckinghamshire 006,540
E02003658,Buckinghamshire 007,844
E02003659,Buckinghamshire 009,832
E02003660,Buckinghamshire 008,752
E02003661,Buckinghamshire 010,378
E02003662,Buckinghamshire 012,756
E02003663,Buckinghamshire 011,1429
E02003664,Buckinghamshire 013,1106
E02003665,Buckinghamshire 014,639
E02003666,Buckinghamshire 015,1481
E02003667,Buckinghamshire 016,1482
E02003668,Buckinghamshire 018,438
E02003669,Buckinghamshire 017,805
E02003670,Buckinghamshire 019,955
E02003671,Buckinghamshire 020,752
E02003672,Buckinghamshire 021,918
E02003673,Buckinghamshire 022,797
E02003674,Buckinghamshire 023,374
E02003675,Buckinghamshire 024,855
E02003676,Buckinghamshire 029,583
E02003677,Buckinghamshire 027,884
E02003678,Buckinghamshire 028,544
E02003679,Buckinghamshire 030,1046
E02003680,Buckinghamshire 031,702
E02003681,Buckinghamshire 032,1073
E02003682,Buckinghamshire 034,589
E02003683,Buckinghamshire 035,699
E02003685,Buckinghamshire 047,503
E02003686,Buckinghamshire 050,566
E02003687,Buckinghamshire 054,386
E02003688,Buckinghamshire 053,916
E02003689,Buckinghamshire 058,489
E02003690,Buckinghamshire 059,1136
E02003691,Buckinghamshire 063,460
E02003692,Buckinghamshire 064,712
E02003693,Buckinghamshire 065,701
E02003694,Buckinghamshire 066,822
E02003695,Buckinghamshire 067,914
E02003696,Buckinghamshire 026,886
E02003697,Buckinghamshire 025,364
E02003698,Buckinghamshire 033,459
E02003699,Buckinghamshire 037,505
E02003701,Buckinghamshire 038,998
E02003702,Buckinghamshire 040,600
E02003703,Buckinghamshire 041,914
E02003704,Buckinghamshire 045,346
E02003705,Buckinghamshire 042,642
E02003706,Buckinghamshire 043,705
E02003707,Buckinghamshire 044,708
E02003708,Buckinghamshire 046,679
E02003709,Buckinghamshire 048,649
E02003710,Buckinghamshire 049,988
E02003711,Buckinghamshire 051,1515
E02003712,Buckinghamshire 052,693
E02003713,Buckinghamshire 055,398
E02003714,Buckinghamshire 056,700
E02003715,Buckinghamshire 057,353
E02003716,Buckinghamshire 060,631
E02003717,Buckinghamshire 062,847
E02003718,Buckinghamshire 061,516
E02003719,Cambridge 001,1226
E02003720,Cambridge 002,1019
E02003721,Cambridge 003,1161
E02003722,Cambridge 004,730
E02003723,Cambridge 005,1021
E02003724,Cambridge 006,1260
E02003725,Cambridge 007,951
E02003726,Cambridge 008,1088
E02003727,Cambridge 009,1157
E02003728,Cambridge 010,993
E02003729,Cambridge 011,925
E02003731,Cambridge 013,739
E02003732,East Cambridgeshire 001,1144
E02003733,East Cambridgeshire 002,739
E02003734,East Cambridgeshire 003,1403
E02003735,East Cambridgeshire 004,987
E02003736,East Cambridgeshire 005,1049
E02003737,East Cambridgeshire 006,1710
E02003738,East Cambridgeshire 007,664
E02003739,East Cambridgeshire 008,686
E02003740,East Cambridgeshire 009,525
E02003742,Fenland 001,899
E02003743,Fenland 002,1504
E02003744,Fenland 003,1937
E02003745,Fenland 004,1169
E02003746,Fenland 005,941
E02003747,Fenland 006,1439
E02003748,Fenland 007,1286
E02003749,Fenland 008,656
E02003750,Fenland 009,1087
E02003751,Fenland 010,833
E02003752,Fenland 011,1600
E02003753,Huntingdonshire 001,986
E02003754,Huntingdonshire 002,437
E02003755,Huntingdonshire 003,793
E02003756,Huntingdonshire 004,689
E02003757,Huntingdonshire 005,558
E02003758,Huntingdonshire 006,828
E02003759,Huntingdonshire 007,369
E02003760,Huntingdonshire 008,760
E02003761,Huntingdonshire 009,385
E02003762,Huntingdonshire 010,1014
E02003763,Huntingdonshire 011,774
E02003764,Huntingdonshire 012,1406
E02003765,Huntingdonshire 013,838
E02003766,Huntingdonshire 014,792
E02003767,Huntingdonshire 015,363
E02003768,Huntingdonshire 016,945
E02003769,Huntingdonshire 017,561
E02003770,Huntingdonshire 018,1120
E02003771,Huntingdonshire 019,769
E02003772,Huntingdonshire 020,503
E02003773,Huntingdonshire 021,1184
E02003774,Huntingdonshire 022,543
E02003775,South Cambridgeshire 001,619
E02003776,South Cambridgeshire 002,740
E02003777,South Cambridgeshire 003,938
E02003778,South Cambridgeshire 004,796
E02003780,South Cambridgeshire 006,1201
E02003781,South Cambridgeshire 007,741
E02003784,South Cambridgeshire 010,509
E02003785,South Cambridgeshire 011,987
E02003786,South Cambridgeshire 012,670
E02003787,South Cambridgeshire 013,742
E02003788,South Cambridgeshire 014,719
E02003789,South Cambridgeshire 015,644
E02003790,South Cambridgeshire 016,776
E02003791,South Cambridgeshire 017,693
E02003792,South Cambridgeshire 018,930
E02003793,South Cambridgeshire 019,551
E02004356,Eastbourne 001,855
E02004357,Eastbourne 002,671
E02004358,Eastbourne 003,1337
E02004359,Eastbourne 004,1149
E02004361,Eastbourne 006,605
E02004362,Eastbourne 007,1022
E02004363,Eastbourne 008,1127
E02004364,Eastbourne 009,1232
E02004365,Eastbourne 010,1457
E02004366,Eastbourne 011,1760
E02004367,Eastbourne 012,1139
E02004368,Hastings 001,776
E02004369,Hastings 002,1252
E02004370,Hastings 003,992
E02004371,Hastings 004,1144
E02004372,Hastings 005,894
E02004373,Hastings 006,985
E02004374,Hastings 007,1030
E02004375,Hastings 008,1191
E02004376,Hastings 009,1253
E02004377,Hastings 010,1498
E02004378,Hastings 011,1918
E02004379,Lewes 001,604
E02004380,Lewes 002,869
E02004381,Lewes 003,1367
E02004382,Lewes 004,602
E02004383,Lewes 005,766
E02004384,Lewes 006,927
E02004385,Lewes 007,1155
E02004386,Lewes 008,1076
E02004387,Lewes 009,646
E02004388,Lewes 010,1227
E02004389,Lewes 011,1188
E02004390,Lewes 012,854
E02004391,Lewes 013,1159
E02004392,Rother 001,849
E02004393,Rother 002,727
E02004394,Rother 003,701
E02004395,Rother 004,1190
E02004396,Rother 005,974
E02004397,Rother 006,973
E02004398,Rother 007,1235
E02004399,Rother 008,1467
E02004400,Rother 009,1309
E02004401,Rother 010,1531
E02004402,Rother 011,2185
E02004403,Wealden 001,517
E02004404,Wealden 002,491
E02004405,Wealden 003,498
E02004406,Wealden 004,578
E02004407,Wealden 005,712
E02004408,Wealden 006,820
E02004409,Wealden 007,308
E02004410,Wealden 008,563
E02004411,Wealden 009,929
E02004412,Wealden 010,958
E02004413,Wealden 011,748
E02004414,Wealden 012,676
E02004415,Wealden 013,570
E02004416,Wealden 014,666
E02004417,Wealden 015,997
E02004418,Wealden 016,727
E02004419,Wealden 017,1006
E02004420,Wealden 018,1770
E02004421,Wealden 019,1873
E02004422,Wealden 020,1573
E02004423,Wealden 021,1392
E02004424,Basildon 001,278
E02004425,Basildon 002,596
E02004426,Basildon 003,636
E02004427,Basildon 004,684
E02004428,Basildon 005,784
E02004429,Basildon 006,747
E02004430,Basildon 007,794
E02004431,Basildon 008,1174
E02004432,Basildon 009,435
E02004433,Basildon 010,960
E02004434,Basildon 011,1143
E02004435,Basildon 012,1218
E02004436,Basildon 013,674
E02004437,Basildon 014,970
E02004438,Basildon 015,1246
E02004439,Basildon 016,988
E02004440,Basildon 017,1066
E02004441,Basildon 018,696
E02004442,Basildon 019,818
E02004443,Basildon 020,1312
E02004444,Basildon 021,706
E02004445,Basildon 022,860
E02004446,Braintree 001,622
E02004447,Braintree 002,500
E02004448,Braintree 003,817
E02004449,Braintree 004,1295
E02004450,Braintree 005,670
E02004451,Braintree 006,1012
E02004452,Braintree 007,701
E02004453,Braintree 008,990
E02004454,Braintree 009,1607
E02004455,Braintree 010,521
E02004456,Braintree 011,1347
E02004457,Braintree 012,1151
E02004458,Braintree 013,804
E02004459,Braintree 014,1124
E02004460,Braintree 015,1120
E02004461,Braintree 016,496
E02004462,Braintree 017,1639
E02004463,Braintree 018,922
E02004464,Brentwood 001,575
E02004465,Brentwood 002,590
E02004466,Brentwood 003,846
E02004467,Brentwood 004,1033
E02004468,Brentwood 005,602
E02004469,Brentwood 006,538
E02004470,Brentwood 007,2373
E02004471,Brentwood 008,1148
E02004472,Brentwood 009,527
E02004473,Castle Point 001,593
E02004474,Castle Point 002,957
E02004475,Castle Point 003,579
E02004476,Castle Point 004,617
E02004477,Castle Point 005,817
E02004478,Castle Point 006,959
E02004479,Castle Point 007,955
E02004480,Castle Point 008,523
E02004481,Castle Point 009,1294
E02004482,Castle Point 010,712
E02004483,Castle Point 011,954
E02004484,Castle Point 012,1288
E02004485,Chelmsford 001,854
E02004486,Chelmsford 002,602
E02004487,Chelmsford 003,593
E02004488,Chelmsford 004,905
E02004489,Chelmsford 005,622
E02004490,Chelmsford 006,890
E02004491,Chelmsford 007,492
E02004492,Chelmsford 008,1038
E02004493,Chelmsford 009,1247
E02004495,Chelmsford 011,595
E02004496,Chelmsford 012,640
E02004497,Chelmsford 013,597
E02004498,Chelmsford 014,968
E02004499,Chelmsford 015,256
E02004500,Chelmsford 016,475
E02004501,Chelmsford 017,434
E02004502,Chelmsford 018,531
E02004503,Chelmsford 019,592
E02004504,Chelmsford 020,704
E02004505,Chelmsford 021,806
E02004506,Colchester 001,473
E02004507,Colchester 002,1263
E02004508,Colchester 003,412
E02004512,Colchester 007,2230
E02004513,Colchester 008,1437
E02004514,Colchester 009,490
E02004515,Colchester 010,811
E02004516,Colchester 011,2528
E02004517,Colchester 012,920
E02004518,Colchester 013,954
E02004519,Colchester 014,444
E02004520,Colchester 015,1077
E02004521,Colchester 016,1432
E02004522,Colchester 017,885
E02004523,Colchester 018,1031
E02004524,Colchester 019,497
E02004525,Colchester 020,903
E02004526,Colchester 021,860
E02004527,Epping Forest 001,961
E02004528,Epping Forest 002,568
E02004529,Epping Forest 003,447
E02004530,Epping Forest 004,588
E02004531,Epping Forest 005,605
E02004532,Epping Forest 006,746
E02004533,Epping Forest 007,626
E02004534,Epping Forest 008,1080
E02004535,Epping Forest 009,820
E02004536,Epping Forest 010,505
E02004537,Epping Forest 011,1062
E02004538,Epping Forest 012,761
E02004539,Epping Forest 013,917
E02004540,Epping Forest 014,604
E02004541,Epping Forest 015,1353
E02004542,Epping Forest 016,412
E02004543,Epping Forest 017,815
E02004544,Harlow 001,1221
E02004545,Harlow 002,1167
E02004546,Harlow 003,1336
E02004547,Harlow 004,1347
E02004548,Harlow 005,1181
E02004549,Harlow 006,1210
E02004550,Harlow 007,1335
E02004551,Harlow 008,1145
E02004552,Harlow 009,562
E02004553,Harlow 010,992
E02004554,Harlow 011,593
E02004555,Maldon 001,613
E02004556,Maldon 002,491
E02004557,Maldon 003,855
E02004558,Maldon 004,1199
E02004559,Maldon 005,523
E02004560,Maldon 006,782
E02004561,Maldon 007,737
E02004562,Maldon 008,1171
E02004563,Rochford 001,802
E02004564,Rochford 002,760
E02004566,Rochford 004,670
E02004567,Rochford 005,567
E02004568,Rochford 006,1044
E02004569,Rochford 007,987
E02004570,Rochford 008,907
E02004571,Rochford 009,656
E02004572,Rochford 010,733
E02004573,Tendring 001,918
E02004574,Tendring 002,1028
E02004575,Tendring 003,1438
E02004576,Tendring 004,1119
E02004577,Tendring 005,549
E02004578,Tendring 006,1457
E02004579,Tendring 007,1018
E02004580,Tendring 008,2262
E02004581,Tendring 009,856
E02004582,Tendring 010,1667
E02004583,Tendring 011,1474
E02004584,Tendring 012,1740
E02004585,Tendring 013,1374
E02004586,Tendring 014,1428
E02004587,Tendring 015,1239
E02004588,Tendring 016,1177
E02004589,Tendring 017,1235
E02004590,Tendring 018,2147
E02004591,Uttlesford 001,555
E02004592,Uttlesford 002,1460
E02004593,Uttlesford 003,643
E02004594,Uttlesford 004,627
E02004595,Uttlesford 005,1303
E02004596,Uttlesford 006,856
E02004597,Uttlesford 007,891
E02004598,Uttlesford 008,751
E02004599,Uttlesford 009,516
E02004675,Basingstoke and Deane 001,629
E02004676,Basingstoke and Deane 002,568
E02004677,Basingstoke and Deane 003,399
E02004678,Basingstoke and Deane 004,536
E02004679,Basingstoke and Deane 005,999
E02004680,Basingstoke and Deane 006,988
E02004681,Basingstoke and Deane 007,1354
E02004682,Basingstoke and Deane 008,801
E02004683,Basingstoke and Deane 009,1059
E02004684,Basingstoke and Deane 010,1148
E02004685,Basingstoke and Deane 011,1162
E02004686,Basingstoke and Deane 012,1269
E02004687,Basingstoke and Deane 013,592
E02004688,Basingstoke and Deane 014,1046
E02004689,Basingstoke and Deane 015,291
E02004690,Basingstoke and Deane 016,606
E02004691,Basingstoke and Deane 017,699
E02004692,Basingstoke and Deane 018,404
E02004693,Basingstoke and Deane 019,872
E02004694,Basingstoke and Deane 020,799
E02004695,Basingstoke and Deane 021,594
E02004696,Basingstoke and Deane 022,774
E02004697,East Hampshire 001,519
E02004698,East Hampshire 002,907
E02004699,East Hampshire 003,1139
E02004700,East Hampshire 004,822
E02004702,East Hampshire 006,837
E02004703,East Hampshire 007,757
E02004704,East Hampshire 008,662
E02004705,East Hampshire 009,891
E02004706,East Hampshire 010,628
E02004707,East Hampshire 011,772
E02004708,East Hampshire 012,1307
E02004709,East Hampshire 013,707
E02004710,East Hampshire 014,429
E02004712,Eastleigh 001,577
E02004713,Eastleigh 002,487
E02004714,Eastleigh 003,977
E02004715,Eastleigh 004,1055
E02004716,Eastleigh 005,838
E02004717,Eastleigh 006,1585
E02004718,Eastleigh 007,1089
E02004719,Eastleigh 008,876
E02004720,Eastleigh 009,1481
E02004721,Eastleigh 010,1193
E02004722,Eastleigh 011,805
E02004723,Eastleigh 012,1002
E02004724,Eastleigh 013,1082
E02004725,Eastleigh 014,738
E02004726,Eastleigh 015,735
E02004727,Fareham 001,597
