Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02003659,Buckinghamshire 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",677
E02003660,Buckinghamshire 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",734
E02003661,Buckinghamshire 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",464
E02003662,Buckinghamshire 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",536
E02003663,Buckinghamshire 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1086
E02003664,Buckinghamshire 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",689
E02003665,Buckinghamshire 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",498
E02003666,Buckinghamshire 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",548
E02003667,Buckinghamshire 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",790
E02003668,Buckinghamshire 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",562
E02003669,Buckinghamshire 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",692
E02003670,Buckinghamshire 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",712
E02003671,Buckinghamshire 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",553
E02003672,Buckinghamshire 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",772
E02003673,Buckinghamshire 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",579
E02003674,Buckinghamshire 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",313
E02003675,Buckinghamshire 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",576
E02003676,Buckinghamshire 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",496
E02003677,Buckinghamshire 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",841
E02003678,Buckinghamshire 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",410
E02003679,Buckinghamshire 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",527
E02003680,Buckinghamshire 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",561
E02003681,Buckinghamshire 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",382
E02003682,Buckinghamshire 034,"Works mainly at an offshore installation, in no fixed place, or outside the UK",370
E02003683,Buckinghamshire 035,"Works mainly at an offshore installation, in no fixed place, or outside the UK",301
E02003685,Buckinghamshire 047,"Works mainly at an offshore installation, in no fixed place, or outside the UK",461
E02003686,Buckinghamshire 050,"Works mainly at an offshore installation, in no fixed place, or outside the UK",447
E02003687,Buckinghamshire 054,"Works mainly at an offshore installation, in no fixed place, or outside the UK",322
E02003688,Buckinghamshire 053,"Works mainly at an offshore installation, in no fixed place, or outside the UK",528
E02003689,Buckinghamshire 058,"Works mainly at an offshore installation, in no fixed place, or outside the UK",396
E02003690,Buckinghamshire 059,"Works mainly at an offshore installation, in no fixed place, or outside the UK",534
E02003691,Buckinghamshire 063,"Works mainly at an offshore installation, in no fixed place, or outside the UK",394
E02003692,Buckinghamshire 064,"Works mainly at an offshore installation, in no fixed place, or outside the UK",596
E02003693,Buckinghamshire 065,"Works mainly at an offshore installation, in no fixed place, or outside the UK",361
E02003694,Buckinghamshire 066,"Works mainly at an offshore installation, in no fixed place, or outside the UK",631
E02003695,Buckinghamshire 067,"Works mainly at an offshore installation, in no fixed place, or outside the UK",788
E02003696,Buckinghamshire 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",570
E02003697,Buckinghamshire 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",385
E02003698,Buckinghamshire 033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",532
E02003699,Buckinghamshire 037,"Works mainly at an offshore installation, in no fixed place, or outside the UK",523
E02003701,Buckinghamshire 038,"Works mainly at an offshore installation, in no fixed place, or outside the UK",813
E02003702,Buckinghamshire 040,"Works mainly at an offshore installation, in no fixed place, or outside the UK",562
E02003703,Buckinghamshire 041,"Works mainly at an offshore installation, in no fixed place, or outside the UK",578
E02003704,Buckinghamshire 045,"Works mainly at an offshore installation, in no fixed place, or outside the UK",399
E02003705,Buckinghamshire 042,"Works mainly at an offshore installation, in no fixed place, or outside the UK",573
E02003706,Buckinghamshire 043,"Works mainly at an offshore installation, in no fixed place, or outside the UK",535
E02003707,Buckinghamshire 044,"Works mainly at an offshore installation, in no fixed place, or outside the UK",629
E02003708,Buckinghamshire 046,"Works mainly at an offshore installation, in no fixed place, or outside the UK",923
E02003709,Buckinghamshire 048,"Works mainly at an offshore installation, in no fixed place, or outside the UK",452
E02003710,Buckinghamshire 049,"Works mainly at an offshore installation, in no fixed place, or outside the UK",872
E02003711,Buckinghamshire 051,"Works mainly at an offshore installation, in no fixed place, or outside the UK",778
E02003712,Buckinghamshire 052,"Works mainly at an offshore installation, in no fixed place, or outside the UK",616
E02003713,Buckinghamshire 055,"Works mainly at an offshore installation, in no fixed place, or outside the UK",410
E02003714,Buckinghamshire 056,"Works mainly at an offshore installation, in no fixed place, or outside the UK",548
E02003715,Buckinghamshire 057,"Works mainly at an offshore installation, in no fixed place, or outside the UK",321
E02003716,Buckinghamshire 060,"Works mainly at an offshore installation, in no fixed place, or outside the UK",364
E02003717,Buckinghamshire 062,"Works mainly at an offshore installation, in no fixed place, or outside the UK",514
E02003718,Buckinghamshire 061,"Works mainly at an offshore installation, in no fixed place, or outside the UK",362
E02003719,Cambridge 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",743
E02003720,Cambridge 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",482
E02003721,Cambridge 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",519
E02003722,Cambridge 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",257
E02003723,Cambridge 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",190
E02003724,Cambridge 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",583
E02003725,Cambridge 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",239
E02003726,Cambridge 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",224
E02003727,Cambridge 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",407
E02003728,Cambridge 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",467
E02003729,Cambridge 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",440
E02003731,Cambridge 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",331
E02003732,East Cambridgeshire 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",834
E02003733,East Cambridgeshire 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",654
E02003734,East Cambridgeshire 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",613
E02003735,East Cambridgeshire 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",408
E02003736,East Cambridgeshire 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",828
E02003737,East Cambridgeshire 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1054
E02003738,East Cambridgeshire 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",545
E02003739,East Cambridgeshire 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",455
E02003740,East Cambridgeshire 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",394
E02003742,Fenland 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",467
E02003743,Fenland 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",745
E02003744,Fenland 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",899
E02003745,Fenland 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",886
E02003746,Fenland 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",652
E02003747,Fenland 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",934
E02003748,Fenland 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",562
E02003749,Fenland 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",540
E02003750,Fenland 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",571
E02003751,Fenland 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",661
E02003752,Fenland 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1006
E02003753,Huntingdonshire 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",851
E02003754,Huntingdonshire 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",384
E02003755,Huntingdonshire 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",714
E02003756,Huntingdonshire 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",513
E02003757,Huntingdonshire 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",552
E02003758,Huntingdonshire 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",672
E02003759,Huntingdonshire 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",392
E02003760,Huntingdonshire 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",644
E02003761,Huntingdonshire 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",399
E02003762,Huntingdonshire 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",680
E02003763,Huntingdonshire 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",644
E02003764,Huntingdonshire 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",592
E02003765,Huntingdonshire 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",420
E02003766,Huntingdonshire 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",495
E02003767,Huntingdonshire 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",398
E02003768,Huntingdonshire 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",601
E02003769,Huntingdonshire 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",445
E02003770,Huntingdonshire 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",667
E02003771,Huntingdonshire 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",458
E02003772,Huntingdonshire 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",419
E02003773,Huntingdonshire 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",809
E02003774,Huntingdonshire 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",453
E02003775,South Cambridgeshire 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",462
E02003776,South Cambridgeshire 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",398
E02003777,South Cambridgeshire 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",521
E02003778,South Cambridgeshire 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",391
E02003780,South Cambridgeshire 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",539
E02003781,South Cambridgeshire 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",330
E02003784,South Cambridgeshire 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",490
E02003785,South Cambridgeshire 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",445
E02003786,South Cambridgeshire 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",235
E02003787,South Cambridgeshire 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",542
E02003788,South Cambridgeshire 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",347
E02003789,South Cambridgeshire 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",397
E02003790,South Cambridgeshire 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",549
E02003791,South Cambridgeshire 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",436
E02003792,South Cambridgeshire 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",543
E02003793,South Cambridgeshire 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",483
E02004356,Eastbourne 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",629
E02004357,Eastbourne 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",695
E02004358,Eastbourne 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",603
E02004359,Eastbourne 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",580
E02004361,Eastbourne 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",584
E02004362,Eastbourne 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",768
E02004363,Eastbourne 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",472
E02004364,Eastbourne 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",506
E02004365,Eastbourne 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",623
E02004366,Eastbourne 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",513
E02004367,Eastbourne 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",284
E02004368,Hastings 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",741
E02004369,Hastings 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",836
E02004370,Hastings 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",672
E02004371,Hastings 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",635
E02004372,Hastings 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",531
E02004373,Hastings 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",764
E02004374,Hastings 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",667
E02004375,Hastings 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",678
E02004376,Hastings 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",587
E02004377,Hastings 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",959
E02004378,Hastings 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",666
E02004379,Lewes 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",522
E02004380,Lewes 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",575
E02004381,Lewes 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",610
E02004382,Lewes 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",512
E02004383,Lewes 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",333
E02004384,Lewes 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",655
E02004385,Lewes 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",697
E02004386,Lewes 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",566
E02004387,Lewes 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",562
E02004388,Lewes 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",691
E02004389,Lewes 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",638
E02004390,Lewes 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",580
E02004391,Lewes 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",416
E02004392,Rother 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",777
E02004393,Rother 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",539
E02004394,Rother 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",707
E02004395,Rother 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",665
E02004396,Rother 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",700
E02004397,Rother 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",637
E02004398,Rother 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",825
E02004399,Rother 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",576
E02004400,Rother 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",641
E02004401,Rother 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",532
E02004402,Rother 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",650
E02004403,Wealden 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",418
E02004404,Wealden 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",444
E02004405,Wealden 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",440
E02004406,Wealden 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",485
E02004407,Wealden 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",498
E02004408,Wealden 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",843
E02004409,Wealden 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",392
E02004410,Wealden 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",608
E02004411,Wealden 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",734
E02004412,Wealden 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",724
E02004413,Wealden 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",676
E02004414,Wealden 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",507
E02004415,Wealden 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",556
E02004416,Wealden 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",689
E02004417,Wealden 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",641
E02004418,Wealden 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",542
E02004419,Wealden 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",595
E02004420,Wealden 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1140
E02004421,Wealden 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",750
E02004422,Wealden 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",997
E02004423,Wealden 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",608
E02004424,Basildon 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",386
E02004425,Basildon 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",528
E02004426,Basildon 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",494
E02004427,Basildon 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",469
E02004428,Basildon 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",610
E02004429,Basildon 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",667
E02004430,Basildon 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",776
E02004431,Basildon 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",915
E02004432,Basildon 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",569
E02004433,Basildon 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",804
E02004434,Basildon 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",840
E02004435,Basildon 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",967
E02004436,Basildon 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",654
E02004437,Basildon 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",866
E02004438,Basildon 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",823
E02004439,Basildon 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",790
E02004440,Basildon 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",787
E02004441,Basildon 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",748
E02004442,Basildon 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",744
E02004443,Basildon 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",859
E02004444,Basildon 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",700
E02004445,Basildon 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",837
E02004446,Braintree 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",670
E02004447,Braintree 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",556
E02004448,Braintree 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",827
E02004449,Braintree 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",941
E02004450,Braintree 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",554
E02004451,Braintree 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",849
E02004452,Braintree 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",785
E02004453,Braintree 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",647
E02004454,Braintree 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",868
E02004455,Braintree 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",681
E02004456,Braintree 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",910
E02004457,Braintree 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1000
E02004458,Braintree 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",694
E02004459,Braintree 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",727
E02004460,Braintree 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",830
E02004461,Braintree 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",499
E02004462,Braintree 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",878
E02004463,Braintree 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",646
E02004464,Brentwood 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",896
E02004465,Brentwood 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",414
E02004466,Brentwood 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",640
E02004467,Brentwood 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",645
E02004468,Brentwood 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",388
E02004469,Brentwood 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",527
E02004470,Brentwood 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",759
E02004471,Brentwood 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",606
E02004472,Brentwood 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",458
E02004473,Castle Point 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",765
E02004474,Castle Point 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",701
E02004475,Castle Point 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",596
E02004476,Castle Point 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",698
E02004477,Castle Point 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",474
E02004478,Castle Point 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",602
E02004479,Castle Point 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",776
E02004480,Castle Point 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",714
E02004481,Castle Point 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",604
E02004482,Castle Point 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",913
E02004483,Castle Point 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",829
E02004484,Castle Point 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",887
E02004485,Chelmsford 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",702
E02004486,Chelmsford 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",465
E02004487,Chelmsford 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",586
E02004488,Chelmsford 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",672
E02004489,Chelmsford 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",649
E02004490,Chelmsford 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",622
E02004491,Chelmsford 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",543
E02004492,Chelmsford 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",674
E02004493,Chelmsford 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",710
E02004495,Chelmsford 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",575
E02004496,Chelmsford 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",545
E02004497,Chelmsford 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",527
E02004498,Chelmsford 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",750
E02004499,Chelmsford 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",545
E02004500,Chelmsford 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",630
E02004501,Chelmsford 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",507
E02004502,Chelmsford 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",464
E02004503,Chelmsford 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",693
E02004504,Chelmsford 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",610
E02004505,Chelmsford 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",580
E02004506,Colchester 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",522
E02004507,Colchester 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",691
E02004508,Colchester 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",479
E02004512,Colchester 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",689
E02004513,Colchester 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",712
E02004514,Colchester 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",388
E02004515,Colchester 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",738
E02004516,Colchester 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1017
E02004517,Colchester 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",772
E02004518,Colchester 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",518
E02004519,Colchester 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",554
E02004520,Colchester 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",722
E02004521,Colchester 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",828
E02004522,Colchester 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",482
E02004523,Colchester 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",989
E02004524,Colchester 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",699
E02004525,Colchester 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",705
E02004526,Colchester 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",597
E02004527,Epping Forest 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",877
E02004528,Epping Forest 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",859
E02004529,Epping Forest 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",696
E02004530,Epping Forest 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",686
E02004531,Epping Forest 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",499
E02004532,Epping Forest 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",471
E02004533,Epping Forest 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",811
E02004534,Epping Forest 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",929
E02004535,Epping Forest 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",572
E02004536,Epping Forest 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",470
E02004537,Epping Forest 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",944
E02004538,Epping Forest 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",698
E02004539,Epping Forest 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",694
E02004540,Epping Forest 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",395
E02004541,Epping Forest 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",783
E02004542,Epping Forest 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",483
E02004543,Epping Forest 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",590
E02004544,Harlow 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",943
E02004545,Harlow 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",717
E02004546,Harlow 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",756
E02004547,Harlow 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",814
E02004548,Harlow 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",867
E02004549,Harlow 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",841
E02004550,Harlow 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",758
