Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000174,Camden 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",374
E02000175,Camden 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",342
E02000176,Camden 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",179
E02000177,Camden 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",455
E02000178,Camden 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",483
E02000179,Camden 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",254
E02000180,Camden 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",404
E02000181,Camden 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",273
E02000182,Camden 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",237
E02000183,Camden 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",291
E02000184,Camden 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",451
E02000185,Camden 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",586
E02000186,Camden 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",297
E02000187,Camden 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",526
E02000188,Camden 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",404
E02000191,Camden 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",166
E02000192,Camden 027,"Works mainly at an offshore installation, in no fixed place, or outside the UK",367
E02000193,Camden 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",250
E02000194,Croydon 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",570
E02000195,Croydon 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",640
E02000196,Croydon 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",730
E02000197,Croydon 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",906
E02000198,Croydon 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",816
E02000199,Croydon 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",720
E02000200,Croydon 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",694
E02000201,Croydon 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",730
E02000202,Croydon 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",773
E02000203,Croydon 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",736
E02000204,Croydon 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",747
E02000206,Croydon 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",896
E02000207,Croydon 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",705
E02000208,Croydon 015,"Works mainly at an offshore installation, in no fixed place, or outside the UK",834
E02000209,Croydon 016,"Works mainly at an offshore installation, in no fixed place, or outside the UK",712
E02000210,Croydon 017,"Works mainly at an offshore installation, in no fixed place, or outside the UK",743
E02000211,Croydon 018,"Works mainly at an offshore installation, in no fixed place, or outside the UK",619
E02000212,Croydon 019,"Works mainly at an offshore installation, in no fixed place, or outside the UK",738
E02000213,Croydon 020,"Works mainly at an offshore installation, in no fixed place, or outside the UK",978
E02000214,Croydon 021,"Works mainly at an offshore installation, in no fixed place, or outside the UK",384
E02000215,Croydon 022,"Works mainly at an offshore installation, in no fixed place, or outside the UK",893
E02000216,Croydon 023,"Works mainly at an offshore installation, in no fixed place, or outside the UK",364
E02000217,Croydon 024,"Works mainly at an offshore installation, in no fixed place, or outside the UK",981
E02000218,Croydon 025,"Works mainly at an offshore installation, in no fixed place, or outside the UK",465
E02000219,Croydon 026,"Works mainly at an offshore installation, in no fixed place, or outside the UK",506
E02000221,Croydon 028,"Works mainly at an offshore installation, in no fixed place, or outside the UK",778
E02000222,Croydon 029,"Works mainly at an offshore installation, in no fixed place, or outside the UK",511
E02000223,Croydon 030,"Works mainly at an offshore installation, in no fixed place, or outside the UK",619
E02000224,Croydon 031,"Works mainly at an offshore installation, in no fixed place, or outside the UK",571
E02000225,Croydon 032,"Works mainly at an offshore installation, in no fixed place, or outside the UK",742
E02000226,Croydon 033,"Works mainly at an offshore installation, in no fixed place, or outside the UK",506
E02000227,Croydon 034,"Works mainly at an offshore installation, in no fixed place, or outside the UK",949
E02000228,Croydon 035,"Works mainly at an offshore installation, in no fixed place, or outside the UK",365
E02000229,Croydon 036,"Works mainly at an offshore installation, in no fixed place, or outside the UK",535
E02000230,Croydon 037,"Works mainly at an offshore installation, in no fixed place, or outside the UK",536
E02000231,Croydon 038,"Works mainly at an offshore installation, in no fixed place, or outside the UK",389
E02000232,Croydon 039,"Works mainly at an offshore installation, in no fixed place, or outside the UK",457
E02000233,Croydon 040,"Works mainly at an offshore installation, in no fixed place, or outside the UK",382
E02000234,Croydon 041,"Works mainly at an offshore installation, in no fixed place, or outside the UK",585
E02000235,Croydon 042,"Works mainly at an offshore installation, in no fixed place, or outside the UK",445
E02000236,Croydon 043,"Works mainly at an offshore installation, in no fixed place, or outside the UK",625
E02000237,Croydon 044,"Works mainly at an offshore installation, in no fixed place, or outside the UK",558
E02000238,Ealing 001,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1110
E02000239,Ealing 002,"Works mainly at an offshore installation, in no fixed place, or outside the UK",958
E02000240,Ealing 003,"Works mainly at an offshore installation, in no fixed place, or outside the UK",1012
E02000241,Ealing 004,"Works mainly at an offshore installation, in no fixed place, or outside the UK",716
E02000242,Ealing 005,"Works mainly at an offshore installation, in no fixed place, or outside the UK",661
E02000243,Ealing 006,"Works mainly at an offshore installation, in no fixed place, or outside the UK",992
E02000244,Ealing 007,"Works mainly at an offshore installation, in no fixed place, or outside the UK",872
E02000245,Ealing 008,"Works mainly at an offshore installation, in no fixed place, or outside the UK",816
E02000246,Ealing 009,"Works mainly at an offshore installation, in no fixed place, or outside the UK",875
E02000247,Ealing 010,"Works mainly at an offshore installation, in no fixed place, or outside the UK",970
E02000248,Ealing 011,"Works mainly at an offshore installation, in no fixed place, or outside the UK",727
E02000249,Ealing 012,"Works mainly at an offshore installation, in no fixed place, or outside the UK",838
E02000250,Ealing 013,"Works mainly at an offshore installation, in no fixed place, or outside the UK",315
E02000251,Ealing 014,"Works mainly at an offshore installation, in no fixed place, or outside the UK",739
