Middle layer Super Output Areas Code,Middle layer Super Output Areas,Semi_detached
E02004730,Fareham 004,1337
E02004731,Fareham 005,611
E02004732,Fareham 006,808
E02004733,Fareham 007,1004
E02004734,Fareham 008,1415
E02004735,Fareham 009,1333
E02004736,Fareham 010,1817
E02004737,Fareham 011,642
E02004738,Fareham 012,1687
E02004739,Fareham 013,1172
E02004740,Fareham 014,910
E02004741,Gosport 001,1506
E02004742,Gosport 002,1318
E02004743,Gosport 003,982
E02004744,Gosport 004,796
E02004745,Gosport 005,905
E02004746,Gosport 006,1112
E02004747,Gosport 007,894
E02004748,Gosport 008,487
E02004749,Gosport 009,965
E02004750,Gosport 010,912
E02004751,Hart 001,1169
E02004752,Hart 002,992
E02004753,Hart 003,1067
E02004754,Hart 004,745
E02004755,Hart 005,873
E02004756,Hart 006,811
E02004757,Hart 007,607
E02004758,Hart 008,831
E02004759,Hart 009,1344
E02004760,Hart 010,880
E02004761,Hart 011,920
E02004764,Havant 003,1467
E02004765,Havant 004,859
E02004766,Havant 005,1002
E02004767,Havant 006,484
E02004768,Havant 007,621
E02004769,Havant 008,818
E02004770,Havant 009,785
E02004771,Havant 010,1164
E02004772,Havant 011,1447
E02004774,Havant 013,1226
E02004775,Havant 014,1133
E02004776,Havant 015,606
E02004777,Havant 016,446
E02004778,Havant 017,570
E02004779,New Forest 001,1243
E02004780,New Forest 002,778
E02004781,New Forest 003,805
E02004782,New Forest 004,1281
E02004783,New Forest 005,1089
E02004784,New Forest 006,367
E02004785,New Forest 007,499
E02004786,New Forest 008,734
E02004787,New Forest 009,585
E02004788,New Forest 010,663
E02004789,New Forest 011,1499
E02004790,New Forest 012,1126
E02004791,New Forest 013,890
E02004792,New Forest 014,817
E02004793,New Forest 015,598
E02004794,New Forest 016,595
E02004795,New Forest 017,899
E02004796,New Forest 018,823
E02004797,New Forest 019,1296
E02004798,New Forest 020,741
E02004799,New Forest 021,553
E02004800,New Forest 022,216
E02004801,New Forest 023,570
E02004802,Rushmoor 001,1032
E02004803,Rushmoor 002,710
E02004804,Rushmoor 003,1198
E02004805,Rushmoor 004,819
E02004806,Rushmoor 005,1108
E02004807,Rushmoor 006,1503
E02004808,Rushmoor 007,1243
E02004809,Rushmoor 008,1039
E02004810,Rushmoor 009,1110
E02004811,Rushmoor 010,822
E02004812,Rushmoor 011,1076
E02004813,Rushmoor 012,937
E02004814,Test Valley 001,916
E02004815,Test Valley 002,642
E02004817,Test Valley 004,1038
E02004818,Test Valley 005,1321
E02004819,Test Valley 006,863
E02004820,Test Valley 007,1101
E02004821,Test Valley 008,629
E02004822,Test Valley 009,1080
E02004823,Test Valley 010,1078
E02004824,Test Valley 011,708
E02004825,Test Valley 012,1252
E02004826,Test Valley 013,738
E02004827,Test Valley 014,458
E02004828,Test Valley 015,557
E02004829,Winchester 001,668
E02004830,Winchester 002,739
E02004831,Winchester 003,1120
E02004832,Winchester 004,1046
E02004833,Winchester 005,1092
E02004834,Winchester 006,759
E02004835,Winchester 007,505
E02004836,Winchester 008,1033
E02004837,Winchester 009,720
E02004838,Winchester 010,925
E02004839,Winchester 011,939
E02004840,Winchester 012,1236
E02004841,Winchester 013,1172
E02004842,Winchester 014,1381
E02004843,Broxbourne 001,1037
E02004844,Broxbourne 002,1209
E02004845,Broxbourne 003,650
E02004846,Broxbourne 004,706
E02004847,Broxbourne 005,991
E02004848,Broxbourne 006,950
E02004849,Broxbourne 007,905
E02004850,Broxbourne 008,1018
E02004851,Broxbourne 009,499
E02004852,Broxbourne 010,1124
E02004853,Broxbourne 011,789
E02004854,Broxbourne 012,1070
E02004855,Broxbourne 013,590
E02004856,Dacorum 001,847
E02004857,Dacorum 002,760
E02004858,Dacorum 003,743
E02004859,Dacorum 004,577
E02004860,Dacorum 005,448
E02004861,Dacorum 006,642
E02004862,Dacorum 007,437
E02004863,Dacorum 008,661
E02004864,Dacorum 009,573
E02004865,Dacorum 010,371
E02004866,Dacorum 011,548
E02004867,Dacorum 012,815
E02004868,Dacorum 013,871
E02004869,Dacorum 014,561
E02004870,Dacorum 015,905
E02004871,Dacorum 016,593
E02004872,Dacorum 017,803
E02004873,Dacorum 018,1149
E02004874,Dacorum 019,944
E02004875,Dacorum 020,1066
E02004876,Dacorum 021,894
E02004877,Dacorum 022,671
E02004878,East Hertfordshire 001,1325
E02004880,East Hertfordshire 003,1051
E02004881,East Hertfordshire 004,764
E02004882,East Hertfordshire 005,1153
E02004883,East Hertfordshire 006,959
E02004884,East Hertfordshire 007,1481
E02004885,East Hertfordshire 008,965
E02004886,East Hertfordshire 009,905
E02004887,East Hertfordshire 010,947
E02004888,East Hertfordshire 011,1073
E02004889,East Hertfordshire 012,1930
E02004890,East Hertfordshire 013,895
E02004891,East Hertfordshire 014,1136
E02004892,East Hertfordshire 015,706
E02004893,East Hertfordshire 016,679
E02004894,East Hertfordshire 017,750
E02004895,East Hertfordshire 018,1103
E02004896,Hertsmere 001,1255
E02004897,Hertsmere 002,1843
E02004898,Hertsmere 003,1304
E02004899,Hertsmere 004,669
E02004900,Hertsmere 005,608
E02004901,Hertsmere 006,1285
E02004902,Hertsmere 007,616
E02004903,Hertsmere 008,1166
E02004904,Hertsmere 009,690
E02004905,Hertsmere 010,621
E02004906,Hertsmere 011,1486
E02004907,Hertsmere 012,1201
E02004908,Hertsmere 013,1095
E02004909,North Hertfordshire 001,645
E02004910,North Hertfordshire 002,1621
E02004911,North Hertfordshire 003,857
E02004912,North Hertfordshire 004,1573
E02004914,North Hertfordshire 006,830
E02004915,North Hertfordshire 007,885
E02004916,North Hertfordshire 008,766
E02004917,North Hertfordshire 009,384
E02004918,North Hertfordshire 010,1032
E02004919,North Hertfordshire 011,1496
E02004920,North Hertfordshire 012,1407
E02004921,North Hertfordshire 013,1244
E02004922,North Hertfordshire 014,1435
E02004923,North Hertfordshire 015,1274
E02004924,St Albans 001,867
E02004925,St Albans 002,987
E02004926,St Albans 003,788
E02004927,St Albans 004,826
E02004928,St Albans 005,667
E02004929,St Albans 006,814
E02004930,St Albans 007,792
E02004931,St Albans 008,1344
E02004932,St Albans 009,1296
E02004933,St Albans 010,757
E02004934,St Albans 011,655
E02004935,St Albans 012,633
E02004936,St Albans 013,1186
E02004937,St Albans 014,541
E02004939,St Albans 016,836
E02004940,St Albans 017,995
E02004941,St Albans 018,1106
E02004942,St Albans 019,845
E02004943,St Albans 020,1053
E02004944,Stevenage 001,339
E02004945,Stevenage 002,1391
E02004946,Stevenage 003,344
E02004948,Stevenage 005,547
E02004949,Stevenage 006,640
E02004950,Stevenage 007,355
E02004951,Stevenage 008,547
E02004952,Stevenage 009,572
E02004953,Stevenage 010,560
E02004954,Stevenage 011,587
E02004955,Stevenage 012,384
E02004956,Three Rivers 001,1231
E02004957,Three Rivers 002,1434
E02004958,Three Rivers 003,1428
E02004959,Three Rivers 004,187
E02004960,Three Rivers 005,529
E02004961,Three Rivers 006,1998
E02004962,Three Rivers 007,1156
E02004963,Three Rivers 008,1190
E02004964,Three Rivers 009,1067
E02004965,Three Rivers 010,1430
E02004966,Three Rivers 011,292
E02004967,Three Rivers 012,1034
E02004968,Watford 001,1071
E02004969,Watford 002,1401
E02004970,Watford 003,1233
E02004971,Watford 004,1527
E02004972,Watford 005,1629
E02004973,Watford 006,579
E02004974,Watford 007,482
E02004975,Watford 008,803
E02004976,Watford 009,436
E02004977,Watford 010,459
E02004978,Watford 011,731
E02004979,Watford 012,786
E02004980,Welwyn Hatfield 001,471
E02004981,Welwyn Hatfield 002,1033
E02004982,Welwyn Hatfield 003,621
E02004983,Welwyn Hatfield 004,491
E02004984,Welwyn Hatfield 005,429
E02004985,Welwyn Hatfield 006,885
E02004986,Welwyn Hatfield 007,782
E02004987,Welwyn Hatfield 008,888
E02004988,Welwyn Hatfield 009,816
E02004989,Welwyn Hatfield 010,1192
E02004990,Welwyn Hatfield 011,596
E02004991,Welwyn Hatfield 012,654
E02004992,Welwyn Hatfield 013,656
E02004994,Welwyn Hatfield 015,712
E02004995,Welwyn Hatfield 016,343
E02004996,Ashford 001,883
E02004997,Ashford 002,1004
E02004998,Ashford 003,1173
E02005000,Ashford 005,1341
E02005001,Ashford 006,1675
E02005002,Ashford 007,1348
E02005003,Ashford 008,1222
E02005004,Ashford 009,1108
E02005005,Ashford 010,1063
E02005006,Ashford 011,614
E02005007,Ashford 012,1068
E02005008,Ashford 013,1102
E02005009,Ashford 014,932
E02005010,Canterbury 001,441
E02005011,Canterbury 002,704
E02005012,Canterbury 003,1239
E02005013,Canterbury 004,1349
E02005014,Canterbury 005,1242
E02005015,Canterbury 006,1354
E02005016,Canterbury 007,1320
E02005017,Canterbury 008,698
E02005018,Canterbury 009,1175
E02005019,Canterbury 010,936
E02005020,Canterbury 011,1709
E02005021,Canterbury 012,959
E02005022,Canterbury 013,784
E02005023,Canterbury 014,1054
E02005025,Canterbury 016,963
E02005026,Canterbury 017,1092
E02005027,Canterbury 018,721
E02005028,Dartford 001,1283
E02005029,Dartford 002,1516
E02005030,Dartford 003,973
E02005031,Dartford 004,668
E02005032,Dartford 005,947
E02005033,Dartford 006,758
E02005034,Dartford 007,1616
E02005035,Dartford 008,1416
E02005036,Dartford 009,773
E02005037,Dartford 010,1221
E02005038,Dartford 011,1049
E02005039,Dartford 012,1309
E02005040,Dartford 013,870
E02005041,Dover 001,1048
E02005042,Dover 002,1532
E02005043,Dover 003,1275
E02005044,Dover 004,484
E02005045,Dover 005,1835
E02005046,Dover 006,1595
E02005047,Dover 007,1239
E02005048,Dover 008,920
E02005049,Dover 009,794
E02005050,Dover 010,1597
E02005051,Dover 011,1391
E02005052,Dover 012,375
E02005053,Dover 013,498
E02005054,Dover 014,1108
E02005055,Gravesham 001,527
E02005056,Gravesham 002,476
E02005057,Gravesham 003,1195
E02005058,Gravesham 004,710
E02005059,Gravesham 005,986
E02005060,Gravesham 006,1743
E02005061,Gravesham 007,1381
E02005062,Gravesham 008,1558
E02005063,Gravesham 009,1152
E02005064,Gravesham 010,1070
E02005065,Gravesham 011,1039
E02005066,Gravesham 012,1582
E02005067,Gravesham 013,380
E02005068,Maidstone 001,666
E02005069,Maidstone 002,1299
E02005070,Maidstone 003,2080
E02005071,Maidstone 004,689
E02005072,Maidstone 005,1050
E02005073,Maidstone 006,873
E02005074,Maidstone 007,1446
E02005075,Maidstone 008,1251
E02005076,Maidstone 009,1067
E02005077,Maidstone 010,1499
E02005078,Maidstone 011,1201
E02005079,Maidstone 012,1620
E02005080,Maidstone 013,1646
E02005081,Maidstone 014,1156
E02005082,Maidstone 015,1586
E02005083,Maidstone 016,1469
E02005084,Maidstone 017,912
E02005085,Maidstone 018,1040
E02005086,Maidstone 019,1137
E02005087,Sevenoaks 001,1332
E02005088,Sevenoaks 002,1448
E02005089,Sevenoaks 003,1226
E02005090,Sevenoaks 004,507
E02005091,Sevenoaks 005,846
E02005093,Sevenoaks 007,729
E02005094,Sevenoaks 008,1010
E02005095,Sevenoaks 009,1178
E02005096,Sevenoaks 010,1272
E02005097,Sevenoaks 011,746
E02005098,Sevenoaks 012,579
E02005099,Sevenoaks 013,946
E02005100,Sevenoaks 014,1031
E02005101,Sevenoaks 015,801
E02005102,Folkestone and Hythe 001,738
E02005103,Folkestone and Hythe 002,1273
E02005104,Folkestone and Hythe 003,1491
E02005105,Folkestone and Hythe 004,332
E02005106,Folkestone and Hythe 005,1336
E02005107,Folkestone and Hythe 006,1482
E02005109,Folkestone and Hythe 008,744
E02005110,Folkestone and Hythe 009,939
E02005111,Folkestone and Hythe 010,837
E02005112,Folkestone and Hythe 011,1321
E02005113,Folkestone and Hythe 012,674
E02005114,Folkestone and Hythe 013,1058
E02005115,Swale 001,344
E02005116,Swale 002,962
E02005117,Swale 003,836
E02005118,Swale 004,1544
E02005119,Swale 005,989
E02005120,Swale 006,815
E02005121,Swale 007,1975
E02005122,Swale 008,1093
E02005123,Swale 009,1663
E02005124,Swale 010,798
E02005125,Swale 011,1040
E02005126,Swale 012,1800
E02005127,Swale 013,1380
E02005128,Swale 014,1525
E02005129,Swale 015,1194
E02005130,Swale 016,1523
E02005131,Swale 017,927
E02005132,Thanet 001,362
E02005133,Thanet 002,893
E02005134,Thanet 003,510
E02005135,Thanet 004,1077
E02005136,Thanet 005,1749
E02005137,Thanet 006,1366
E02005138,Thanet 007,1031
E02005139,Thanet 008,1300
E02005140,Thanet 009,1006
E02005141,Thanet 010,806
E02005142,Thanet 011,1597
E02005143,Thanet 012,1117
E02005144,Thanet 013,1620
E02005145,Thanet 014,1246
E02005146,Thanet 015,831
E02005147,Thanet 016,511
E02005148,Thanet 017,1422
E02005149,Tonbridge and Malling 001,1679
E02005150,Tonbridge and Malling 002,1906
E02005151,Tonbridge and Malling 003,1924
E02005153,Tonbridge and Malling 005,1830
E02005154,Tonbridge and Malling 006,1405
E02005155,Tonbridge and Malling 007,1137
E02005156,Tonbridge and Malling 008,1195
E02005157,Tonbridge and Malling 009,1520
E02005158,Tonbridge and Malling 010,1032
E02005159,Tonbridge and Malling 011,1671
E02005160,Tonbridge and Malling 012,1482
E02005161,Tonbridge and Malling 013,1580
E02005162,Tunbridge Wells 001,1797
E02005163,Tunbridge Wells 002,1230
E02005164,Tunbridge Wells 003,1512
E02005165,Tunbridge Wells 004,1057
E02005166,Tunbridge Wells 005,924
E02005167,Tunbridge Wells 006,809
E02005168,Tunbridge Wells 007,974
E02005169,Tunbridge Wells 008,464
E02005170,Tunbridge Wells 009,1175
E02005171,Tunbridge Wells 010,754
E02005172,Tunbridge Wells 011,1103
E02005173,Tunbridge Wells 012,624
E02005174,Tunbridge Wells 013,1040
E02005175,Tunbridge Wells 014,1141
E02005503,Breckland 001,1059
E02005504,Breckland 002,1238
E02005505,Breckland 003,1097
E02005506,Breckland 004,918
E02005507,Breckland 005,1581
E02005508,Breckland 006,922
E02005509,Breckland 007,1141
E02005510,Breckland 008,975
E02005511,Breckland 009,992
E02005512,Breckland 010,1073
E02005513,Breckland 011,1443
E02005514,Breckland 012,971
E02005515,Breckland 013,754
E02005516,Breckland 014,941
E02005517,Breckland 015,454
E02005518,Breckland 016,1436
E02005519,Breckland 017,946
E02005520,Broadland 001,1503
E02005521,Broadland 002,1369
E02005522,Broadland 003,788
E02005523,Broadland 004,1238
E02005524,Broadland 005,720
E02005525,Broadland 006,846
E02005526,Broadland 007,526
E02005527,Broadland 008,1052
E02005528,Broadland 009,1444
E02005529,Broadland 010,1591
E02005530,Broadland 011,1278
E02005531,Broadland 012,1259
E02005532,Broadland 013,2318
E02005533,Broadland 014,1266
E02005534,Broadland 015,2003
E02005535,Broadland 016,781
E02005536,Broadland 017,763
E02005537,Broadland 018,1061
E02005538,Great Yarmouth 001,1072
E02005539,Great Yarmouth 002,999
E02005540,Great Yarmouth 003,1488
E02005541,Great Yarmouth 004,699
E02005542,Great Yarmouth 005,390
E02005543,Great Yarmouth 006,399
E02005544,Great Yarmouth 007,533
E02005545,Great Yarmouth 008,826
E02005546,Great Yarmouth 009,825
E02005547,Great Yarmouth 010,795
E02005548,Great Yarmouth 011,876
E02005549,Great Yarmouth 012,681
E02005550,Great Yarmouth 013,1325
E02005551,King's Lynn and West Norfolk 001,628
E02005552,King's Lynn and West Norfolk 002,1261
E02005553,King's Lynn and West Norfolk 003,1269
E02005554,King's Lynn and West Norfolk 004,1184
E02005555,King's Lynn and West Norfolk 005,583
E02005556,King's Lynn and West Norfolk 006,1585
E02005557,King's Lynn and West Norfolk 007,1186
E02005558,King's Lynn and West Norfolk 008,1009
E02005559,King's Lynn and West Norfolk 009,1500
E02005560,King's Lynn and West Norfolk 010,1052
E02005561,King's Lynn and West Norfolk 011,1045
E02005562,King's Lynn and West Norfolk 012,1154
E02005563,King's Lynn and West Norfolk 013,806
E02005564,King's Lynn and West Norfolk 014,947
E02005565,King's Lynn and West Norfolk 015,1129
E02005566,King's Lynn and West Norfolk 016,1251
E02005567,King's Lynn and West Norfolk 017,1340
E02005568,King's Lynn and West Norfolk 018,1115
E02005569,King's Lynn and West Norfolk 019,1117
E02005570,North Norfolk 001,764
E02005571,North Norfolk 002,1013
E02005572,North Norfolk 003,717
E02005573,North Norfolk 004,721
E02005574,North Norfolk 005,878
E02005575,North Norfolk 006,1004
E02005576,North Norfolk 007,889
E02005577,North Norfolk 008,800
E02005578,North Norfolk 009,1216
E02005580,North Norfolk 011,1344
E02005581,North Norfolk 012,1127
E02005582,North Norfolk 013,1016
E02005583,North Norfolk 014,1156
E02005584,Norwich 001,1536
E02005585,Norwich 002,1323
E02005586,Norwich 003,804
E02005587,Norwich 004,1319
E02005588,Norwich 005,1988
E02005589,Norwich 006,1560
E02005592,Norwich 009,419
E02005593,Norwich 010,1136
E02005594,Norwich 011,713
E02005595,Norwich 012,958
E02005596,Norwich 013,1416
E02005598,South Norfolk 002,1062
E02005599,South Norfolk 003,973
E02005600,South Norfolk 004,806
E02005601,South Norfolk 005,817
E02005602,South Norfolk 006,1336
E02005603,South Norfolk 007,1870
E02005604,South Norfolk 008,1107
E02005605,South Norfolk 009,1336
E02005606,South Norfolk 010,708
E02005607,South Norfolk 011,1606
E02005608,South Norfolk 012,1094
E02005609,South Norfolk 013,1309
E02005610,South Norfolk 014,1195
E02005611,South Norfolk 015,1509
E02005921,Cherwell 001,859
E02005922,Cherwell 002,1491
E02005923,Cherwell 003,1026
E02005924,Cherwell 004,1270
E02005925,Cherwell 005,1921
E02005926,Cherwell 006,1480
E02005927,Cherwell 007,910
E02005928,Cherwell 008,1417
E02005929,Cherwell 009,987
E02005930,Cherwell 010,1388
E02005931,Cherwell 011,1378
E02005932,Cherwell 012,542
E02005933,Cherwell 013,1264
E02005934,Cherwell 014,1307
E02005935,Cherwell 015,854
E02005936,Cherwell 016,1607
E02005937,Cherwell 017,971
E02005938,Cherwell 018,1363
E02005939,Cherwell 019,1159
E02005940,Oxford 001,862
E02005941,Oxford 002,807
E02005942,Oxford 003,512
E02005943,Oxford 004,1278
E02005944,Oxford 005,1223
E02005945,Oxford 006,1303
E02005946,Oxford 007,1639
E02005947,Oxford 008,212
E02005948,Oxford 009,333
E02005949,Oxford 010,580
E02005950,Oxford 011,816
E02005951,Oxford 012,461
E02005953,Oxford 014,508
E02005954,Oxford 015,1577
E02005955,Oxford 016,1704
E02005956,Oxford 017,686
E02005957,Oxford 018,800
E02005958,South Oxfordshire 001,639
E02005959,South Oxfordshire 002,706
E02005960,South Oxfordshire 003,1031
E02005961,South Oxfordshire 004,827
E02005962,South Oxfordshire 005,1372
E02005963,South Oxfordshire 006,1133
E02005964,South Oxfordshire 007,1258
E02005965,South Oxfordshire 008,868
E02005966,South Oxfordshire 009,956
E02005967,South Oxfordshire 010,1668
E02005968,South Oxfordshire 011,1079
E02005969,South Oxfordshire 012,1409
E02005970,South Oxfordshire 013,848
E02005971,South Oxfordshire 014,1536
E02005972,South Oxfordshire 015,1676
E02005973,South Oxfordshire 016,609
E02005974,South Oxfordshire 017,604
E02005975,South Oxfordshire 018,858
E02005976,South Oxfordshire 019,575
E02005977,South Oxfordshire 020,779
E02005978,Vale of White Horse 001,805
E02005979,Vale of White Horse 002,1782
E02005980,Vale of White Horse 003,1157
E02005981,Vale of White Horse 004,1092
E02005982,Vale of White Horse 005,794
E02005983,Vale of White Horse 006,1144
E02005984,Vale of White Horse 007,1142
E02005985,Vale of White Horse 008,1015
E02005986,Vale of White Horse 009,1153
E02005987,Vale of White Horse 010,1403
E02005988,Vale of White Horse 011,953
E02005991,Vale of White Horse 014,1529
E02005992,Vale of White Horse 015,1638
E02005993,West Oxfordshire 001,1019
E02005994,West Oxfordshire 002,838
E02005995,West Oxfordshire 003,1010
E02005996,West Oxfordshire 004,1141
E02005997,West Oxfordshire 005,892
E02005998,West Oxfordshire 006,923
E02005999,West Oxfordshire 007,892
E02006000,West Oxfordshire 008,1577
E02006001,West Oxfordshire 009,1212
E02006002,West Oxfordshire 010,1693
E02006003,West Oxfordshire 011,1043
E02006004,West Oxfordshire 012,782
E02006005,West Oxfordshire 013,1321
E02006006,West Oxfordshire 014,811
E02006007,West Oxfordshire 015,972
E02006227,Babergh 001,955
E02006228,Babergh 002,941
E02006229,Babergh 003,897
E02006230,Babergh 004,1421
E02006231,Babergh 005,984
E02006232,Babergh 006,779
E02006233,Babergh 007,1451
E02006234,Babergh 008,1497
E02006235,Babergh 009,909
E02006236,Babergh 010,1093
E02006237,Babergh 011,1190
E02006238,West Suffolk 002,1415
E02006239,West Suffolk 001,914
E02006240,West Suffolk 003,1325
E02006241,West Suffolk 004,1420
E02006242,West Suffolk 007,1584
E02006243,West Suffolk 008,1098
E02006245,Ipswich 001,2023
E02006246,Ipswich 002,2109
E02006247,Ipswich 003,1517
E02006248,Ipswich 004,1821
E02006249,Ipswich 005,701
E02006250,Ipswich 006,1028
E02006251,Ipswich 007,1021
E02006252,Ipswich 008,1462
E02006253,Ipswich 009,1424
E02006254,Ipswich 010,1174
E02006255,Ipswich 011,1297
E02006256,Ipswich 012,1135
E02006257,Ipswich 013,1318
E02006258,Ipswich 014,1806
E02006259,Ipswich 015,868
E02006260,Ipswich 016,2204
E02006261,Mid Suffolk 001,934
E02006262,Mid Suffolk 002,1167
E02006263,Mid Suffolk 003,961
E02006264,Mid Suffolk 004,1000
E02006265,Mid Suffolk 005,1234
E02006266,Mid Suffolk 006,1292
E02006267,Mid Suffolk 007,961
E02006268,Mid Suffolk 008,1227
E02006269,Mid Suffolk 009,1151
E02006270,Mid Suffolk 010,1774
E02006271,Mid Suffolk 011,1529
E02006272,Mid Suffolk 012,1205
E02006273,West Suffolk 005,938
E02006274,West Suffolk 006,846
E02006275,West Suffolk 009,930
E02006276,West Suffolk 016,934
E02006277,West Suffolk 012,801
E02006278,West Suffolk 011,725
E02006279,West Suffolk 014,1525
E02006280,West Suffolk 010,1255
E02006281,West Suffolk 013,662
E02006282,West Suffolk 017,916
E02006283,West Suffolk 018,1027
E02006284,West Suffolk 019,1175
E02006285,West Suffolk 021,707
E02006286,West Suffolk 020,1062
E02006287,East Suffolk 016,832
E02006288,East Suffolk 017,1278
E02006289,East Suffolk 018,1404
E02006290,East Suffolk 019,1495
E02006291,East Suffolk 020,1149
E02006292,East Suffolk 021,904
E02006293,East Suffolk 023,1657
E02006294,East Suffolk 022,973
E02006295,East Suffolk 024,1302
E02006296,East Suffolk 025,1117
E02006297,East Suffolk 026,499
E02006298,East Suffolk 027,1619
E02006299,East Suffolk 028,982
E02006300,East Suffolk 029,1422
E02006301,East Suffolk 030,521
E02006302,East Suffolk 001,841
E02006303,East Suffolk 002,980
E02006304,East Suffolk 003,1121
E02006305,East Suffolk 004,312
E02006306,East Suffolk 005,1284
E02006307,East Suffolk 007,718
E02006308,East Suffolk 006,416
E02006309,East Suffolk 009,1176
E02006310,East Suffolk 008,1202
E02006311,East Suffolk 010,1176
E02006312,East Suffolk 011,1026
E02006313,East Suffolk 012,1610
E02006314,East Suffolk 013,1013
E02006315,East Suffolk 014,782
E02006316,East Suffolk 015,1264
E02006317,Elmbridge 001,898
E02006318,Elmbridge 002,734
E02006319,Elmbridge 003,1117
E02006320,Elmbridge 004,957
E02006321,Elmbridge 005,725
E02006322,Elmbridge 006,694
E02006323,Elmbridge 007,561
E02006324,Elmbridge 008,1341
E02006325,Elmbridge 009,752
E02006326,Elmbridge 010,629
E02006327,Elmbridge 011,353
E02006328,Elmbridge 012,832
E02006329,Elmbridge 013,448
E02006330,Elmbridge 014,1568
E02006331,Elmbridge 015,864
E02006332,Elmbridge 016,410
E02006333,Elmbridge 017,970
E02006334,Elmbridge 018,532
E02006335,Epsom and Ewell 001,1094
E02006336,Epsom and Ewell 002,1214
E02006337,Epsom and Ewell 003,2517
E02006338,Epsom and Ewell 004,1288
E02006339,Epsom and Ewell 005,1092
E02006341,Epsom and Ewell 007,1501
E02006342,Epsom and Ewell 008,517
E02006343,Epsom and Ewell 009,1061
E02006344,Guildford 001,1095
E02006345,Guildford 002,824
E02006346,Guildford 003,718
E02006347,Guildford 004,1033
E02006348,Guildford 005,1432
E02006349,Guildford 006,1092
E02006350,Guildford 007,1257
E02006351,Guildford 008,1116
E02006352,Guildford 009,1336
E02006353,Guildford 010,1061
E02006354,Guildford 011,601
E02006355,Guildford 012,1505
E02006356,Guildford 013,1025
E02006357,Guildford 014,992
E02006358,Guildford 015,1028
E02006359,Guildford 016,417
E02006360,Guildford 017,978
E02006361,Guildford 018,678
E02006362,Mole Valley 001,1159
E02006363,Mole Valley 002,579
E02006364,Mole Valley 003,955
E02006365,Mole Valley 004,455
E02006366,Mole Valley 005,1069
E02006367,Mole Valley 006,488
E02006368,Mole Valley 007,634
E02006369,Mole Valley 008,854
E02006370,Mole Valley 009,754
E02006371,Mole Valley 010,767
E02006372,Mole Valley 011,859
E02006373,Mole Valley 012,1006
E02006374,Mole Valley 013,835
E02006375,Reigate and Banstead 001,828
E02006376,Reigate and Banstead 002,1107
E02006377,Reigate and Banstead 003,608
E02006378,Reigate and Banstead 004,1003
E02006379,Reigate and Banstead 005,837
E02006380,Reigate and Banstead 006,730
E02006381,Reigate and Banstead 007,637
E02006382,Reigate and Banstead 008,893
E02006383,Reigate and Banstead 009,681
E02006384,Reigate and Banstead 010,932
E02006385,Reigate and Banstead 011,1178
E02006386,Reigate and Banstead 012,714
E02006387,Reigate and Banstead 013,1159
E02006388,Reigate and Banstead 014,1369
E02006389,Reigate and Banstead 015,1384
E02006390,Reigate and Banstead 016,1658
E02006391,Reigate and Banstead 017,810
E02006392,Reigate and Banstead 018,1193
E02006393,Runnymede 001,970
E02006394,Runnymede 002,959
E02006395,Runnymede 003,1801
E02006396,Runnymede 004,481
E02006397,Runnymede 005,530
E02006398,Runnymede 006,1117
E02006399,Runnymede 007,1641
E02006400,Runnymede 008,588
E02006401,Runnymede 009,1339
E02006402,Runnymede 010,1761
E02006403,Spelthorne 001,776
E02006404,Spelthorne 002,1142
E02006405,Spelthorne 003,1649
E02006406,Spelthorne 004,869
E02006407,Spelthorne 005,1578
E02006408,Spelthorne 006,1235
E02006409,Spelthorne 007,1308
E02006410,Spelthorne 008,1004
E02006411,Spelthorne 009,1219
E02006412,Spelthorne 010,739
E02006413,Spelthorne 011,957
E02006414,Spelthorne 012,1052
E02006415,Spelthorne 013,765
E02006416,Surrey Heath 001,897
E02006417,Surrey Heath 002,875
E02006418,Surrey Heath 003,483
E02006419,Surrey Heath 004,1286
E02006420,Surrey Heath 005,159
E02006421,Surrey Heath 006,950
E02006422,Surrey Heath 007,330
E02006423,Surrey Heath 008,1307
E02006424,Surrey Heath 009,528
E02006425,Surrey Heath 010,719
E02006426,Surrey Heath 011,708
E02006427,Surrey Heath 012,909
E02006429,Tandridge 002,623
E02006430,Tandridge 003,1317
E02006431,Tandridge 004,979
E02006432,Tandridge 005,531
E02006433,Tandridge 006,882
E02006434,Tandridge 007,862
E02006435,Tandridge 008,896
E02006436,Tandridge 009,877
E02006437,Tandridge 010,976
E02006438,Tandridge 011,850
E02006439,Waverley 001,997
E02006440,Waverley 002,750
E02006441,Waverley 003,812
E02006442,Waverley 004,404
E02006443,Waverley 005,1347
E02006444,Waverley 006,946
E02006445,Waverley 007,822
E02006446,Waverley 008,825
E02006447,Waverley 009,757
E02006448,Waverley 010,797
E02006449,Waverley 011,938
E02006450,Waverley 012,761
E02006451,Waverley 013,1230
E02006453,Waverley 015,1085
E02006454,Waverley 016,648
E02006455,Waverley 017,610
E02006456,Woking 001,1206
E02006457,Woking 002,425
E02006458,Woking 003,627
E02006459,Woking 004,1129
E02006460,Woking 005,681
E02006461,Woking 006,596
E02006462,Woking 007,949
E02006463,Woking 008,743
E02006464,Woking 009,883
E02006465,Woking 010,340
E02006466,Woking 011,1843
E02006467,Woking 012,823
