Middle layer Super Output Areas Code,Middle layer Super Output Areas,Semi_detached
E02000522,Hillingdon 029,1120
E02000523,Hillingdon 030,1641
E02000524,Hillingdon 031,1019
E02000525,Hillingdon 032,954
E02000526,Hounslow 001,754
E02000529,Hounslow 004,1126
E02000530,Hounslow 005,554
E02000531,Hounslow 006,684
E02000532,Hounslow 007,833
E02000533,Hounslow 008,538
E02000534,Hounslow 009,1206
E02000535,Hounslow 010,1706
E02000536,Hounslow 011,1649
E02000537,Hounslow 012,1471
E02000538,Hounslow 013,1074
E02000539,Hounslow 014,755
E02000540,Hounslow 015,1049
E02000541,Hounslow 016,1105
E02000542,Hounslow 017,986
E02000543,Hounslow 018,953
E02000544,Hounslow 019,1625
E02000545,Hounslow 020,671
E02000546,Hounslow 021,1355
E02000547,Hounslow 022,1527
E02000548,Hounslow 023,1379
E02000549,Hounslow 024,1743
E02000550,Hounslow 025,1132
E02000551,Hounslow 026,825
E02000552,Hounslow 027,945
E02000553,Hounslow 028,931
E02000554,Islington 001,123
E02000555,Islington 002,136
E02000556,Islington 003,107
E02000557,Islington 004,99
E02000558,Islington 005,78
E02000559,Islington 006,102
E02000560,Islington 007,77
E02000561,Islington 008,186
E02000562,Islington 009,127
E02000563,Islington 010,77
E02000564,Islington 011,96
E02000565,Islington 012,76
E02000566,Islington 013,217
E02000567,Islington 014,148
E02000568,Islington 015,171
E02000569,Islington 016,202
E02000570,Islington 017,154
E02000571,Islington 018,189
E02000572,Islington 019,65
E02000573,Islington 020,112
E02000574,Islington 021,36
E02000575,Islington 022,44
E02000576,Islington 023,17
E02000577,Kensington and Chelsea 001,40
E02000578,Kensington and Chelsea 002,73
E02000579,Kensington and Chelsea 003,138
E02000580,Kensington and Chelsea 004,44
E02000581,Kensington and Chelsea 005,64
E02000582,Kensington and Chelsea 006,119
E02000583,Kensington and Chelsea 007,194
E02000584,Kensington and Chelsea 008,100
E02000585,Kensington and Chelsea 009,96
E02000586,Kensington and Chelsea 010,150
E02000587,Kensington and Chelsea 011,156
E02000588,Kensington and Chelsea 012,108
E02000589,Kensington and Chelsea 013,45
E02000590,Kensington and Chelsea 014,56
E02000591,Kensington and Chelsea 015,32
E02000592,Kensington and Chelsea 016,79
E02000593,Kensington and Chelsea 017,33
E02000594,Kensington and Chelsea 018,66
E02000595,Kensington and Chelsea 019,204
E02000596,Kensington and Chelsea 020,222
E02000597,Kensington and Chelsea 021,47
E02000598,Kingston upon Thames 001,1077
E02000599,Kingston upon Thames 002,664
E02000600,Kingston upon Thames 003,607
E02000601,Kingston upon Thames 004,1048
E02000602,Kingston upon Thames 005,852
E02000603,Kingston upon Thames 006,1327
E02000604,Kingston upon Thames 007,1145
E02000605,Kingston upon Thames 008,1293
E02000606,Kingston upon Thames 009,751
E02000607,Kingston upon Thames 010,1130
E02000608,Kingston upon Thames 011,348
E02000609,Kingston upon Thames 012,1099
E02000610,Kingston upon Thames 013,312
E02000611,Kingston upon Thames 014,1993
E02000612,Kingston upon Thames 015,1506
E02000613,Kingston upon Thames 016,955
E02000614,Kingston upon Thames 017,1266
E02000615,Kingston upon Thames 018,1643
E02000616,Kingston upon Thames 019,510
E02000617,Kingston upon Thames 020,1268
E02000619,Lambeth 002,72
E02000620,Lambeth 003,55
E02000621,Lambeth 004,133
E02000622,Lambeth 005,150
E02000623,Lambeth 006,107
E02000624,Lambeth 007,171
E02000625,Lambeth 008,67
E02000626,Lambeth 009,130
E02000627,Lambeth 010,132
E02000628,Lambeth 011,143
E02000629,Lambeth 012,234
E02000630,Lambeth 013,187
E02000631,Lambeth 014,410
E02000632,Lambeth 015,145
E02000633,Lambeth 016,224
E02000634,Lambeth 017,155
E02000635,Lambeth 018,297
E02000636,Lambeth 019,349
E02000637,Lambeth 020,295
E02000638,Lambeth 021,174
E02000639,Lambeth 022,166
E02000640,Lambeth 023,275
E02000641,Lambeth 024,190
E02000642,Lambeth 025,500
E02000643,Lambeth 026,484
E02000644,Lambeth 027,697
E02000645,Lambeth 028,651
E02000646,Lambeth 029,546
E02000647,Lambeth 030,832
E02000648,Lambeth 031,409
E02000649,Lambeth 032,385
E02000650,Lambeth 033,472
E02000651,Lambeth 034,750
E02000652,Lambeth 035,434
E02000653,Lewisham 001,235
E02000654,Lewisham 002,110
E02000655,Lewisham 003,250
E02000657,Lewisham 005,249
E02000658,Lewisham 006,291
E02000659,Lewisham 007,372
E02000660,Lewisham 008,250
E02000661,Lewisham 009,206
E02000662,Lewisham 010,305
E02000663,Lewisham 011,386
