Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_with_mortgage
E02000320,Greenwich 008,648
E02000321,Greenwich 009,494
E02000323,Greenwich 011,819
E02000324,Greenwich 012,523
E02000326,Greenwich 014,905
E02000327,Greenwich 015,502
E02000328,Greenwich 016,836
E02000329,Greenwich 017,729
E02000331,Greenwich 019,821
E02000332,Greenwich 020,961
E02000333,Greenwich 021,764
E02000334,Greenwich 022,886
E02000335,Greenwich 023,1040
E02000337,Greenwich 025,859
E02000339,Greenwich 027,822
E02000340,Greenwich 028,880
E02000341,Greenwich 029,737
E02000342,Greenwich 030,707
E02000343,Greenwich 031,836
E02000344,Greenwich 032,966
E02000345,Hackney 001,280
E02000346,Hackney 002,327
E02000347,Hackney 003,315
E02000348,Hackney 004,213
E02000350,Hackney 006,638
E02000351,Hackney 007,794
E02000352,Hackney 008,534
E02000353,Hackney 009,755
E02000354,Hackney 010,709
E02000355,Hackney 011,700
E02000356,Hackney 012,796
E02000357,Hackney 013,274
E02000358,Hackney 014,875
E02000359,Hackney 015,593
E02000360,Hackney 016,562
E02000361,Hackney 017,527
E02000362,Hackney 018,445
E02000363,Hackney 019,495
E02000364,Hackney 020,730
E02000366,Hackney 022,474
E02000367,Hackney 023,756
E02000368,Hackney 024,507
E02000369,Hackney 025,667
E02000370,Hackney 026,467
E02000372,Hammersmith and Fulham 001,368
E02000373,Hammersmith and Fulham 002,269
E02000374,Hammersmith and Fulham 003,464
E02000375,Hammersmith and Fulham 004,379
E02000376,Hammersmith and Fulham 005,425
E02000377,Hammersmith and Fulham 006,530
E02000378,Hammersmith and Fulham 007,521
E02000379,Hammersmith and Fulham 008,710
E02000380,Hammersmith and Fulham 009,540
E02000381,Hammersmith and Fulham 010,601
E02000382,Hammersmith and Fulham 011,478
E02000383,Hammersmith and Fulham 012,553
E02000384,Hammersmith and Fulham 013,439
E02000385,Hammersmith and Fulham 014,497
E02000386,Hammersmith and Fulham 015,362
E02000387,Hammersmith and Fulham 016,366
E02000388,Hammersmith and Fulham 017,667
E02000389,Hammersmith and Fulham 018,922
E02000390,Hammersmith and Fulham 019,535
E02000391,Hammersmith and Fulham 020,687
E02000392,Hammersmith and Fulham 021,741
E02000393,Hammersmith and Fulham 022,652
E02000394,Hammersmith and Fulham 023,811
E02000395,Hammersmith and Fulham 024,529
E02000396,Hammersmith and Fulham 025,559
E02000397,Haringey 001,573
E02000398,Haringey 002,343
E02000400,Haringey 004,634
E02000401,Haringey 005,526
E02000402,Haringey 006,400
E02000403,Haringey 007,538
E02000404,Haringey 008,441
E02000405,Haringey 009,872
E02000406,Haringey 010,451
E02000407,Haringey 011,441
E02000408,Haringey 012,390
E02000409,Haringey 013,412
E02000410,Haringey 014,818
E02000411,Haringey 015,702
E02000412,Haringey 016,368
E02000413,Haringey 017,836
E02000414,Haringey 018,558
E02000415,Haringey 019,536
E02000416,Haringey 020,800
E02000417,Haringey 021,768
E02000418,Haringey 022,772
E02000419,Haringey 023,703
E02000420,Haringey 024,557
E02000421,Haringey 025,354
E02000422,Haringey 026,511
E02000423,Haringey 027,549
E02000424,Haringey 028,896
E02000425,Haringey 029,236
E02000426,Haringey 030,650
E02000427,Haringey 031,642
E02000428,Haringey 032,367
E02000429,Haringey 033,841
E02000430,Haringey 034,833
E02000431,Haringey 035,699
E02000432,Haringey 036,669
E02000433,Harrow 001,942
E02000434,Harrow 002,960
E02000435,Harrow 003,753
E02000436,Harrow 004,786
E02000437,Harrow 005,917
E02000438,Harrow 006,815
E02000439,Harrow 007,738
E02000440,Harrow 008,1152
E02000441,Harrow 009,780
E02000442,Harrow 010,701
E02000443,Harrow 011,855
E02000444,Harrow 012,814
E02000445,Harrow 013,899
E02000447,Harrow 015,1111
E02000448,Harrow 016,846
E02000449,Harrow 017,564
E02000451,Harrow 019,842
E02000452,Harrow 020,829
E02000453,Harrow 021,821
E02000454,Harrow 022,1042
E02000455,Harrow 023,1078
E02000456,Harrow 024,764
E02000457,Harrow 025,776
E02000459,Harrow 027,792
E02000460,Harrow 028,728
E02000461,Harrow 029,717
E02000462,Harrow 030,610
E02000463,Harrow 031,910
E02000464,Havering 001,970
E02000465,Havering 002,1166
E02000466,Havering 003,1074
E02000467,Havering 004,1043
E02000468,Havering 005,1203
E02000469,Havering 006,888
E02000470,Havering 007,1574
E02000471,Havering 008,1137
E02000472,Havering 009,1425
E02000473,Havering 010,1665
E02000474,Havering 011,1279
E02000475,Havering 012,1332
E02000476,Havering 013,999
E02000477,Havering 014,1522
E02000478,Havering 015,791
E02000479,Havering 016,1234
E02000480,Havering 017,1549
E02000481,Havering 018,1152
E02000482,Havering 019,1009
E02000483,Havering 020,1011
E02000484,Havering 021,1300
E02000485,Havering 022,1294
E02000486,Havering 023,1123
E02000487,Havering 024,1137
E02000488,Havering 025,1145
E02000489,Havering 026,1174
E02000490,Havering 027,1150
E02000491,Havering 028,1320
E02000492,Havering 029,952
E02000493,Havering 030,843
E02000494,Hillingdon 001,1002
E02000495,Hillingdon 002,1069
E02000496,Hillingdon 003,1040
E02000497,Hillingdon 004,1223
E02000498,Hillingdon 005,917
E02000499,Hillingdon 006,1068
E02000500,Hillingdon 007,1035
E02000501,Hillingdon 008,1303
E02000502,Hillingdon 009,1233
E02000503,Hillingdon 010,1371
E02000504,Hillingdon 011,1098
E02000506,Hillingdon 013,1041
E02000507,Hillingdon 014,1157
E02000508,Hillingdon 015,1262
E02000509,Hillingdon 016,725
E02000510,Hillingdon 017,1072
E02000511,Hillingdon 018,1206
E02000512,Hillingdon 019,828
E02000513,Hillingdon 020,870
E02000514,Hillingdon 021,956
E02000515,Hillingdon 022,1326
E02000516,Hillingdon 023,807
E02000517,Hillingdon 024,945
E02000518,Hillingdon 025,895
E02000519,Hillingdon 026,706
E02000520,Hillingdon 027,1067
E02000521,Hillingdon 028,1220
E02000522,Hillingdon 029,934
E02000523,Hillingdon 030,927
E02000524,Hillingdon 031,523
E02000525,Hillingdon 032,737
E02000526,Hounslow 001,903
E02000529,Hounslow 004,871
E02000530,Hounslow 005,491
E02000531,Hounslow 006,1299
E02000532,Hounslow 007,1027
E02000533,Hounslow 008,1022
E02000534,Hounslow 009,878
E02000535,Hounslow 010,755
E02000536,Hounslow 011,786
E02000537,Hounslow 012,743
E02000538,Hounslow 013,597
E02000539,Hounslow 014,1400
E02000540,Hounslow 015,1024
E02000541,Hounslow 016,468
E02000542,Hounslow 017,614
E02000543,Hounslow 018,801
E02000544,Hounslow 019,982
E02000545,Hounslow 020,943
E02000546,Hounslow 021,744
E02000547,Hounslow 022,1076
E02000548,Hounslow 023,884
E02000549,Hounslow 024,1302
E02000550,Hounslow 025,943
E02000551,Hounslow 026,753
E02000552,Hounslow 027,1176
E02000553,Hounslow 028,861
E02000554,Islington 001,597
E02000555,Islington 002,777
E02000556,Islington 003,889
E02000557,Islington 004,580
E02000558,Islington 005,319
E02000559,Islington 006,897
E02000560,Islington 007,545
E02000561,Islington 008,751
E02000562,Islington 009,690
E02000563,Islington 010,529
E02000564,Islington 011,863
E02000565,Islington 012,492
E02000566,Islington 013,739
E02000567,Islington 014,871
E02000568,Islington 015,507
E02000569,Islington 016,634
E02000570,Islington 017,760
E02000571,Islington 018,616
E02000572,Islington 019,255
E02000573,Islington 020,710
E02000574,Islington 021,449
E02000575,Islington 022,650
E02000576,Islington 023,468
E02000577,Kensington and Chelsea 001,196
E02000578,Kensington and Chelsea 002,134
E02000579,Kensington and Chelsea 003,506
E02000580,Kensington and Chelsea 004,328
E02000581,Kensington and Chelsea 005,151
E02000582,Kensington and Chelsea 006,414
E02000583,Kensington and Chelsea 007,483
E02000584,Kensington and Chelsea 008,513
E02000585,Kensington and Chelsea 009,489
E02000586,Kensington and Chelsea 010,368
E02000587,Kensington and Chelsea 011,433
E02000588,Kensington and Chelsea 012,336
E02000589,Kensington and Chelsea 013,458
E02000590,Kensington and Chelsea 014,244
E02000591,Kensington and Chelsea 015,311
E02000592,Kensington and Chelsea 016,358
