Middle layer Super Output Areas Code,Middle layer Super Output Areas,owns_with_mortgage
E02004717,Eastleigh 006,1566
E02004718,Eastleigh 007,1097
E02004719,Eastleigh 008,2007
E02004720,Eastleigh 009,1742
E02004721,Eastleigh 010,2070
E02004722,Eastleigh 011,953
E02004723,Eastleigh 012,1593
E02004724,Eastleigh 013,1504
E02004725,Eastleigh 014,720
E02004726,Eastleigh 015,882
E02004727,Fareham 001,1812
E02004728,Fareham 002,1349
E02004729,Fareham 003,1004
E02004730,Fareham 004,1336
E02004731,Fareham 005,1186
E02004732,Fareham 006,1390
E02004733,Fareham 007,1219
E02004734,Fareham 008,1571
E02004735,Fareham 009,1030
E02004736,Fareham 010,1289
E02004737,Fareham 011,1055
E02004738,Fareham 012,1078
E02004739,Fareham 013,806
E02004740,Fareham 014,912
E02004741,Gosport 001,996
E02004742,Gosport 002,925
E02004743,Gosport 003,1206
E02004744,Gosport 004,964
E02004745,Gosport 005,1139
E02004746,Gosport 006,1470
E02004747,Gosport 007,856
E02004748,Gosport 008,927
E02004749,Gosport 009,955
E02004750,Gosport 010,1097
E02004751,Hart 001,1274
E02004752,Hart 002,1348
E02004753,Hart 003,1685
E02004754,Hart 004,1005
E02004755,Hart 005,1999
E02004756,Hart 006,1596
E02004757,Hart 007,1216
E02004758,Hart 008,1409
E02004759,Hart 009,1406
E02004760,Hart 010,1696
E02004761,Hart 011,670
E02004764,Havant 003,1074
E02004765,Havant 004,968
E02004766,Havant 005,864
E02004767,Havant 006,581
E02004768,Havant 007,684
E02004769,Havant 008,563
E02004770,Havant 009,730
E02004771,Havant 010,950
E02004772,Havant 011,1501
E02004774,Havant 013,1172
E02004775,Havant 014,1367
E02004776,Havant 015,709
E02004777,Havant 016,539
E02004778,Havant 017,691
E02004779,New Forest 001,1279
E02004780,New Forest 002,744
E02004781,New Forest 003,1273
E02004782,New Forest 004,1067
E02004783,New Forest 005,1177
E02004784,New Forest 006,726
E02004785,New Forest 007,636
E02004786,New Forest 008,1170
E02004787,New Forest 009,956
E02004788,New Forest 010,969
E02004789,New Forest 011,1274
E02004790,New Forest 012,982
E02004791,New Forest 013,620
E02004792,New Forest 014,1092
E02004793,New Forest 015,795
E02004794,New Forest 016,870
E02004795,New Forest 017,757
E02004796,New Forest 018,1168
E02004797,New Forest 019,884
E02004798,New Forest 020,624
E02004799,New Forest 021,858
E02004800,New Forest 022,697
E02004801,New Forest 023,750
E02004802,Rushmoor 001,851
E02004803,Rushmoor 002,795
E02004804,Rushmoor 003,1225
E02004805,Rushmoor 004,1307
E02004806,Rushmoor 005,1358
E02004807,Rushmoor 006,1364
E02004808,Rushmoor 007,1706
E02004809,Rushmoor 008,927
E02004810,Rushmoor 009,1237
E02004811,Rushmoor 010,1108
E02004812,Rushmoor 011,1111
E02004813,Rushmoor 012,806
E02004814,Test Valley 001,1080
E02004815,Test Valley 002,744
E02004817,Test Valley 004,1020
E02004818,Test Valley 005,1354
E02004819,Test Valley 006,1185
E02004820,Test Valley 007,856
E02004821,Test Valley 008,619
E02004822,Test Valley 009,928
E02004823,Test Valley 010,1237
E02004824,Test Valley 011,528
E02004825,Test Valley 012,1519
E02004826,Test Valley 013,1394
E02004827,Test Valley 014,1238
E02004828,Test Valley 015,1084
E02004829,Winchester 001,793
E02004830,Winchester 002,883
E02004831,Winchester 003,1281
E02004832,Winchester 004,988
E02004833,Winchester 005,1099
E02004834,Winchester 006,580
E02004835,Winchester 007,981
E02004836,Winchester 008,289
E02004837,Winchester 009,1040
E02004838,Winchester 010,1376
E02004839,Winchester 011,1187
E02004840,Winchester 012,1465
E02004841,Winchester 013,1756
E02004842,Winchester 014,1552
E02004843,Broxbourne 001,1053
E02004844,Broxbourne 002,1114
E02004845,Broxbourne 003,1062
E02004846,Broxbourne 004,946
E02004847,Broxbourne 005,1512
E02004848,Broxbourne 006,1181
E02004849,Broxbourne 007,1097
E02004850,Broxbourne 008,1110
E02004851,Broxbourne 009,902
E02004852,Broxbourne 010,1061
E02004853,Broxbourne 011,1065
E02004854,Broxbourne 012,1062
E02004855,Broxbourne 013,1014
E02004856,Dacorum 001,892
E02004857,Dacorum 002,899
E02004858,Dacorum 003,701
E02004859,Dacorum 004,776
E02004860,Dacorum 005,822
E02004861,Dacorum 006,771
E02004862,Dacorum 007,861
E02004863,Dacorum 008,744
E02004864,Dacorum 009,970
E02004865,Dacorum 010,775
E02004866,Dacorum 011,832
E02004867,Dacorum 012,940
E02004868,Dacorum 013,887
E02004869,Dacorum 014,851
E02004870,Dacorum 015,1455
E02004871,Dacorum 016,671
E02004872,Dacorum 017,968
E02004873,Dacorum 018,1955
E02004874,Dacorum 019,797
E02004875,Dacorum 020,1383
E02004876,Dacorum 021,1235
E02004877,Dacorum 022,755
E02004878,East Hertfordshire 001,1404
E02004880,East Hertfordshire 003,1751
E02004881,East Hertfordshire 004,952
E02004882,East Hertfordshire 005,1101
E02004883,East Hertfordshire 006,951
E02004884,East Hertfordshire 007,1360
E02004885,East Hertfordshire 008,1424
E02004886,East Hertfordshire 009,897
E02004887,East Hertfordshire 010,1009
E02004888,East Hertfordshire 011,1285
E02004889,East Hertfordshire 012,1594
E02004890,East Hertfordshire 013,1359
E02004891,East Hertfordshire 014,1246
E02004892,East Hertfordshire 015,744
E02004893,East Hertfordshire 016,1049
E02004894,East Hertfordshire 017,1414
E02004895,East Hertfordshire 018,1243
E02004896,Hertsmere 001,1007
E02004897,Hertsmere 002,917
E02004898,Hertsmere 003,929
E02004899,Hertsmere 004,776
E02004900,Hertsmere 005,1171
E02004901,Hertsmere 006,1140
E02004902,Hertsmere 007,925
E02004903,Hertsmere 008,1000
E02004904,Hertsmere 009,839
E02004905,Hertsmere 010,946
E02004906,Hertsmere 011,1430
E02004907,Hertsmere 012,1530
E02004908,Hertsmere 013,1563
E02004909,North Hertfordshire 001,811
E02004910,North Hertfordshire 002,1751
E02004911,North Hertfordshire 003,762
E02004912,North Hertfordshire 004,1456
E02004914,North Hertfordshire 006,981
E02004915,North Hertfordshire 007,641
E02004916,North Hertfordshire 008,820
E02004917,North Hertfordshire 009,716
E02004918,North Hertfordshire 010,1211
E02004919,North Hertfordshire 011,1083
E02004920,North Hertfordshire 012,1418
E02004921,North Hertfordshire 013,1183
E02004922,North Hertfordshire 014,1262
E02004923,North Hertfordshire 015,1449
E02004924,St Albans 001,1246
E02004925,St Albans 002,1153
E02004926,St Albans 003,1111
E02004927,St Albans 004,900
E02004928,St Albans 005,1056
E02004929,St Albans 006,893
E02004930,St Albans 007,1058
E02004931,St Albans 008,1006
E02004932,St Albans 009,1036
E02004933,St Albans 010,1120
E02004934,St Albans 011,1059
E02004935,St Albans 012,1289
E02004936,St Albans 013,1112
E02004937,St Albans 014,1040
E02004939,St Albans 016,836
E02004940,St Albans 017,954
E02004941,St Albans 018,1415
E02004942,St Albans 019,899
E02004943,St Albans 020,1213
E02004944,Stevenage 001,1068
E02004945,Stevenage 002,1519
E02004946,Stevenage 003,761
E02004948,Stevenage 005,705
E02004949,Stevenage 006,954
E02004950,Stevenage 007,965
E02004951,Stevenage 008,816
E02004952,Stevenage 009,957
E02004953,Stevenage 010,805
E02004954,Stevenage 011,867
E02004955,Stevenage 012,802
E02004956,Three Rivers 001,1343
E02004957,Three Rivers 002,1603
E02004958,Three Rivers 003,1167
E02004959,Three Rivers 004,874
E02004960,Three Rivers 005,814
E02004961,Three Rivers 006,1538
E02004962,Three Rivers 007,1331
E02004963,Three Rivers 008,1027
E02004964,Three Rivers 009,783
E02004965,Three Rivers 010,961
E02004966,Three Rivers 011,885
E02004967,Three Rivers 012,1008
E02004968,Watford 001,1006
E02004969,Watford 002,1039
E02004970,Watford 003,1000
E02004971,Watford 004,1137
E02004972,Watford 005,898
E02004973,Watford 006,1110
E02004974,Watford 007,1170
E02004975,Watford 008,1093
E02004976,Watford 009,920
E02004977,Watford 010,897
E02004978,Watford 011,942
E02004979,Watford 012,1056
E02004980,Welwyn Hatfield 001,958
E02004981,Welwyn Hatfield 002,1153
E02004982,Welwyn Hatfield 003,768
E02004983,Welwyn Hatfield 004,753
E02004984,Welwyn Hatfield 005,831
E02004985,Welwyn Hatfield 006,827
E02004986,Welwyn Hatfield 007,901
E02004987,Welwyn Hatfield 008,1018
E02004988,Welwyn Hatfield 009,920
E02004989,Welwyn Hatfield 010,1004
E02004990,Welwyn Hatfield 011,757
E02004991,Welwyn Hatfield 012,627
E02004992,Welwyn Hatfield 013,643
E02004994,Welwyn Hatfield 015,913
E02004995,Welwyn Hatfield 016,795
E02004996,Ashford 001,1096
E02004997,Ashford 002,1073
E02004998,Ashford 003,948
E02005000,Ashford 005,1287
E02005001,Ashford 006,1412
E02005002,Ashford 007,1261
E02005003,Ashford 008,1065
E02005004,Ashford 009,1811
E02005005,Ashford 010,1649
E02005006,Ashford 011,732
E02005007,Ashford 012,1303
E02005008,Ashford 013,886
E02005009,Ashford 014,748
E02005010,Canterbury 001,791
E02005011,Canterbury 002,912
E02005012,Canterbury 003,1155
E02005013,Canterbury 004,997
E02005014,Canterbury 005,1095
E02005015,Canterbury 006,1485
E02005016,Canterbury 007,955
E02005017,Canterbury 008,905
E02005018,Canterbury 009,1115
E02005019,Canterbury 010,854
E02005020,Canterbury 011,927
E02005021,Canterbury 012,804
E02005022,Canterbury 013,424
E02005023,Canterbury 014,499
E02005025,Canterbury 016,739
E02005026,Canterbury 017,1139
E02005027,Canterbury 018,684
E02005028,Dartford 001,2438
E02005029,Dartford 002,2674
E02005030,Dartford 003,1763
E02005031,Dartford 004,1058
E02005032,Dartford 005,1481
E02005033,Dartford 006,1117
E02005034,Dartford 007,1237
E02005035,Dartford 008,1239
E02005036,Dartford 009,789
E02005037,Dartford 010,1045
E02005038,Dartford 011,931
E02005039,Dartford 012,979
E02005040,Dartford 013,944
E02005041,Dover 001,871
E02005042,Dover 002,984
E02005043,Dover 003,795
E02005044,Dover 004,640
E02005045,Dover 005,1221
E02005046,Dover 006,1379
E02005047,Dover 007,868
E02005048,Dover 008,841
E02005049,Dover 009,760
E02005050,Dover 010,1446
E02005051,Dover 011,1413
E02005052,Dover 012,678
E02005053,Dover 013,892
E02005054,Dover 014,938
E02005055,Gravesham 001,764
E02005056,Gravesham 002,726
E02005057,Gravesham 003,1345
E02005058,Gravesham 004,864
E02005059,Gravesham 005,1352
E02005060,Gravesham 006,1131
E02005061,Gravesham 007,859
E02005062,Gravesham 008,983
E02005063,Gravesham 009,990
E02005064,Gravesham 010,925
E02005065,Gravesham 011,974
E02005066,Gravesham 012,1108
E02005067,Gravesham 013,921
E02005068,Maidstone 001,1315
E02005069,Maidstone 002,1323
E02005070,Maidstone 003,1506
E02005071,Maidstone 004,1223
E02005072,Maidstone 005,1226
E02005073,Maidstone 006,1449
E02005074,Maidstone 007,1215
E02005075,Maidstone 008,1442
E02005076,Maidstone 009,1299
E02005077,Maidstone 010,1031
E02005078,Maidstone 011,1252
E02005079,Maidstone 012,1296
E02005080,Maidstone 013,1148
E02005081,Maidstone 014,948
E02005082,Maidstone 015,1855
E02005083,Maidstone 016,1188
E02005084,Maidstone 017,1003
E02005085,Maidstone 018,1110
E02005086,Maidstone 019,970
E02005087,Sevenoaks 001,1055
E02005088,Sevenoaks 002,1057
E02005089,Sevenoaks 003,1101
E02005090,Sevenoaks 004,725
E02005091,Sevenoaks 005,980
E02005093,Sevenoaks 007,804
E02005094,Sevenoaks 008,1468
E02005095,Sevenoaks 009,1065
E02005096,Sevenoaks 010,1267
E02005097,Sevenoaks 011,1384
E02005098,Sevenoaks 012,1212
E02005099,Sevenoaks 013,1085
E02005100,Sevenoaks 014,1344
E02005101,Sevenoaks 015,895
E02005102,Folkestone and Hythe 001,748
E02005103,Folkestone and Hythe 002,1503
E02005104,Folkestone and Hythe 003,944
E02005105,Folkestone and Hythe 004,842
E02005106,Folkestone and Hythe 005,1229
E02005107,Folkestone and Hythe 006,1669
E02005109,Folkestone and Hythe 008,835
E02005110,Folkestone and Hythe 009,1042
E02005111,Folkestone and Hythe 010,677
E02005112,Folkestone and Hythe 011,802
E02005113,Folkestone and Hythe 012,776
E02005114,Folkestone and Hythe 013,724
E02005115,Swale 001,507
E02005116,Swale 002,532
E02005117,Swale 003,862
E02005118,Swale 004,1654
E02005119,Swale 005,780
E02005120,Swale 006,871
E02005121,Swale 007,2371
E02005122,Swale 008,1171
E02005123,Swale 009,2041
E02005124,Swale 010,831
E02005125,Swale 011,1189
E02005126,Swale 012,1087
E02005127,Swale 013,1261
E02005128,Swale 014,1199
E02005129,Swale 015,1377
E02005130,Swale 016,1230
E02005131,Swale 017,764
E02005132,Thanet 001,630
E02005133,Thanet 002,1073
E02005134,Thanet 003,693
E02005135,Thanet 004,952
E02005136,Thanet 005,1132
E02005137,Thanet 006,713
E02005138,Thanet 007,1070
E02005139,Thanet 008,972
E02005140,Thanet 009,880
E02005141,Thanet 010,747
E02005142,Thanet 011,861
E02005143,Thanet 012,1003
E02005144,Thanet 013,815
E02005145,Thanet 014,1090
E02005146,Thanet 015,1033
E02005147,Thanet 016,724
E02005148,Thanet 017,1042
E02005149,Tonbridge and Malling 001,2253
E02005150,Tonbridge and Malling 002,1766
E02005151,Tonbridge and Malling 003,1907
E02005153,Tonbridge and Malling 005,1307
E02005154,Tonbridge and Malling 006,1680
E02005155,Tonbridge and Malling 007,2133
E02005156,Tonbridge and Malling 008,854
E02005157,Tonbridge and Malling 009,623
E02005158,Tonbridge and Malling 010,968
E02005159,Tonbridge and Malling 011,931
E02005160,Tonbridge and Malling 012,1580
E02005161,Tonbridge and Malling 013,1253
E02005162,Tunbridge Wells 001,1417
E02005163,Tunbridge Wells 002,1196
E02005164,Tunbridge Wells 003,1338
E02005165,Tunbridge Wells 004,959
E02005166,Tunbridge Wells 005,694
E02005167,Tunbridge Wells 006,1073
E02005168,Tunbridge Wells 007,1161
E02005169,Tunbridge Wells 008,979
E02005170,Tunbridge Wells 009,1422
E02005171,Tunbridge Wells 010,655
E02005172,Tunbridge Wells 011,1095
E02005173,Tunbridge Wells 012,1217
E02005174,Tunbridge Wells 013,836
E02005175,Tunbridge Wells 014,1027
E02005503,Breckland 001,837
E02005504,Breckland 002,990
E02005505,Breckland 003,948
E02005506,Breckland 004,852
E02005507,Breckland 005,1312
E02005508,Breckland 006,933
E02005509,Breckland 007,820
E02005510,Breckland 008,809
E02005511,Breckland 009,1024
E02005512,Breckland 010,1178
E02005513,Breckland 011,1419
E02005514,Breckland 012,831
E02005515,Breckland 013,861
E02005516,Breckland 014,853
E02005517,Breckland 015,465
E02005518,Breckland 016,1416
E02005519,Breckland 017,787
E02005520,Broadland 001,1027
E02005521,Broadland 002,972
E02005522,Broadland 003,681
E02005523,Broadland 004,1220
E02005524,Broadland 005,766
E02005525,Broadland 006,1466
E02005526,Broadland 007,734
E02005527,Broadland 008,1336
E02005528,Broadland 009,1229
E02005529,Broadland 010,701
E02005530,Broadland 011,834
E02005531,Broadland 012,737
E02005532,Broadland 013,1560
E02005533,Broadland 014,1200
E02005534,Broadland 015,1041
E02005535,Broadland 016,1047
E02005536,Broadland 017,840
E02005537,Broadland 018,696
E02005538,Great Yarmouth 001,1149
E02005539,Great Yarmouth 002,970
E02005540,Great Yarmouth 003,996
E02005541,Great Yarmouth 004,570
E02005542,Great Yarmouth 005,417
E02005543,Great Yarmouth 006,384
E02005544,Great Yarmouth 007,692
E02005545,Great Yarmouth 008,895
E02005546,Great Yarmouth 009,829
E02005547,Great Yarmouth 010,979
E02005548,Great Yarmouth 011,715
E02005549,Great Yarmouth 012,738
E02005550,Great Yarmouth 013,1206
E02005551,King's Lynn and West Norfolk 001,369
E02005552,King's Lynn and West Norfolk 002,570
E02005553,King's Lynn and West Norfolk 003,766
E02005554,King's Lynn and West Norfolk 004,651
E02005555,King's Lynn and West Norfolk 005,906
E02005556,King's Lynn and West Norfolk 006,1206
E02005557,King's Lynn and West Norfolk 007,562
E02005558,King's Lynn and West Norfolk 008,899
E02005559,King's Lynn and West Norfolk 009,870
E02005560,King's Lynn and West Norfolk 010,968
E02005561,King's Lynn and West Norfolk 011,952
E02005562,King's Lynn and West Norfolk 012,858
E02005563,King's Lynn and West Norfolk 013,1076
E02005564,King's Lynn and West Norfolk 014,1061
E02005565,King's Lynn and West Norfolk 015,1020
E02005566,King's Lynn and West Norfolk 016,1297
E02005567,King's Lynn and West Norfolk 017,1240
E02005568,King's Lynn and West Norfolk 018,913
E02005569,King's Lynn and West Norfolk 019,966
E02005570,North Norfolk 001,564
E02005571,North Norfolk 002,360
E02005572,North Norfolk 003,567
E02005573,North Norfolk 004,386
E02005574,North Norfolk 005,683
E02005575,North Norfolk 006,625
E02005576,North Norfolk 007,565
E02005577,North Norfolk 008,691
E02005578,North Norfolk 009,615
E02005580,North Norfolk 011,805
E02005581,North Norfolk 012,876
E02005582,North Norfolk 013,705
E02005583,North Norfolk 014,809
E02005584,Norwich 001,1246
E02005585,Norwich 002,931
E02005586,Norwich 003,1432
E02005587,Norwich 004,1039
E02005588,Norwich 005,855
E02005589,Norwich 006,897
E02005592,Norwich 009,1052
E02005593,Norwich 010,344
E02005594,Norwich 011,1012
E02005595,Norwich 012,1014
E02005596,Norwich 013,979
E02005598,South Norfolk 002,1433
E02005599,South Norfolk 003,1076
E02005600,South Norfolk 004,696
E02005601,South Norfolk 005,597
E02005602,South Norfolk 006,1835
E02005603,South Norfolk 007,2087
E02005604,South Norfolk 008,1080
E02005605,South Norfolk 009,1545
E02005606,South Norfolk 010,769
E02005607,South Norfolk 011,1593
E02005608,South Norfolk 012,894
E02005609,South Norfolk 013,811
E02005610,South Norfolk 014,970
E02005611,South Norfolk 015,1163
E02005921,Cherwell 001,1107
E02005922,Cherwell 002,1290
E02005923,Cherwell 003,660
E02005924,Cherwell 004,1300
E02005925,Cherwell 005,809
E02005926,Cherwell 006,1112
E02005927,Cherwell 007,780
E02005928,Cherwell 008,1682
E02005929,Cherwell 009,975
E02005930,Cherwell 010,1270
E02005931,Cherwell 011,1666
E02005932,Cherwell 012,1110
E02005933,Cherwell 013,1115
E02005934,Cherwell 014,1175
E02005935,Cherwell 015,1223
E02005936,Cherwell 016,1960
E02005937,Cherwell 017,725
E02005938,Cherwell 018,647
E02005939,Cherwell 019,803
E02005940,Oxford 001,653
E02005941,Oxford 002,503
E02005942,Oxford 003,422
E02005943,Oxford 004,613
E02005944,Oxford 005,555
E02005945,Oxford 006,745
E02005946,Oxford 007,965
E02005947,Oxford 008,235
E02005948,Oxford 009,417
E02005949,Oxford 010,336
E02005950,Oxford 011,493
E02005951,Oxford 012,531
E02005953,Oxford 014,468
E02005954,Oxford 015,1003
E02005955,Oxford 016,913
E02005956,Oxford 017,494
E02005957,Oxford 018,524
E02005958,South Oxfordshire 001,781
E02005959,South Oxfordshire 002,687
E02005960,South Oxfordshire 003,1040
E02005961,South Oxfordshire 004,840
E02005962,South Oxfordshire 005,1584
E02005963,South Oxfordshire 006,947
E02005964,South Oxfordshire 007,1018
E02005965,South Oxfordshire 008,710
E02005966,South Oxfordshire 009,1405
E02005967,South Oxfordshire 010,1347
E02005968,South Oxfordshire 011,791
E02005969,South Oxfordshire 012,1299
E02005970,South Oxfordshire 013,710
E02005971,South Oxfordshire 014,897
E02005972,South Oxfordshire 015,1859
E02005973,South Oxfordshire 016,653
E02005974,South Oxfordshire 017,789
E02005975,South Oxfordshire 018,1035
E02005976,South Oxfordshire 019,795
E02005977,South Oxfordshire 020,828
E02005978,Vale of White Horse 001,941
E02005979,Vale of White Horse 002,1305
E02005980,Vale of White Horse 003,1117
E02005981,Vale of White Horse 004,1298
E02005982,Vale of White Horse 005,825
E02005983,Vale of White Horse 006,1282
E02005984,Vale of White Horse 007,1350
E02005985,Vale of White Horse 008,889
E02005986,Vale of White Horse 009,1295
E02005987,Vale of White Horse 010,1522
E02005988,Vale of White Horse 011,1428
E02005991,Vale of White Horse 014,1373
E02005992,Vale of White Horse 015,2045
E02005993,West Oxfordshire 001,871
E02005994,West Oxfordshire 002,714
E02005995,West Oxfordshire 003,764
E02005996,West Oxfordshire 004,1115
E02005997,West Oxfordshire 005,726
E02005998,West Oxfordshire 006,895
E02005999,West Oxfordshire 007,819
E02006000,West Oxfordshire 008,1650
E02006001,West Oxfordshire 009,1064
E02006002,West Oxfordshire 010,1147
E02006003,West Oxfordshire 011,669
E02006004,West Oxfordshire 012,756
E02006005,West Oxfordshire 013,1376
E02006006,West Oxfordshire 014,596
E02006007,West Oxfordshire 015,921
E02006227,Babergh 001,688
E02006228,Babergh 002,789
E02006229,Babergh 003,675
E02006230,Babergh 004,1129
E02006231,Babergh 005,1324
E02006232,Babergh 006,772
E02006233,Babergh 007,1173
E02006234,Babergh 008,1243
E02006235,Babergh 009,1038
E02006236,Babergh 010,1371
E02006237,Babergh 011,896
E02006238,West Suffolk 002,1067
E02006239,West Suffolk 001,779
E02006240,West Suffolk 003,1078
E02006241,West Suffolk 004,923
E02006242,West Suffolk 007,1554
E02006243,West Suffolk 008,1153
E02006245,Ipswich 001,860
E02006246,Ipswich 002,1142
E02006247,Ipswich 003,1176
E02006248,Ipswich 004,1148
E02006249,Ipswich 005,1033
E02006250,Ipswich 006,1023
E02006251,Ipswich 007,1111
E02006252,Ipswich 008,1426
E02006253,Ipswich 009,969
E02006254,Ipswich 010,862
E02006255,Ipswich 011,926
E02006256,Ipswich 012,920
E02006257,Ipswich 013,749
E02006258,Ipswich 014,1146
E02006259,Ipswich 015,654
E02006260,Ipswich 016,1036
E02006261,Mid Suffolk 001,883
E02006262,Mid Suffolk 002,1113
E02006263,Mid Suffolk 003,802
E02006264,Mid Suffolk 004,1311
E02006265,Mid Suffolk 005,951
E02006266,Mid Suffolk 006,1112
E02006267,Mid Suffolk 007,1058
E02006268,Mid Suffolk 008,598
E02006269,Mid Suffolk 009,1177
E02006270,Mid Suffolk 010,2094
E02006271,Mid Suffolk 011,1411
E02006272,Mid Suffolk 012,1097
E02006273,West Suffolk 005,830
E02006274,West Suffolk 006,634
E02006275,West Suffolk 009,695
E02006276,West Suffolk 016,1063
E02006277,West Suffolk 012,1086
E02006278,West Suffolk 011,830
E02006279,West Suffolk 014,957
E02006280,West Suffolk 010,1209
E02006281,West Suffolk 013,821
E02006282,West Suffolk 017,741
E02006283,West Suffolk 018,1051
E02006284,West Suffolk 019,1058
E02006285,West Suffolk 021,1090
E02006286,West Suffolk 020,1345
E02006287,East Suffolk 016,554
E02006288,East Suffolk 017,1105
E02006289,East Suffolk 018,930
E02006290,East Suffolk 019,676
E02006291,East Suffolk 020,837
E02006292,East Suffolk 021,842
E02006293,East Suffolk 023,1222
E02006294,East Suffolk 022,754
E02006295,East Suffolk 024,1207
E02006296,East Suffolk 025,1776
E02006297,East Suffolk 026,1095
E02006298,East Suffolk 027,1321
E02006299,East Suffolk 028,895
E02006300,East Suffolk 029,841
E02006301,East Suffolk 030,586
E02006302,East Suffolk 001,768
E02006303,East Suffolk 002,788
E02006304,East Suffolk 003,1014
E02006305,East Suffolk 004,879
E02006306,East Suffolk 005,897
E02006307,East Suffolk 007,933
E02006308,East Suffolk 006,587
E02006309,East Suffolk 009,670
E02006310,East Suffolk 008,1133
E02006311,East Suffolk 010,744
E02006312,East Suffolk 011,1090
E02006313,East Suffolk 012,1210
E02006314,East Suffolk 013,760
E02006315,East Suffolk 014,506
E02006316,East Suffolk 015,645
E02006317,Elmbridge 001,988
E02006318,Elmbridge 002,1129
E02006319,Elmbridge 003,1063
E02006320,Elmbridge 004,1050
E02006321,Elmbridge 005,1118
E02006322,Elmbridge 006,1083
E02006323,Elmbridge 007,1060
E02006324,Elmbridge 008,1201
E02006325,Elmbridge 009,1574
E02006326,Elmbridge 010,1133
E02006327,Elmbridge 011,1028
E02006328,Elmbridge 012,1429
E02006329,Elmbridge 013,975
E02006330,Elmbridge 014,1494
E02006331,Elmbridge 015,1089
E02006332,Elmbridge 016,955
E02006333,Elmbridge 017,1231
E02006334,Elmbridge 018,1231
E02006335,Epsom and Ewell 001,1153
E02006336,Epsom and Ewell 002,1082
E02006337,Epsom and Ewell 003,1420
E02006338,Epsom and Ewell 004,1088
E02006339,Epsom and Ewell 005,1583
E02006341,Epsom and Ewell 007,1364
E02006342,Epsom and Ewell 008,933
E02006343,Epsom and Ewell 009,1433
E02006344,Guildford 001,1165
E02006345,Guildford 002,704
E02006346,Guildford 003,1435
E02006347,Guildford 004,1169
E02006348,Guildford 005,1126
E02006349,Guildford 006,1131
E02006350,Guildford 007,653
E02006351,Guildford 008,1166
E02006352,Guildford 009,724
E02006353,Guildford 010,886
E02006354,Guildford 011,1358
E02006355,Guildford 012,353
E02006356,Guildford 013,1172
E02006357,Guildford 014,1287
E02006358,Guildford 015,726
E02006359,Guildford 016,831
E02006360,Guildford 017,1161
E02006361,Guildford 018,670
E02006362,Mole Valley 001,975
E02006363,Mole Valley 002,889
E02006364,Mole Valley 003,1027
E02006365,Mole Valley 004,876
E02006366,Mole Valley 005,1254
E02006367,Mole Valley 006,747
E02006368,Mole Valley 007,751
E02006369,Mole Valley 008,810
E02006370,Mole Valley 009,977
E02006371,Mole Valley 010,939
E02006372,Mole Valley 011,851
E02006373,Mole Valley 012,985
E02006374,Mole Valley 013,973
E02006375,Reigate and Banstead 001,1125
E02006376,Reigate and Banstead 002,1121
E02006377,Reigate and Banstead 003,949
E02006378,Reigate and Banstead 004,1474
E02006379,Reigate and Banstead 005,1031
E02006380,Reigate and Banstead 006,1067
E02006381,Reigate and Banstead 007,1167
E02006382,Reigate and Banstead 008,1015
E02006383,Reigate and Banstead 009,1532
E02006384,Reigate and Banstead 010,1295
E02006385,Reigate and Banstead 011,1710
E02006386,Reigate and Banstead 012,1252
E02006387,Reigate and Banstead 013,938
E02006388,Reigate and Banstead 014,1482
E02006389,Reigate and Banstead 015,1045
E02006390,Reigate and Banstead 016,1707
E02006391,Reigate and Banstead 017,1309
E02006392,Reigate and Banstead 018,1153
E02006393,Runnymede 001,688
E02006394,Runnymede 002,834
E02006395,Runnymede 003,1432
E02006396,Runnymede 004,769
E02006397,Runnymede 005,860
E02006398,Runnymede 006,1364
E02006399,Runnymede 007,1965
E02006400,Runnymede 008,757
E02006401,Runnymede 009,1464
E02006402,Runnymede 010,1577
E02006403,Spelthorne 001,775
E02006404,Spelthorne 002,945
E02006405,Spelthorne 003,1691
E02006406,Spelthorne 004,1139
E02006407,Spelthorne 005,1378
E02006408,Spelthorne 006,1379
E02006409,Spelthorne 007,922
E02006410,Spelthorne 008,1071
E02006411,Spelthorne 009,1152
E02006412,Spelthorne 010,1145
E02006413,Spelthorne 011,928
E02006414,Spelthorne 012,964
E02006415,Spelthorne 013,999
E02006416,Surrey Heath 001,1294
E02006417,Surrey Heath 002,963
E02006418,Surrey Heath 003,1051
E02006419,Surrey Heath 004,962
E02006420,Surrey Heath 005,1156
E02006421,Surrey Heath 006,1593
E02006422,Surrey Heath 007,1073
E02006423,Surrey Heath 008,1489
E02006424,Surrey Heath 009,1046
E02006425,Surrey Heath 010,863
E02006426,Surrey Heath 011,868
E02006427,Surrey Heath 012,1138
E02006429,Tandridge 002,1385
E02006430,Tandridge 003,1588
E02006431,Tandridge 004,1734
E02006432,Tandridge 005,899
E02006433,Tandridge 006,1360
E02006434,Tandridge 007,924
E02006435,Tandridge 008,889
E02006436,Tandridge 009,920
E02006437,Tandridge 010,1181
E02006438,Tandridge 011,1208
E02006439,Waverley 001,975
E02006440,Waverley 002,1094
E02006441,Waverley 003,867
E02006442,Waverley 004,911
E02006443,Waverley 005,1009
E02006444,Waverley 006,1041
E02006445,Waverley 007,1223
E02006446,Waverley 008,966
E02006447,Waverley 009,972
E02006448,Waverley 010,1131
E02006449,Waverley 011,942
E02006450,Waverley 012,1002
