Middle layer Super Output Areas Code,Middle layer Super Output Areas,lives_rent_free
E02000094,Brent 002,4
E02000095,Brent 003,3
E02000096,Brent 004,1
E02000097,Brent 005,1
E02000098,Brent 006,2
E02000099,Brent 007,2
E02000100,Brent 008,0
E02000101,Brent 009,6
E02000102,Brent 010,4
E02000103,Brent 011,9
E02000104,Brent 012,2
E02000105,Brent 013,3
E02000106,Brent 014,4
E02000107,Brent 015,9
E02000108,Brent 016,2
E02000110,Brent 018,4
E02000111,Brent 019,2
E02000112,Brent 020,2
E02000113,Brent 021,11
E02000114,Brent 022,6
E02000115,Brent 023,7
E02000116,Brent 024,13
E02000117,Brent 025,7
E02000118,Brent 026,1
E02000119,Brent 027,15
E02000120,Brent 028,5
E02000121,Brent 029,2
E02000122,Brent 030,5
E02000123,Brent 031,13
E02000124,Brent 032,1
E02000125,Brent 033,6
E02000126,Brent 034,7
E02000127,Bromley 001,4
E02000128,Bromley 002,0
E02000130,Bromley 004,2
E02000131,Bromley 005,3
E02000132,Bromley 006,1
E02000133,Bromley 007,0
E02000134,Bromley 008,7
E02000135,Bromley 009,6
E02000136,Bromley 010,1
E02000137,Bromley 011,1
E02000138,Bromley 012,1
E02000139,Bromley 013,1
E02000140,Bromley 014,0
E02000141,Bromley 015,0
E02000142,Bromley 016,0
E02000144,Bromley 018,2
E02000145,Bromley 019,0
E02000146,Bromley 020,0
E02000147,Bromley 021,1
E02000148,Bromley 022,0
E02000149,Bromley 023,2
E02000150,Bromley 024,0
E02000151,Bromley 025,1
E02000152,Bromley 026,0
E02000153,Bromley 027,0
E02000154,Bromley 028,0
E02000155,Bromley 029,1
E02000156,Bromley 030,1
E02000157,Bromley 031,0
E02000158,Bromley 032,4
E02000159,Bromley 033,0
E02000160,Bromley 034,3
E02000161,Bromley 035,0
E02000162,Bromley 036,0
E02000163,Bromley 037,1
E02000165,Bromley 039,2
E02000166,Camden 001,17
E02000167,Camden 002,10
E02000168,Camden 003,8
E02000169,Camden 004,3
E02000170,Camden 005,1
E02000171,Camden 006,3
E02000172,Camden 007,21
E02000173,Camden 008,5
E02000174,Camden 009,7
E02000175,Camden 010,13
E02000176,Camden 011,1
E02000177,Camden 012,11
E02000178,Camden 013,14
E02000179,Camden 014,8
E02000180,Camden 015,9
E02000181,Camden 016,4
E02000182,Camden 017,6
E02000183,Camden 018,8
E02000184,Camden 019,15
E02000185,Camden 020,22
E02000186,Camden 021,6
E02000187,Camden 022,16
E02000188,Camden 023,16
E02000191,Camden 026,6
E02000192,Camden 027,15
E02000193,Camden 028,9
E02000194,Croydon 001,6
E02000195,Croydon 002,1
E02000196,Croydon 003,10
E02000197,Croydon 004,2
E02000198,Croydon 005,11
E02000199,Croydon 006,6
E02000200,Croydon 007,6
E02000201,Croydon 008,10
E02000202,Croydon 009,2
E02000203,Croydon 010,8
E02000204,Croydon 011,7
E02000206,Croydon 013,13
E02000207,Croydon 014,5
E02000208,Croydon 015,26
E02000209,Croydon 016,5
E02000210,Croydon 017,2
E02000211,Croydon 018,1
E02000212,Croydon 019,16
E02000213,Croydon 020,7
E02000214,Croydon 021,0
E02000215,Croydon 022,19
E02000216,Croydon 023,1
E02000217,Croydon 024,12
E02000218,Croydon 025,10
E02000219,Croydon 026,1
E02000221,Croydon 028,11
E02000222,Croydon 029,2
E02000223,Croydon 030,12
E02000224,Croydon 031,8
E02000225,Croydon 032,10
E02000226,Croydon 033,1
E02000227,Croydon 034,9
E02000228,Croydon 035,1
E02000229,Croydon 036,6
E02000230,Croydon 037,6
E02000231,Croydon 038,0
E02000232,Croydon 039,0
E02000233,Croydon 040,4
E02000234,Croydon 041,3
E02000235,Croydon 042,0
E02000236,Croydon 043,1
E02000237,Croydon 044,5
E02000238,Ealing 001,3
E02000239,Ealing 002,0
E02000240,Ealing 003,33
E02000241,Ealing 004,5
E02000242,Ealing 005,1
E02000243,Ealing 006,16
E02000244,Ealing 007,2
E02000245,Ealing 008,8
E02000246,Ealing 009,19
E02000247,Ealing 010,17
E02000248,Ealing 011,2
E02000249,Ealing 012,14
E02000250,Ealing 013,2
E02000251,Ealing 014,2
E02000252,Ealing 015,8
E02000253,Ealing 016,29
E02000254,Ealing 017,2
E02000255,Ealing 018,6
E02000256,Ealing 019,3
E02000258,Ealing 021,4
E02000259,Ealing 022,4
E02000260,Ealing 023,6
E02000261,Ealing 024,18
E02000262,Ealing 025,8
E02000263,Ealing 026,8
E02000264,Ealing 027,2
E02000265,Ealing 028,15
E02000266,Ealing 029,21
E02000267,Ealing 030,3
E02000268,Ealing 031,11
E02000269,Ealing 032,0
E02000270,Ealing 033,10
E02000271,Ealing 034,1
E02000272,Ealing 035,3
E02000275,Ealing 038,12
E02000276,Ealing 039,2
E02000277,Enfield 001,5
E02000278,Enfield 002,12
E02000279,Enfield 003,10
E02000280,Enfield 004,9
E02000281,Enfield 005,12
E02000282,Enfield 006,23
E02000283,Enfield 007,3
E02000284,Enfield 008,5
E02000285,Enfield 009,0
E02000286,Enfield 010,3
E02000287,Enfield 011,5
E02000288,Enfield 012,15
E02000289,Enfield 013,0
E02000290,Enfield 014,19
E02000291,Enfield 015,6
E02000292,Enfield 016,3
E02000293,Enfield 017,0
E02000294,Enfield 018,8
E02000295,Enfield 019,0
E02000296,Enfield 020,3
E02000297,Enfield 021,2
E02000298,Enfield 022,1
E02000299,Enfield 023,7
E02000300,Enfield 024,8
E02000301,Enfield 025,15
E02000302,Enfield 026,2
E02000303,Enfield 027,17
E02000304,Enfield 028,1
E02000305,Enfield 029,0
E02000306,Enfield 030,27
E02000307,Enfield 031,6
E02000308,Enfield 032,5
E02000309,Enfield 033,10
E02000311,Enfield 035,12
E02000312,Enfield 036,6
E02000313,Greenwich 001,8
E02000314,Greenwich 002,16
E02000315,Greenwich 003,9
E02000317,Greenwich 005,14
E02000318,Greenwich 006,20
E02000319,Greenwich 007,13
E02000320,Greenwich 008,8
E02000321,Greenwich 009,10
E02000323,Greenwich 011,7
E02000324,Greenwich 012,12
E02000326,Greenwich 014,1
E02000327,Greenwich 015,8
E02000328,Greenwich 016,4
E02000329,Greenwich 017,6
E02000331,Greenwich 019,5
E02000332,Greenwich 020,9
E02000333,Greenwich 021,4
E02000334,Greenwich 022,2
E02000335,Greenwich 023,2
E02000337,Greenwich 025,5
E02000339,Greenwich 027,5
E02000340,Greenwich 028,4
E02000341,Greenwich 029,16
E02000342,Greenwich 030,4
E02000343,Greenwich 031,5
E02000344,Greenwich 032,5
E02000345,Hackney 001,2
E02000346,Hackney 002,15
E02000347,Hackney 003,4
E02000348,Hackney 004,9
E02000350,Hackney 006,4
E02000351,Hackney 007,21
E02000352,Hackney 008,6
E02000353,Hackney 009,2
E02000354,Hackney 010,9
E02000355,Hackney 011,6
E02000356,Hackney 012,4
E02000357,Hackney 013,8
E02000358,Hackney 014,11
E02000359,Hackney 015,1
E02000360,Hackney 016,12
E02000361,Hackney 017,4
E02000362,Hackney 018,4
E02000363,Hackney 019,15
E02000364,Hackney 020,5
E02000366,Hackney 022,12
E02000367,Hackney 023,10
E02000368,Hackney 024,12
E02000369,Hackney 025,18
E02000370,Hackney 026,11
E02000372,Hammersmith and Fulham 001,7
E02000373,Hammersmith and Fulham 002,17
E02000374,Hammersmith and Fulham 003,2
E02000375,Hammersmith and Fulham 004,16
E02000376,Hammersmith and Fulham 005,6
E02000377,Hammersmith and Fulham 006,7
E02000378,Hammersmith and Fulham 007,11
E02000379,Hammersmith and Fulham 008,0
E02000380,Hammersmith and Fulham 009,3
E02000381,Hammersmith and Fulham 010,4
E02000382,Hammersmith and Fulham 011,2
E02000383,Hammersmith and Fulham 012,10
E02000384,Hammersmith and Fulham 013,14
E02000385,Hammersmith and Fulham 014,3
E02000386,Hammersmith and Fulham 015,10
E02000387,Hammersmith and Fulham 016,5
E02000388,Hammersmith and Fulham 017,4
E02000389,Hammersmith and Fulham 018,1
E02000390,Hammersmith and Fulham 019,6
E02000391,Hammersmith and Fulham 020,5
E02000392,Hammersmith and Fulham 021,7
E02000393,Hammersmith and Fulham 022,6
E02000394,Hammersmith and Fulham 023,5
