Middle layer Super Output Areas Code,Middle layer Super Output Areas,lives_rent_free
E02006615,Mid Sussex 012,0
E02006616,Mid Sussex 013,1
E02006617,Mid Sussex 014,0
E02006618,Mid Sussex 015,0
E02006619,Mid Sussex 016,0
E02006620,Mid Sussex 017,0
E02006621,Worthing 001,0
E02006622,Worthing 002,0
E02006623,Worthing 003,0
E02006624,Worthing 004,0
E02006625,Worthing 005,0
E02006626,Worthing 006,5
E02006627,Worthing 007,1
E02006628,Worthing 008,0
E02006629,Worthing 009,2
E02006630,Worthing 010,4
E02006631,Worthing 011,2
E02006632,Worthing 012,0
E02006633,Worthing 013,1
E02006782,Bromley 040,2
E02006783,Lewisham 037,6
E02006784,Lewisham 038,2
E02006785,Bexley 029,1
E02006786,Greenwich 033,5
E02006787,Bromley 041,0
E02006788,Croydon 045,4
E02006789,Bromley 042,0
E02006790,Tandridge 012,4
E02006791,Ealing 040,6
E02006792,Hounslow 029,5
E02006793,Enfield 037,36
E02006794,Haringey 037,25
E02006795,Harrow 032,1
E02006796,Hillingdon 033,7
E02006798,Lewisham 039,12
E02006799,Barking and Dagenham 023,8
E02006800,Redbridge 034,9
E02006801,Lambeth 036,5
E02006802,Southwark 034,6
E02006821,Portsmouth 026,3
E02006822,Havant 018,2
E02006823,Buckinghamshire 039,0
E02006824,Buckinghamshire 036,0
E02006825,East Cambridgeshire 011,0
E02006826,West Suffolk 015,3
E02006829,East Hampshire 016,1
E02006830,Havant 019,10
E02006831,Havant 020,0
E02006832,Sevenoaks 016,0
E02006833,Tonbridge and Malling 014,1
E02006836,Sutton 025,0
E02006837,Epsom and Ewell 010,0
E02006838,East Hampshire 017,1
E02006839,Waverley 018,4
E02006853,Tower Hamlets 032,3
E02006854,Tower Hamlets 033,2
E02006855,Canterbury 019,11
E02006856,Canterbury 020,4
E02006857,Eastbourne 013,2
E02006858,Eastbourne 014,0
E02006859,Thurrock 019,0
E02006873,South Cambridgeshire 020,2
E02006874,South Cambridgeshire 021,4
E02006877,Peterborough 022,1
E02006878,Peterborough 023,3
E02006879,Folkestone and Hythe 014,6
E02006880,Folkestone and Hythe 015,0
E02006882,Harrow 033,2
E02006886,Vale of White Horse 016,1
E02006907,Norwich 014,4
E02006908,Norwich 015,3
E02006918,Hackney 028,6
E02006921,Hackney 029,5
E02006922,Colchester 022,7
E02006924,Redbridge 035,6
E02006925,Redbridge 036,6
E02006926,Thurrock 020,1
E02006927,Greenwich 034,4
E02006928,Greenwich 035,3
E02006930,Greenwich 037,0
E02006931,Greenwich 038,6
E02006937,Luton 022,8
E02006938,Luton 023,12
E02006939,Reading 019,3
E02006940,Reading 020,6
E02006941,Southwark 035,1
E02006942,Southwark 036,5
E02006953,Barnet 042,9
E02006954,Barnet 043,4
E02006955,Brent 035,3
E02006956,Brent 036,6
E02006968,Ealing 041,0
E02006969,Ealing 042,7
E02006970,Ealing 043,5
E02006971,Ealing 044,2
E02006972,Hounslow 030,6
E02006973,Hounslow 031,21
E02006975,Portsmouth 027,13
E02006976,Portsmouth 028,15
E02006978,Chelmsford 022,2
E02006979,Chelmsford 023,1
E02006980,Rochford 011,0
E02006981,Rochford 012,0
E02006987,Croydon 046,4
E02006988,Croydon 047,8
E02006991,Greenwich 039,2
E02006992,Greenwich 040,3
E02006993,Greenwich 041,2
E02006994,Greenwich 042,13
E02006995,Newham 038,4
E02006996,Newham 039,3
E02006997,Newham 040,8
E02006998,Newham 041,13
E02006999,Newham 042,2
E02007004,Thurrock 021,5
E02007005,Thurrock 022,0
E02007008,Lewisham 040,1
E02007009,Lewisham 041,7
E02007010,Bedford 021,0
E02007011,Bedford 022,4
E02007012,Milton Keynes 033,0
E02007013,Milton Keynes 034,0
E02007014,Milton Keynes 035,0
E02007015,Milton Keynes 036,0
E02007016,Milton Keynes 037,1
E02007017,Redbridge 037,4
E02007018,Redbridge 038,7
E02007019,Redbridge 039,8
E02007020,Redbridge 040,6
E02007021,Oxford 020,4
E02007032,North Norfolk 015,2
E02007033,North Norfolk 016,1
E02007046,Ashford 015,4
E02007047,Ashford 016,0
E02007052,Norwich 016,18
E02007053,Norwich 017,6
E02007054,South Norfolk 016,3
E02007055,South Norfolk 017,0
E02007056,Colchester 023,0
E02007057,Colchester 024,2
E02007068,Slough 015,5
E02007069,Slough 016,5
E02007074,Southampton 033,9
E02007075,Southampton 034,0
E02007076,Test Valley 016,0
E02007077,Test Valley 017,2
E02007078,Test Valley 018,4
E02007083,Wandsworth 038,2
E02007084,Wandsworth 039,11
E02007085,South Cambridgeshire 022,6
E02007086,Cambridge 015,3
E02007087,Cambridge 014,1
E02007088,North Hertfordshire 016,3
E02007089,North Hertfordshire 017,0
E02007090,St Albans 021,2
E02007091,Stevenage 013,1
E02007092,Welwyn Hatfield 017,6
E02007093,East Hertfordshire 019,0
E02007108,Hackney 030,5
E02007109,Hackney 031,17
E02007110,Hackney 032,7
E02007111,Hackney 033,14
E02007112,Tower Hamlets 034,2
E02007113,Tower Hamlets 035,1
E02007114,Tower Hamlets 036,1
E02007115,Camden 029,22
E02007116,Oxford 019,5
