Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_car
E02004680,Basingstoke and Deane 006,1306
E02004681,Basingstoke and Deane 007,2537
E02004682,Basingstoke and Deane 008,1291
E02004683,Basingstoke and Deane 009,1632
E02004684,Basingstoke and Deane 010,1881
E02004685,Basingstoke and Deane 011,1675
E02004686,Basingstoke and Deane 012,1786
E02004687,Basingstoke and Deane 013,1214
E02004688,Basingstoke and Deane 014,1386
E02004689,Basingstoke and Deane 015,772
E02004690,Basingstoke and Deane 016,1412
E02004691,Basingstoke and Deane 017,1110
E02004692,Basingstoke and Deane 018,1012
E02004693,Basingstoke and Deane 019,1295
E02004694,Basingstoke and Deane 020,1190
E02004695,Basingstoke and Deane 021,1108
E02004696,Basingstoke and Deane 022,1190
E02004697,East Hampshire 001,828
E02004698,East Hampshire 002,1256
E02004699,East Hampshire 003,1938
E02004700,East Hampshire 004,953
E02004702,East Hampshire 006,1178
E02004703,East Hampshire 007,1366
E02004704,East Hampshire 008,826
E02004705,East Hampshire 009,1548
E02004706,East Hampshire 010,1135
E02004707,East Hampshire 011,1733
E02004708,East Hampshire 012,1903
E02004709,East Hampshire 013,1165
E02004710,East Hampshire 014,866
E02004712,Eastleigh 001,1116
E02004713,Eastleigh 002,1182
E02004714,Eastleigh 003,1315
E02004715,Eastleigh 004,1676
E02004716,Eastleigh 005,1408
E02004717,Eastleigh 006,2294
E02004718,Eastleigh 007,1768
E02004719,Eastleigh 008,1537
E02004720,Eastleigh 009,2129
E02004721,Eastleigh 010,1616
E02004722,Eastleigh 011,1278
E02004723,Eastleigh 012,1542
E02004724,Eastleigh 013,1558
E02004725,Eastleigh 014,1112
E02004726,Eastleigh 015,1091
E02004727,Fareham 001,1236
E02004728,Fareham 002,1477
E02004729,Fareham 003,1242
E02004730,Fareham 004,1324
E02004731,Fareham 005,1175
E02004732,Fareham 006,1274
E02004733,Fareham 007,1286
E02004734,Fareham 008,1843
E02004735,Fareham 009,1264
E02004736,Fareham 010,1364
E02004737,Fareham 011,1481
E02004738,Fareham 012,1222
E02004739,Fareham 013,1104
E02004740,Fareham 014,1249
E02004741,Gosport 001,1272
E02004742,Gosport 002,1410
E02004743,Gosport 003,1335
E02004744,Gosport 004,1710
E02004745,Gosport 005,1767
E02004746,Gosport 006,2083
E02004747,Gosport 007,1367
E02004748,Gosport 008,2145
E02004749,Gosport 009,1292
E02004750,Gosport 010,1528
E02004751,Hart 001,1176
E02004752,Hart 002,1003
E02004753,Hart 003,1463
E02004754,Hart 004,1130
E02004755,Hart 005,2127
E02004756,Hart 006,1408
E02004757,Hart 007,1062
E02004758,Hart 008,1246
E02004759,Hart 009,1127
E02004760,Hart 010,1262
E02004761,Hart 011,980
E02004764,Havant 003,1360
E02004765,Havant 004,1070
E02004766,Havant 005,1126
E02004767,Havant 006,905
E02004768,Havant 007,937
E02004769,Havant 008,1014
E02004770,Havant 009,1095
E02004771,Havant 010,1480
E02004772,Havant 011,1441
E02004774,Havant 013,1972
E02004775,Havant 014,1846
E02004776,Havant 015,977
E02004777,Havant 016,1146
E02004778,Havant 017,1296
E02004779,New Forest 001,1707
E02004780,New Forest 002,1020
E02004781,New Forest 003,1293
E02004782,New Forest 004,1377
E02004783,New Forest 005,1139
E02004784,New Forest 006,676
E02004785,New Forest 007,780
E02004786,New Forest 008,1384
E02004787,New Forest 009,1381
E02004788,New Forest 010,927
E02004789,New Forest 011,1722
E02004790,New Forest 012,1522
E02004791,New Forest 013,871
E02004792,New Forest 014,1428
E02004793,New Forest 015,1038
E02004794,New Forest 016,877
E02004795,New Forest 017,1696
E02004796,New Forest 018,1608
E02004797,New Forest 019,1575
E02004798,New Forest 020,1119
E02004799,New Forest 021,1776
E02004800,New Forest 022,1592
E02004801,New Forest 023,1636
E02004802,Rushmoor 001,1007
E02004803,Rushmoor 002,1056
E02004804,Rushmoor 003,1038
E02004805,Rushmoor 004,1382
E02004806,Rushmoor 005,1134
E02004807,Rushmoor 006,1624
E02004808,Rushmoor 007,2173
E02004809,Rushmoor 008,1777
E02004810,Rushmoor 009,1367
E02004811,Rushmoor 010,1354
E02004812,Rushmoor 011,995
E02004813,Rushmoor 012,969
E02004814,Test Valley 001,1014
E02004815,Test Valley 002,1263
E02004817,Test Valley 004,1412
E02004818,Test Valley 005,1627
E02004819,Test Valley 006,1352
E02004820,Test Valley 007,918
E02004821,Test Valley 008,692
E02004822,Test Valley 009,1010
E02004823,Test Valley 010,1653
E02004824,Test Valley 011,1454
E02004825,Test Valley 012,1629
E02004826,Test Valley 013,1270
E02004827,Test Valley 014,882
E02004828,Test Valley 015,963
E02004829,Winchester 001,842
E02004830,Winchester 002,1014
E02004831,Winchester 003,1578
E02004832,Winchester 004,1406
E02004833,Winchester 005,1627
E02004834,Winchester 006,1455
E02004835,Winchester 007,2201
E02004836,Winchester 008,848
E02004837,Winchester 009,1341
E02004838,Winchester 010,1358
E02004839,Winchester 011,1053
E02004840,Winchester 012,1637
E02004841,Winchester 013,1861
E02004842,Winchester 014,1618
E02004843,Broxbourne 001,974
E02004844,Broxbourne 002,1138
E02004845,Broxbourne 003,1668
E02004846,Broxbourne 004,893
E02004847,Broxbourne 005,1967
E02004848,Broxbourne 006,1118
E02004849,Broxbourne 007,811
E02004850,Broxbourne 008,1308
E02004851,Broxbourne 009,1027
E02004852,Broxbourne 010,1485
E02004853,Broxbourne 011,1131
E02004854,Broxbourne 012,1449
E02004855,Broxbourne 013,1666
E02004856,Dacorum 001,829
E02004857,Dacorum 002,1014
E02004858,Dacorum 003,828
E02004859,Dacorum 004,903
E02004860,Dacorum 005,1103
E02004861,Dacorum 006,830
E02004862,Dacorum 007,1351
E02004863,Dacorum 008,1320
E02004864,Dacorum 009,1393
E02004865,Dacorum 010,945
E02004866,Dacorum 011,1078
E02004867,Dacorum 012,1055
E02004868,Dacorum 013,1244
E02004869,Dacorum 014,1089
E02004870,Dacorum 015,2244
E02004871,Dacorum 016,799
E02004872,Dacorum 017,1079
E02004873,Dacorum 018,2310
E02004874,Dacorum 019,941
E02004875,Dacorum 020,1555
E02004876,Dacorum 021,1149
E02004877,Dacorum 022,797
E02004878,East Hertfordshire 001,1241
E02004880,East Hertfordshire 003,1522
E02004881,East Hertfordshire 004,1371
E02004882,East Hertfordshire 005,1409
E02004883,East Hertfordshire 006,828
E02004884,East Hertfordshire 007,2068
E02004885,East Hertfordshire 008,1237
E02004886,East Hertfordshire 009,750
E02004887,East Hertfordshire 010,1041
E02004888,East Hertfordshire 011,1515
E02004889,East Hertfordshire 012,2121
E02004890,East Hertfordshire 013,1758
E02004891,East Hertfordshire 014,1571
E02004892,East Hertfordshire 015,1086
E02004893,East Hertfordshire 016,995
E02004894,East Hertfordshire 017,2191
E02004895,East Hertfordshire 018,1456
E02004896,Hertsmere 001,1364
E02004897,Hertsmere 002,1055
E02004898,Hertsmere 003,1346
E02004899,Hertsmere 004,777
E02004900,Hertsmere 005,1168
E02004901,Hertsmere 006,1760
E02004902,Hertsmere 007,1308
E02004903,Hertsmere 008,1272
E02004904,Hertsmere 009,1408
E02004905,Hertsmere 010,911
E02004906,Hertsmere 011,1956
E02004907,Hertsmere 012,1982
E02004908,Hertsmere 013,1737
E02004909,North Hertfordshire 001,1065
E02004910,North Hertfordshire 002,2203
E02004911,North Hertfordshire 003,1263
E02004912,North Hertfordshire 004,2124
E02004914,North Hertfordshire 006,1656
E02004915,North Hertfordshire 007,1187
E02004916,North Hertfordshire 008,1287
E02004917,North Hertfordshire 009,1105
E02004918,North Hertfordshire 010,1879
E02004919,North Hertfordshire 011,1557
E02004920,North Hertfordshire 012,2238
E02004921,North Hertfordshire 013,1573
E02004922,North Hertfordshire 014,1449
E02004923,North Hertfordshire 015,1679
E02004924,St Albans 001,1151
E02004925,St Albans 002,1339
E02004926,St Albans 003,1513
E02004927,St Albans 004,932
E02004928,St Albans 005,1000
E02004929,St Albans 006,909
E02004930,St Albans 007,1242
E02004931,St Albans 008,1133
E02004932,St Albans 009,1341
E02004933,St Albans 010,1067
E02004934,St Albans 011,1791
E02004935,St Albans 012,2454
E02004936,St Albans 013,1215
E02004937,St Albans 014,1429
E02004939,St Albans 016,1228
E02004940,St Albans 017,1461
E02004941,St Albans 018,1663
E02004942,St Albans 019,1007
E02004943,St Albans 020,1203
E02004944,Stevenage 001,1342
E02004945,Stevenage 002,2071
E02004946,Stevenage 003,1132
E02004948,Stevenage 005,1172
E02004949,Stevenage 006,1690
E02004950,Stevenage 007,1108
E02004951,Stevenage 008,1436
E02004952,Stevenage 009,1065
E02004953,Stevenage 010,1020
E02004954,Stevenage 011,1184
E02004955,Stevenage 012,895
E02004956,Three Rivers 001,1528
E02004957,Three Rivers 002,1686
E02004958,Three Rivers 003,1124
E02004959,Three Rivers 004,856
E02004960,Three Rivers 005,833
E02004961,Three Rivers 006,1628
E02004962,Three Rivers 007,1543
E02004963,Three Rivers 008,1070
E02004964,Three Rivers 009,925
E02004965,Three Rivers 010,1181
E02004966,Three Rivers 011,900
E02004967,Three Rivers 012,1397
E02004968,Watford 001,1268
E02004969,Watford 002,1127
E02004970,Watford 003,1378
E02004971,Watford 004,1397
E02004972,Watford 005,1047
E02004973,Watford 006,1673
E02004974,Watford 007,1626
E02004975,Watford 008,1205
E02004976,Watford 009,2226
E02004977,Watford 010,1455
E02004978,Watford 011,1846
E02004979,Watford 012,1382
E02004980,Welwyn Hatfield 001,759
E02004981,Welwyn Hatfield 002,1242
E02004982,Welwyn Hatfield 003,1097
E02004983,Welwyn Hatfield 004,1153
E02004984,Welwyn Hatfield 005,1236
E02004985,Welwyn Hatfield 006,1335
E02004986,Welwyn Hatfield 007,1857
E02004987,Welwyn Hatfield 008,1298
E02004988,Welwyn Hatfield 009,1380
E02004989,Welwyn Hatfield 010,1584
E02004990,Welwyn Hatfield 011,1251
E02004991,Welwyn Hatfield 012,1330
E02004992,Welwyn Hatfield 013,1194
E02004994,Welwyn Hatfield 015,760
E02004995,Welwyn Hatfield 016,739
E02004996,Ashford 001,1368
E02004997,Ashford 002,1150
E02004998,Ashford 003,1026
E02005000,Ashford 005,2230
E02005001,Ashford 006,1531
E02005002,Ashford 007,1817
E02005003,Ashford 008,1339
E02005004,Ashford 009,1760
E02005005,Ashford 010,1437
E02005006,Ashford 011,873
E02005007,Ashford 012,1457
E02005008,Ashford 013,1728
E02005009,Ashford 014,901
E02005010,Canterbury 001,1572
E02005011,Canterbury 002,1374
E02005012,Canterbury 003,1638
E02005013,Canterbury 004,1614
E02005014,Canterbury 005,1583
E02005015,Canterbury 006,1516
E02005016,Canterbury 007,1520
E02005017,Canterbury 008,1573
E02005018,Canterbury 009,1605
E02005019,Canterbury 010,962
E02005020,Canterbury 011,1358
E02005021,Canterbury 012,1136
E02005022,Canterbury 013,1229
E02005023,Canterbury 014,1444
E02005025,Canterbury 016,1683
E02005026,Canterbury 017,1210
E02005027,Canterbury 018,887
E02005028,Dartford 001,2670
E02005029,Dartford 002,3021
E02005030,Dartford 003,2402
E02005031,Dartford 004,1603
E02005032,Dartford 005,1962
E02005033,Dartford 006,1505
E02005034,Dartford 007,1124
E02005035,Dartford 008,1342
E02005036,Dartford 009,1112
E02005037,Dartford 010,1079
E02005038,Dartford 011,812
E02005039,Dartford 012,1008
E02005040,Dartford 013,938
E02005041,Dover 001,1094
E02005042,Dover 002,1718
E02005043,Dover 003,1474
E02005044,Dover 004,1649
E02005045,Dover 005,1639
E02005046,Dover 006,1431
E02005047,Dover 007,1513
E02005048,Dover 008,973
E02005049,Dover 009,1335
E02005050,Dover 010,1614
E02005051,Dover 011,2436
E02005052,Dover 012,1674
E02005053,Dover 013,1666
E02005054,Dover 014,1291
E02005055,Gravesham 001,1421
E02005056,Gravesham 002,1984
E02005057,Gravesham 003,1976
E02005058,Gravesham 004,1341
E02005059,Gravesham 005,1645
E02005060,Gravesham 006,1448
E02005061,Gravesham 007,1103
E02005062,Gravesham 008,953
E02005063,Gravesham 009,1046
E02005064,Gravesham 010,930
E02005065,Gravesham 011,1351
E02005066,Gravesham 012,1165
E02005067,Gravesham 013,731
E02005068,Maidstone 001,895
E02005069,Maidstone 002,1462
E02005070,Maidstone 003,1656
E02005071,Maidstone 004,2500
E02005072,Maidstone 005,1193
E02005073,Maidstone 006,2575
E02005074,Maidstone 007,1311
E02005075,Maidstone 008,1795
E02005076,Maidstone 009,1690
E02005077,Maidstone 010,1242
E02005078,Maidstone 011,1438
E02005079,Maidstone 012,1287
E02005080,Maidstone 013,1876
E02005081,Maidstone 014,1105
E02005082,Maidstone 015,1539
E02005083,Maidstone 016,1180
E02005084,Maidstone 017,1130
E02005085,Maidstone 018,1123
E02005086,Maidstone 019,1006
E02005087,Sevenoaks 001,1089
E02005088,Sevenoaks 002,1725
E02005089,Sevenoaks 003,1259
E02005090,Sevenoaks 004,858
E02005091,Sevenoaks 005,1198
E02005093,Sevenoaks 007,927
E02005094,Sevenoaks 008,1823
E02005095,Sevenoaks 009,1057
E02005096,Sevenoaks 010,1917
E02005097,Sevenoaks 011,1367
E02005098,Sevenoaks 012,1671
E02005099,Sevenoaks 013,1223
E02005100,Sevenoaks 014,1723
E02005101,Sevenoaks 015,894
E02005102,Folkestone and Hythe 001,966
E02005103,Folkestone and Hythe 002,1514
E02005104,Folkestone and Hythe 003,1403
E02005105,Folkestone and Hythe 004,1492
E02005106,Folkestone and Hythe 005,1908
E02005107,Folkestone and Hythe 006,2452
E02005109,Folkestone and Hythe 008,1230
E02005110,Folkestone and Hythe 009,1148
E02005111,Folkestone and Hythe 010,1701
E02005112,Folkestone and Hythe 011,1278
E02005113,Folkestone and Hythe 012,1311
E02005114,Folkestone and Hythe 013,1206
E02005115,Swale 001,1145
E02005116,Swale 002,983
E02005117,Swale 003,1045
E02005118,Swale 004,1718
E02005119,Swale 005,1113
E02005120,Swale 006,1278
E02005121,Swale 007,1956
E02005122,Swale 008,1069
E02005123,Swale 009,1901
E02005124,Swale 010,1637
E02005125,Swale 011,1414
E02005126,Swale 012,1387
E02005127,Swale 013,1294
E02005128,Swale 014,1711
E02005129,Swale 015,2361
E02005130,Swale 016,1405
E02005131,Swale 017,869
E02005132,Thanet 001,1900
E02005133,Thanet 002,1619
E02005134,Thanet 003,1485
E02005135,Thanet 004,1461
E02005136,Thanet 005,1287
E02005137,Thanet 006,1245
E02005138,Thanet 007,2007
E02005139,Thanet 008,1989
E02005140,Thanet 009,1601
E02005141,Thanet 010,1400
E02005142,Thanet 011,1417
E02005143,Thanet 012,1585
E02005144,Thanet 013,1529
E02005145,Thanet 014,1417
E02005146,Thanet 015,1513
E02005147,Thanet 016,1893
E02005148,Thanet 017,1465
E02005149,Tonbridge and Malling 001,1834
E02005150,Tonbridge and Malling 002,2111
E02005151,Tonbridge and Malling 003,1869
E02005153,Tonbridge and Malling 005,1442
E02005154,Tonbridge and Malling 006,1631
E02005155,Tonbridge and Malling 007,1710
E02005156,Tonbridge and Malling 008,1089
E02005157,Tonbridge and Malling 009,1143
E02005158,Tonbridge and Malling 010,953
E02005159,Tonbridge and Malling 011,1234
E02005160,Tonbridge and Malling 012,2700
E02005161,Tonbridge and Malling 013,1700
E02005162,Tunbridge Wells 001,1742
E02005163,Tunbridge Wells 002,1321
E02005164,Tunbridge Wells 003,1738
E02005165,Tunbridge Wells 004,1079
E02005166,Tunbridge Wells 005,1221
E02005167,Tunbridge Wells 006,1022
E02005168,Tunbridge Wells 007,1594
E02005169,Tunbridge Wells 008,2375
E02005170,Tunbridge Wells 009,2086
E02005171,Tunbridge Wells 010,1231
E02005172,Tunbridge Wells 011,1014
E02005173,Tunbridge Wells 012,1786
E02005174,Tunbridge Wells 013,1156
E02005175,Tunbridge Wells 014,1213
E02005503,Breckland 001,1167
E02005504,Breckland 002,1449
E02005505,Breckland 003,1347
E02005506,Breckland 004,1224
E02005507,Breckland 005,2454
E02005508,Breckland 006,1052
E02005509,Breckland 007,1819
E02005510,Breckland 008,1302
E02005511,Breckland 009,1832
E02005512,Breckland 010,1229
E02005513,Breckland 011,1950
E02005514,Breckland 012,1124
E02005515,Breckland 013,951
E02005516,Breckland 014,1051
E02005517,Breckland 015,1043
E02005518,Breckland 016,1979
E02005519,Breckland 017,1407
E02005520,Broadland 001,1767
E02005521,Broadland 002,1449
E02005522,Broadland 003,891
E02005523,Broadland 004,1287
E02005524,Broadland 005,990
E02005525,Broadland 006,1646
E02005526,Broadland 007,986
E02005527,Broadland 008,1355
E02005528,Broadland 009,1730
E02005529,Broadland 010,1177
E02005530,Broadland 011,1040
E02005531,Broadland 012,1048
E02005532,Broadland 013,2068
E02005533,Broadland 014,1478
E02005534,Broadland 015,1522
E02005535,Broadland 016,1340
E02005536,Broadland 017,1145
E02005537,Broadland 018,1052
E02005538,Great Yarmouth 001,1852
E02005539,Great Yarmouth 002,1270
E02005540,Great Yarmouth 003,1901
E02005541,Great Yarmouth 004,1058
E02005542,Great Yarmouth 005,1371
E02005543,Great Yarmouth 006,1422
E02005544,Great Yarmouth 007,1388
E02005545,Great Yarmouth 008,1232
E02005546,Great Yarmouth 009,1644
E02005547,Great Yarmouth 010,1743
E02005548,Great Yarmouth 011,1345
E02005549,Great Yarmouth 012,1057
E02005550,Great Yarmouth 013,1466
E02005551,King's Lynn and West Norfolk 001,1350
E02005552,King's Lynn and West Norfolk 002,1308
E02005553,King's Lynn and West Norfolk 003,1916
E02005554,King's Lynn and West Norfolk 004,1500
E02005555,King's Lynn and West Norfolk 005,1123
E02005556,King's Lynn and West Norfolk 006,1479
E02005557,King's Lynn and West Norfolk 007,1232
E02005558,King's Lynn and West Norfolk 008,1061
E02005559,King's Lynn and West Norfolk 009,1352
E02005560,King's Lynn and West Norfolk 010,1663
E02005561,King's Lynn and West Norfolk 011,2246
E02005562,King's Lynn and West Norfolk 012,1270
E02005563,King's Lynn and West Norfolk 013,1076
E02005564,King's Lynn and West Norfolk 014,1471
E02005565,King's Lynn and West Norfolk 015,1184
E02005566,King's Lynn and West Norfolk 016,1522
E02005567,King's Lynn and West Norfolk 017,2473
E02005568,King's Lynn and West Norfolk 018,1250
E02005569,King's Lynn and West Norfolk 019,1259
E02005570,North Norfolk 001,1664
E02005571,North Norfolk 002,1235
E02005572,North Norfolk 003,1850
E02005573,North Norfolk 004,1444
E02005574,North Norfolk 005,1369
E02005575,North Norfolk 006,1273
E02005576,North Norfolk 007,1439
E02005577,North Norfolk 008,1110
E02005578,North Norfolk 009,1115
E02005580,North Norfolk 011,1706
E02005581,North Norfolk 012,1175
E02005582,North Norfolk 013,1391
E02005583,North Norfolk 014,1614
E02005584,Norwich 001,2331
E02005585,Norwich 002,2245
E02005586,Norwich 003,2621
E02005587,Norwich 004,2026
E02005588,Norwich 005,2312
E02005589,Norwich 006,2206
E02005592,Norwich 009,2208
E02005593,Norwich 010,1232
E02005594,Norwich 011,2609
E02005595,Norwich 012,2008
E02005596,Norwich 013,2091
E02005598,South Norfolk 002,1650
E02005599,South Norfolk 003,1337
E02005600,South Norfolk 004,916
E02005601,South Norfolk 005,1286
E02005602,South Norfolk 006,2246
E02005603,South Norfolk 007,2143
E02005604,South Norfolk 008,1446
E02005605,South Norfolk 009,1730
E02005606,South Norfolk 010,871
E02005607,South Norfolk 011,1665
E02005608,South Norfolk 012,1209
E02005609,South Norfolk 013,1493
E02005610,South Norfolk 014,1262
E02005611,South Norfolk 015,2316
E02005921,Cherwell 001,992
E02005922,Cherwell 002,1564
E02005923,Cherwell 003,1082
E02005924,Cherwell 004,2553
E02005925,Cherwell 005,1338
E02005926,Cherwell 006,1636
E02005927,Cherwell 007,1063
E02005928,Cherwell 008,1610
E02005929,Cherwell 009,1123
E02005930,Cherwell 010,1294
E02005931,Cherwell 011,1542
E02005932,Cherwell 012,1129
E02005933,Cherwell 013,1335
E02005934,Cherwell 014,1428
E02005935,Cherwell 015,1622
E02005936,Cherwell 016,1773
E02005937,Cherwell 017,1336
E02005938,Cherwell 018,976
E02005939,Cherwell 019,1275
E02005940,Oxford 001,1268
E02005941,Oxford 002,1347
E02005942,Oxford 003,1197
E02005943,Oxford 004,1320
E02005944,Oxford 005,1477
E02005945,Oxford 006,1789
E02005946,Oxford 007,1682
E02005947,Oxford 008,871
E02005948,Oxford 009,1173
E02005949,Oxford 010,1001
E02005950,Oxford 011,1414
E02005951,Oxford 012,1160
E02005953,Oxford 014,1018
E02005954,Oxford 015,1847
E02005955,Oxford 016,1923
E02005956,Oxford 017,999
E02005957,Oxford 018,1165
E02005958,South Oxfordshire 001,991
E02005959,South Oxfordshire 002,889
E02005960,South Oxfordshire 003,1307
E02005961,South Oxfordshire 004,1115
E02005962,South Oxfordshire 005,1284
E02005963,South Oxfordshire 006,1264
E02005964,South Oxfordshire 007,985
E02005965,South Oxfordshire 008,781
E02005966,South Oxfordshire 009,1404
E02005967,South Oxfordshire 010,1604
E02005968,South Oxfordshire 011,1050
E02005969,South Oxfordshire 012,1738
E02005970,South Oxfordshire 013,1140
E02005971,South Oxfordshire 014,1024
E02005972,South Oxfordshire 015,1889
E02005973,South Oxfordshire 016,1345
E02005974,South Oxfordshire 017,1262
E02005975,South Oxfordshire 018,1088
E02005976,South Oxfordshire 019,675
E02005977,South Oxfordshire 020,860
E02005978,Vale of White Horse 001,1232
E02005979,Vale of White Horse 002,1822
E02005980,Vale of White Horse 003,1592
E02005981,Vale of White Horse 004,1436
E02005982,Vale of White Horse 005,1047
E02005983,Vale of White Horse 006,2370
E02005984,Vale of White Horse 007,1165
E02005985,Vale of White Horse 008,1487
E02005986,Vale of White Horse 009,1766
E02005987,Vale of White Horse 010,1543
E02005988,Vale of White Horse 011,1475
E02005991,Vale of White Horse 014,1826
E02005992,Vale of White Horse 015,2125
E02005993,West Oxfordshire 001,1447
E02005994,West Oxfordshire 002,892
E02005995,West Oxfordshire 003,1007
E02005996,West Oxfordshire 004,1616
E02005997,West Oxfordshire 005,1051
E02005998,West Oxfordshire 006,1137
E02005999,West Oxfordshire 007,937
E02006000,West Oxfordshire 008,2102
E02006001,West Oxfordshire 009,1238
E02006002,West Oxfordshire 010,2116
E02006003,West Oxfordshire 011,1078
E02006004,West Oxfordshire 012,969
E02006005,West Oxfordshire 013,1518
E02006006,West Oxfordshire 014,955
E02006007,West Oxfordshire 015,1036
E02006227,Babergh 001,1172
E02006228,Babergh 002,991
E02006229,Babergh 003,1115
E02006230,Babergh 004,1835
E02006231,Babergh 005,1476
E02006232,Babergh 006,884
E02006233,Babergh 007,2437
E02006234,Babergh 008,1668
E02006235,Babergh 009,1177
E02006236,Babergh 010,1576
E02006237,Babergh 011,1186
E02006238,West Suffolk 002,2080
E02006239,West Suffolk 001,1337
E02006240,West Suffolk 003,1584
E02006241,West Suffolk 004,1855
E02006242,West Suffolk 007,1723
E02006243,West Suffolk 008,1974
E02006245,Ipswich 001,1407
E02006246,Ipswich 002,1237
E02006247,Ipswich 003,1730
E02006248,Ipswich 004,1445
E02006249,Ipswich 005,1589
E02006250,Ipswich 006,2033
E02006251,Ipswich 007,2329
E02006252,Ipswich 008,2002
E02006253,Ipswich 009,1211
E02006254,Ipswich 010,1754
E02006255,Ipswich 011,1747
E02006256,Ipswich 012,1899
E02006257,Ipswich 013,1252
E02006258,Ipswich 014,1631
E02006259,Ipswich 015,1327
E02006260,Ipswich 016,1530
E02006261,Mid Suffolk 001,1272
E02006262,Mid Suffolk 002,1313
E02006263,Mid Suffolk 003,1107
E02006264,Mid Suffolk 004,1322
E02006265,Mid Suffolk 005,1170
E02006266,Mid Suffolk 006,1405
E02006267,Mid Suffolk 007,1062
E02006268,Mid Suffolk 008,1134
E02006269,Mid Suffolk 009,1182
E02006270,Mid Suffolk 010,2384
E02006271,Mid Suffolk 011,1655
E02006272,Mid Suffolk 012,1215
E02006273,West Suffolk 005,1202
E02006274,West Suffolk 006,1016
E02006275,West Suffolk 009,1260
E02006276,West Suffolk 016,1200
E02006277,West Suffolk 012,1427
E02006278,West Suffolk 011,2265
E02006279,West Suffolk 014,1812
E02006280,West Suffolk 010,1375
E02006281,West Suffolk 013,1889
E02006282,West Suffolk 017,1126
E02006283,West Suffolk 018,979
E02006284,West Suffolk 019,1403
E02006285,West Suffolk 021,1166
E02006286,West Suffolk 020,1942
E02006287,East Suffolk 016,1117
E02006288,East Suffolk 017,1650
E02006289,East Suffolk 018,1880
E02006290,East Suffolk 019,1817
E02006291,East Suffolk 020,1511
E02006292,East Suffolk 021,880
E02006293,East Suffolk 023,1618
E02006294,East Suffolk 022,1817
E02006295,East Suffolk 024,1605
E02006296,East Suffolk 025,2212
E02006297,East Suffolk 026,1239
E02006298,East Suffolk 027,1645
E02006299,East Suffolk 028,1746
E02006300,East Suffolk 029,1732
E02006301,East Suffolk 030,1427
E02006302,East Suffolk 001,1216
E02006303,East Suffolk 002,1376
E02006304,East Suffolk 003,1651
E02006305,East Suffolk 004,1909
E02006306,East Suffolk 005,1521
E02006307,East Suffolk 007,1372
E02006308,East Suffolk 006,1537
E02006309,East Suffolk 009,1379
E02006310,East Suffolk 008,1475
E02006311,East Suffolk 010,1915
E02006312,East Suffolk 011,1526
E02006313,East Suffolk 012,2180
E02006314,East Suffolk 013,1389
E02006315,East Suffolk 014,1257
E02006316,East Suffolk 015,1600
E02006317,Elmbridge 001,1148
E02006318,Elmbridge 002,1441
E02006319,Elmbridge 003,1328
E02006320,Elmbridge 004,1492
E02006321,Elmbridge 005,1270
E02006322,Elmbridge 006,1233
E02006323,Elmbridge 007,1635
E02006324,Elmbridge 008,1275
E02006325,Elmbridge 009,1360
E02006326,Elmbridge 010,1482
E02006327,Elmbridge 011,1272
E02006328,Elmbridge 012,2039
E02006329,Elmbridge 013,1092
E02006330,Elmbridge 014,1809
E02006331,Elmbridge 015,1153
E02006332,Elmbridge 016,1097
E02006333,Elmbridge 017,1495
E02006334,Elmbridge 018,1066
E02006335,Epsom and Ewell 001,1390
E02006336,Epsom and Ewell 002,1193
E02006337,Epsom and Ewell 003,1432
E02006338,Epsom and Ewell 004,1195
E02006339,Epsom and Ewell 005,1890
E02006341,Epsom and Ewell 007,2032
E02006342,Epsom and Ewell 008,1797
E02006343,Epsom and Ewell 009,1366
E02006344,Guildford 001,1129
E02006345,Guildford 002,915
E02006346,Guildford 003,1152
E02006347,Guildford 004,1278
E02006348,Guildford 005,1290
E02006349,Guildford 006,1305
E02006350,Guildford 007,1001
E02006351,Guildford 008,1345
E02006352,Guildford 009,883
E02006353,Guildford 010,1043
E02006354,Guildford 011,1558
E02006355,Guildford 012,906
E02006356,Guildford 013,2568
E02006357,Guildford 014,1060
E02006358,Guildford 015,1141
E02006359,Guildford 016,1126
E02006360,Guildford 017,1199
E02006361,Guildford 018,752
E02006362,Mole Valley 001,1120
E02006363,Mole Valley 002,949
E02006364,Mole Valley 003,1650
E02006365,Mole Valley 004,1120
E02006366,Mole Valley 005,975
E02006367,Mole Valley 006,1010
E02006368,Mole Valley 007,834
E02006369,Mole Valley 008,1064
E02006370,Mole Valley 009,1308
E02006371,Mole Valley 010,1441
E02006372,Mole Valley 011,1060
E02006373,Mole Valley 012,1033
E02006374,Mole Valley 013,977
E02006375,Reigate and Banstead 001,848
E02006376,Reigate and Banstead 002,1380
E02006377,Reigate and Banstead 003,810
E02006378,Reigate and Banstead 004,1150
E02006379,Reigate and Banstead 005,1206
E02006380,Reigate and Banstead 006,1026
E02006381,Reigate and Banstead 007,936
E02006382,Reigate and Banstead 008,1128
E02006383,Reigate and Banstead 009,1797
E02006384,Reigate and Banstead 010,1982
E02006385,Reigate and Banstead 011,2371
E02006386,Reigate and Banstead 012,1539
E02006387,Reigate and Banstead 013,1074
E02006388,Reigate and Banstead 014,1726
E02006389,Reigate and Banstead 015,1029
E02006390,Reigate and Banstead 016,1614
