Middle layer Super Output Areas Code,Middle layer Super Output Areas,Does not apply,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,outside the UK,Works mainly from home,Total,% work from home
E02003435,Windsor and Maidenhead 015,3435,330,199,352,249,131,100,32,24,322,1969,7143,27.56544869
E02003436,Windsor and Maidenhead 016,4541,167,374,587,472,169,85,31,45,589,1973,9033,21.8421344
E02003437,Windsor and Maidenhead 017,3825,201,243,242,404,111,75,46,22,375,1883,7427,25.35344015
E02003438,Windsor and Maidenhead 018,6262,333,174,360,487,139,113,49,40,477,2797,11231,24.90428279
E02003439,Wokingham 001,2975,123,91,220,245,43,35,50,17,269,1459,5527,26.3976841
E02003440,Wokingham 002,4646,181,227,578,335,110,53,116,22,409,2596,9273,27.99525504
E02003441,Wokingham 003,3983,226,405,351,255,122,44,52,27,473,1736,7674,22.62183998
E02003442,Wokingham 004,3908,220,352,599,330,150,64,73,19,450,2325,8490,27.38515901
E02003443,Wokingham 005,3903,286,437,317,157,106,41,38,24,467,1207,6983,17.2848346
E02003444,Wokingham 006,4737,419,648,317,232,136,57,72,40,522,2193,9373,23.39699136
E02003445,Wokingham 007,4394,355,565,409,248,168,65,48,31,580,1911,8774,21.78025986
E02003446,Wokingham 008,5538,284,587,273,219,109,50,72,63,375,2235,9805,22.79449261
E02003447,Wokingham 009,5156,290,558,602,320,217,76,95,49,577,2778,10718,25.91901474
E02003448,Wokingham 010,3969,212,282,498,241,139,43,66,18,432,2218,8118,27.32200049
E02003449,Wokingham 011,3270,239,581,336,274,142,58,50,27,493,2018,7488,26.94978632
E02003450,Wokingham 012,6163,396,867,656,439,262,122,106,57,780,3344,13192,25.34869618
E02003451,Wokingham 013,4863,549,260,444,436,165,37,59,32,561,2312,9718,23.79090348
E02003452,Wokingham 014,4464,310,369,331,452,174,62,66,25,464,2775,9492,29.23514539
E02003453,Wokingham 015,3444,189,226,368,183,105,39,50,17,300,2059,6980,29.49856734
E02003454,Wokingham 016,4384,432,170,428,243,122,38,59,28,446,2401,8751,27.43686436
E02003455,Wokingham 017,4870,155,317,807,411,209,117,127,68,656,2907,10644,27.31116122
E02003456,Wokingham 018,3979,114,300,645,412,155,70,61,43,544,1947,8270,23.54292624
E02003457,Wokingham 019,4995,147,386,415,376,126,38,69,35,393,2822,9802,28.79004285
E02003458,Wokingham 020,4392,256,298,342,344,154,43,46,29,411,2109,8424,25.03561254
E02003459,Milton Keynes 001,4652,338,100,164,951,99,73,59,94,462,2012,9004,22.34562417
E02003460,Milton Keynes 002,5776,170,366,794,623,187,51,80,142,733,2754,11676,23.58684481
E02003461,Milton Keynes 003,4007,258,250,733,171,104,43,48,74,461,1330,7479,17.78312609
E02003462,Milton Keynes 004,3809,386,255,878,237,111,52,34,74,530,1742,8108,21.48495313
E02003463,Milton Keynes 005,3576,259,508,573,116,84,25,43,53,408,1167,6812,17.13153259
E02003464,Milton Keynes 006,3842,239,663,618,145,94,29,51,85,484,818,7068,11.57328806
E02003465,Milton Keynes 007,3068,183,511,385,118,126,30,38,67,335,1212,6073,19.95718755
E02003466,Milton Keynes 008,3684,399,521,675,168,125,33,61,106,531,1486,7789,19.07818719
E02003467,Milton Keynes 009,3530,269,628,612,138,104,30,35,62,397,781,6586,11.8584877
E02003468,Milton Keynes 010,4392,317,365,679,353,139,40,47,93,506,1689,8620,19.59396752
E02003469,Milton Keynes 011,2880,216,511,386,62,92,32,37,71,338,1102,5727,19.24218614
E02003470,Milton Keynes 012,3757,309,399,521,154,70,18,30,54,446,440,6198,7.099064214
E02003471,Milton Keynes 013,3419,395,556,557,110,99,37,33,63,417,942,6628,14.21243211
E02003472,Milton Keynes 014,4543,649,1037,873,197,175,53,42,140,698,1798,10205,17.61881431
E02003473,Milton Keynes 015,2725,219,472,407,81,71,14,36,75,310,1198,5608,21.36233951
E02003474,Milton Keynes 016,4374,454,1140,442,149,136,48,51,124,473,1625,9016,18.02351375
E02003476,Milton Keynes 018,4904,687,1129,492,132,111,25,39,97,560,612,8788,6.964041875
E02003478,Milton Keynes 020,3322,306,560,406,93,90,22,41,118,336,1547,6841,22.61365297
E02003479,Milton Keynes 021,4000,634,812,511,103,127,37,37,95,453,872,7681,11.35268845
E02003480,Milton Keynes 022,3633,412,833,664,207,130,44,76,86,452,1615,8152,19.8110893
E02003481,Milton Keynes 023,4768,547,862,454,105,128,40,36,82,518,835,8375,9.970149254
E02003482,Milton Keynes 024,4094,269,421,645,338,153,54,76,122,455,2115,8742,24.19354839
E02003483,Milton Keynes 025,5072,397,866,804,189,202,55,71,155,562,2842,11215,25.34106108
E02003484,Milton Keynes 026,3513,257,844,453,97,119,36,42,86,400,1306,7153,18.25807354
E02003485,Milton Keynes 027,4396,505,876,530,89,155,39,53,80,527,1015,8265,12.28070175
E02003486,Milton Keynes 028,4688,287,867,767,177,195,46,65,121,539,2437,10189,23.91795073
E02003487,Milton Keynes 029,4019,225,803,532,125,116,31,37,72,470,958,7388,12.96697347
E02003488,Milton Keynes 030,4478,665,509,747,168,116,45,52,99,563,1028,8470,12.13695396
E02003489,Milton Keynes 031,3901,278,553,663,158,111,49,57,100,513,1256,7639,16.44194266
E02003490,Milton Keynes 032,6164,342,695,1197,381,157,97,95,125,687,1262,11202,11.26584538
E02003491,Brighton and Hove 001,3996,288,690,279,185,68,59,25,37,739,1423,7789,18.26935422
