Middle layer Super Output Areas Code,Middle layer Super Output Areas,Distance travelled to work (11 categories),Observation
E02000315,Greenwich 003,Works mainly from home,829
E02000317,Greenwich 005,Works mainly from home,879
E02000318,Greenwich 006,Works mainly from home,997
E02000319,Greenwich 007,Works mainly from home,1515
E02000320,Greenwich 008,Works mainly from home,940
E02000321,Greenwich 009,Works mainly from home,829
E02000323,Greenwich 011,Works mainly from home,1828
E02000324,Greenwich 012,Works mainly from home,1154
E02000326,Greenwich 014,Works mainly from home,2065
E02000327,Greenwich 015,Works mainly from home,944
E02000328,Greenwich 016,Works mainly from home,2043
E02000329,Greenwich 017,Works mainly from home,941
E02000331,Greenwich 019,Works mainly from home,1349
E02000332,Greenwich 020,Works mainly from home,1479
E02000333,Greenwich 021,Works mainly from home,1951
E02000334,Greenwich 022,Works mainly from home,1223
E02000335,Greenwich 023,Works mainly from home,1465
E02000337,Greenwich 025,Works mainly from home,1190
E02000339,Greenwich 027,Works mainly from home,1397
E02000340,Greenwich 028,Works mainly from home,1435
E02000341,Greenwich 029,Works mainly from home,939
E02000342,Greenwich 030,Works mainly from home,1051
E02000343,Greenwich 031,Works mainly from home,1126
E02000344,Greenwich 032,Works mainly from home,1245
E02000345,Hackney 001,Works mainly from home,943
E02000346,Hackney 002,Works mainly from home,2202
E02000347,Hackney 003,Works mainly from home,1098
E02000348,Hackney 004,Works mainly from home,814
E02000350,Hackney 006,Works mainly from home,2761
E02000351,Hackney 007,Works mainly from home,3291
E02000352,Hackney 008,Works mainly from home,1789
E02000353,Hackney 009,Works mainly from home,2760
E02000354,Hackney 010,Works mainly from home,2296
E02000355,Hackney 011,Works mainly from home,2286
E02000356,Hackney 012,Works mainly from home,2721
E02000357,Hackney 013,Works mainly from home,909
E02000358,Hackney 014,Works mainly from home,3446
E02000359,Hackney 015,Works mainly from home,1685
E02000360,Hackney 016,Works mainly from home,2309
E02000361,Hackney 017,Works mainly from home,2456
E02000362,Hackney 018,Works mainly from home,1652
E02000363,Hackney 019,Works mainly from home,1774
E02000364,Hackney 020,Works mainly from home,2914
E02000366,Hackney 022,Works mainly from home,1957
E02000367,Hackney 023,Works mainly from home,3593
E02000368,Hackney 024,Works mainly from home,2229
E02000369,Hackney 025,Works mainly from home,4208
E02000370,Hackney 026,Works mainly from home,2508
E02000372,Hammersmith and Fulham 001,Works mainly from home,1470
E02000373,Hammersmith and Fulham 002,Works mainly from home,809
E02000374,Hammersmith and Fulham 003,Works mainly from home,1440
E02000375,Hammersmith and Fulham 004,Works mainly from home,1849
