Middle layer Super Output Areas Code,Middle layer Super Output Areas,Warehouse
E02000462,Harrow 030,4
E02000463,Harrow 031,5
E02000464,Havering 001,5
E02000465,Havering 002,4
E02000466,Havering 003,5
E02000467,Havering 004,0
E02000468,Havering 005,0
E02000469,Havering 006,6
E02000470,Havering 007,29
E02000471,Havering 008,1
E02000472,Havering 009,8
E02000473,Havering 010,1
E02000474,Havering 011,7
E02000475,Havering 012,70
E02000476,Havering 013,85
E02000477,Havering 014,21
E02000478,Havering 015,0
E02000479,Havering 016,21
E02000480,Havering 017,5
E02000481,Havering 018,3
E02000482,Havering 019,8
E02000483,Havering 020,13
E02000484,Havering 021,12
E02000485,Havering 022,17
E02000486,Havering 023,7
E02000487,Havering 024,0
E02000488,Havering 025,0
E02000489,Havering 026,20
E02000490,Havering 027,4
E02000491,Havering 028,2
E02000492,Havering 029,6
E02000493,Havering 030,9
E02000494,Hillingdon 001,6
E02000495,Hillingdon 002,15
E02000496,Hillingdon 003,44
E02000497,Hillingdon 004,6
E02000498,Hillingdon 005,1
E02000499,Hillingdon 006,4
E02000500,Hillingdon 007,24
E02000501,Hillingdon 008,13
E02000502,Hillingdon 009,5
E02000503,Hillingdon 010,6
E02000504,Hillingdon 011,13
E02000506,Hillingdon 013,7
E02000507,Hillingdon 014,2
E02000508,Hillingdon 015,29
E02000509,Hillingdon 016,46
E02000510,Hillingdon 017,5
E02000511,Hillingdon 018,8
E02000512,Hillingdon 019,7
E02000513,Hillingdon 020,4
E02000514,Hillingdon 021,49
E02000515,Hillingdon 022,26
E02000516,Hillingdon 023,8
E02000517,Hillingdon 024,10
E02000518,Hillingdon 025,12
E02000519,Hillingdon 026,4
E02000520,Hillingdon 027,26
E02000521,Hillingdon 028,4
E02000522,Hillingdon 029,17
E02000523,Hillingdon 030,16
E02000524,Hillingdon 031,44
E02000525,Hillingdon 032,20
E02000526,Hounslow 001,55
E02000529,Hounslow 004,5
E02000530,Hounslow 005,0
E02000531,Hounslow 006,71
E02000532,Hounslow 007,42
E02000533,Hounslow 008,29
E02000534,Hounslow 009,102
E02000535,Hounslow 010,4
E02000536,Hounslow 011,10
E02000537,Hounslow 012,15
E02000538,Hounslow 013,5
E02000539,Hounslow 014,59
E02000540,Hounslow 015,34
E02000541,Hounslow 016,7
E02000542,Hounslow 017,77
E02000543,Hounslow 018,43
E02000544,Hounslow 019,4
E02000545,Hounslow 020,41
E02000546,Hounslow 021,8
E02000547,Hounslow 022,9
E02000548,Hounslow 023,12
E02000549,Hounslow 024,29
E02000550,Hounslow 025,5
E02000551,Hounslow 026,10
E02000552,Hounslow 027,6
E02000553,Hounslow 028,12
E02000554,Islington 001,49
E02000555,Islington 002,40
E02000556,Islington 003,79
E02000557,Islington 004,117
E02000558,Islington 005,67
E02000559,Islington 006,249
E02000560,Islington 007,256
E02000561,Islington 008,35
E02000562,Islington 009,58
E02000563,Islington 010,57
E02000564,Islington 011,142
E02000565,Islington 012,72
E02000566,Islington 013,94
E02000567,Islington 014,138
E02000568,Islington 015,77
E02000569,Islington 016,42
E02000570,Islington 017,132
E02000571,Islington 018,114
E02000572,Islington 019,39
E02000573,Islington 020,200
E02000574,Islington 021,218
E02000575,Islington 022,428
E02000576,Islington 023,285
E02000577,Kensington and Chelsea 001,25
