Middle layer Super Output Areas Code,Middle layer Super Output Areas,Detached
E02000372,Hammersmith and Fulham 001,142
E02000373,Hammersmith and Fulham 002,38
E02000374,Hammersmith and Fulham 003,73
E02000375,Hammersmith and Fulham 004,30
E02000376,Hammersmith and Fulham 005,36
E02000377,Hammersmith and Fulham 006,46
E02000378,Hammersmith and Fulham 007,13
E02000379,Hammersmith and Fulham 008,73
E02000380,Hammersmith and Fulham 009,17
E02000381,Hammersmith and Fulham 010,18
E02000382,Hammersmith and Fulham 011,49
E02000383,Hammersmith and Fulham 012,16
E02000384,Hammersmith and Fulham 013,30
E02000385,Hammersmith and Fulham 014,11
E02000386,Hammersmith and Fulham 015,35
E02000387,Hammersmith and Fulham 016,17
E02000388,Hammersmith and Fulham 017,28
E02000389,Hammersmith and Fulham 018,30
E02000390,Hammersmith and Fulham 019,29
E02000391,Hammersmith and Fulham 020,47
E02000392,Hammersmith and Fulham 021,28
E02000393,Hammersmith and Fulham 022,26
E02000394,Hammersmith and Fulham 023,20
E02000395,Hammersmith and Fulham 024,39
E02000396,Hammersmith and Fulham 025,42
E02000397,Haringey 001,109
E02000398,Haringey 002,144
E02000400,Haringey 004,80
E02000401,Haringey 005,163
E02000402,Haringey 006,164
E02000403,Haringey 007,114
E02000404,Haringey 008,151
E02000405,Haringey 009,111
E02000406,Haringey 010,166
E02000407,Haringey 011,126
E02000408,Haringey 012,153
E02000409,Haringey 013,84
E02000410,Haringey 014,54
E02000411,Haringey 015,175
E02000412,Haringey 016,77
E02000413,Haringey 017,142
E02000414,Haringey 018,175
E02000415,Haringey 019,103
E02000416,Haringey 020,57
E02000417,Haringey 021,83
E02000418,Haringey 022,31
E02000419,Haringey 023,77
E02000420,Haringey 024,144
E02000421,Haringey 025,109
E02000422,Haringey 026,119
E02000423,Haringey 027,89
E02000424,Haringey 028,25
E02000425,Haringey 029,152
E02000426,Haringey 030,356
E02000427,Haringey 031,78
E02000428,Haringey 032,89
E02000429,Haringey 033,87
E02000430,Haringey 034,51
E02000431,Haringey 035,74
E02000432,Haringey 036,23
E02000433,Harrow 001,1047
