Middle layer Super Output Areas Code,Middle layer Super Output Areas,Detached
E02004751,Hart 001,1193
E02004752,Hart 002,1275
E02004753,Hart 003,1377
E02004754,Hart 004,1355
E02004755,Hart 005,1783
E02004756,Hart 006,1936
E02004757,Hart 007,2242
E02004758,Hart 008,1806
E02004759,Hart 009,1366
E02004760,Hart 010,1723
E02004761,Hart 011,925
E02004764,Havant 003,1430
E02004765,Havant 004,1190
E02004766,Havant 005,451
E02004767,Havant 006,49
E02004768,Havant 007,470
E02004769,Havant 008,61
E02004770,Havant 009,52
E02004771,Havant 010,141
E02004772,Havant 011,1095
E02004774,Havant 013,1853
E02004775,Havant 014,1669
E02004776,Havant 015,1507
E02004777,Havant 016,1050
E02004778,Havant 017,1499
E02004779,New Forest 001,2529
E02004780,New Forest 002,560
E02004781,New Forest 003,1423
E02004782,New Forest 004,904
E02004783,New Forest 005,1003
E02004784,New Forest 006,1693
E02004785,New Forest 007,1386
E02004786,New Forest 008,1224
E02004787,New Forest 009,1734
E02004788,New Forest 010,1781
E02004789,New Forest 011,1392
E02004790,New Forest 012,947
E02004791,New Forest 013,616
E02004792,New Forest 014,2089
E02004793,New Forest 015,2017
E02004794,New Forest 016,1888
E02004795,New Forest 017,1672
E02004796,New Forest 018,2713
E02004797,New Forest 019,1088
E02004798,New Forest 020,730
E02004799,New Forest 021,1343
E02004800,New Forest 022,2404
E02004801,New Forest 023,2081
E02004802,Rushmoor 001,330
E02004803,Rushmoor 002,105
E02004804,Rushmoor 003,431
E02004805,Rushmoor 004,1355
E02004806,Rushmoor 005,1168
E02004807,Rushmoor 006,549
E02004808,Rushmoor 007,799
E02004809,Rushmoor 008,277
E02004810,Rushmoor 009,205
E02004811,Rushmoor 010,553
E02004812,Rushmoor 011,634
E02004813,Rushmoor 012,82
E02004814,Test Valley 001,1360
E02004815,Test Valley 002,189
E02004817,Test Valley 004,554
E02004818,Test Valley 005,1502
E02004819,Test Valley 006,1165
E02004820,Test Valley 007,1282
E02004821,Test Valley 008,1229
E02004822,Test Valley 009,1716
E02004823,Test Valley 010,1256
E02004824,Test Valley 011,428
E02004825,Test Valley 012,2116
E02004826,Test Valley 013,2106
E02004827,Test Valley 014,1841
E02004828,Test Valley 015,1675
E02004829,Winchester 001,1135
E02004830,Winchester 002,1260
E02004831,Winchester 003,1665
E02004832,Winchester 004,1538
E02004833,Winchester 005,938
E02004834,Winchester 006,273
E02004835,Winchester 007,465
E02004836,Winchester 008,244
E02004837,Winchester 009,1711
E02004838,Winchester 010,1958
E02004839,Winchester 011,2100
E02004840,Winchester 012,1720
E02004841,Winchester 013,1839
E02004842,Winchester 014,1869
E02004843,Broxbourne 001,485
E02004844,Broxbourne 002,195
E02004845,Broxbourne 003,523
E02004846,Broxbourne 004,1069
E02004847,Broxbourne 005,456
E02004848,Broxbourne 006,548
E02004849,Broxbourne 007,1304
E02004850,Broxbourne 008,275
E02004851,Broxbourne 009,255
E02004852,Broxbourne 010,243
E02004853,Broxbourne 011,341
E02004854,Broxbourne 012,225
E02004855,Broxbourne 013,183
E02004856,Dacorum 001,548
E02004857,Dacorum 002,578
E02004858,Dacorum 003,383
E02004859,Dacorum 004,1006
E02004860,Dacorum 005,354
E02004861,Dacorum 006,1069
E02004862,Dacorum 007,235
E02004863,Dacorum 008,162
E02004864,Dacorum 009,920
E02004865,Dacorum 010,286
E02004866,Dacorum 011,360
E02004867,Dacorum 012,926
E02004868,Dacorum 013,437
E02004869,Dacorum 014,584
E02004870,Dacorum 015,369
E02004871,Dacorum 016,201
E02004872,Dacorum 017,923
E02004873,Dacorum 018,1099
E02004874,Dacorum 019,432
E02004875,Dacorum 020,376
E02004876,Dacorum 021,1469
E02004877,Dacorum 022,801
E02004878,East Hertfordshire 001,1204
E02004880,East Hertfordshire 003,2116
E02004881,East Hertfordshire 004,856
E02004882,East Hertfordshire 005,860
E02004883,East Hertfordshire 006,738
E02004884,East Hertfordshire 007,878
E02004885,East Hertfordshire 008,1500
E02004886,East Hertfordshire 009,992
E02004887,East Hertfordshire 010,1134
E02004888,East Hertfordshire 011,1222
E02004889,East Hertfordshire 012,389
E02004890,East Hertfordshire 013,764
E02004891,East Hertfordshire 014,650
E02004892,East Hertfordshire 015,274
E02004893,East Hertfordshire 016,437
E02004894,East Hertfordshire 017,542
E02004895,East Hertfordshire 018,1053
E02004896,Hertsmere 001,1028
E02004897,Hertsmere 002,230
E02004898,Hertsmere 003,299
E02004899,Hertsmere 004,656
E02004900,Hertsmere 005,1662
E02004901,Hertsmere 006,149
E02004902,Hertsmere 007,263
E02004903,Hertsmere 008,423
E02004904,Hertsmere 009,131
E02004905,Hertsmere 010,843
E02004906,Hertsmere 011,197
E02004907,Hertsmere 012,697
E02004908,Hertsmere 013,1405
E02004909,North Hertfordshire 001,496
E02004910,North Hertfordshire 002,1533
E02004911,North Hertfordshire 003,199
E02004912,North Hertfordshire 004,806
E02004914,North Hertfordshire 006,523
E02004915,North Hertfordshire 007,208
E02004916,North Hertfordshire 008,1204
E02004917,North Hertfordshire 009,748
E02004918,North Hertfordshire 010,347
E02004919,North Hertfordshire 011,392
E02004920,North Hertfordshire 012,1237
E02004921,North Hertfordshire 013,776
E02004922,North Hertfordshire 014,1525
E02004923,North Hertfordshire 015,1567
E02004924,St Albans 001,1195
E02004925,St Albans 002,829
E02004926,St Albans 003,1121
E02004927,St Albans 004,997
E02004928,St Albans 005,1415
E02004929,St Albans 006,938
E02004930,St Albans 007,839
E02004931,St Albans 008,322
E02004932,St Albans 009,326
E02004933,St Albans 010,1036
E02004934,St Albans 011,450
E02004935,St Albans 012,249
E02004936,St Albans 013,304
E02004937,St Albans 014,1244
E02004939,St Albans 016,481
E02004940,St Albans 017,145
E02004941,St Albans 018,488
E02004942,St Albans 019,786
E02004943,St Albans 020,1517
E02004944,Stevenage 001,149
E02004945,Stevenage 002,1183
E02004946,Stevenage 003,245
E02004948,Stevenage 005,266
E02004949,Stevenage 006,132
E02004950,Stevenage 007,209
E02004951,Stevenage 008,103
E02004952,Stevenage 009,420
E02004953,Stevenage 010,76
E02004954,Stevenage 011,298
E02004955,Stevenage 012,392
E02004956,Three Rivers 001,988
E02004957,Three Rivers 002,784
E02004958,Three Rivers 003,915
E02004959,Three Rivers 004,1354
E02004960,Three Rivers 005,1127
E02004961,Three Rivers 006,570
E02004962,Three Rivers 007,889
E02004963,Three Rivers 008,337
E02004964,Three Rivers 009,310
E02004965,Three Rivers 010,474
E02004966,Three Rivers 011,1769
E02004967,Three Rivers 012,67
E02004968,Watford 001,214
E02004969,Watford 002,387
E02004970,Watford 003,113
E02004971,Watford 004,136
E02004972,Watford 005,75
E02004973,Watford 006,118
E02004974,Watford 007,981
E02004975,Watford 008,1144
E02004976,Watford 009,154
E02004977,Watford 010,156
E02004978,Watford 011,116
E02004979,Watford 012,558
E02004980,Welwyn Hatfield 001,1536
E02004981,Welwyn Hatfield 002,939
E02004982,Welwyn Hatfield 003,546
E02004983,Welwyn Hatfield 004,138
E02004984,Welwyn Hatfield 005,656
E02004985,Welwyn Hatfield 006,484
E02004986,Welwyn Hatfield 007,124
E02004987,Welwyn Hatfield 008,288
E02004988,Welwyn Hatfield 009,108
E02004989,Welwyn Hatfield 010,384
E02004990,Welwyn Hatfield 011,551
E02004991,Welwyn Hatfield 012,197
E02004992,Welwyn Hatfield 013,275
E02004994,Welwyn Hatfield 015,1155
E02004995,Welwyn Hatfield 016,1488
E02004996,Ashford 001,1409
E02004997,Ashford 002,1669
E02004998,Ashford 003,1052
E02005000,Ashford 005,332
E02005001,Ashford 006,1073
E02005002,Ashford 007,519
E02005003,Ashford 008,382
E02005004,Ashford 009,1568
E02005005,Ashford 010,2196
E02005006,Ashford 011,1244
E02005007,Ashford 012,1778
E02005008,Ashford 013,1736
E02005009,Ashford 014,1114
E02005010,Canterbury 001,551
E02005011,Canterbury 002,2035
E02005012,Canterbury 003,1469
E02005013,Canterbury 004,1458
E02005014,Canterbury 005,2108
E02005015,Canterbury 006,1659
E02005016,Canterbury 007,1072
E02005017,Canterbury 008,655
E02005018,Canterbury 009,1751
E02005019,Canterbury 010,981
E02005020,Canterbury 011,585
E02005021,Canterbury 012,1172
E02005022,Canterbury 013,678
E02005023,Canterbury 014,229
E02005025,Canterbury 016,951
E02005026,Canterbury 017,1198
E02005027,Canterbury 018,1074
E02005028,Dartford 001,191
E02005029,Dartford 002,744
E02005030,Dartford 003,326
E02005031,Dartford 004,175
E02005032,Dartford 005,194
E02005033,Dartford 006,179
E02005034,Dartford 007,401
E02005035,Dartford 008,464
E02005036,Dartford 009,89
E02005037,Dartford 010,808
E02005038,Dartford 011,674
E02005039,Dartford 012,303
E02005040,Dartford 013,1477
E02005041,Dover 001,1299
E02005042,Dover 002,1124
E02005043,Dover 003,626
E02005044,Dover 004,232
E02005045,Dover 005,712
E02005046,Dover 006,652
E02005047,Dover 007,656
E02005048,Dover 008,1441
E02005049,Dover 009,1810
E02005050,Dover 010,1467
E02005051,Dover 011,195
E02005052,Dover 012,294
E02005053,Dover 013,161
E02005054,Dover 014,1159
E02005055,Gravesham 001,174
E02005056,Gravesham 002,196
E02005057,Gravesham 003,534
E02005058,Gravesham 004,275
E02005059,Gravesham 005,549
E02005060,Gravesham 006,391
E02005061,Gravesham 007,221
E02005062,Gravesham 008,107
E02005063,Gravesham 009,600
E02005064,Gravesham 010,1171
E02005065,Gravesham 011,211
E02005066,Gravesham 012,1248
E02005067,Gravesham 013,1165
E02005068,Maidstone 001,1437
E02005069,Maidstone 002,850
E02005070,Maidstone 003,1267
E02005071,Maidstone 004,185
E02005072,Maidstone 005,1457
E02005073,Maidstone 006,395
E02005074,Maidstone 007,1177
E02005075,Maidstone 008,625
E02005076,Maidstone 009,386
E02005077,Maidstone 010,400
E02005078,Maidstone 011,1626
E02005079,Maidstone 012,1191
E02005080,Maidstone 013,282
E02005081,Maidstone 014,959
E02005082,Maidstone 015,1780
E02005083,Maidstone 016,1035
E02005084,Maidstone 017,1349
E02005085,Maidstone 018,1207
E02005086,Maidstone 019,838
E02005087,Sevenoaks 001,753
E02005088,Sevenoaks 002,310
E02005089,Sevenoaks 003,521
E02005090,Sevenoaks 004,1347
E02005091,Sevenoaks 005,822
E02005093,Sevenoaks 007,1188
E02005094,Sevenoaks 008,1312
E02005095,Sevenoaks 009,1266
E02005096,Sevenoaks 010,738
E02005097,Sevenoaks 011,2172
E02005098,Sevenoaks 012,1793
E02005099,Sevenoaks 013,1213
E02005100,Sevenoaks 014,1072
E02005101,Sevenoaks 015,1266
E02005102,Folkestone and Hythe 001,1579
E02005103,Folkestone and Hythe 002,1348
E02005104,Folkestone and Hythe 003,310
E02005105,Folkestone and Hythe 004,99
E02005106,Folkestone and Hythe 005,336
E02005107,Folkestone and Hythe 006,1392
E02005109,Folkestone and Hythe 008,1582
E02005110,Folkestone and Hythe 009,1725
E02005111,Folkestone and Hythe 010,592
E02005112,Folkestone and Hythe 011,1349
E02005113,Folkestone and Hythe 012,1638
E02005114,Folkestone and Hythe 013,1032
E02005115,Swale 001,136
E02005116,Swale 002,74
E02005117,Swale 003,1533
E02005118,Swale 004,1236
E02005119,Swale 005,687
E02005120,Swale 006,1435
E02005121,Swale 007,1524
E02005122,Swale 008,1087
E02005123,Swale 009,1192
E02005124,Swale 010,163
E02005125,Swale 011,326
E02005126,Swale 012,487
E02005127,Swale 013,1415
E02005128,Swale 014,642
E02005129,Swale 015,525
E02005130,Swale 016,1144
E02005131,Swale 017,870
E02005132,Thanet 001,164
E02005133,Thanet 002,1910
E02005134,Thanet 003,147
E02005135,Thanet 004,274
E02005136,Thanet 005,621
E02005137,Thanet 006,382
E02005138,Thanet 007,489
E02005139,Thanet 008,1667
E02005140,Thanet 009,1433
E02005141,Thanet 010,1022
E02005142,Thanet 011,921
E02005143,Thanet 012,607
E02005144,Thanet 013,225
E02005145,Thanet 014,1003
E02005146,Thanet 015,248
E02005147,Thanet 016,170
E02005148,Thanet 017,1338
E02005149,Tonbridge and Malling 001,1417
E02005150,Tonbridge and Malling 002,454
E02005151,Tonbridge and Malling 003,1158
E02005153,Tonbridge and Malling 005,706
E02005154,Tonbridge and Malling 006,1983
E02005155,Tonbridge and Malling 007,2288
E02005156,Tonbridge and Malling 008,880
E02005157,Tonbridge and Malling 009,375
E02005158,Tonbridge and Malling 010,1086
E02005159,Tonbridge and Malling 011,1035
E02005160,Tonbridge and Malling 012,684
E02005161,Tonbridge and Malling 013,536
E02005162,Tunbridge Wells 001,1189
E02005163,Tunbridge Wells 002,858
E02005164,Tunbridge Wells 003,650
E02005165,Tunbridge Wells 004,1221
E02005166,Tunbridge Wells 005,312
E02005167,Tunbridge Wells 006,1530
E02005168,Tunbridge Wells 007,730
E02005169,Tunbridge Wells 008,241
E02005170,Tunbridge Wells 009,818
E02005171,Tunbridge Wells 010,303
E02005172,Tunbridge Wells 011,1424
E02005173,Tunbridge Wells 012,1352
E02005174,Tunbridge Wells 013,1125
E02005175,Tunbridge Wells 014,1374
E02005503,Breckland 001,1708
E02005504,Breckland 002,2454
E02005505,Breckland 003,1377
E02005506,Breckland 004,1773
E02005507,Breckland 005,1641
E02005508,Breckland 006,1846
E02005509,Breckland 007,1772
E02005510,Breckland 008,2026
E02005511,Breckland 009,1993
E02005512,Breckland 010,2049
E02005513,Breckland 011,2024
E02005514,Breckland 012,1748
E02005515,Breckland 013,1590
E02005516,Breckland 014,1665
E02005517,Breckland 015,355
E02005518,Breckland 016,1421
E02005519,Breckland 017,785
E02005520,Broadland 001,1706
E02005521,Broadland 002,1843
E02005522,Broadland 003,1171
E02005523,Broadland 004,1845
E02005524,Broadland 005,1244
E02005525,Broadland 006,2681
E02005526,Broadland 007,1248
E02005527,Broadland 008,2292
E02005528,Broadland 009,1578
E02005529,Broadland 010,658
E02005530,Broadland 011,859
E02005531,Broadland 012,669
E02005532,Broadland 013,1193
E02005533,Broadland 014,2202
E02005534,Broadland 015,849
E02005535,Broadland 016,1531
E02005536,Broadland 017,1604
E02005537,Broadland 018,1265
E02005538,Great Yarmouth 001,2739
E02005539,Great Yarmouth 002,1906
E02005540,Great Yarmouth 003,1851
E02005541,Great Yarmouth 004,332
E02005542,Great Yarmouth 005,228
E02005543,Great Yarmouth 006,204
E02005544,Great Yarmouth 007,237
E02005545,Great Yarmouth 008,1378
E02005546,Great Yarmouth 009,420
E02005547,Great Yarmouth 010,1172
E02005548,Great Yarmouth 011,453
E02005549,Great Yarmouth 012,1065
E02005550,Great Yarmouth 013,1495
E02005551,King's Lynn and West Norfolk 001,1064
E02005552,King's Lynn and West Norfolk 002,1336
E02005553,King's Lynn and West Norfolk 003,2139
E02005554,King's Lynn and West Norfolk 004,1695
E02005555,King's Lynn and West Norfolk 005,2141
E02005556,King's Lynn and West Norfolk 006,1037
E02005557,King's Lynn and West Norfolk 007,218
E02005558,King's Lynn and West Norfolk 008,1731
E02005559,King's Lynn and West Norfolk 009,418
E02005560,King's Lynn and West Norfolk 010,677
E02005561,King's Lynn and West Norfolk 011,501
E02005562,King's Lynn and West Norfolk 012,1676
E02005563,King's Lynn and West Norfolk 013,2205
E02005564,King's Lynn and West Norfolk 014,2354
E02005565,King's Lynn and West Norfolk 015,1618
E02005566,King's Lynn and West Norfolk 016,2689
E02005567,King's Lynn and West Norfolk 017,2505
E02005568,King's Lynn and West Norfolk 018,1792
E02005569,King's Lynn and West Norfolk 019,2076
E02005570,North Norfolk 001,1482
E02005571,North Norfolk 002,1225
E02005572,North Norfolk 003,1107
E02005573,North Norfolk 004,1473
E02005574,North Norfolk 005,1782
E02005575,North Norfolk 006,1808
E02005576,North Norfolk 007,1629
E02005577,North Norfolk 008,1331
E02005578,North Norfolk 009,874
E02005580,North Norfolk 011,1352
E02005581,North Norfolk 012,1558
E02005582,North Norfolk 013,1378
E02005583,North Norfolk 014,2388
E02005584,Norwich 001,530
E02005585,Norwich 002,183
E02005586,Norwich 003,161
E02005587,Norwich 004,399
E02005588,Norwich 005,1033
E02005589,Norwich 006,543
E02005592,Norwich 009,271
E02005593,Norwich 010,440
E02005594,Norwich 011,402
E02005595,Norwich 012,1974
E02005596,Norwich 013,209
E02005598,South Norfolk 002,2315
E02005599,South Norfolk 003,1590
E02005600,South Norfolk 004,1436
E02005601,South Norfolk 005,1027
E02005602,South Norfolk 006,3239
E02005603,South Norfolk 007,2293
E02005604,South Norfolk 008,2047
E02005605,South Norfolk 009,2482
E02005606,South Norfolk 010,1448
E02005607,South Norfolk 011,2750
E02005608,South Norfolk 012,1761
E02005609,South Norfolk 013,1431
E02005610,South Norfolk 014,2016
E02005611,South Norfolk 015,1894
E02005921,Cherwell 001,1462
E02005922,Cherwell 002,684
E02005923,Cherwell 003,134
E02005924,Cherwell 004,711
E02005925,Cherwell 005,298
E02005926,Cherwell 006,1185
E02005927,Cherwell 007,748
E02005928,Cherwell 008,1898
E02005929,Cherwell 009,1552
E02005930,Cherwell 010,1641
E02005931,Cherwell 011,1705
E02005932,Cherwell 012,1153
E02005933,Cherwell 013,609
E02005934,Cherwell 014,1037
E02005935,Cherwell 015,1010
E02005936,Cherwell 016,2103
E02005937,Cherwell 017,913
E02005938,Cherwell 018,388
E02005939,Cherwell 019,811
E02005940,Oxford 001,734
E02005941,Oxford 002,342
E02005942,Oxford 003,241
E02005943,Oxford 004,365
E02005944,Oxford 005,244
E02005945,Oxford 006,851
E02005946,Oxford 007,437
E02005947,Oxford 008,111
E02005948,Oxford 009,95
E02005949,Oxford 010,185
E02005950,Oxford 011,195
E02005951,Oxford 012,79
E02005953,Oxford 014,93
E02005954,Oxford 015,371
E02005955,Oxford 016,287
E02005956,Oxford 017,136
E02005957,Oxford 018,130
E02005958,South Oxfordshire 001,597
E02005959,South Oxfordshire 002,1163
E02005960,South Oxfordshire 003,1005
E02005961,South Oxfordshire 004,1306
E02005962,South Oxfordshire 005,1722
E02005963,South Oxfordshire 006,1007
E02005964,South Oxfordshire 007,1342
E02005965,South Oxfordshire 008,958
E02005966,South Oxfordshire 009,1006
E02005967,South Oxfordshire 010,686
E02005968,South Oxfordshire 011,1125
E02005969,South Oxfordshire 012,967
E02005970,South Oxfordshire 013,301
E02005971,South Oxfordshire 014,421
E02005972,South Oxfordshire 015,1782
E02005973,South Oxfordshire 016,684
E02005974,South Oxfordshire 017,756
E02005975,South Oxfordshire 018,1909
E02005976,South Oxfordshire 019,1611
E02005977,South Oxfordshire 020,1322
E02005978,Vale of White Horse 001,1660
E02005979,Vale of White Horse 002,1377
E02005980,Vale of White Horse 003,1972
E02005981,Vale of White Horse 004,1610
E02005982,Vale of White Horse 005,715
E02005983,Vale of White Horse 006,566
E02005984,Vale of White Horse 007,2051
E02005985,Vale of White Horse 008,629
E02005986,Vale of White Horse 009,1185
E02005987,Vale of White Horse 010,1796
E02005988,Vale of White Horse 011,1539
E02005991,Vale of White Horse 014,1127
E02005992,Vale of White Horse 015,2335
E02005993,West Oxfordshire 001,687
E02005994,West Oxfordshire 002,1153
E02005995,West Oxfordshire 003,1178
E02005996,West Oxfordshire 004,1442
E02005997,West Oxfordshire 005,1085
E02005998,West Oxfordshire 006,1232
E02005999,West Oxfordshire 007,1310
E02006000,West Oxfordshire 008,1461
E02006001,West Oxfordshire 009,894
E02006002,West Oxfordshire 010,773
E02006003,West Oxfordshire 011,760
E02006004,West Oxfordshire 012,1137
E02006005,West Oxfordshire 013,907
E02006006,West Oxfordshire 014,838
E02006007,West Oxfordshire 015,1322
E02006227,Babergh 001,1315
E02006228,Babergh 002,1136
E02006229,Babergh 003,1080
E02006230,Babergh 004,2040
E02006231,Babergh 005,1824
E02006232,Babergh 006,1310
E02006233,Babergh 007,996
E02006234,Babergh 008,975
E02006235,Babergh 009,1976
E02006236,Babergh 010,2759
E02006237,Babergh 011,1367
E02006238,West Suffolk 002,1900
E02006239,West Suffolk 001,1684
E02006240,West Suffolk 003,2202
E02006241,West Suffolk 004,1267
E02006242,West Suffolk 007,1836
E02006243,West Suffolk 008,985
E02006245,Ipswich 001,464
E02006246,Ipswich 002,611
E02006247,Ipswich 003,325
E02006248,Ipswich 004,685
E02006249,Ipswich 005,1228
E02006250,Ipswich 006,291
E02006251,Ipswich 007,248
E02006252,Ipswich 008,581
E02006253,Ipswich 009,1212
E02006254,Ipswich 010,403
E02006255,Ipswich 011,361
E02006256,Ipswich 012,362
E02006257,Ipswich 013,317
E02006258,Ipswich 014,515
E02006259,Ipswich 015,574
E02006260,Ipswich 016,253
E02006261,Mid Suffolk 001,1943
E02006262,Mid Suffolk 002,2183
E02006263,Mid Suffolk 003,1961
E02006264,Mid Suffolk 004,2167
E02006265,Mid Suffolk 005,1554
E02006266,Mid Suffolk 006,2294
E02006267,Mid Suffolk 007,2140
E02006268,Mid Suffolk 008,665
E02006269,Mid Suffolk 009,1512
E02006270,Mid Suffolk 010,1534
E02006271,Mid Suffolk 011,1402
E02006272,Mid Suffolk 012,1468
E02006273,West Suffolk 005,1614
E02006274,West Suffolk 006,1235
E02006275,West Suffolk 009,207
E02006276,West Suffolk 016,2041
E02006277,West Suffolk 012,1459
E02006278,West Suffolk 011,373
E02006279,West Suffolk 014,1003
E02006280,West Suffolk 010,2188
E02006281,West Suffolk 013,1209
E02006282,West Suffolk 017,1638
E02006283,West Suffolk 018,1333
E02006284,West Suffolk 019,756
E02006285,West Suffolk 021,962
E02006286,West Suffolk 020,955
E02006287,East Suffolk 016,1734
E02006288,East Suffolk 017,2237
E02006289,East Suffolk 018,1950
E02006290,East Suffolk 019,1096
E02006291,East Suffolk 020,1489
E02006292,East Suffolk 021,1720
E02006293,East Suffolk 023,1769
E02006294,East Suffolk 022,1148
E02006295,East Suffolk 024,1861
E02006296,East Suffolk 025,2968
E02006297,East Suffolk 026,2387
E02006298,East Suffolk 027,1693
E02006299,East Suffolk 028,2211
E02006300,East Suffolk 029,521
E02006301,East Suffolk 030,428
E02006302,East Suffolk 001,1658
E02006303,East Suffolk 002,610
E02006304,East Suffolk 003,1878
E02006305,East Suffolk 004,146
E02006306,East Suffolk 005,790
E02006307,East Suffolk 007,2189
E02006308,East Suffolk 006,214
E02006309,East Suffolk 009,721
E02006310,East Suffolk 008,1468
E02006311,East Suffolk 010,1139
E02006312,East Suffolk 011,2119
E02006313,East Suffolk 012,1600
E02006314,East Suffolk 013,1473
E02006315,East Suffolk 014,1267
E02006316,East Suffolk 015,1247
E02006317,Elmbridge 001,465
E02006318,Elmbridge 002,961
E02006319,Elmbridge 003,237
E02006320,Elmbridge 004,369
E02006321,Elmbridge 005,745
E02006322,Elmbridge 006,691
E02006323,Elmbridge 007,840
E02006324,Elmbridge 008,591
E02006325,Elmbridge 009,1888
E02006326,Elmbridge 010,953
E02006327,Elmbridge 011,919
E02006328,Elmbridge 012,957
E02006329,Elmbridge 013,1368
E02006330,Elmbridge 014,1100
E02006331,Elmbridge 015,1253
E02006332,Elmbridge 016,1131
E02006333,Elmbridge 017,1447
E02006334,Elmbridge 018,2233
E02006335,Epsom and Ewell 001,890
E02006336,Epsom and Ewell 002,141
E02006337,Epsom and Ewell 003,412
E02006338,Epsom and Ewell 004,586
E02006339,Epsom and Ewell 005,740
E02006341,Epsom and Ewell 007,799
E02006342,Epsom and Ewell 008,604
E02006343,Epsom and Ewell 009,1528
E02006344,Guildford 001,1720
E02006345,Guildford 002,1023
E02006346,Guildford 003,2634
E02006347,Guildford 004,903
E02006348,Guildford 005,1080
E02006349,Guildford 006,677
E02006350,Guildford 007,156
E02006351,Guildford 008,1105
E02006352,Guildford 009,607
E02006353,Guildford 010,509
E02006354,Guildford 011,2131
E02006355,Guildford 012,170
E02006356,Guildford 013,594
E02006357,Guildford 014,1031
E02006358,Guildford 015,620
E02006359,Guildford 016,1064
E02006360,Guildford 017,1449
E02006361,Guildford 018,1191
E02006362,Mole Valley 001,1079
E02006363,Mole Valley 002,1189
E02006364,Mole Valley 003,323
E02006365,Mole Valley 004,1195
E02006366,Mole Valley 005,1711
E02006367,Mole Valley 006,1447
E02006368,Mole Valley 007,1290
E02006369,Mole Valley 008,1051
E02006370,Mole Valley 009,667
E02006371,Mole Valley 010,881
E02006372,Mole Valley 011,506
E02006373,Mole Valley 012,1330
E02006374,Mole Valley 013,1309
E02006375,Reigate and Banstead 001,1293
E02006376,Reigate and Banstead 002,926
E02006377,Reigate and Banstead 003,1300
E02006378,Reigate and Banstead 004,1419
E02006379,Reigate and Banstead 005,245
E02006380,Reigate and Banstead 006,1301
E02006381,Reigate and Banstead 007,1360
E02006382,Reigate and Banstead 008,290
E02006383,Reigate and Banstead 009,1473
E02006384,Reigate and Banstead 010,819
E02006385,Reigate and Banstead 011,542
E02006386,Reigate and Banstead 012,1019
E02006387,Reigate and Banstead 013,561
E02006388,Reigate and Banstead 014,512
E02006389,Reigate and Banstead 015,653
E02006390,Reigate and Banstead 016,1049
E02006391,Reigate and Banstead 017,1188
E02006392,Reigate and Banstead 018,729
E02006393,Runnymede 001,489
E02006394,Runnymede 002,917
E02006395,Runnymede 003,643
E02006396,Runnymede 004,876
E02006397,Runnymede 005,1245
E02006398,Runnymede 006,434
E02006399,Runnymede 007,1251
E02006400,Runnymede 008,836
E02006401,Runnymede 009,905
E02006402,Runnymede 010,1441
E02006403,Spelthorne 001,229
E02006404,Spelthorne 002,238
E02006405,Spelthorne 003,967
E02006406,Spelthorne 004,415
E02006407,Spelthorne 005,751
E02006408,Spelthorne 006,676
E02006409,Spelthorne 007,197
E02006410,Spelthorne 008,228
E02006411,Spelthorne 009,818
E02006412,Spelthorne 010,1249
E02006413,Spelthorne 011,511
E02006414,Spelthorne 012,534
E02006415,Spelthorne 013,1146
E02006416,Surrey Heath 001,1979
E02006417,Surrey Heath 002,821
E02006418,Surrey Heath 003,1598
E02006419,Surrey Heath 004,628
E02006420,Surrey Heath 005,2029
E02006421,Surrey Heath 006,1930
E02006422,Surrey Heath 007,1319
E02006423,Surrey Heath 008,1121
E02006424,Surrey Heath 009,1494
E02006425,Surrey Heath 010,868
E02006426,Surrey Heath 011,1039
E02006427,Surrey Heath 012,917
E02006429,Tandridge 002,1104
E02006430,Tandridge 003,750
E02006431,Tandridge 004,1613
E02006432,Tandridge 005,1034
E02006433,Tandridge 006,1682
E02006434,Tandridge 007,753
E02006435,Tandridge 008,810
E02006436,Tandridge 009,660
E02006437,Tandridge 010,1403
E02006438,Tandridge 011,1817
E02006439,Waverley 001,889
E02006440,Waverley 002,1364
E02006441,Waverley 003,774
E02006442,Waverley 004,1505
E02006443,Waverley 005,678
E02006444,Waverley 006,1158
E02006445,Waverley 007,809
E02006446,Waverley 008,1381
E02006447,Waverley 009,1207
E02006448,Waverley 010,1325
E02006449,Waverley 011,1134
E02006450,Waverley 012,1367
E02006451,Waverley 013,2188
E02006453,Waverley 015,1579
E02006454,Waverley 016,1155
E02006455,Waverley 017,827
E02006456,Woking 001,532
E02006457,Woking 002,2321
E02006458,Woking 003,2062
E02006459,Woking 004,223
E02006460,Woking 005,770
E02006461,Woking 006,1180
E02006462,Woking 007,871
E02006463,Woking 008,633
E02006464,Woking 009,588
E02006465,Woking 010,1322
E02006466,Woking 011,734
E02006467,Woking 012,1401
E02006534,Adur 001,698
E02006535,Adur 002,780
E02006536,Adur 003,700
E02006537,Adur 004,393
E02006538,Adur 005,847
E02006539,Adur 006,534
E02006540,Adur 007,439
E02006541,Adur 008,639
E02006542,Arun 001,824
E02006543,Arun 002,945
E02006544,Arun 003,2027
E02006545,Arun 004,693
E02006546,Arun 005,1562
E02006547,Arun 006,781
E02006548,Arun 007,1113
E02006549,Arun 008,2204
E02006550,Arun 009,1143
E02006551,Arun 010,2095
E02006552,Arun 011,170
E02006553,Arun 012,790
E02006554,Arun 013,1519
E02006555,Arun 014,374
E02006556,Arun 015,2508
